,user_id,location,username,description
22,"[""1177291960874405889',""]","Milwaukee, WI',","Milwaukee4Pete',","We love the Bucks, Brewers, Packers, and Pete Buttigieg! #teampeteforever',"
23,"[""36067096',""]","Montreal',","MI3_Montreal',","MI3....A new age financial communication company specialized in Market Awareness, Market-Making and Market Intelligence',"
24,"[""1589755132061028353',""]",,"ShackSquatch',","',"
25,"[""1582367752588873728',""]",,"Tdf121227',","',"
26,"[""420827328',""]","Middle of Nowhere',","mykjay9',","Believer. Not all who wander are lost. \nA nation of Sheep will beget a government of Wolves.\n#YNWA #EndSARS',"
27,"[""1583084815',""]",,"anjelinaghzpada',","ربع دار مدرس العرصات وطلول محوة الايات خفق ا',"
28,"[""1654470536',""]",,"Punchfan99',","',"
29,"[""42777973',""]","California, USA',","JustRayO_0',","GEMINI TENDENCIES California☀️✊🏽',"
30,"[""1585317361330126853',""]","F15. petris only gf. 🇫🇮',","RDXR0X',","the poetry inside of me is warm like a gun !  /̵͇̿̿/’̿’̿ ̿ ̿̿ ̿̿ ̿̿',"
31,"[""1501312189969301509',""]",,"Wills1Jeffrey',","#Tarlos. #911LoneStar. #GossipGirl. #Superman&Lois #KungFu',"
32,"[""1287969548931493888',""]",,"JonnieV_',","spicy 🌶',"
33,"[""1181221853794308100',""]",,"WalkerWitch94',","she/they Disabled, Autistic, bisexual, converting to Judaism, dog lover, nonbinary, schizoaffective, nurse, Mad, Crip.',"
34,"[""983165055582769152',""]",,"valenncciiaaa',","thoughts of a real nigga 🚶🏾\u200d♀️',"
35,"[""88114649',""]","My Own World',","SirAlexas',","RF100 | Serena 23 | AF85 | Virat Kohli | Eliud 1.59 | LH100 | Ledecky | Armu Forever ❤',"
36,"[""14342200',""]","Darlington',","adallin',","Bloke.',"
37,"[""1679661613',""]",Jersey,"therealwayla',","Nj📍',"
38,"[""3294058415',""]","Accra, Ghana',","kweku309',","Publicitygh, Mapping Officer, Sound Engineer, LA Laker and Currently looking for employment',"
39,"[""1575290366709964801',""]","Havana',","CCSpotifyData',","Your #1 source of Spotify updates about the 2x Latin Grammy award winner, Camila Cabello.',"
40,"[""1286012795356684294',""]","A Glass of the Finest',","Jason_epi',","public_metrics': {'followers_count': 728,"
41,"[""496557454',""]",,"JustaFan18',","The Planet is our home.  Keep it clean.\nNever trust the party that wants to limit voting rights. \n#votebluetosaveAmerica No DMs please.',"
42,"[""1579568959573135377',""]","Österreich',","DrKarlFranzMay1',","Doktor und Vater... Freiheitsliebend... Realitätsnah... Gegen jeden Hass aller Art... Satire...',"
43,"[""67467684',""]","Salt Lake City, UT',","JAArceG',","',"
44,"[""50784667',""]","Surrey',","RI5HIYT',","OR Nurse and Tottenham Hotspurs follower.',"
45,"[""931986728914751489',""]",,"sportsguysofly',","Fight On',"
46,"[""1271223433553207296',""]","32counties of Ireland',","32_ireland',","United Ireland.\n32 Counties\nCatholic, Protestant and Dissenter\n#RememberMyNoah',"
47,"[""943115069558329345',""]","Islamic Republic of Iran',","AzizipourM',","god always with me',"
48,"[""895017030297964544',""]",,"moonfoxmagick',","𝖇𝖊𝖆𝖚𝖙𝖞 💔 | 𝖙𝖗𝖚𝖙𝖍 💊 | 𝖕𝖚𝖗𝖕𝖔𝖘𝖊 🔮',"
49,"[""1518756470384386052',""]",,"Charlot50256374',","',"
50,"[""1195526787389890561',""]",,"AshleyAviolla',","Ashley Aviolla is a long time resident of Pasco County, coming to the area in 1983 as a young child. She has strong roots in the region and is very well versed',"
51,"[""707265303512784897',""]","Accra, Ghana',","Mr__Willz',","SC: Mr_Williamsss, #Lakeshow',"
52,"[""4615395863',""]","Baltimore, MD',","benman5651',","21. CEO of Bokugan/ Elon Musk hate account.',"
53,"[""112789674',""]","Africa, Johannesburg',","Bantuu_',","',"
54,"[""1304099124875329536',""]",,"kabanda_didas',","',"
55,"[""1112245138074595334',""]","southside',","_xvii77',","guap',"
56,"[""1528933073206796288',""]",,"supremegleams',","A intellectual chaos. Panther til I die. #704',"
57,"[""1398768914',""]","Milwaukee, WI',","0_Fuqks_Given',","Butter Pecan Puerto Ricannnnn 🇵🇷',"
58,"[""1484554556910493696',""]","East Riding Of Yorkshire',","punyvikinglass',","Supports Hull Help for Refugees, Good Law Project,Death Penalty action  and supports Jermey Corbyn  plus plays in Ukulele band .',"
59,"[""811648968899837954',""]","utopia',","wonderwomankyle',","Still figuring life out.',"
60,"[""485064670',""]","Bedfordshire, England',","KeithClyde69',","Keith' (my name is Steve), my sister calls me"
61,"[""2364766740',""]",Northern California,"jadeecee1',","Good friends, good books and a sleepy conscience; this is the ideal life.  Mark Twain.',"
62,"[""1559575968892817408',""]",,"PeterSm63619180',","Not a Trump follower.  Not here for Twitter followers. Don’t assume because you follow me that I’m going to follow you back.',"
63,"[""1587653999989125120',""]",,"Daniell20296348',","last day i found my girlloving',"
64,"[""828758732',""]","♥♣♠♦my room♥♣♠♦',","Anm_Amuhinamori',","[V] @FakeAnime_RP | #VineFam | #ShugoCharaFamily',"
65,"[""309605202',""]",,"A1471',","resister, live free (responsibly), help one another, be healthy and happy',"
66,"[""1589934020343009280',""]",aki 20+ she/her,"jaywonDNFI',","here for the throne, khaleesi flow',"
67,"[""3115275141',""]",UnderWorld,"MsLauraLaurelle',","Opinionated and I have the conviction to speak them ✨ Libra ☀️ Pisces 🌙 Capricorn Rising',"
68,"[""1114712562',""]","Appalachian Trail',","KatieOGrady4',","i rescue pets that are on death row ihave a pretty farm for them.Anybody who could help us would be much appreciated,we have 7 newbies, pics will be postd later',"
69,"[""861824129430831104',""]",,"Raajjhesh_dt',","Citizen of India 🇮🇳',"
70,"[""29962253',""]",,"i_amBoneZ',","public_metrics': {'followers_count': 503,"
71,"[""765315176',""]","Lagos, Nigeria',","segun_OA',","Hello World',"
72,"[""47497573',""]",,"df2727',","',"
73,"[""879711683962437636',""]","Mpumalanga,Nelspruit","Shawty_Nelo_Lee',","Instagram ;@i_am_dreamer_mokoena Gemini ♊ 15 June 🎈📍🇿🇦',"
74,"[""731416927',""]","Cymru - Wales',","BuzzBoncath',","Welsh international football & science. Boi o Sir Benfro sydd wedi dysgu Cymraeg. Occasionally sweary. My own views. RTs & likes aren’t always endorsements',"
75,"[""3377811017',""]",,"therapistjl',","',"
76,"[""2831146277',""]","apha naphaya',","jagannath_dasi',","Lord Jagannatha ❤',"
77,"[""1000595859178835968',""]","Lake Tapps, WA',","NickFarman55',","@catapultsports Northwest Regional Scout (WA/ID/OR/AK) FREE to student-athletes!!! #NWSTANDUP I West Coast Scout for @CGSAllStar I',"
78,"[""2975079980',""]",,"onlyhermosa',","insta: onlyhermosa',"
79,"[""977619834',""]","San Francisco',","williesband',","rock. \n\nStreaming: https://t.co/0b4zvMpJFR\nhttps://t.co/E2m8aNvprR\nhttps://t.co/P9CW8B6I61',"
80,"[""1077464870424072192',""]",suffering,"jospeh557',","I am just a random person and yes I will retweet some nsfw stuff because I like it And if you gonna ask yes I am bisexual',"
81,"[""1942775803',""]","Missoula, MT',","Duells06',","Love good books,food,Harleys,cigars,and @49ers #FTTB  / @sfgiants . I love reading and recommending good books, and I tweet ALOT of recommendations!!!',"
82,"[""1242217249982701569',""]",farm,"Beberries_',","public_metrics': {'followers_count': 1040,"
83,"[""1082340050862571522',""]","England, United Kingdom',","offer_olivia',","she/her and sad',"
84,"[""739143990499364864',""]","Jamaica🇯🇲',","The_AuDaCity11',","believe whatever you want 🤷🏾\u200d♂️6’3 🧍🏾\u200d♂️ignorance is bliss #CopaAmerica 🇦🇷🏆 #ForcaBarca💙❤️',"
85,"[""768664173744103424',""]","Multan, Pakistan',","sharfulhaqawan',","Fearless',"
86,"[""1435517752090009600',""]",,"Real_Damilare07',","Data Manager||Research Assistant||ExBrandAmbassador||Hustle till you make it ✍',"
87,"[""1578600175161180162',""]","Thaïlande',","kinningkinn',","karambit knife wielding, violin-loving, bussy-destroying traumatized middle child kinn • they/them • fan account',"
88,"[""1159605186064715776',""]",,"Gold255875',","',"
89,"[""744368337732272128',""]","Ingleside, San Francisco',","BorisCuellar_',","Me tenias para toda tu vida, pero no quisiste.',"
90,"[""381675481',""]","404',","BleuCapone',","Crippin’, Currency & Cognac. ♿︎ ☥  ♊︎',"
91,"[""791032747',""]",,"8964GiruGilu',","吾即Giru。水沸之声，文明先兆\nFilm&Anime lover.Popularity =! good story,so is unpopularity.\nウルトラマン/ゼアル/Marvelites.#TeamCap till the end of the line/MJP保護者\n腐：ステバキ·ヴィク勇·ゆまアス',"
92,"[""1118399214',""]","Abuja, Nigeria',","StephenOlateru',","I believe in a world with #ZeroPoverty & #ZeroDisease \n#CriticalThinking #Innovations\n#HealthTech #HealthResearch.',"
93,"[""62764316',""]","Here, there & everywhere',","thelightisdim',","Sorry People. she/her',"
94,"[""16545084',""]","Washington, D.C.',","mklavers81',","public_metrics': {'followers_count': 6390,"
95,"[""1508350184773799942',""]","Puff Valley, Solana',","stonedapefam',","The official community account for the @StonedApeCrew family. 🌿 Puff puff (💨💨), We All Vibing - WAV (🌊). Come vibe with us: https://t.co/zhgrdYFO10',"
96,"[""913106528852484104',""]",,"DefactoPeace',",
97,"[""2283452494',""]","Lost',","stingymcbumcrac',",
98,"[""1301681300403900416',""]",,"Mubasha43410307',",
99,"[""937756066221379585',""]","Kensington, London',","Paul2586048833',",
100,"[""696845336082427904',""]","CA',","lexaaaaj',",
101,"[""1044345471223910401',""]",,"Janny_Yicell',",
102,"[""607589895',""]",,"Jushere4sportss',",
103,"[""1584142660104704001',""]",,"Jennife71899843',",
104,"[""1074341969223135232',""]",Satx➡️cstat,"c00chiepower',",
105,"[""888159350455386115',""]",,"Squirrel1110',",
106,"[""1400601025',""]","essex',","billlamb1965',",
107,"[""486271393',""]",,"ChronosCaerus',",
108,"[""1266514429979570176',""]",,"spirconi',",
109,"[""1587740533220597761',""]",,"Kristin11279965',",
110,"[""905530344',""]","Texas, USA',","VermillionRich',",
111,"[""1451845119309754370',""]",,"Nzb72880461',",
112,"[""453880154',""]","Abuja, Nigeria',","PanshakHaggai',",
113,"[""1047487504104996866',""]","Milwaukee, WI',","ScottHa03896948',",
114,"[""1219032025769881605',""]","Florida, USA',","BrujaAnon',",
115,"[""1494030932797530116',""]",,"asqu26',",
116,"[""1553264404837310466',""]",,"StHolyAngel007',",
117,"[""828456559072129028',""]",,"harleyandmackie',",
118,"[""1089491729332518914',""]","CLANCE🚀🚨',","LekissClance',",
119,"[""936134574303739909',""]",,"MhmVahid',",
120,"[""27164880',""]","(Southern Appalachia)',","tonyfro23',",
121,"[""1563885985334697986',""]",,"thabithabs11',",
122,"[""1588519663633326081',""]",,"M_Rivera_82',",
123,"[""60049728',""]","Colorful Colorado',","JohndMeyer',",
124,"[""1516598394449543170',""]","New York, USA',","ATLienMJ',",
125,"[""225010383',""]","Worldwide',","WriteIntoPrint',",
126,"[""377776924',""]","Lasgidi',","Holuwarthoby90',",
127,"[""1402652236178624513',""]","San Francisco, CA',","miggylaflaire',",
128,"[""1533249700182249473',""]",,"HikeBabyHike',",
129,"[""1318366522541264896',""]",,"CindyRa38536948',",
130,"[""709120568881192961',""]","Hyderabad, India',","mohiuddinw1',",
131,"[""4122416554',""]","Argentina',","jazminc1t0',",
132,"[""1145119329886904321',""]","he/el',","420birthdaybOyz',",
133,"[""1112715843639656448',""]","Bauchi, Nigeria',","ameerahtuu',",
134,"[""1552647745734905856',""]",,"hrit_hailu',",
135,"[""342617934',""]","Nairobi,Kenya',","Bernah254',",
136,"[""1161241483388866560',""]","Scotland',","MelWhittaker5',",
137,"[""1339759598492856326',""]",,"Keziaa20457723',",
138,"[""47050295',""]","South Denmark, Denmark',","malikshaz',",
139,"[""1267798662706495493',""]",,"Drowning713',",
140,"[""1378507959567851524',""]",,"Mancity41021',",
141,"[""1157909196777676800',""]","İstanbul, Türkiye',","Aasif193',",
142,"[""1501231696854794254',""]","Nairn, Scotland',","GordonMcGowan11',",
143,"[""1457120589710233609',""]",,"TheUngruntled1',",
144,"[""1591745346727825409',""]","Nigeria',","78Cletmike',",
145,"[""4848961849',""]",,"moko19901217',",
146,"[""33620070',""]","Toronto, Ontario',","bonnieburgess',",
147,"[""944889982174425089',""]",,"pisaro1025',",
148,"[""952223277992292352',""]",,"rikkertik',",
149,"[""19711216',""]",3rd rock from the sun,"tricia713',",
150,"[""1027114311842504704',""]","Wales',","Wokenonsense',",
151,"[""1060573081935249409',""]","New York, NY',","news_ntd',",
152,"[""48033200',""]","Kappeln Germany',","rasisneu',",
153,"[""1436825916722880516',""]","Oklahoma, USA',","marcellorde',",
154,"[""1485235744562163716',""]",,"Selina18395147',",
155,"[""1300674916652470273',""]","Brisbane, Queensland',","Bruisr_89',",
156,"[""1463715376517332992',""]","Johannesburg, South Africa',","JuryProjectZA',",
157,"[""850087650857844736',""]","Pacific Northwest',","maria48308',",
158,"[""1691974362',""]",,"7Lorraine444',",
159,"[""84250528',""]","Banana republic',","Malaika_fahad',",
160,"[""1587736167348592640',""]",,"MaryBro05323091',",
161,"[""1584187042220515328',""]",,"BarbaraRastog18',",
162,"[""2983251103',""]",,"jayfpetty',",
163,"[""1530165883708088322',""]",,"SG07231332',",
164,"[""844878248123117568',""]",Abu Dhabi & Peshawar,"Tufail_AKhan',",
165,"[""797171522402140161',""]","Kirkville,  N.Y.',","Calicocathy7700',",
166,"[""1547209858684002305',""]",,"Boomer47106331',",
167,"[""194968905',""]","Oxford',","MartynChalk',",
168,"[""2782674324',""]",,"aidanrf98',",
169,"[""1594501328037826562',""]",,"dee77226767',",
170,"[""1595804298532818946',""]",,"Simple39619178',",
171,"[""3392221066',""]","York, North Yorkshire, England',","JS_York1',",
172,"[""1100463874678116352',""]","Dundee, Scotland',","AllyBeattie3',",
173,"[""1574061542148132872',""]","Oklahoma',","OKCannActionNet',",
174,"[""1531666806561202176',""]",,"NNETSIT',",
175,"[""1490809826460553220',""]","Dark Side Of The Moon',","DiehardUC',",
176,"[""796604419',""]","Essex. U.K',","Phil_Free_',",
177,"[""2611560922',""]",,"golfwino46',",
178,"[""1413221208603168773',""]","Land of Mary',","obwyn',",
179,"[""707117475528179713',""]","宮城 仙台市 若林区',","61ak5lqYpbAQlRG',",
180,"[""415490452',""]",,"felixbuhhler',",
181,"[""1673844451',""]","Somerset, England',","Bath_SomerUKIP',",
182,"[""1511855300009246721',""]",,"endertaadey',",
183,"[""838675091760287744',""]","Nigeria',","Teeblaq19',",
184,"[""60118290',""]",,"imaberean',",
185,"[""268739173',""]","Lubbeek',","TomHarding',",
186,"[""1485708329133522958',""]","In my space',","merthylone',",
187,"[""789474929368506368',""]",,"NomanKh25114287',",
188,"[""4886069714',""]",,"flickerlcver',",
189,"[""82684359',""]","New Delhi',","dddotdash',",
190,"[""1494650276250275841',""]",,"DickXpress',",
191,"[""1469930853388242945',""]",,"ObcpainterReap',",
192,"[""1565337121086636036',""]",,"VictoryRenfrew',",
193,"[""2632441534',""]","Pennsylvania, USA',","SRC692',",
194,"[""1528666404748247042',""]",,,"AOA体育https://t.co/CjfFiHXhPC天博体育https://t.co/8S7uTVxrjl天博体育https://t.co/NFFE0mawCr',"
195,"[""609289528',""]","Kelowna, British Columbia',",,id':
196,"[""1078586624785768448',""]",,,"I’m a Hufflepuff',"
197,"[""1593697686967951365',""]",,,"',"
198,"[""55222766',""]","Kansas City,  Missouri, USA',",,"Wholesale (https://t.co/TiwGzzEHAT) Emergency Services (https://t.co/eryNxZetHe) Registered on   https://t.co/bH6IROPAHF (OShea Inc) 800-669-0903   816-531-1177',"
199,"[""1284892206323695616',""]",,,"Comedian & Football Personality. Thinker, poet, & lover. The voice of reason in an unreasonable world. Follow for a follow back ⚽️👍\n#Tottenham #Transfers #FPL',"
200,"[""1596962089955954691',""]",,,"',"
201,"[""1481835286799826946',""]",,,"Here for Elon',"
202,"[""1563978737988911110',""]",,,"',"
203,"[""1499349911715913728',""]",,,id':
204,"[""1428422346734510088',""]",,,"playing valorant, missing prime cod zombies. 22 y/o',"
205,"[""1446289678471155712',""]","Cork, Ireland',",,"Writer of five crime novels, three featuring DS Jennifer Hastings. Blogger. Avid Reader. News Addict.',"
206,"[""997674082081570818',""]","Jersey',",,"FMOI : jade_monet98',"
207,"[""1575203360113934361',""]","🚩🚩',",,"Once a Navy always a Navy ⚓⚓⚓⚓⚓',"
208,"[""162866127',""]","Barnsley, England',",,"Barnsley FC 🔴⚪️                                                England 🏴\U000e0067\U000e0062\U000e0065\U000e006e\U000e0067\U000e007f',"
209,"[""1596962081554796545',""]",,,"',"
210,"[""1329108584286851072',""]",,,"መኑ ይመስለከ እምነ አማልክት እግዚኦ   \n                       \nትሐሰስ ክልኤ ኢትረክብ ፩ (አሐደ\nመኑ ከመ ተጋሩ\n\n እስመ በተስፋ እግዚአብሄር ትሓድር ነፍሴ\n\nትግራይ ትመውእ ብሓይለ እግዚአብሔር!',"
211,"[""1200942270704427011',""]","Karachi, Pakistan',",,"Syed Mujtaba Ali',"
212,"[""22260509',""]",,,"@wxkamloops hourly #weather #forecast, #warnings and #alerts for #Kamloops, BC #Canada Supplied by Environment Canada. Brought to you by @ijg',"
213,"[""1416328357',""]","Nagoya City',",,"#Neurosurgeon 🧠. #Fellow in #neuroendoscopic surgery, #NagoyaUniversity. Assistant professor at #TashkentMedicalAcademy, fan of @FCBarcelona & @ManCity',"
214,"[""1000374941823438848',""]",,,"Pronouns are I and me.',"
215,"[""1244259953336033280',""]","Pilsen, République Tchèque',",,"| 🏳️\u200d🌈 | he/him | 🇺🇦 living in 🇨🇿🇪🇺 | Слава Україні! 🇺🇦 |',"
216,"[""1267461047293751303',""]","Port St Lucie, FL/ Manhattan',",,"Vegan, animal lover and Mets Fan!',"
217,"[""1587749004527677440',""]",,,"the same items frm here',"
218,"[""1263454389852704768',""]","Elizabeth City, NC',",,"Darius Eure, #ECSU #HBCU #VikingPride',"
219,"[""1445968830761783299',""]","GlobeTrotter',",,"Husband - Girl Dad x3 - Retired Air Force Vet - NFT Enthusiast - Travel Professional 🇬🇾 🇺🇸 🇨🇦 🇧🇭 🇦🇪 🇬🇷 🇰🇷 🏴\U000e0067\U000e0062\U000e0065\U000e006e\U000e0067\U000e007f 🇩🇪 🇫🇷 🇧🇪 🇹🇷 🇯🇵',"
220,"[""396773698',""]","Berlin, Allemagne',",,"💉+😷=🗿',"
221,"[""1587017686651129857',""]",,,"we hope doing well in exam',"
222,"[""1501279581311021057',""]",,,"',"
223,"[""1555807784519626752',""]",,,"here you will get all the latest news related to sports, technology, entertainment, and many more.',"
224,"[""2985030608',""]","Seattle, WA',",,"thee official they/them causing may/hem || former Miss Kennedy Center Continental || 1/3 of Thiccy Mouse fuck house|| known enemy of noom || fat ass haver',"
225,"[""16372127',""]",,,"@wxto hourly #weather #forecast, #warnings and #alerts for #Toronto, ON #Canada Supplied by Environment Canada. Brought to you by @ijg',"
226,"[""336651276',""]","Athens, GA',",,"Poet',"
227,"[""1252679420',""]",Europe,,"University Hon Fellow & Community Ambassador | CEO @NFHW1 | Patron @LifeNowCharity @DanceSyndromeUK | Member @rcpsych @BASW_UK Mentor @UnLtd | #lifelonglearning',"
228,"[""234750797',""]","Roermond',",,"Owner Commed, communicatie & media BV',"
229,"[""1481776266751758336',""]","Lagos, Nigeria',",,"Simplifying Real Estate Investment. \nBuilding a community of proud assets owners!🏡',"
230,"[""1544924753563381761',""]",,,"The latest headlines from https://t.co/D0CGTHSSQI, a global and leading news portal, provide the latest news from countries like India and overseas.',"
231,"[""1355617650345451522',""]","chicago',",,"#harry: should we just keep driving|fan account',"
232,"[""1306214251263127552',""]","Pink City Jaipur',",,"MEDICO\nIndia🇮🇳',"
233,"[""1059898531777937410',""]",,,"Arquitecto, fotografo, proyecto y diseño en 3d, renders, animaciones, recorridos, diseño gráfico.',"
234,"[""1309606686416687104',""]","EDPDD',",,"“little mix isn’t going anywhere” - leigh anne pinnock, 14th may, 2022\n\n#ThankYouLittleMix \n\nHice reír a lm con mi insta comentario - 16.09.21\n\n(Fan Account)',"
235,"[""2832311922',""]","Toronto, Ontario, Canada",,"Loves: theatre/musicals, fantasy, history, reading, animals. Intersectional feminist, UU, TS sister, Guider. Nervous wreck. *insert funny quip here* She/Her(s).',"
236,"[""1176006556346925056',""]","New orleans 🎭',",,"FOLLOW ME FOR RELATABLE TWEETS ⚜️#FreeRocko💙#FreeLarry❤️#FreeJosh💰 HUSTLER UNIVERSITY 🏦♻️(HU)',"
237,"[""1561288285460123648',""]","united state and global',",,"best stock market tips and latest news and updates on the stock market and cryptocurrency.\n#stockmarket #stocks #investing #trading #investment #money #finance',"
238,"[""1360798378670649348',""]",,,"The Chinese Communist Party is the greatest enemy of mankind in history！',"
239,"[""1596962051108347908',""]","Antarctica',",,"I wish Facebook would notify me when someone deletes me. That way I could ‘Like’ it.',"
240,"[""2447664324',""]","United Kingdom',",,"British & European supporting Ukraine',"
241,"[""268495355',""]",,,"',"
242,"[""1479207515023941640',""]","World',",,"Live and let live...',"
243,"[""1234395385134747648',""]",,,"Wife, mother, love art and travel. Despise politically correct ideology and indoctrination.  Wish we had honourable politicians and MSM reported truth.',"
244,"[""1166433188786425856',""]",,,"',"
245,"[""2502519117',""]","Istanbul, Türkiye',",,"Fenerbahce SK News Feed',"
246,"[""2334938029',""]",,,"لقد غاب عنا بدره اليوم افلا فلم تبق عين دمعه',"
247,"[""237148567',""]",,,"ذهب الدهر بسمط وبرا وجري دمعي سحا في الردا و',"
248,"[""343408133',""]",,,"و اسود يسبح في لجة لا تكتم الحصباء غدرانها ك',"
249,"[""12848262',""]","1 Yonge St., Toronto, Canada',",,id':
250,"[""1536583730537451521',""]",she / her \nbns. rcbyt,,"you know i hype you boy 👖🗯',"
251,"[""18367959',""]","NY',",,"Proud hubby & dad; @OnePeloton fan, runner, @Mets @NYJets @NYKnicks @NYIslanders fan, 🫁 health advocate, news, sports, politics & communications, 🦭',"
252,"[""963289830',""]","San Jose, CA',",,"Be here now',"
253,"[""824373690158772224',""]","BOS via SFO from SYR',",,"Least favorite response: No comment. 😎 (Right up there with ""I can\'t be bothered..."") Former journalist turned storyteller. \'Cuse🍊Newhouse #LasagnaLove #PR',"
254,"[""796189447201157120',""]",,,"تعتبت دهرا فلما رجع ت الي حاصل الطمع الكاذب',"
255,"[""1966184708',""]","Esterhazy, Saskatchewan',",,"',"
256,"[""260930773',""]","Australia',",,"',"
257,"[""1527119882302935040',""]",,,"开云体育 https://t.co/TKK1YNy4Ek 火狐体育 https://t.co/ygXRyXFHR0',"
258,"[""260571026',""]","Philadelphia, PA',",,"',"
259,"[""429626065',""]",,,"Editor, emprendedor y creativo mexicano',"
260,"[""1490848657',""]","FL(561✈️ MN(612✈️ SD(605',",,"🐿〽️🏈 @gopherfootball Alum Pray & Hustle‼️ @gatorspbg 🏈 LB Coach & Co-Def Coordinator 🐊😈I develop LBs @lbu561 SunshineState🌴🍊FLA  Owner @athletix561',"
261,"[""4848961849',""]",,,"',"
262,"[""754409255374127104',""]","Jimeta Nigeria',",,"Been healthy',"
263,"[""2374475260',""]",,,"',"
264,"[""1485790057420271617',""]","florida',",,"made in new jersey',"
265,"[""947605809596334080',""]",,,"Married, SocialWorker, loves dogs, travel, baseball and Tai Chi, no DM’s please',"
266,"[""18734321',""]","Nashville, TN',",,"Preseason, in-season, all year | https://t.co/rUtEnCyDJc | https://t.co/Cdj7Z24cL7 | \nCover2Podcast: https://t.co/vLNkJTOhlv',"
267,"[""897895526720446465',""]","California, USA',",,"Thankful to be living in a blue state.  Never political until Drumpf. I block MAGAts. Biden/HarrisWin Resist BlueWave2022 🌊🌊🌊🌊🌊🌊🌊',"
268,"[""635271421',""]","Rutland UK',",,"Devoted mum…nothing is more important than my family & friends ❤️Life long 💙Sky Blues fan 💙 Love sport…My garden is my Happy Place 🪴🌻🌼🌸🌷🌳',"
269,"[""1397605417824309249',""]","Sambhal, India',",,"The Sambhal News explore all Local,National and International news content',"
270,"[""133321508',""]",,,"#Bitcoin  is the way of the future for Black people economically!!! Unapologetically Black first. B1... Tips accepted in #Bitcoin !!!',"
271,"[""1107086654421061632',""]","East coast',",,"Imago Dei. Pitbull Rescue 🇮🇹\n\ntell your dog I said hi',"
272,"[""939901806074912770',""]",📍Islamabad /Chilas /Gilgit,,"Studying Governance and Public Policies  at NDU Islamabad .\n#Poetry #ReadingBooks  #Politics .\nHave to Work As Economic HitMan For 🇵🇰 😋',"
273,"[""1587627804086059009',""]",,,"last day i found my girlloving',"
274,"[""1587843049924739076',""]",,,"what are youoing here',"
275,"[""1390052362904117252',""]",,,"Wife, Mom, Grandma, Registered Nurse, Democrat',"
276,"[""1254252920364773376',""]","New Jersey, USA',",,"A baker, cook, tech/gadget geek, gamer, smartphone photographer, musician, movie/show obsessed, stoner, transgender male, light worker',"
