text,author_id,lang,geo,created_at,id,edit_history_tweet_ids
"@DemzOneMusic Thanks for the spotlight!
1.1 $XTZ
‘Samurai’ 
Street photography X MidJourney 

https://t.co/tfq8viELRi https://t.co/0xv6HMa22I",475467481,en,{'place_id': '013379ee5729a5e6'},2022-11-22T19:16:05.000Z,1595134036359667712,['1595134036359667712']
@ArtvisionNFT @esmotella @reativeart @YImaginaria @Matak_57 https://t.co/tfq8viVOTi,475467481,qme,{'place_id': '013379ee5729a5e6'},2022-11-22T19:10:45.000Z,1595132694899306496,['1595132694899306496']
"@ArtvisionNFT @esmotella @reativeart @YImaginaria @Matak_57 Samurai 
1/11 Ed.
1.1 $XTZ.
#11TEZ11 comp. 🙏🏽💯📸🏆🌵 https://t.co/WiGDFk7OLQ",475467481,in,{'place_id': '013379ee5729a5e6'},2022-11-22T19:09:22.000Z,1595132349791891456,['1595132349791891456']
"@ocean_artz My genesis street #photo X #Midjourney #tezos collection is live! ‘AI Hallow’s Eve.’ 1/1 ed. 1.3 $XTZ. Images made on #Halloween. 

https://t.co/X60bU8wH8k

🙏🏽🙏🏽🙏🏽 https://t.co/Xq8tBBafID",475467481,en,{'place_id': '013379ee5729a5e6'},2022-11-22T18:44:58.000Z,1595126208835899392,['1595126208835899392']
"@HoF_photo Yo here goes some info on my flow and how I move 
To a def groove, I keep my rep smooth 
On the down-low, I travel with my mind to the street 
Concrete, like the gravel I'm in deep. https://t.co/s1nIKIEMpE",475467481,en,,2022-11-22T18:43:45.000Z,1595125900986568704,['1595125900986568704']
"@error1oading @ItsBB7 @paulasanchesart Great grabs, bro. Rest up G!",475467481,en,{'place_id': '013379ee5729a5e6'},2022-11-22T18:40:48.000Z,1595125157060055041,['1595125157060055041']
@celestialprod Same difference lol,475467481,en,{'place_id': '013379ee5729a5e6'},2022-11-22T18:37:14.000Z,1595124261986848768,['1595124261986848768']
@error1oading @paulasanchesart @ItsBB7 @cocoWu5 @jeihanfputra @celestialprod @Lemonaid_art 💯,475467481,und,{'place_id': '013379ee5729a5e6'},2022-11-22T18:23:58.000Z,1595120924230967298,['1595120924230967298']
@curatioart @error1oading @CoinSeer @ErrorSkull @rockergandalf @RickWadeArt1 @jimmy_darke @celestialprod @Cr4zyNFT @sashelka @QariaQan @Hroft5 @iamwesselart @othiliae_nft @winchawa @adolfochzs @delta_sauce @illustrata_ai @anestain1 @makersplace All daye,475467481,en,{'place_id': '013379ee5729a5e6'},2022-11-22T18:23:45.000Z,1595120869507928064,['1595120869507928064']
@error1oading @CoinSeer @ErrorSkull @rockergandalf @RickWadeArt1 @jimmy_darke @celestialprod @Cr4zyNFT @sashelka @QariaQan @Hroft5 @iamwesselart @othiliae_nft @winchawa @adolfochzs @delta_sauce @illustrata_ai @anestain1 @makersplace @curatioart May as well ! 😂,475467481,en,{'place_id': '013379ee5729a5e6'},2022-11-22T17:57:20.000Z,1595114218881064965,['1595114218881064965']
@celestialprod @b0g3nta @AcidSoupArt @GrouchyzNFT @ndru_art @AstroJay90 @innovador @ItsAJeepThing00 @myori92 Such a great one,475467481,en,{'place_id': '013379ee5729a5e6'},2022-11-22T17:56:56.000Z,1595114121061879808,['1595114121061879808']
"@A_Magic_Forest ‘Bienvenidos a Two Flags’
1/3. 1.3 $XTZ
Tomorrow drop. https://t.co/0srOINtf4U",475467481,en,{'place_id': '013379ee5729a5e6'},2022-11-22T17:49:51.000Z,1595112337815396352,['1595112337815396352']
@jason_balducci @yomuyakadashi https://t.co/lVa5yLAnm5,475467481,qme,{'place_id': '013379ee5729a5e6'},2022-11-22T17:48:50.000Z,1595112079866105857,['1595112079866105857']
"@stoemanangels Tomorrow. 1/3. 1.3 $XTZ. Border street photo made in Douglas, AZ X MidJourney X Mark Rothko. 🙏🏽📸🏆🌵💯 https://t.co/tfy9io61Oc",475467481,en,{'place_id': '013379ee5729a5e6'},2022-11-22T17:47:54.000Z,1595111848072081408,['1595111848072081408']
"RT @stoemanangels: Drop your #NFT! 👇👇👇 Find you a buyer!
I want to support NFT artists!💎🔥💎",475467481,en,,2022-11-22T17:46:50.000Z,1595111576952242176,['1595111576952242176']
@celestialprod Yeah service jobs are hard to fill these days. Everyone wants to be TikTok famous lol,475467481,en,{'place_id': '013379ee5729a5e6'},2022-11-22T17:44:38.000Z,1595111022544662528,['1595111022544662528']
@error1oading @CoinSeer @ErrorSkull @rockergandalf @RickWadeArt1 @jimmy_darke @celestialprod @Cr4zyNFT @sashelka @QariaQan @Hroft5 @iamwesselart @othiliae_nft @winchawa @adolfochzs @delta_sauce @illustrata_ai @anestain1 @makersplace @curatioart Pumpkin spice sausage to boot !,475467481,en,{'place_id': '013379ee5729a5e6'},2022-11-22T17:44:04.000Z,1595110882119274497,['1595110882119274497']
@b0g3nta @AcidSoupArt @GrouchyzNFT @ndru_art @celestialprod @AstroJay90 @innovador @ItsAJeepThing00 @myori92 Super rad,475467481,en,{'place_id': '013379ee5729a5e6'},2022-11-22T17:39:22.000Z,1595109698059243524,['1595109698059243524']
@error1oading @CoinSeer @ErrorSkull @rockergandalf @RickWadeArt1 @jimmy_darke @celestialprod @Cr4zyNFT @sashelka @QariaQan @Hroft5 @iamwesselart @othiliae_nft @winchawa @adolfochzs @delta_sauce @illustrata_ai @anestain1 @makersplace @curatioart https://t.co/j1fzhbFL24,475467481,qme,{'place_id': '013379ee5729a5e6'},2022-11-22T17:39:13.000Z,1595109659471331328,['1595109659471331328']
@b0g3nta @AcidSoupArt @GrouchyzNFT @ndru_art @celestialprod @AstroJay90 @innovador @ItsAJeepThing00 @myori92 V cool,475467481,en,{'place_id': '013379ee5729a5e6'},2022-11-22T17:36:24.000Z,1595108953201209344,['1595108953201209344']
"RT @b0g3nta: NEW DROP on @manifoldxyz 

'Endless Waiting'
9 ed
0.0039 $ETH
👉 https://t.co/QUnDYIAVVC

You have 1 week to claim your edition…",475467481,en,,2022-11-22T17:22:19.000Z,1595105406732627973,['1595105406732627973']
@paulasanchesart @ItsBB7 @error1oading @cocoWu5 @jeihanfputra @celestialprod @Lemonaid_art That’s wild 🏆,475467481,en,{'place_id': '013379ee5729a5e6'},2022-11-22T17:12:23.000Z,1595102906050543618,['1595102906050543618']
@ItsBB7 @error1oading @cocoWu5 @jeihanfputra @celestialprod @paulasanchesart Occupational hazard,475467481,fr,{'place_id': '013379ee5729a5e6'},2022-11-22T17:12:07.000Z,1595102841395449865,['1595102841395449865']
@ItsBB7 @error1oading @cocoWu5 @jeihanfputra @celestialprod @paulasanchesart Boom,475467481,en,{'place_id': '013379ee5729a5e6'},2022-11-22T17:11:52.000Z,1595102778539794437,['1595102778539794437']
@junkcultureNFT As is pizza and red table wine,475467481,en,{'place_id': '013379ee5729a5e6'},2022-11-22T17:09:35.000Z,1595102203429228545,['1595102203429228545']
@error1oading @ErrorSkull @rockergandalf @RickWadeArt1 @jimmy_darke @celestialprod @Cr4zyNFT @sashelka @QariaQan @Hroft5 @CoinSeer @iamwesselart @othiliae_nft @winchawa @adolfochzs @delta_sauce @illustrata_ai @anestain1 @makersplace @curatioart Where’s the mash,475467481,en,{'place_id': '013379ee5729a5e6'},2022-11-22T17:09:17.000Z,1595102125977227264,['1595102125977227264']
@error1oading @ItsBB7 @cocoWu5 @jeihanfputra @celestialprod @paulasanchesart Snag initiated lol,475467481,en,{'place_id': '013379ee5729a5e6'},2022-11-22T17:09:07.000Z,1595102087007739910,['1595102087007739910']
@junkcultureNFT What’s good,475467481,en,{'place_id': '013379ee5729a5e6'},2022-11-22T17:07:02.000Z,1595101560115265540,['1595101560115265540']
@error1oading @ItsBB7 @cocoWu5 @jeihanfputra @celestialprod @paulasanchesart No doubt,475467481,en,{'place_id': '013379ee5729a5e6'},2022-11-22T17:06:47.000Z,1595101500074000386,['1595101500074000386']
@bl_artcult That’s dope,475467481,en,{'place_id': '013379ee5729a5e6'},2022-11-22T16:45:53.000Z,1595096238390759427,['1595096238390759427']
@error1oading @cocoWu5 @jeihanfputra @celestialprod @ItsBB7 @cubes811_nft Love these @error1oading ! LFGggggggggggg,475467481,en,{'place_id': '013379ee5729a5e6'},2022-11-22T16:45:23.000Z,1595096112666480640,['1595096112666480640']
"RT @error1oading: @SLOSONE @cocoWu5 @jeihanfputra @celestialprod Beautiful new piece David! Thanks for the tag, I’ll share a couple of mine…",475467481,en,,2022-11-22T16:45:08.000Z,1595096049747738624,['1595096049747738624']
@ChickkenSalad @HCHolter @TezosArt411,475467481,qam,{'place_id': '013379ee5729a5e6'},2022-11-22T16:44:44.000Z,1595095950816468999,['1595095950816468999']
"RT @ChickkenSalad: 🧵 A Thread About My Bubble Art

My bubble NFTs are the result of defiance and experimentation. Wanting to get control an…",475467481,en,,2022-11-22T16:44:06.000Z,1595095791005491200,['1595095791005491200']
"RT @ChickkenSalad: I am giving away ""Stripe"" the #BunnyPal 🐰💚

Bunny Pals is a pixel art PFP NFT collection (50) with a total volume traded…",475467481,en,,2022-11-22T16:43:59.000Z,1595095761909317633,['1595095761909317633']
@error1oading @celestialprod @polkurucz @kflirt_visuals Whippin,475467481,en,{'place_id': '013379ee5729a5e6'},2022-11-22T16:43:29.000Z,1595095636185055233,['1595095636185055233']
@marcuselegant @hazyartworks Love these,475467481,en,{'place_id': '013379ee5729a5e6'},2022-11-22T16:43:10.000Z,1595095555620757508,['1595095555620757508']
@error1oading @celestialprod @marcuselegant Big ups bro,475467481,en,{'place_id': '013379ee5729a5e6'},2022-11-22T16:42:48.000Z,1595095463950024704,['1595095463950024704']
RT @marcuselegant: @hazyartworks @SLOSONE https://t.co/rSQkdmdUpX,475467481,qme,,2022-11-22T16:42:36.000Z,1595095412926341120,['1595095412926341120']
@error1oading @GeekNYWoo @Elliott_Grogan @ChickkenSalad @immigrantkiddo @celestialprod @kflirt_visuals 🔥🔥🔥,475467481,und,{'place_id': '013379ee5729a5e6'},2022-11-22T16:42:26.000Z,1595095371050622977,['1595095371050622977']
"@hazyartworks 1/3. 1.3 $XTZ. Street photography X MidJourney, Mark Rothko variant. Border photo made in Douglas, AZ just north of Agua Prieta. #tezos blok. 🙏🏽🙏🏽🙏🏽 https://t.co/UJLU4lxa6a",475467481,en,{'place_id': '013379ee5729a5e6'},2022-11-22T16:18:50.000Z,1595089431073021953,['1595089431073021953']
"RT @hazyartworks: Last one for today!

 🍓 DROP YOUR ART 🍓

🍇I will RETWEET ALL
🍇I will FOLLOW you ALL
🍇I will PROMOTE 9 ARTISTS from this t…",475467481,en,,2022-11-22T16:16:56.000Z,1595088952213770242,['1595088952213770242']
@bavugar https://t.co/7oZXrqthXj,475467481,qme,{'place_id': '013379ee5729a5e6'},2022-11-22T16:16:49.000Z,1595088922895609857,['1595088922895609857']
@marcuselegant @scizors_eth 📸💯🏆🔥🌵,475467481,und,{'place_id': '013379ee5729a5e6'},2022-11-22T16:15:29.000Z,1595088589725265920,['1595088589725265920']
@killerqueen_nft Thanks for the opportunity! https://t.co/X60bU8f6gM https://t.co/TS5WvvKVUX,475467481,en,{'place_id': '013379ee5729a5e6'},2022-11-22T15:45:04.000Z,1595080933920706560,['1595080933920706560']
@TopArtists3 This is great,475467481,en,{'place_id': '013379ee5729a5e6'},2022-11-22T15:41:53.000Z,1595080131076308994,['1595080131076308994']
RT @TopArtists3: Move on https://t.co/BeGvhuUoXI,475467481,en,,2022-11-22T15:41:45.000Z,1595080097559552001,['1595080097559552001']
@Morph_VGart Left image,475467481,en,{'place_id': '013379ee5729a5e6'},2022-11-22T15:41:29.000Z,1595080031222779905,['1595080031222779905']
"RT @GeekNYWoo: Don't forget - with Thanksgiving around the corner Dec 1st will be here before we know it. 

Get your edition of Distorted S…",475467481,en,,2022-11-22T15:34:19.000Z,1595078228342816768,['1595078228342816768']
@ardavan_ Tomorrow https://t.co/sfo2w0gC8E,475467481,en,{'place_id': '013379ee5729a5e6'},2022-11-22T15:34:08.000Z,1595078183539601411,['1595078183539601411']
@kflirt_visuals @staysulty Let’s get this work!,475467481,en,{'place_id': '013379ee5729a5e6'},2022-11-22T15:30:27.000Z,1595077257005236224,['1595077257005236224']
"@kflirt_visuals @staysulty You already know, duder",475467481,en,{'place_id': '013379ee5729a5e6'},2022-11-22T15:26:25.000Z,1595076240993488896,['1595076240993488896']
@MobiusStripTF https://t.co/X60bU8f6gM,475467481,qme,{'place_id': '013379ee5729a5e6'},2022-11-22T15:16:11.000Z,1595073664080396293,['1595073664080396293']
@MobiusStripTF https://t.co/zKfnoZkz4r,475467481,qme,{'place_id': '013379ee5729a5e6'},2022-11-22T15:15:46.000Z,1595073560002760704,['1595073560002760704']
@cocoWu5 @jeihanfputra What ya gots @celestialprod @error1oading ?! https://t.co/30WNf4Fong,475467481,en,{'place_id': '013379ee5729a5e6'},2022-11-22T15:15:11.000Z,1595073414070341632,['1595073414070341632']
"RT @cocoWu5: ✨DAILY ARTIST SPOTLIGHT✨
🧵#Artshare Thread
💧#Drop #Art (Own or your favs) 🎨
💜engage with each other
🚫NO link

👇Art By @jeihanf…",475467481,en,,2022-11-22T15:14:49.000Z,1595073321699536896,['1595073321699536896']
@russimages @GeekNYWoo Chello! https://t.co/7H1JZ6vXGW,475467481,it,,2022-11-22T15:14:30.000Z,1595073239688318979,['1595073239688318979']
@NftsBuy https://t.co/KV8IdKlRQA,475467481,qme,,2022-11-22T15:14:10.000Z,1595073159878692866,['1595073159878692866']
@TheNFTFocal https://t.co/f4OrDz8Pus,475467481,qme,{'place_id': '013379ee5729a5e6'},2022-11-22T15:13:32.000Z,1595072997333041153,['1595072997333041153']
@jolenecasko https://t.co/PSwaMansVI,475467481,qme,{'place_id': '013379ee5729a5e6'},2022-11-22T15:13:18.000Z,1595072937908129794,['1595072937908129794']
@staysulty @kflirt_visuals Well done and said lol,475467481,en,{'place_id': '013379ee5729a5e6'},2022-11-22T15:13:05.000Z,1595072884757925889,['1595072884757925889']
@Parafinas1 Soon. https://t.co/CMGFfNeabz,475467481,en,{'place_id': '013379ee5729a5e6'},2022-11-22T15:12:42.000Z,1595072789861478400,['1595072789861478400']
@lovelydogsnfts @swissexclusives Many thanks G!,475467481,en,{'place_id': '013379ee5729a5e6'},2022-11-22T15:05:58.000Z,1595071093840150528,['1595071093840150528']
@junkcultureNFT Gm,475467481,und,{'place_id': '013379ee5729a5e6'},2022-11-22T15:02:59.000Z,1595070342225362944,['1595070342225362944']
@jason_balducci @opensea @yossikotlerart https://t.co/i4FlidJP7u,475467481,qme,{'place_id': '013379ee5729a5e6'},2022-11-22T15:02:55.000Z,1595070327696117761,['1595070327696117761']
Morning street #PhotoOfTheDay coll. Short and sweet today. New mint on #tezos later. #tucson! Nice to be home. https://t.co/SliSjXlK2K,475467481,en,,2022-11-22T14:58:42.000Z,1595069267271208961,['1595069267271208961']
@firsthandtweets https://t.co/fQw8rA027u,475467481,qme,,2022-11-22T14:57:03.000Z,1595068848415592448,['1595068848415592448']
RT @mal_nft: Buying art is good for the soul.,475467481,en,,2022-11-22T14:56:09.000Z,1595068625140043777,['1595068625140043777']
@mr_edward_x How goes it Ed?,475467481,en,,2022-11-22T13:51:57.000Z,1595052468865568768,['1595052468865568768']
"@kflirt_visuals LFG! Yo, K, what's good? May I recommend using CapCut to chop together your story footy from NYC.",475467481,en,,2022-11-22T13:51:45.000Z,1595052418303414276,['1595052418303414276']
@NFTModigliani @YouTube Thank you so! The background story adds value as well. Mint coming tomorrow. 🙏🏽,475467481,en,,2022-11-22T13:50:50.000Z,1595052188253945858,['1595052188253945858']
@mr_edward_x gm gm,475467481,en,,2022-11-22T13:49:46.000Z,1595051917150851072,['1595051917150851072']
