lang,id,author_id,edit_history_tweet_ids,created_at,text,geo
en,1595133128322191361,1288101195693936642,['1595133128322191361'],2022-11-22T19:12:28.000Z,RT @GoodnessAdeosun: After 4 years in frame one.🙈🙈 https://t.co/rtxrVabenp,
en,1595133021644296195,1288101195693936642,['1595133021644296195'],2022-11-22T19:12:03.000Z,@zaynab__hamzat Thank you!!!!!!!!🥺🤸🏼‍♀️🤸🏼‍♀️🤸🏼‍♀️🤸🏼‍♀️🤸🏼‍♀️,{'place_id': '00817d75276a95cf'}
en,1595132960940130305,1288101195693936642,['1595132960940130305'],2022-11-22T19:11:48.000Z,"RT @zaynab__hamzat: Introducing our affirmation keyholders. Specifically crafted from a durable and uncommon material(coconut shells), they…",
en,1595132364887576576,1288101195693936642,['1595132364887576576'],2022-11-22T19:09:26.000Z,Congratulations Goody✨🤗 https://t.co/J2vie6BX6R,{'place_id': '00817d75276a95cf'}
en,1595132319702331392,1288101195693936642,['1595132319702331392'],2022-11-22T19:09:15.000Z,RT @GoodnessAdeosun: How it started.                How it’s going https://t.co/jFgB493ezz,
en,1595132127037001729,1288101195693936642,['1595132127037001729'],2022-11-22T19:08:29.000Z,"RT @peng_writer: In case you have been looking for answer to this important question, you will get one here. You are welcome. 👍 https://t.c…",
en,1595131109544980480,1288101195693936642,['1595131109544980480'],2022-11-22T19:04:27.000Z,"RT @_deronke: Please help me retweet when you come across this on your timeline 🤲🏾, my customers are on your timeline 🙏🏾

40-45

N36,000

@…",
en,1595131005110988800,1288101195693936642,['1595131005110988800'],2022-11-22T19:04:02.000Z,"RT @_deronke: This or That?

40-45

N30,000 https://t.co/DO4lXbtU5K",
en,1595130991672033280,1288101195693936642,['1595130991672033280'],2022-11-22T19:03:59.000Z,That please!🤍✨ https://t.co/AAIFL7FcVM,{'place_id': '00817d75276a95cf'}
en,1595083116611522560,1288101195693936642,['1595083116611522560'],2022-11-22T15:53:44.000Z,"RT @_deronke: This or That?

40-45

N30,000 https://t.co/pTb6beE2pQ",
en,1595083040988037121,1288101195693936642,['1595083040988037121'],2022-11-22T15:53:26.000Z,"RT @Humairah2728: 🏷️5500
Nationwide delivery
Pls RT https://t.co/kStbUP9VJT",
en,1595082985740853251,1288101195693936642,['1595082985740853251'],2022-11-22T15:53:13.000Z,RT @anike_akoriola: Somebody shu buy frame 1 for me😪 and one pulpy 5alive,
en,1595082685512384512,1288101195693936642,['1595082685512384512'],2022-11-22T15:52:02.000Z,RT @AjokeOnifaari: B with A sleeves,
en,1595082630378258432,1288101195693936642,['1595082630378258432'],2022-11-22T15:51:48.000Z,RT @usmanomolara3: We make your occasion very special. Do you have an event coming up? A wedding party? Naming ceremony? Funeral ceremony?…,
en,1595082512333959168,1288101195693936642,['1595082512333959168'],2022-11-22T15:51:20.000Z,RT @mzhalymarh: @aimi_thebrand @UnclebeeOla @bolanlearchmed @AjokeOnifaari @Neemahheemah @HafeezAkanni_ @MutiatMustapha2 @Style_n_Finesse Y…,
en,1595059802551603203,1288101195693936642,['1595059802551603203'],2022-11-22T14:21:06.000Z,RT @ForBritches: @aimi_thebrand @UnclebeeOla @_DammyB_ @xaynabnasir @AjokeOnifaari @Ifedun1 Creativity at its peak 😘,
en,1595059780800118785,1288101195693936642,['1595059780800118785'],2022-11-22T14:21:01.000Z,"RT @aimi_thebrand: ARE YOU READY😌🤸🏼‍♀️

Introducing our affirmation keyholders. Specifically crafted from a durable and uncommon material(c…",
en,1595059773094903814,1288101195693936642,['1595059773094903814'],2022-11-22T14:20:59.000Z,@ForBritches @UnclebeeOla @_DammyB_ @xaynabnasir @AjokeOnifaari @Ifedun1 Right!!!!!! Thank you😁🤗,{'place_id': '00817d75276a95cf'}
en,1595059622142005253,1288101195693936642,['1595059622142005253'],2022-11-22T14:20:23.000Z,@mzhalymarh @UnclebeeOla @bolanlearchmed @AjokeOnifaari @Neemahheemah @HafeezAkanni_ @MutiatMustapha2 @Style_n_Finesse Thank you so much🥺🥺,{'place_id': '00817d75276a95cf'}
en,1595059587052363780,1288101195693936642,['1595059587052363780'],2022-11-22T14:20:14.000Z,"RT @mzhalymarh: The positive life you want should start by incorporating it into your lifestyle 

Get this positive affirmation key holder…",
en,1595058449813016576,1288101195693936642,['1595058449813016576'],2022-11-22T14:15:43.000Z,"RT @by_menak: 2,500 per box 
Send a dm to order 
Nationwide Delivery 🚚 https://t.co/SsMEAdz6kg",
en,1595058436223520769,1288101195693936642,['1595058436223520769'],2022-11-22T14:15:40.000Z,"RT @anike_akoriola: Please go through my media, check my business tweet and patronize me, refer me to your friends and family and kindly RT…",
en,1595058418540511238,1288101195693936642,['1595058418540511238'],2022-11-22T14:15:36.000Z,RT @HafeezAkanni_: Another beautiful day to see Daddy Wa live on stage again in the city of Abeokuta!  @mrmacaronii will be live at #KLIC20…,
en,1595058308377108480,1288101195693936642,['1595058308377108480'],2022-11-22T14:15:10.000Z,RT @Ifedun1: More capital and an EFFICIENT dispatch company!,
en,1595058220145467393,1288101195693936642,['1595058220145467393'],2022-11-22T14:14:49.000Z,"Please retweet my pinned tweet and you can shop a piece or 2 for yourself and loved ones🤗🤍

Location: Lagos
Nationwide delivery",{'place_id': '00817d75276a95cf'}
en,1595057944756121601,1288101195693936642,['1595057944756121601'],2022-11-22T14:13:43.000Z,"RT @AjokeOnifaari: Incorporate your unique selling point with your marketing strategy, It will raise awareness among your customers",
en,1595057862685986816,1288101195693936642,['1595057862685986816'],2022-11-22T14:13:23.000Z,Thank you sugar mummy😌🤗 https://t.co/YDDnau7cE5,{'place_id': '00817d75276a95cf'}
en,1595057742426824704,1288101195693936642,['1595057742426824704'],2022-11-22T14:12:55.000Z,@ForBritches You’re welcome 😘,{'place_id': '00817d75276a95cf'}
en,1595057718255140864,1288101195693936642,['1595057718255140864'],2022-11-22T14:12:49.000Z,RT @ForBritches: @aimi_thebrand Thank you 😍,
en,1595057697874919424,1288101195693936642,['1595057697874919424'],2022-11-22T14:12:44.000Z,"RT @AjokeOnifaari: The positive life you want should start by incorporating it into your lifestyle 

Get this positive affirmation key hold…",
nl,1595057681781645312,1288101195693936642,['1595057681781645312'],2022-11-22T14:12:40.000Z,RT @zaynab__hamzat: @aimi_thebrand Ameen,
en,1595057659824283650,1288101195693936642,['1595057659824283650'],2022-11-22T14:12:35.000Z,RT @NabbyOfRicive: @aimi_thebrand Congratulations 🎉 and more wins💚,
en,1595057648029810689,1288101195693936642,['1595057648029810689'],2022-11-22T14:12:32.000Z,@NabbyOfRicive Thank you😁🤗,{'place_id': '00817d75276a95cf'}
en,1595009695797985281,1288101195693936642,['1595009695797985281'],2022-11-22T11:01:59.000Z,Stunning piece https://t.co/GQVS3Ryaa9,{'place_id': '00817d75276a95cf'}
en,1595009638998605826,1288101195693936642,['1595009638998605826'],2022-11-22T11:01:46.000Z,"RT @ForBritches: Always serving timeless piece🥰
Kimono Bubu is available in different prints 

Price: 8,000 Naira only 
Location: Ilorin 
N…",
en,1595003238591365120,1288101195693936642,['1595003238591365120'],2022-11-22T10:36:20.000Z,"RT @HafeezAkanni_: WE CAN'T FORGET OMOGE CAMPUS

Aisha Abimbola started her journey into the movie industry with Wale Adenuga Production.…",
en,1594999310248480768,1288101195693936642,['1594999310248480768'],2022-11-22T10:20:43.000Z,@xaynabnasir @UnclebeeOla @AjokeOnifaari @MaiAgogon @meenatouu @Zanzee_zee @sulejavendor @brainadam_ @uzamatt @khausar__ Well done dear🤍🤗,
en,1594999281903194114,1288101195693936642,['1594999281903194114'],2022-11-22T10:20:37.000Z,"RT @xaynabnasir: Reviews don't lie🥰
Thanks for your patronage aunty mi https://t.co/BetxT6EyJ8",
en,1594999234306396163,1288101195693936642,['1594999234306396163'],2022-11-22T10:20:25.000Z,"Thanks dear, and you too🤍🤗 https://t.co/3ANV625aza",{'place_id': '00817d75276a95cf'}
en,1594979318265946114,1288101195693936642,['1594979318265946114'],2022-11-22T09:01:17.000Z,"RT @HafeezAkanni_: If you sell female sneaker, drop your IG business account link, I've a customer for you.",
en,1594979224087060483,1288101195693936642,['1594979224087060483'],2022-11-22T09:00:54.000Z,"RT @cheryl_clothier: First frame- A Friend got Adire silk with a handwritten note for her sweet friend 🥺😊

Second frame: The Adire silk 

3…",
en,1594979194760564739,1288101195693936642,['1594979194760564739'],2022-11-22T09:00:47.000Z,"RT @shukroh_apparel: Are you planning to get a new outfit for that occasion/ outing?

Here are the tips to consider to get perfect outfit t…",
en,1594979163601047552,1288101195693936642,['1594979163601047552'],2022-11-22T09:00:40.000Z,RT @AjokeOnifaari: Entrepreneurship is beyond selling,
in,1594978896021278721,1288101195693936642,['1594978896021278721'],2022-11-22T08:59:36.000Z,@shukroh_apparel @UnclebeeOla Ok ma😹,{'place_id': '00817d75276a95cf'}
en,1594978794703843328,1288101195693936642,['1594978794703843328'],2022-11-22T08:59:12.000Z,"RT @Cici_akanke: American cotton plain or mixed colors Bedding
Bedsheet with pillowcases 
4/6 - 10,500 
6/6 - 12,500
6/7 - 13,500
7/7 - 15,…",
en,1594978763124932613,1288101195693936642,['1594978763124932613'],2022-11-22T08:59:05.000Z,"RT @SeamPayApp: Update!💡
Payment Links to send money now have QR Codes.

Hurry up!, download the app now:
https://t.co/KvnCiVpfkK https://t…",
in,1594967371806023683,1288101195693936642,['1594967371806023683'],2022-11-22T08:13:49.000Z,"RT @Parfum_Lady: Hayaati Gold Elixir - N9,000

EDP (100ml) https://t.co/6NuwaabXH1",
en,1594967327027912705,1288101195693936642,['1594967327027912705'],2022-11-22T08:13:38.000Z,"RT @suz_classic_kit: 2022/2023 Mexico 🇲🇽 World Cup kit available 

Price &gt; N7,000 

All sizes are available ( M - 2XL)

WhatsApp &gt; https://…",
en,1594964068401614850,1288101195693936642,['1594964068401614850'],2022-11-22T08:00:41.000Z,@ThecleanerGirl @UnclebeeOla Ok then,
en,1594963920560726017,1288101195693936642,['1594963920560726017'],2022-11-22T08:00:06.000Z,"RT @kikaniscents: This perfume deserves all the hypes 

The real odogwu 🙌

Club de Nuit Intense Man by Armaf is a Woody Spicy fragrance for…",
en,1594963684434251780,1288101195693936642,['1594963684434251780'],2022-11-22T07:59:10.000Z,"RT @Zariabakery: 50 pieces springrolls 
6000 NGN
📍 zaria(samaru)
Dm,WhatsApp or call 08166901830 https://t.co/nNxDSyJxNh",
en,1594963656466481152,1288101195693936642,['1594963656466481152'],2022-11-22T07:59:03.000Z,"RT @_shopkay_: ✨NIKE AIR FORCE 1 LOW ""SPORTS SPECIALTIES""✨

PRICE: 20,000 NGN

SEND A DM TO ORDER. https://t.co/KMW3tGtnsf",
en,1594963636459552776,1288101195693936642,['1594963636459552776'],2022-11-22T07:58:58.000Z,RT @Helenmar11: Who is your favorite beddings plug again o 🔥🙌🙌 Don't you just love want you see ☺️☺️ what you see is exactly what you get 👌…,
en,1594963611134627840,1288101195693936642,['1594963611134627840'],2022-11-22T07:58:52.000Z,"RT @sweetborah: All available for pick up and delivery.

Location : Lagos

Nationwide delivery from Lagos at a fee.

A: ₦20,000 (40-44)
B:…",
en,1594963586652291077,1288101195693936642,['1594963586652291077'],2022-11-22T07:58:46.000Z,"RT @BB_Tairah: Zara two piece lounge wear 
.
.
Size: S-XXL
.
.
#6,000 https://t.co/Do4pzyQEjj",
en,1594963565013860355,1288101195693936642,['1594963565013860355'],2022-11-22T07:58:41.000Z,"RT @Invoguesouvenir: Cartoon character children’s piggybank 

They are affordable and fancy 😘

Get 1,2,3,4...10 for your kids, it will help…",
en,1594963451104952322,1288101195693936642,['1594963451104952322'],2022-11-22T07:58:14.000Z,"RT @ClosetEesha: Lacy two-piece lingerie set serving sexiness 😋
Available in red and black

Size 6-12
Price: #6,000

Location: Ibadan
To pl…",
en,1594963421421780992,1288101195693936642,['1594963421421780992'],2022-11-22T07:58:07.000Z,"RT @anike_akoriola: 10inches Ring Light delivered to a client featuring our customers testing her Ringlight🥰

You can get yours too at #9,0…",
en,1594963395408957440,1288101195693936642,['1594963395408957440'],2022-11-22T07:58:01.000Z,"RT @Cici_akanke: Unisex pure cotton lounge/home wear
available as seen in different colors  
Size : Medium - XXL 
Price: 8,500
Soft fiber f…",
en,1594963372533026816,1288101195693936642,['1594963372533026816'],2022-11-22T07:57:55.000Z,"RT @teeshofadar: Goodmorning Tweetfam ❤
For Breakfast | Lunchtime
Ofada rice is much available 

Frame 1: 1700
Frame 2: 2500
D.m or WhatsAp…",
en,1594963347065212930,1288101195693936642,['1594963347065212930'],2022-11-22T07:57:49.000Z,"RT @tenaj_seun: We deliver nationwide 🇳🇬
The orders                       The feedback https://t.co/ROaVq4M7nG",
en,1594963326534144000,1288101195693936642,['1594963326534144000'],2022-11-22T07:57:44.000Z,"RT @shoemakernaija: Another day to step out in style🥳 So let your feet speak for you😉 Get these beauties for as low as #17,999 only. 

Clic…",
en,1594963299375923200,1288101195693936642,['1594963299375923200'],2022-11-22T07:57:38.000Z,"RT @ThecleanerGirl: There is a gift you should consider when going home for the holiday, engage a cleaning company like @BilbasProTouch to…",
en,1594963271827824642,1288101195693936642,['1594963271827824642'],2022-11-22T07:57:31.000Z,"RT @sheed_ahh: Hi there 😍

33,000 naira
Size:40-45 https://t.co/6FERO4llgS",
