geo,lang,edit_history_tweet_ids,author_id,created_at,text,id
,en,['1593462588502904833'],19792963,2022-11-18T04:34:20.000Z,RT @dril: i truly believe that i will usher in a new era of peace and prosperity when i get every single post on hthis fucking website dele…,1593462588502904833
,en,['1593459941418930176'],19792963,2022-11-18T04:23:49.000Z,Once Upon a Time in Hollywood is the sequel to Once Upon a Time in Mexico.,1593459941418930176
,en,['1593459903275929600'],19792963,2022-11-18T04:23:40.000Z,"My favorite part of Uncut Gems is when Howard picks up the black opal for the first time, holds it up to the light, and lets out an incredulous ""Shabadoo.""",1593459903275929600
,en,['1593459747667181571'],19792963,2022-11-18T04:23:03.000Z,I just made some amazing mac and cheese by tweaking the recipe but please don't tell Kraft. I don't wanna be disrespectful or hurt their feelings.,1593459747667181571
,en,['1593459635918454789'],19792963,2022-11-18T04:22:36.000Z,"What if when Tom Hanks wished on the Zoltar machine to be big, he woke up with a giant wrench?",1593459635918454789
,en,['1593459606948298752'],19792963,2022-11-18T04:22:30.000Z,"When you're on coffee shop wifi and you accidentally hit AirPlay, and Gaza interrupts the Avett Brothers.",1593459606948298752
,en,['1593459561117237249'],19792963,2022-11-18T04:22:19.000Z,"Million dollar idea: Outsourced coffee shop. A coffee shop with no employees, but a large video monitor linked to a call center where someone across the world makes your coffee via an automated system.",1593459561117237249
,en,['1593459513344118784'],19792963,2022-11-18T04:22:07.000Z,I like my pussy like I like my thrillers: gripping.,1593459513344118784
,en,['1593459483795136512'],19792963,2022-11-18T04:22:00.000Z,When you accidentally buy mild cheddar instead of sharp cheddar and your life begins to spiral out of your grasp.,1593459483795136512
,en,['1593459448613306368'],19792963,2022-11-18T04:21:52.000Z,Can't wait to get home and eat my groceries.,1593459448613306368
,en,['1593459424735203328'],19792963,2022-11-18T04:21:46.000Z,Why do people insist on rubbing their chopsticks together. Are they too rough for your delicate hands?,1593459424735203328
,en,['1593459388697690112'],19792963,2022-11-18T04:21:37.000Z,"Overheard at Wawa, 
Highschool dude 1: ""Have you ever smoked a cigarette with your ass?""
Highschool bro 2: ""Nah man""
Highschool dude 1: ""ok""",1593459388697690112
,en,['1593459361711538178'],19792963,2022-11-18T04:21:31.000Z,Wall of Death at the live podcast event.,1593459361711538178
,en,['1593459250034008064'],19792963,2022-11-18T04:21:04.000Z,Guess I’ll dump my drafts.,1593459250034008064
,en,['1593295676363915269'],19792963,2022-11-17T17:31:05.000Z,I love when I forget my password to the health insurance portal and it locks me out after 3 attempts and the only way to unlock it is to call a government hotline during office hours.,1593295676363915269
,en,['1593081402731683841'],19792963,2022-11-17T03:19:39.000Z,Sometimes when I go downstairs I feel really old.,1593081402731683841
"{'coordinates': {'type': 'Point', 'coordinates': [-73.9675, 40.7779]}, 'place_id': '01a9a39529b27f36'}",en,['1593017907671621633'],19792963,2022-11-16T23:07:20.000Z,"Just posted a photo @ Manhattan, New York https://t.co/lOaD5gxb58",1593017907671621633
,en,['1592988877564055553'],19792963,2022-11-16T21:11:59.000Z,Gum doesn’t last as long as it did in my childhood.,1592988877564055553
,en,['1592920431887286272'],19792963,2022-11-16T16:40:00.000Z,I went HAM at the sandwich shop.,1592920431887286272
"{'coordinates': {'type': 'Point', 'coordinates': [-73.9675, 40.7779]}, 'place_id': '01a9a39529b27f36'}",en,['1592643298442739715'],19792963,2022-11-15T22:18:46.000Z,"Just posted a photo @ Manhattan, New York https://t.co/OcbxPp9zTg",1592643298442739715
,qam,['1592640885229260800'],19792963,2022-11-15T22:09:11.000Z,@DudespostingWs @DoctorMacArthur @CowboyBoys @Shaydozer,1592640885229260800
,en,['1592640008674250752'],19792963,2022-11-15T22:05:42.000Z,@human_clickbait This would only punish us law-abiding soup owners.,1592640008674250752
,en,['1592526992876130304'],19792963,2022-11-15T14:36:37.000Z,Twitter has been feeling… different lately.,1592526992876130304
,en,['1592283099576078336'],19792963,2022-11-14T22:27:28.000Z,What if the messiah blasted cigs?,1592283099576078336
"{'coordinates': {'type': 'Point', 'coordinates': [-73.9675, 40.7779]}, 'place_id': '01a9a39529b27f36'}",en,['1592274171555450882'],19792963,2022-11-14T21:52:00.000Z,"Just posted a photo @ Manhattan, New York https://t.co/oJxhLzgeN3",1592274171555450882
,en,['1592203272227528705'],19792963,2022-11-14T17:10:16.000Z,@jstorcutie Mostly for the tennis ball candle.,1592203272227528705
,en,['1592203116577165313'],19792963,2022-11-14T17:09:39.000Z,@jstorcutie Theyre serving me ads non stop but maybe they know something I don’t.,1592203116577165313
,en,['1591871207967981568'],19792963,2022-11-13T19:10:46.000Z,"Just encountered the worst toilet paper I’ve ever experienced. If you’re running a high end Cuban restaurant, you should be providing the best toilet tissue science has to offer.",1591871207967981568
,en,['1591833786668486657'],19792963,2022-11-13T16:42:04.000Z,My new book No Invite Vol. 9 is available for pre-order. Don’t get left behind. https://t.co/rgar5JGjyv https://t.co/ppRkzMyCCg,1591833786668486657
,en,['1591797077595787269'],19792963,2022-11-13T14:16:12.000Z,Are you Antivaxx or Provolone?,1591797077595787269
,en,['1591632271534063616'],19792963,2022-11-13T03:21:19.000Z,It’s November 12th and people are still wearing costumes on the subway.,1591632271534063616
,en,['1591583562926796800'],19792963,2022-11-13T00:07:46.000Z,Sometimes I feel like the Joker is the only one who understands me #HaHaHa,1591583562926796800
,en,['1591495032367988737'],19792963,2022-11-12T18:15:58.000Z,Gonna buy a Samsung Frame TV and set the art to the Taco Bell menu when it’s off.,1591495032367988737
,en,['1591455035644321792'],19792963,2022-11-12T15:37:02.000Z,@jackdwagner @lunch_enjoyer Saw ironic Maga hats on proto tik tokers at fashion week fall 2017.,1591455035644321792
"{'coordinates': {'type': 'Point', 'coordinates': [-73.9675, 40.7779]}, 'place_id': '01a9a39529b27f36'}",en,['1591190063215517704'],19792963,2022-11-11T22:04:08.000Z,"Just posted a photo @ Manhattan, New York https://t.co/lvriZLdXRk",1591190063215517704
,en,['1591161359890206720'],19792963,2022-11-11T20:10:05.000Z,Goodnight sweet Prince. https://t.co/hyhj10ktGL,1591161359890206720
,en,['1591159723671552000'],19792963,2022-11-11T20:03:35.000Z,Going dummy on the Arm and Hammer toothpaste.,1591159723671552000
,en,['1591079518865100801'],19792963,2022-11-11T14:44:52.000Z,A remake of the Sixth Sense where Bruce Willis’ character thinks he’s been shadowbanned but he’s actually dead.,1591079518865100801
,en,['1590828341682216988'],19792963,2022-11-10T22:06:47.000Z,Someone just rode by on a bike with a bluetooth speaker playing a song that kept repeating “Optimus Prime passed me the blunt.”,1590828341682216988
"{'coordinates': {'type': 'Point', 'coordinates': [-74.00589108, 40.71270142]}, 'place_id': '01a9a39529b27f36'}",en,['1590816101394698240'],19792963,2022-11-10T21:18:09.000Z,"Just posted a photo @ New York City, N.Y. https://t.co/ZNo8En0bDm",1590816101394698240
,en,['1590486040162492416'],19792963,2022-11-09T23:26:36.000Z,Its always Youtube and never Wetube.,1590486040162492416
,en,['1590483003612213249'],19792963,2022-11-09T23:14:32.000Z,@IdahoBones Fuku in the mall portion,1590483003612213249
"{'coordinates': {'type': 'Point', 'coordinates': [-74.00589108, 40.71270142]}, 'place_id': '01a9a39529b27f36'}",en,['1590438599589330951'],19792963,2022-11-09T20:18:05.000Z,"Just posted a photo @ New York City, N.Y. https://t.co/F4GE4vNlDp",1590438599589330951
,fr,['1590352916006985728'],19792963,2022-11-09T14:37:37.000Z,VOTE! https://t.co/4YagFoNby1,1590352916006985728
"{'coordinates': {'type': 'Point', 'coordinates': [-73.9675, 40.7779]}, 'place_id': '01a9a39529b27f36'}",en,['1590112926832414721'],19792963,2022-11-08T22:43:59.000Z,"Just posted a photo @ Manhattan, New York https://t.co/PUMO70RZrS",1590112926832414721
,en,['1590065844188762112'],19792963,2022-11-08T19:36:53.000Z,Music makes me loose control. Please help!,1590065844188762112
,en,['1590027368407891968'],19792963,2022-11-08T17:04:00.000Z,"RT @RUNIN2THEGROUND: This week we got @EricWilzon from @WPTimeline on to talk about living in Hollywood, OJ Simpson, selling out, weaponize…",1590027368407891968
"{'coordinates': {'type': 'Point', 'coordinates': [-73.9675, 40.7779]}, 'place_id': '01a9a39529b27f36'}",en,['1589743326793646082'],19792963,2022-11-07T22:15:19.000Z,"Just posted a photo @ Manhattan, New York https://t.co/LoXqwT8pqK",1589743326793646082
,en,['1589725047916482560'],19792963,2022-11-07T21:02:41.000Z,"Elon Musk's full name is actually
Elongated Muskrat",1589725047916482560
,en,['1589686691006070790'],19792963,2022-11-07T18:30:16.000Z,I ran the New York marathon but I didn’t post about because I’m too humble.,1589686691006070790
,en,['1589683601800843265'],19792963,2022-11-07T18:18:00.000Z,I don’t want to add to the chicken man discourse but do people think a rotisserie chicken is a lot of food?,1589683601800843265
,en,['1589323659478384640'],19792963,2022-11-06T18:27:43.000Z,I’m so nuts that Crazy Frog is just a normal frog to me.,1589323659478384640
,en,['1589301861815037952'],19792963,2022-11-06T17:01:06.000Z,Duane Reade hot bar,1589301861815037952
,en,['1589234375266557953'],19792963,2022-11-06T12:32:56.000Z,People are still going to Halloween parties?,1589234375266557953
,en,['1589026152014053377'],19792963,2022-11-05T22:45:31.000Z,"Watching a prison movie and thinking, ""damn, I really want a made in the USA moleskin cotton overshirt.""",1589026152014053377
,en,['1588871862670356480'],19792963,2022-11-05T12:32:26.000Z,A woman just looked me dead in the eye and said “heyyy Johnnn.”,1588871862670356480
,en,['1588687487077347328'],19792963,2022-11-05T00:19:47.000Z,"For Sale: Baby shoes, Idk why I have these.",1588687487077347328
"{'coordinates': {'type': 'Point', 'coordinates': [-73.9675, 40.7779]}, 'place_id': '01a9a39529b27f36'}",en,['1588635229157212161'],19792963,2022-11-04T20:52:08.000Z,"Just posted a photo @ Manhattan, New York https://t.co/IRkjwkfzmk",1588635229157212161
"{'coordinates': {'type': 'Point', 'coordinates': [-73.9675, 40.7779]}, 'place_id': '01a9a39529b27f36'}",en,['1588275401050460163'],19792963,2022-11-03T21:02:18.000Z,"Just posted a photo @ Manhattan, New York https://t.co/0Ge5VWDrjw",1588275401050460163
,en,['1588187759843368962'],19792963,2022-11-03T15:14:03.000Z,"I love ""craft"" things. Craft beer, Craft whiskey, Kraft Macaroni &amp; Cheese.",1588187759843368962
,en,['1587999118139527168'],19792963,2022-11-03T02:44:28.000Z,@spiritnght2 Sellout!,1587999118139527168
,qme,['1587787789168508934'],19792963,2022-11-02T12:44:43.000Z,@donetodeath https://t.co/xoVCgRD3zt,1587787789168508934
"{'coordinates': {'type': 'Point', 'coordinates': [-74.00714, 40.71455]}, 'place_id': '01a9a39529b27f36'}",en,['1587562990831804417'],19792963,2022-11-01T21:51:27.000Z,Just posted a photo @ NYC https://t.co/zn9gUKMT4a,1587562990831804417
"{'coordinates': {'type': 'Point', 'coordinates': [-73.9675, 40.7779]}, 'place_id': '01a9a39529b27f36'}",en,['1587184682067599362'],19792963,2022-10-31T20:48:11.000Z,"Just posted a photo @ Manhattan, New York https://t.co/MDKbi6MqJz",1587184682067599362
,en,['1587083157223968768'],19792963,2022-10-31T14:04:45.000Z,"The best thing about the movie Casino is that no matter when you pause it, there’s always an hour left.",1587083157223968768
,en,['1586918382988836866'],19792963,2022-10-31T03:10:00.000Z,Only the New York liberal elite will understand. Smdh,1586918382988836866
,en,['1586841806238539776'],19792963,2022-10-30T22:05:43.000Z,One sentence horror story: Tried to get the corner table at Fenelli’s but Dev Hynes was already sitting there.,1586841806238539776
,en,['1586837600630890496'],19792963,2022-10-30T21:49:00.000Z,Are banks open on Halloween?,1586837600630890496
,hu,['1586526034316271616'],19792963,2022-10-30T01:10:57.000Z,Post ‘em fellas! https://t.co/B3SsGSSniU,1586526034316271616
,en,['1586500908044910592'],19792963,2022-10-29T23:31:06.000Z,"It’s Big Sandwich Fall, Fellas.",1586500908044910592
"{'coordinates': {'type': 'Point', 'coordinates': [-73.9675, 40.7779]}, 'place_id': '01a9a39529b27f36'}",en,['1586115567408353281'],19792963,2022-10-28T21:59:54.000Z,"Just posted a photo @ Manhattan, New York https://t.co/q5d3apCvx4",1586115567408353281
,en,['1586114403929575424'],19792963,2022-10-28T21:55:17.000Z,Remember when Twitter didn’t really have an app and you would have to text or email what you wanted to post. https://t.co/7BWMWIy5Ak,1586114403929575424
"{'coordinates': {'type': 'Point', 'coordinates': [-73.9675, 40.7779]}, 'place_id': '01a9a39529b27f36'}",en,['1585734662680453120'],19792963,2022-10-27T20:46:19.000Z,"Just posted a photo @ Manhattan, New York https://t.co/XNy1ZmQAUK",1585734662680453120
,en,['1585687520138104832'],19792963,2022-10-27T17:39:00.000Z,Walking a mile in my shoes wouldn’t be hard because I wear comfortable sneakers and a mile isn’t that far.,1585687520138104832
