id,edit_history_tweet_ids,created_at,author_id,lang,text,geo
1583018171551821825,['1583018171551821825'],2022-10-20T08:51:57.000Z,332011436,en,"RT @IAmChrisStylez: BlockParty! 
10/29, #DTLA 
🥥 🧈 🎃 
Ticket Link: https://t.co/nhqMHoiDap
Powered by: @BroccoliCity 🥦 https://t.co/le9pSMs…",
1583017768256798720,['1583017768256798720'],2022-10-20T08:50:21.000Z,332011436,en,RT @BLVKH3RO: Coming to La I was so nervous I felt outta place at first didn’t know if this was the right move but thanks to ones like @sok…,
1582932372369989632,['1582932372369989632'],2022-10-20T03:11:01.000Z,332011436,en,RT @KiraniAYAT: everything I desire I go receive… 🙏🏿✨,
1582250832308817921,['1582250832308817921'],2022-10-18T06:02:49.000Z,332011436,zxx,RT @joekay: https://t.co/Y5ZuG3APG3,
1582080036072435712,['1582080036072435712'],2022-10-17T18:44:08.000Z,332011436,en,RT @nektunez: Mixing &amp; Mastering be very important. Make we no dey  skip that one 🥶,
1581381264145145856,['1581381264145145856'],2022-10-15T20:27:28.000Z,332011436,en,Catch me Tonight in LA @afrobeatstotheworld_ . Let’s have a good time . Limited Tickets left. Link in my bio. https://t.co/sLBTIcGowp,
1581002785381761024,['1581002785381761024'],2022-10-14T19:23:32.000Z,332011436,en,"Catch me This Saturday, Los Angeles inside Club @losglobos . Limited tickets left. https://t.co/spe2oJbNoR https://t.co/b6NStveaD8",
1580774745095561217,['1580774745095561217'],2022-10-14T04:17:23.000Z,332011436,en,"RT @RegentTheaterLA: Oktoberfest at @figat7th starts TOMORROW! 💥 Join us for two jam-packed nights of performances, DJ sets, and beer tasti…",
1580322683065024512,['1580322683065024512'],2022-10-12T22:21:03.000Z,332011436,en,Not in the mood for anything .,
1579969439491317760,['1579969439491317760'],2022-10-11T22:57:23.000Z,332011436,da,RT @EkowBarnes: Schmoooooood ☆😀✨🌍🎥 https://t.co/bGPHbEHxwd,
1579885538563149824,['1579885538563149824'],2022-10-11T17:23:59.000Z,332011436,en,"RT @badthesoundboy: Here to remind you that we made a bangerrrrr  @blaq_pages ❤️🇬🇭🇳🇬🔥

https://t.co/naI2G2plDV https://t.co/xYvdVuyjFf",
1579639719138250752,['1579639719138250752'],2022-10-11T01:07:11.000Z,332011436,en,Announcing “Afrobeats To The World” Fall Tour Dates soon. 🙏🏾🤘🏾,
1578517981570551808,['1578517981570551808'],2022-10-07T22:49:48.000Z,332011436,en,"RT @KiraniAYAT: GUDA is the Epitome of African HipHop. #GUDA #aishassun 

Listen;
https://t.co/viPnVD9zNO

Cc. @blaq_pages @onerpm @Altrano…",
1578466680426020864,['1578466680426020864'],2022-10-07T19:25:57.000Z,332011436,en,RT @BapiJoss: Ghana 🇬🇭 needs to protect these artists at all cost! These albums are STRAIGHT GAS🔥 every single song! Kirani Ayat and Blacko…,
1578461304813080576,['1578461304813080576'],2022-10-07T19:04:36.000Z,332011436,en,"Thank you Los Angeles. Last night was incredible. We continue tonight inside Club @melrosehouse.la . Doors at 10pm . Rsvp &amp; ticket link in my bio. 

🎥Video by : @owura696re 

#PagesOnStages #BlaqPages #Amapiano https://t.co/FIMhJZn2W7",
1578340836449824768,['1578340836449824768'],2022-10-07T11:05:54.000Z,332011436,en,"RT @audiomackafrica: September came with a number of 🔥 projects. Here are our top 10 picks for last month.🔶

#MrMoneyWithTheVibe 
#SadRoman…",
1578340664932126721,['1578340664932126721'],2022-10-07T11:05:13.000Z,332011436,en,RT @kuvie_: one of the best albums to come from gh this year! cured to perfection. Dan kasa.,
1578340427689697280,['1578340427689697280'],2022-10-07T11:04:16.000Z,332011436,en,"RT @KiraniAYAT: Kirani Ayat taps into a timeless tradition on Aisha’s Sun, his debut album https://t.co/uJsfQbsAgA via @Clove_World",
1578340387663405056,['1578340387663405056'],2022-10-07T11:04:07.000Z,332011436,en,RT @KiraniAYAT: My debut album Aisha’s Sun + new video “Ina Jin” been out for about 2 weeks now. It’ll be great to amplify that. God bless.…,
1578340117130883073,['1578340117130883073'],2022-10-07T11:03:02.000Z,332011436,in,"RT @KiraniAYAT: Kirani Ayat - Ina Jin (Live Performance) | HASKE Sessions
https://t.co/oEAaGtQucR",
1578339727559622657,['1578339727559622657'],2022-10-07T11:01:29.000Z,332011436,en,RT @KiraniAYAT: Jah Jah seals and signs and delivers. - @RockyDawuni 🇬🇭 https://t.co/VIFVrMoV3h,
1578145067558002688,['1578145067558002688'],2022-10-06T22:07:59.000Z,332011436,en,How’s your day going ?,
1578137002922242050,['1578137002922242050'],2022-10-06T21:35:56.000Z,332011436,en,"Tonight Catch me performing alongside with @majorleaguedjz &amp; @swazisunshine live in Los Angeles📍🎉🤘🏾

#Ampiano #amapianodance #amapianoisalifestyle #losangeles #LA #BlaqPages https://t.co/0CamyvxE92",{'place_id': '3b77caf94bfc81fe'}
1578136787964207104,['1578136787964207104'],2022-10-06T21:35:05.000Z,332011436,en,RT @awekobrianmusic: my bro @blaq_pages taking it down with @MAJORLEAGUEDJZ 👏👏👏 https://t.co/nvad6mb0eO,
1577816080839385088,['1577816080839385088'],2022-10-06T00:20:42.000Z,332011436,en,RT @MAJORLEAGUEDJZ: LA TOMORROW NIGHT ⚡️⚡️🇺🇸❤️ https://t.co/9kFKjGr6is,
1577816047302111232,['1577816047302111232'],2022-10-06T00:20:34.000Z,332011436,en,RT @awekobrianmusic: shout to my bro @blaq_pages,
1577586300806434816,['1577586300806434816'],2022-10-05T09:07:38.000Z,332011436,en,"RT @June2November: Much love to everyone supporting the new single ""Spray Am"" from @blaq_pages x @bapijoss x @sokoseven 

Listen now on you…",
1577565974026489856,['1577565974026489856'],2022-10-05T07:46:52.000Z,332011436,en,Fall Tour Dates coming soon.,
1577052636410322944,['1577052636410322944'],2022-10-03T21:47:03.000Z,332011436,en,Shoutout to the people who are still on this journey with me . We just getting started.,
1576826100881457152,['1576826100881457152'],2022-10-03T06:46:53.000Z,332011436,en,"RT @KiraniAYAT: The good people of Ghana, my elders, and colleagues in the creative community have shown me great support. I feel the love,…",
1576820495420252160,['1576820495420252160'],2022-10-03T06:24:36.000Z,332011436,ht,RT @SlimReaper907: LMAOOOOOOOOOOOOOOOOOOO https://t.co/nobGS9VRp2,
1576815538449174529,['1576815538449174529'],2022-10-03T06:04:54.000Z,332011436,en,RT @ItsVonnieMack: Styl Plus really changed my life,
1576429240249376768,['1576429240249376768'],2022-10-02T04:29:54.000Z,332011436,en,Chale some Waakye will be nice right now,
1576428917782503425,['1576428917782503425'],2022-10-02T04:28:37.000Z,332011436,in,@Spacely1z Allah Nana asap,
1576428604207947777,['1576428604207947777'],2022-10-02T04:27:22.000Z,332011436,en,@itscloudnai Show us a pic,
1576428468061220864,['1576428468061220864'],2022-10-02T04:26:50.000Z,332011436,en,"RT @MutomboDaPoet: Chale @blaq_pages by me 
Last night at @boilerroomtv https://t.co/d9YKFq5J9f",
1576386089581182976,['1576386089581182976'],2022-10-02T01:38:26.000Z,332011436,und,RT @TRIBEOFGOD: 🙏🏾❤️ https://t.co/AsSrPJPzPY,
1576352578060722177,['1576352578060722177'],2022-10-01T23:25:16.000Z,332011436,en,RT @BBCAfrica: Ghana's President Nana Akufo-Addo has been accused of using a musician's work without permission or credit to advertise the…,
1576350237005783041,['1576350237005783041'],2022-10-01T23:15:58.000Z,332011436,en,"RT @KaySoFromTema: congrats @KiraniAYAT on your first album release Aisha’s Sun.

https://t.co/LbNHubiuYQ

thank u for making me a part of…",
1576349883413319680,['1576349883413319680'],2022-10-01T23:14:34.000Z,332011436,en,"RT @BapiJoss: SPRAY AM w @blaq_pages @sokoseven and myself featured in on these playlists on @BoomplayMusic 

KEEP STREAMING! https://t.co/…",
1576349865982197760,['1576349865982197760'],2022-10-01T23:14:29.000Z,332011436,en,"RT @BapiJoss: SPRAY AM w @blaq_pages @sokoseven and myself featured in on more playlists on @Spotify 

KEEP STREAMING! https://t.co/HVQLoeX…",
1576349819068887040,['1576349819068887040'],2022-10-01T23:14:18.000Z,332011436,en,"RT @BapiJoss: SPRAY AM w @blaq_pages @sokoseven and myself featured in on these playlists on @Spotify 

KEEP STREAMING! https://t.co/DmJIdP…",
1576349695991230464,['1576349695991230464'],2022-10-01T23:13:49.000Z,332011436,en,"RT @blacksherif_: It took me everything to give life to this body. The one thing in my life that I gave everything up for. 
There is life i…",
1576349238446784512,['1576349238446784512'],2022-10-01T23:12:00.000Z,332011436,en,"RT @KiraniAYAT: Accra understands the assignment. @blaq_pages x Kirani Ayat brought the energy 🔥🇬🇭🔥

https://t.co/viPnVD9zNO

#GUDA #Boiler…",
1576088153383137282,['1576088153383137282'],2022-10-01T05:54:32.000Z,332011436,en,"Big announcement coming soon. 
Stay tuned 🤘🏾🙏🏾🎉. More shows &amp; Festivals .",
1576087774348050432,['1576087774348050432'],2022-10-01T05:53:02.000Z,332011436,en,"RT @BapiJoss: Thank you @pandoramusic for making us the cover of “NEW AFROBEATS NOW” playlist!

Keep streaming SPRAY AM w @blaq_pages @soko…",
1576087634518020098,['1576087634518020098'],2022-10-01T05:52:29.000Z,332011436,en,One of my Bucket list✅ checked off 🙏🏾🤘🏾🐐😉. #BoilerRoom #Accra #Ghana,
1575871027074195457,['1575871027074195457'],2022-09-30T15:31:45.000Z,332011436,en,Manifesting some more amazing things into my life .,
1575723912150646784,['1575723912150646784'],2022-09-30T05:47:10.000Z,332011436,en,@mindofasante Link up,
1575679462015836165,['1575679462015836165'],2022-09-30T02:50:33.000Z,332011436,en,@kuukssss I always look forward to that,
1575678467618013185,['1575678467618013185'],2022-09-30T02:46:36.000Z,332011436,en,"RT @djnayiram: Sunday, we’re outside with it. Abonten 🇬🇭 🚀🚀🚀 @IamKingPromise  5 Star Tour is making a stop in Seattle. 
.
.
@dukeconcept ht…",
1575678360499367936,['1575678360499367936'],2022-09-30T02:46:10.000Z,332011436,en,RT @BapiJoss: This record still shitting on niggas to this day 🤷🏿‍♀️ y'all playing catch up,
1575678054193500161,['1575678054193500161'],2022-09-30T02:44:57.000Z,332011436,en,"Jah, in any situation make I don’t loose.",
1575590568776052736,['1575590568776052736'],2022-09-29T20:57:19.000Z,332011436,en,Jah keep blessing me with these shows &amp; opportunities.,
1575552469450788864,['1575552469450788864'],2022-09-29T18:25:55.000Z,332011436,en,"This Friday, Sept 30th ⬇️⬇️⬇️
Playing my first boiler room in my homeland Accra, Ghana 🇬🇭 . Rsvp now : https://t.co/K9ADsVrKKS https://t.co/yCC0G88pG3",
1575539524071206912,['1575539524071206912'],2022-09-29T17:34:29.000Z,332011436,en,"RT @kuulpeeps_: As we are all fighting for @KiraniAYAT , let’s also take some time to listen to his debut studio album “Aisha’s Sun” https:…",
1575539135674126338,['1575539135674126338'],2022-09-29T17:32:56.000Z,332011436,tl,"RT @KiraniAYAT: Kirani Ayat - GUDA (Official Video) Directed. David Nicol-sey
https://t.co/viPnVDrbco
#GUDA #AishasSun #PayAyat https://t.c…",
1575364155732787201,['1575364155732787201'],2022-09-29T05:57:38.000Z,332011436,en,"RT @RegentTheaterLA: Oktoberfest at FIGat7th promises all the beers, brats, and beats to transport you to a SoCal version of this tradition…",
1575364030650322944,['1575364030650322944'],2022-09-29T05:57:08.000Z,332011436,en,"RT @BapiJoss: SPRAY AM OUT NOW ON ALL STREAMING PLATFORMS w @sokoseven @blaq_pages and myself #sprayam 

https://t.co/DmJIdPf0hO

🐉❤️‍🔥 htt…",
1575248835441557504,['1575248835441557504'],2022-09-28T22:19:23.000Z,332011436,en,"RT @KiraniAYAT: Taking cognizance of the statement issued this morning by the Ghana Tourism Authority, I, Kirani Ayat would like to state c…",
1575247805144305671,['1575247805144305671'],2022-09-28T22:15:18.000Z,332011436,en,RT @KiraniAYAT: The Ghanaian public has shown great interest and support in my fight for justice. To my fellow creatives I will do everythi…,
1574948216142934016,['1574948216142934016'],2022-09-28T02:24:50.000Z,332011436,en,RT @AmeyawDebrah: Kirani Ayat calls out the President for using his creative property without his permission - https://t.co/Dw2eMkqoD1,
1574926088081637376,['1574926088081637376'],2022-09-28T00:56:54.000Z,332011436,en,RT @luxzac: I don’t like anything that’s too easy.,
1574905125084307486,['1574905125084307486'],2022-09-27T23:33:36.000Z,332011436,en,RT @Bratintinn: Ghana peeps always talking about pushing each other in the entertainment space. Ghana man  go get gig then jump wall go hir…,
