text,created_at,author_id,edit_history_tweet_ids,id,lang,geo
@iKidSpeedy real,2022-11-21T23:07:10.000Z,1412454491287347200,['1594829805387751431'],1594829805387751431,en,
@Arcitys @itsSpart ?,2022-11-21T21:53:42.000Z,1412454491287347200,['1594811317436977152'],1594811317436977152,qam,
@portilho https://t.co/vHH0g8iFHH,2022-11-21T21:02:53.000Z,1412454491287347200,['1594798526101331980'],1594798526101331980,qme,
I think we smoke england ngl,2022-11-21T21:01:36.000Z,1412454491287347200,['1594798205535158272'],1594798205535158272,en,
OH MY GODDDDDDDDDDDDDDDDD https://t.co/qbOVouctgB,2022-11-21T19:37:29.000Z,1412454491287347200,['1594777037734088719'],1594777037734088719,en,
its usa vs the ref,2022-11-21T19:35:26.000Z,1412454491287347200,['1594776518324064277'],1594776518324064277,en,
@_cherryverse ONG NOBODY IN DALLAS DID IT AND I WAS PISSED,2022-11-21T19:33:57.000Z,1412454491287347200,['1594776146935451648'],1594776146935451648,en,
@SaintsNato LMAOOO next summer fasho,2022-11-21T19:23:08.000Z,1412454491287347200,['1594773425863938048'],1594773425863938048,en,
@SaintsNato I wanna know what is love,2022-11-21T19:14:02.000Z,1412454491287347200,['1594771133223641089'],1594771133223641089,en,
@dailynimtwit https://t.co/wEwOQnpYKF,2022-11-21T19:07:46.000Z,1412454491287347200,['1594769556123586561'],1594769556123586561,qme,
@Josh_Tried so real,2022-11-21T19:07:10.000Z,1412454491287347200,['1594769407422926848'],1594769407422926848,en,
ITS TIME https://t.co/LfniBHiktZ,2022-11-21T18:50:48.000Z,1412454491287347200,['1594765288578420744'],1594765288578420744,en,{'place_id': '18810aa5b43e76c7'}
@portilho jerseys for the day https://t.co/cPwd7bPJIu,2022-11-21T18:40:10.000Z,1412454491287347200,['1594762612654358543'],1594762612654358543,en,
@SlothCityGG @TinkHT @atsassone @MediaByKJM @Cypher_Tay @ProoFJC @MANTARAFER @ZooMafiaLeague @Visa @CocaCola im challing this roster 1v4,2022-11-21T18:38:09.000Z,1412454491287347200,['1594762102287253518'],1594762102287253518,en,
@portilho warm-ups better than the actual jerseys,2022-11-21T18:33:27.000Z,1412454491287347200,['1594760919250534401'],1594760919250534401,en,
"@SaintFranki omggggggggg, the jersey is cool too",2022-11-21T18:24:54.000Z,1412454491287347200,['1594758768436330508'],1594758768436330508,en,
@hiraismani happy birthday https://t.co/8G8738n5GQ,2022-11-21T17:36:27.000Z,1412454491287347200,['1594746577507196928'],1594746577507196928,en,
@hitchariide @FCDallas vouch,2022-11-21T17:30:13.000Z,1412454491287347200,['1594745009181523970'],1594745009181523970,fr,
@ttttestingtestt thanks woogo,2022-11-21T16:47:17.000Z,1412454491287347200,['1594734205308502024'],1594734205308502024,en,
"need you EU lads to teach me some chants, gonna walk around and do them",2022-11-21T16:20:16.000Z,1412454491287347200,['1594727405792411652'],1594727405792411652,en,
@ITZYofficial https://t.co/NrSjnW18NG,2022-11-21T15:01:01.000Z,1412454491287347200,['1594707460694089729'],1594707460694089729,qme,
@zmoseCOD LMAO,2022-11-21T14:54:16.000Z,1412454491287347200,['1594705760864587776'],1594705760864587776,ht,
@hoIytoIedo or the cause for more 😵‍💫,2022-11-21T13:51:55.000Z,1412454491287347200,['1594690071432728578'],1594690071432728578,en,
@SadRich__ https://t.co/gPzhbrMH34,2022-11-21T13:46:31.000Z,1412454491287347200,['1594688710888620032'],1594688710888620032,qme,
@ClaytonMTaylor or another goal,2022-11-21T13:46:12.000Z,1412454491287347200,['1594688631855349760'],1594688631855349760,en,
what a beautiful day to be an american https://t.co/YuunKMHpZ1,2022-11-21T13:39:18.000Z,1412454491287347200,['1594686897405759490'],1594686897405759490,en,{'place_id': 'bc7f3267d2efaf40'}
@LORDENZO this is so real LMAOO,2022-11-21T03:42:10.000Z,1412454491287347200,['1594536621482938368'],1594536621482938368,en,
@MJCheen what did you get though,2022-11-21T03:17:19.000Z,1412454491287347200,['1594530368824250369'],1594530368824250369,en,
@stryato MAN…,2022-11-21T02:26:39.000Z,1412454491287347200,['1594517616101556224'],1594517616101556224,und,
@Retals got it on lock,2022-11-21T01:22:53.000Z,1412454491287347200,['1594501571018371072'],1594501571018371072,en,
@_cherryverse WWWWWWWW,2022-11-21T00:27:54.000Z,1412454491287347200,['1594487734755889154'],1594487734755889154,und,
@crriicket happy birthday!,2022-11-21T00:19:32.000Z,1412454491287347200,['1594485626212126720'],1594485626212126720,en,
@sparklingxnacho who we got tonight,2022-11-20T23:41:37.000Z,1412454491287347200,['1594476085181583360'],1594476085181583360,en,
@natefiasco &amp; tech making a bowl game,2022-11-20T23:20:28.000Z,1412454491287347200,['1594470761410056194'],1594470761410056194,en,
@scor4h @ITZYofficial vouch,2022-11-20T19:40:57.000Z,1412454491287347200,['1594415519297216512'],1594415519297216512,fr,
@stryato usa vs portugal finals,2022-11-20T15:10:44.000Z,1412454491287347200,['1594347516107038722'],1594347516107038722,es,
so no f1 till march now 🧍‍♂️,2022-11-20T14:38:35.000Z,1412454491287347200,['1594339429287608321'],1594339429287608321,en,{'place_id': 'dce44ec49eb788f5'}
@Prestinni @Gunless hey lol,2022-11-20T07:37:12.000Z,1412454491287347200,['1594233380681535488'],1594233380681535488,en,
@itsDonL did you party like 1999,2022-11-20T07:23:36.000Z,1412454491287347200,['1594229960356642817'],1594229960356642817,en,
@Yoshescool south korea gonna be a movie fr,2022-11-20T05:33:47.000Z,1412454491287347200,['1594202324272295936'],1594202324272295936,en,
@kariannntan HAPPY BIRTHDAY,2022-11-20T05:29:45.000Z,1412454491287347200,['1594201308319318016'],1594201308319318016,en,
family photos at friendsgiving @itsDontai @islajae https://t.co/8JPgodUlcf,2022-11-20T04:31:40.000Z,1412454491287347200,['1594186692558143489'],1594186692558143489,en,{'place_id': 'dce44ec49eb788f5'}
@SaintsNato @itsDontai @islajae should have been here smh,2022-11-20T04:29:04.000Z,1412454491287347200,['1594186038687121408'],1594186038687121408,en,
@itsDonL coming to check,2022-11-20T04:28:54.000Z,1412454491287347200,['1594185997230960641'],1594185997230960641,en,
@GabrielU_12 LMFAOOO,2022-11-20T04:22:29.000Z,1412454491287347200,['1594184379466514433'],1594184379466514433,en,
@IamHeath_ ONG BAAAAANG,2022-11-20T04:19:48.000Z,1412454491287347200,['1594183707207692288'],1594183707207692288,tl,
@itsDonL red five diamonds in my bag,2022-11-20T04:19:42.000Z,1412454491287347200,['1594183680317980677'],1594183680317980677,en,
@itsDonL is that my bag,2022-11-20T04:16:12.000Z,1412454491287347200,['1594182801296850945'],1594182801296850945,en,
where is she,2022-11-20T03:46:30.000Z,1412454491287347200,['1594175325352579073'],1594175325352579073,en,{'place_id': 'dce44ec49eb788f5'}
RT @TexasTechFB: 𝘽𝙊𝙒𝙇𝙄𝙉𝙂 🎳 https://t.co/QKdXcEcjMH,2022-11-20T03:33:40.000Z,1412454491287347200,['1594172096908754945'],1594172096908754945,en,
@Torioyo_ lmk!,2022-11-20T03:29:15.000Z,1412454491287347200,['1594170984810283008'],1594170984810283008,und,
@OgSusano @Allycxt my god that heb apple pie was the best i’ve ever had,2022-11-20T02:50:40.000Z,1412454491287347200,['1594161272718761985'],1594161272718761985,en,
@SaintsNato come through https://t.co/we8DiCVIAw,2022-11-20T01:37:01.000Z,1412454491287347200,['1594142740433887232'],1594142740433887232,en,
"@IHOLDSHIFT bunch of gamers, we can’t cook smh",2022-11-20T01:19:13.000Z,1412454491287347200,['1594138258987950086'],1594138258987950086,en,
"@1337snow come over rn, we have leftover",2022-11-20T01:07:44.000Z,1412454491287347200,['1594135368185614336'],1594135368185614336,en,
"@OgSusano @Allycxt HEB always hits, she doesn’t know about them",2022-11-20T01:06:09.000Z,1412454491287347200,['1594134972520022017'],1594134972520022017,en,
@druzine @Allycxt LMAOO BAAANG,2022-11-20T00:59:58.000Z,1412454491287347200,['1594133414692659200'],1594133414692659200,ht,
@Allycxt my fault brotha,2022-11-20T00:54:51.000Z,1412454491287347200,['1594132128450609153'],1594132128450609153,en,
@pogdee that’s insane https://t.co/t22qKjLOlD,2022-11-20T00:54:35.000Z,1412454491287347200,['1594132062214049792'],1594132062214049792,en,{'place_id': 'dce44ec49eb788f5'}
yummy friendsgiving 🦃 https://t.co/3S0PGyonTy,2022-11-20T00:51:20.000Z,1412454491287347200,['1594131242630406146'],1594131242630406146,en,
"RT @GabrielU_12: Damn I can’t believe @JustinPistachio really made all this for the homies 🙏

Someone cuff this man https://t.co/oqhVDG9eAQ",2022-11-20T00:41:40.000Z,1412454491287347200,['1594128811045666821'],1594128811045666821,en,
@SaintsNato @itsDontai waiting for your potato salad,2022-11-19T22:36:59.000Z,1412454491287347200,['1594097433201590273'],1594097433201590273,en,
@stryato @itsDontai come through,2022-11-19T22:16:55.000Z,1412454491287347200,['1594092381795745794'],1594092381795745794,en,
RT @itsDontai: THE FRIENDSGIVING PLACE IS SO FCKN NICE WTFFF https://t.co/NM4RGxGqUa,2022-11-19T22:15:46.000Z,1412454491287347200,['1594092091767853056'],1594092091767853056,en,
@itsDontai who picked it,2022-11-19T22:13:36.000Z,1412454491287347200,['1594091549268348934'],1594091549268348934,en,
@natefiasco @nacestarleague @WVUEsports @SEUEsports you said vanguard?,2022-11-19T21:57:58.000Z,1412454491287347200,['1594087613753090049'],1594087613753090049,en,
@Noysii I need cheen to help me out 🙏,2022-11-19T20:40:19.000Z,1412454491287347200,['1594068071928381442'],1594068071928381442,en,
@revampy @BlanKAims better put your sneakers on word to itzy,2022-11-19T20:29:36.000Z,1412454491287347200,['1594065374194307072'],1594065374194307072,en,
@VariantXO battling soju bottles tonight I think,2022-11-19T20:04:02.000Z,1412454491287347200,['1594058940362461184'],1594058940362461184,en,
terrible day to be a friendsgiving turkey https://t.co/tCfTTdMOFi,2022-11-19T20:01:29.000Z,1412454491287347200,['1594058300353568771'],1594058300353568771,en,
