text,lang,author_id,created_at,id,edit_history_tweet_ids,geo
RT @nasibovpng: https://t.co/AkN9ARFWf1,zxx,1234483774781444102,2022-11-22T17:33:00.000Z,1595108094630981632,['1595108094630981632'],
RT @whereisthiss_: En route to Mount Saint Michel 🇫🇷 🇫🇷 https://t.co/GbkptRCkKR,en,1234483774781444102,2022-11-22T17:32:46.000Z,1595108038062374912,['1595108038062374912'],
"RT @NouveauDeco: Calendar in Art Nouveau style from 1903 by Dutch artist Leo Visser (1880-1950), The Netherlands. Jan-April. https://t.co/f…",en,1234483774781444102,2022-11-22T17:32:37.000Z,1595107997834915841,['1595107997834915841'],
RT @DesertedPIaces_: Abandoned train in nature. https://t.co/cLTxGjDNEl,en,1234483774781444102,2022-11-22T17:30:21.000Z,1595107431427715072,['1595107431427715072'],
RT @fasc1nate: A house cat who broke into a Lynx's cage: https://t.co/PL5NThvFfx,en,1234483774781444102,2022-11-22T17:30:07.000Z,1595107370366926848,['1595107370366926848'],
"RT @AcademiaAesthe1: Detail of The Storm, 1880, by Pierre Auguste Cot (1837–1883) https://t.co/Hla76effyT",en,1234483774781444102,2022-11-22T17:29:52.000Z,1595107307083296768,['1595107307083296768'],
RT @_GMichelon: https://t.co/Domx82uCiP,zxx,1234483774781444102,2022-11-22T17:29:49.000Z,1595107294617817088,['1595107294617817088'],
RT @TheFigen_: My heart melted! 💞❤️ https://t.co/85KPjr0owy,en,1234483774781444102,2022-11-22T17:29:14.000Z,1595107149419401216,['1595107149419401216'],
RT @JoJoFromJerz: Why does diversity scare Republicans so very much?,en,1234483774781444102,2022-11-22T17:27:01.000Z,1595106590474092545,['1595106590474092545'],
RT @MichaelWarbur17: It’s 1979 and Assistant Purser on the TITANIC - Frank Prentice - describes what happened that fateful night when more…,en,1234483774781444102,2022-11-22T17:26:54.000Z,1595106560681836544,['1595106560681836544'],
"RT @black_0rpheus: Rest in Peace to performer and Civil Rights Activist Joyce Bryant. Born in raised in Oakland, she became one of America’…",en,1234483774781444102,2022-11-22T17:26:18.000Z,1595106409036754945,['1595106409036754945'],
"RT @viewspxrn: Venice, Italy. https://t.co/lSKcxSVgwL",en,1234483774781444102,2022-11-22T17:26:12.000Z,1595106385548623872,['1595106385548623872'],
"RT @earthcurated: Lofoten islands, Norway ✨ https://t.co/YmVtmDxNcm",sv,1234483774781444102,2022-11-22T17:20:22.000Z,1595104917798240256,['1595104917798240256'],
"RT @whereisthiss_: ❤️ the colors of Strasbourg, France 🇫🇷 https://t.co/oDuTzWKokA",en,1234483774781444102,2022-11-22T17:20:02.000Z,1595104832678830081,['1595104832678830081'],
@nvesna_35mm Gotta love the 35mm!!,en,1234483774781444102,2022-11-22T17:19:45.000Z,1595104762986467337,['1595104762986467337'],{'place_id': 'f2b1ac6c9d15503f'}
RT @nasibovpng: https://t.co/RBtWsj7ctz,zxx,1234483774781444102,2022-11-22T17:18:32.000Z,1595104455732912128,['1595104455732912128'],
RT @Lit_Rich36: #fountainsquare #cincinatti #Sculpture #Statue #Architecture #HumanRepresentation #serpent https://t.co/dsyySz6s8a,qme,1234483774781444102,2022-11-22T17:17:01.000Z,1595104075145629696,['1595104075145629696'],
RT @duty2warn: Never forget who Elon is: https://t.co/seTDVoECRz,en,1234483774781444102,2022-11-22T17:16:52.000Z,1595104035102756864,['1595104035102756864'],
"RT @whereisthiss_: Cuzco, Peru 🇵🇪 🇵🇪 https://t.co/v8Zq0suPIe",es,1234483774781444102,2022-11-22T17:16:48.000Z,1595104017591386112,['1595104017591386112'],
"RT @archaeologyart: Theseus and Minotaur by Maestro dei Cassoni Campana, Detail. Date: c. 1510 - 1515. https://t.co/SXnYAdNLw5",it,1234483774781444102,2022-11-22T17:16:40.000Z,1595103984116977664,['1595103984116977664'],
"RT @glass_zealot: Notre-Dame de Fourviere, Lyon https://t.co/fsrCvWNpOh",fr,1234483774781444102,2022-11-22T17:12:25.000Z,1595102916150718466,['1595102916150718466'],
RT @MercedesAMGF1: One last run 💨 Lewis jumps into W13 at Yas Marina. https://t.co/mU5d2yd79r,en,1234483774781444102,2022-11-22T17:12:17.000Z,1595102883426742273,['1595102883426742273'],
RT @ninscrystal: #NaturePhotography #Switzerland https://t.co/8aAJQCqVbZ,qme,1234483774781444102,2022-11-22T17:05:20.000Z,1595101133047214080,['1595101133047214080'],
RT @aragunde: Reject modernity. Embrace tradition. https://t.co/2Uoc4EVjLa,en,1234483774781444102,2022-11-22T17:02:46.000Z,1595100486746591232,['1595100486746591232'],
RT @historyinmemes: Workers of the De Beers mines were X-rayed at the end of every shift before leaving the diamond mines in South Africa.…,en,1234483774781444102,2022-11-22T17:02:23.000Z,1595100389829136385,['1595100389829136385'],
"RT @aIIegoricaI: The greatest military fighting force the world has ever seen, the Mongols, conquered an area of land the size of Africa at…",en,1234483774781444102,2022-11-22T16:53:15.000Z,1595098091270836226,['1595098091270836226'],
RT @KseniaL19: І як тут проїхати?🙄🚂😁 https://t.co/7VfJxws7A2,uk,1234483774781444102,2022-11-22T16:43:03.000Z,1595095524008419329,['1595095524008419329'],
"RT @archeohistories: Ancient  Egyptian Gold Sandals and Toe Stalls; 1479-1425 BC, would have been used to decorate a body for its voyage to…",en,1234483774781444102,2022-11-22T16:42:39.000Z,1595095424607698945,['1595095424607698945'],
RT @andrespeneke: Sumner Magic by Dylan Toh &amp; Marianne Lim https://t.co/hACc6NVDmp,en,1234483774781444102,2022-11-22T16:42:35.000Z,1595095410523230211,['1595095410523230211'],
RT @andrespeneke: Light of the North by Daniel Kordan https://t.co/tnC05TUBQc,en,1234483774781444102,2022-11-22T16:42:33.000Z,1595095401895534592,['1595095401895534592'],
"RT @ghostofhellas: Mosaic of a lion and a bull’s head on the floor of one of the terrace houses, Ephesus, Asia Minor, Turkey. https://t.co/…",en,1234483774781444102,2022-11-22T16:39:28.000Z,1595094625911463937,['1595094625911463937'],
"RT @MichaelWarbur17: The WUPPERTALER SCHWEBEBAHN opened in 1901, is still in use, and moves 25 million passengers every year. https://t.co/…",en,1234483774781444102,2022-11-22T16:39:23.000Z,1595094601437937666,['1595094601437937666'],
RT @whereisthiss_: The beauty of Italy's architecture is indescribable. Italy 🇮🇹 https://t.co/XJNHwlV8qD,en,1234483774781444102,2022-11-22T16:39:19.000Z,1595094587353182214,['1595094587353182214'],
"RT @AlisonFisk: First recorded labour strike in world history took place c. 3,177 years ago this month!

The ‘Strike Papyrus’ records that…",en,1234483774781444102,2022-11-22T16:39:15.000Z,1595094567816134659,['1595094567816134659'],
"RT @archi_tradition: Firenze, Italy 🇮🇹 https://t.co/SqUbYnDv1n",it,1234483774781444102,2022-11-22T16:39:08.000Z,1595094539018022912,['1595094539018022912'],
"RT @NouveauDeco: Newspaper rack from c. 1900 by Thonet, Austria. https://t.co/22hTv2sYyg",en,1234483774781444102,2022-11-22T16:35:44.000Z,1595093683824889857,['1595093683824889857'],
"RT @archi_tradition: Vienna, Austria 🇦🇹 https://t.co/SRoRfc2jYD",en,1234483774781444102,2022-11-22T16:35:24.000Z,1595093599007277057,['1595093599007277057'],
@thekcut_ Breakfast always the move.,en,1234483774781444102,2022-11-22T16:34:44.000Z,1595093433378562054,['1595093433378562054'],{'place_id': 'f2b1ac6c9d15503f'}
