text,author_id,lang,created_at,id,edit_history_tweet_ids,withheld
"RT @talkafricana: In the 1970s, Nestle sent sales women dressed as nurses and doctors into African villages to convince mothers to forgo br…",351851658,en,2022-11-17T08:44:22.000Z,1593163120901779456,['1593163120901779456'],
RT @PoliticsJOE_UK: Andrew Bailey and Bank of England experts outline how Brexit destroyed the British economy in Treasury Select Committee…,351851658,en,2022-11-17T08:43:49.000Z,1593162985127960577,['1593162985127960577'],
"RT @GreenpeaceUK: NEW: Germany has passed a bill forcing single-use plastic producers to help PAY for clean-ups.

From 2025 they'll have to…",351851658,en,2022-11-17T08:43:40.000Z,1593162945835716611,['1593162945835716611'],
RT @Iancoll94354676: Whenever a Tory stands up to spout rubbish in the Commons you can guarantee that they’ve always done something that yo…,351851658,en,2022-11-17T08:43:17.000Z,1593162849131540480,['1593162849131540480'],
RT @MarinaPurkiss: Imagine being this wrong and still keeping your job as a journalist…,351851658,en,2022-11-17T07:32:08.000Z,1593144944918941696,['1593144944918941696'],
RT @RaggedTP: We have 'Children In Need' because billionaires and international companies refuse to pay taxes. https://t.co/qqdj8bbzMd,351851658,en,2022-11-17T07:30:48.000Z,1593144606879014912,['1593144606879014912'],
"RT @implausibleblog: Damning criticism of Brexit from todays's MPC

➡️ UK has 6% higher food prices due to brexit
➡️ Wages reduced by 2.6%…",351851658,en,2022-11-17T07:30:14.000Z,1593144464570142720,['1593144464570142720'],
"RT @culturaltutor: This 1928 self-portrait is probably the ultimate Art Deco painting.

And it's by Tamara de Lempicka, the ultimate Art De…",351851658,en,2022-11-17T07:22:24.000Z,1593142492412932096,['1593142492412932096'],
"RT @artistgreco: The Burial of the Count of Orgaz, 1587 #mannerism #elgreco https://t.co/kHrMZruRWY https://t.co/tE4l64ZHVl",351851658,en,2022-11-16T21:13:11.000Z,1592989182045351936,['1592989182045351936'],
RT @redfishstream: The Great Famine in India of 1876–78 is one of the most unacknowledged cases of British colonial genocide. With a death…,351851658,en,2022-11-16T21:07:36.000Z,1592987773086339073,['1592987773086339073'],"{'copyright': False, 'country_codes': ['IN']}"
"RT @I_amMukhtar: Since they want to come for Stormzy. 

Here's my favourites.

Thread 🧵",351851658,en,2022-11-16T16:27:39.000Z,1592917322691674112,['1592917322691674112'],
RT @fraveris: Winter Sun. Ryo Takemasa https://t.co/JienPPWueN,351851658,in,2022-11-16T14:02:27.000Z,1592880784003989504,['1592880784003989504'],
"RT @artinsociety: Way back in 1692, obscure Dutch artist A Boogert produced a one-off, hand-painted, 900 page catalogue of every conceivabl…",351851658,en,2022-11-16T14:01:11.000Z,1592880464146333696,['1592880464146333696'],
RT @JohnJCrace: Labour terrified of mentioning the word ‘Brexit’. So we get through whole Treasury Qs without anyone asking about the harm…,351851658,en,2022-11-16T13:50:41.000Z,1592877820245553153,['1592877820245553153'],
"RT @onionweigher: I'm thinking about the worst playmobil sets to ever exist, and ""Prussian police officer harassing a homeless man"" is defi…",351851658,en,2022-11-16T09:01:30.000Z,1592805044466122753,['1592805044466122753'],
RT @RichardJMurphy: The UK gov't can never run out of money. It's the only entity that can legally make as much of it as it likes. There ar…,351851658,en,2022-11-16T08:58:19.000Z,1592804243375026176,['1592804243375026176'],
"RT @irgarner: A reminder that Russia shot down a passenger jet over Ukraine in 2014, killing 298 civilians, and the West shrugged and got o…",351851658,en,2022-11-16T08:44:02.000Z,1592800650475208704,['1592800650475208704'],
RT @DanielaNadj: When is the British press going to acknowledge and write about the fact that the massive staff shortages in the NHS are du…,351851658,en,2022-11-16T08:42:55.000Z,1592800368613785600,['1592800368613785600'],
