text,created_at,lang,geo,id,edit_history_tweet_ids,author_id
@ayeejuju YouTube was a dating site first.,2022-11-24T02:48:36.000Z,en,{'place_id': 'b046074b1030a44d'},1595610305870045184,['1595610305870045184'],2320034306
the only thing I want to buy on Friday is hella protein powder.,2022-11-24T02:47:11.000Z,en,{'place_id': 'b046074b1030a44d'},1595609947466829824,['1595609947466829824'],2320034306
I have zero clue what country Qatar is in.,2022-11-24T02:36:59.000Z,en,{'place_id': 'b046074b1030a44d'},1595607383342198784,['1595607383342198784'],2320034306
@marieisaa I told mine to stay home and he said no. He has crazy fomo.,2022-11-23T13:09:32.000Z,en,{'place_id': 'b046074b1030a44d'},1595404178687463424,['1595404178687463424'],2320034306
@pariswithakay great minds think alike https://t.co/OUi4C4hbxT,2022-11-23T12:24:04.000Z,en,{'place_id': 'b046074b1030a44d'},1595392738278707200,['1595392738278707200'],2320034306
@SSunCreation @simsimmaaz just tastes like beef but it’s extremely tender,2022-11-23T12:14:13.000Z,en,{'place_id': 'b046074b1030a44d'},1595390258983706624,['1595390258983706624'],2320034306
"@marieisaa The Gretchen Lowel series by Chelsea Cain.

I usually don’t like murder mystery type books but these 3 were GOOD. 

Eddie Huang’s Fresh Off The Boat is really good too. It was an eye opener on Chinese households. I also related to the immigrant experience &amp; expressions A LOT.",2022-11-23T04:39:21.000Z,en,{'place_id': 'b046074b1030a44d'},1595275787074433026,['1595275787074433026'],2320034306
"@amoeba_ee 99% of his own music is hard to listen to. To me, it sounds very repetitive, and his flow definitely wasn’t nearly this decent before. 
To add insult to injury, he literally insulted gay people at his shows. 

if Macklemore and G-Eazy are still profitable, this guy’ll be fine.",2022-11-23T04:31:12.000Z,en,{'place_id': 'b046074b1030a44d'},1595273738924314625,['1595273738924314625'],2320034306
the way I’m laughing right now 😂😂😂😂😂😂😂😂😂 https://t.co/AzGD6KPKFA,2022-11-23T04:22:53.000Z,en,{'place_id': 'b046074b1030a44d'},1595271643747737600,['1595271643747737600'],2320034306
Do you think you could have a serious conversation with Tucker Carlson?,2022-11-23T04:19:47.000Z,en,{'place_id': 'b046074b1030a44d'},1595270863250944000,['1595270863250944000'],2320034306
"@LabbeDoe not anything crazy, but not the regular underwear I wear daily for work either. Usually something better quality, slightly more expensive. Like ten years ago, I tried wearing man-thongs on our sex nights 😂 but that was DEF not the wave I thought it’d be.",2022-11-23T04:11:42.000Z,en,{'place_id': 'b046074b1030a44d'},1595268828896067585,['1595268828896067585'],2320034306
"@DanielJonesMVP Chill, Saquan already got the team on his back. WR’s need to step their game up.",2022-11-23T04:07:42.000Z,en,{'place_id': 'b046074b1030a44d'},1595267822598365184,['1595267822598365184'],2320034306
Idk why my hair is taking like 6 hours to dry tonight..,2022-11-23T04:06:07.000Z,en,{'place_id': 'b046074b1030a44d'},1595267426320531456,['1595267426320531456'],2320034306
"do other men have date night underwear too, or just me?",2022-11-23T01:29:35.000Z,en,{'place_id': 'b046074b1030a44d'},1595228034235244544,['1595228034235244544'],2320034306
I can only listen to soca if I’m in a bad mood. Everything else makes me do irrational shit.,2022-11-23T01:14:17.000Z,en,{'place_id': 'b046074b1030a44d'},1595224181771223046,['1595224181771223046'],2320034306
love di way how you whine &amp; jiggle it,2022-11-23T01:12:26.000Z,en,{'place_id': 'b046074b1030a44d'},1595223717587652610,['1595223717587652610'],2320034306
@UberFacts then I’ll never get it,2022-11-23T01:10:06.000Z,en,{'place_id': 'b046074b1030a44d'},1595223127277051906,['1595223127277051906'],2320034306
@DailyLoud he need his CDL,2022-11-23T01:08:26.000Z,en,{'place_id': 'b046074b1030a44d'},1595222710484963330,['1595222710484963330'],2320034306
@checkystomper88 Try Gochujang &amp; a little peanut sauce.,2022-11-22T14:44:53.000Z,pl,{'place_id': '609b31e0a50b4474'},1595065786435096579,['1595065786435096579'],2320034306
Why does it take me 57 minutes to travel 2.2 miles?,2022-11-22T13:44:09.000Z,en,{'place_id': 'c5e2e95296cb121d'},1595050505453113344,['1595050505453113344'],2320034306
RT @BornAKang: Just a little more to go lmao https://t.co/v3lWtX9TNq,2022-11-22T12:30:52.000Z,en,,1595032061546463235,['1595032061546463235'],2320034306
RT @JuvyWicks: So this why y’all love anime so much 😂 https://t.co/Ha6XuXf4TH,2022-11-22T12:19:40.000Z,en,,1595029245138538497,['1595029245138538497'],2320034306
@BurnerThisa @Jenchy_ @ItsthatgirlTyy absolutely nothing to do with it. It’s a copycat brand.,2022-11-21T20:40:35.000Z,en,{'place_id': 'b046074b1030a44d'},1594792914680516609,['1594792914680516609'],2320034306
RT @amoeba_ee: If the tab comes to $150 but you ordered less who sits in the back seat you or his mom and do men even really like women ove…,2022-11-21T20:37:20.000Z,en,,1594792096870825984,['1594792096870825984'],2320034306
"Anyone know where I can get a good quality Young Dolph rap tee?

 I can only find cheap Goldman prints.",2022-11-21T20:29:41.000Z,en,{'place_id': 'b046074b1030a44d'},1594790171785961472,['1594790171785961472'],2320034306
you can’t talk to my girl she a rich nigga bitch,2022-11-21T14:56:59.000Z,en,{'place_id': 'b046074b1030a44d'},1594706443969744901,['1594706443969744901'],2320034306
"@KodyAmour @FireBat0313 @TomiLahren @realDonaldTrump Truth Social has 1.5 million users total. Twitter has 450 million active users daily. 

You think pharmaceutical companies are threatened by kids selling dime bags too?",2022-11-21T14:53:53.000Z,en,{'place_id': 'b046074b1030a44d'},1594705666891210752,['1594705666891210752'],2320034306
@kellisoze @JongodSama @Yglue2 @RealLathan 🎯,2022-11-21T12:26:19.000Z,und,,1594668528761798657,['1594668528761798657'],2320034306
@UberFacts Plan B,2022-11-21T12:18:23.000Z,en,,1594666532046512129,['1594666532046512129'],2320034306
@RepMTG it’s almost like fentanyl is already illegal..,2022-11-21T06:10:23.000Z,en,{'place_id': 'b046074b1030a44d'},1594573922946715651,['1594573922946715651'],2320034306
@sicksicksickx wait so you quit and you’re closing the shop?,2022-11-20T22:37:12.000Z,en,,1594459874846539780,['1594459874846539780'],2320034306
@SneakerHeadMo Yup. That’s how we’re able to travel so much.,2022-11-20T22:29:18.000Z,en,{'place_id': 'b046074b1030a44d'},1594457887602089985,['1594457887602089985'],2320034306
How the fuck did we lose to the lions?,2022-11-20T22:26:32.000Z,en,{'place_id': 'b046074b1030a44d'},1594457189548179456,['1594457189548179456'],2320034306
@emtlina You know nothing Jon Snow.,2022-11-20T22:15:39.000Z,en,{'place_id': 'b046074b1030a44d'},1594454451233980416,['1594454451233980416'],2320034306
RT @ohfold: so this is what smokepurpp up to nowadays 😭 https://t.co/dwM4ddiBhi,2022-11-20T18:50:11.000Z,en,,1594402744659738624,['1594402744659738624'],2320034306
@freejohnfr Thank you for your proper use of “should have”,2022-11-20T17:37:36.000Z,en,{'place_id': 'b046074b1030a44d'},1594384478029467649,['1594384478029467649'],2320034306
@SneakerHeadMo Antigua is the city in Guatemala. I was confused the first time too lmao,2022-11-20T17:03:41.000Z,en,{'place_id': 'b046074b1030a44d'},1594375944084635648,['1594375944084635648'],2320034306
"no, I’m the white Ranger. You can be the blue one.",2022-11-20T16:29:38.000Z,en,{'place_id': 'b046074b1030a44d'},1594367373766705152,['1594367373766705152'],2320034306
"@SneakerHeadMo Antigua, Guatemala. I went back in May and LOVED it. Flight was $230 round trip and I didn’t spend more than $5 on any meal (unless you eat at the American spots)

I went to San Pedro, Belize a couple weeks ago and it was amazing too but not cheap at all.",2022-11-20T16:27:06.000Z,en,{'place_id': 'b046074b1030a44d'},1594366734944829444,['1594366734944829444'],2320034306
one thing I like about working outside all day is I get to carb load every single day.,2022-11-20T16:24:29.000Z,en,{'place_id': 'b046074b1030a44d'},1594366078725263360,['1594366078725263360'],2320034306
@stephlova__ then it’s all games over here 🥲 lmao,2022-11-20T14:45:41.000Z,en,{'place_id': 'b046074b1030a44d'},1594341214056112129,['1594341214056112129'],2320034306
@MementoMoriXO wicked games,2022-11-20T14:35:27.000Z,en,{'place_id': 'b046074b1030a44d'},1594338636874629124,['1594338636874629124'],2320034306
RT @yourboyfcisco: No such thing as havin too many hoes don’t let your significant other tell you otherwise,2022-11-20T08:50:37.000Z,en,,1594251858264358914,['1594251858264358914'],2320034306
"@Agu787_ @JeLaminah @iamcardib You’re mad she dressed in burlesque for a burlesque party? 

Do you get mad people poop in bathrooms too?",2022-11-20T08:11:51.000Z,en,{'place_id': 'b046074b1030a44d'},1594242102841561088,['1594242102841561088'],2320034306
Yup.. https://t.co/vGY93cbNZL,2022-11-20T07:36:31.000Z,qst,{'place_id': 'b046074b1030a44d'},1594233211424579584,['1594233211424579584'],2320034306
@RepMTG what the fuck does this even mean? 😂,2022-11-20T07:27:33.000Z,en,{'place_id': 'b046074b1030a44d'},1594230952137367552,['1594230952137367552'],2320034306
@SuperPatriotMax @NiaRusso20 @Thomas_F_McHugh @TomiLahren I think you need to use smaller words for them to comprehend. https://t.co/2mQg9CKUC1,2022-11-20T07:25:26.000Z,en,{'place_id': 'b046074b1030a44d'},1594230421855690752,['1594230421855690752'],2320034306
@SuperPatriotMax @NiaRusso20 @Thomas_F_McHugh @TomiLahren 🎯,2022-11-20T07:24:47.000Z,und,{'place_id': 'b046074b1030a44d'},1594230256432517121,['1594230256432517121'],2320034306
"don’t care how old I am, I can’t get jiggy wit olives.",2022-11-20T07:14:26.000Z,en,{'place_id': 'b046074b1030a44d'},1594227652545884160,['1594227652545884160'],2320034306
I really didn’t think this shoe would be this hard to get. I didn’t think I’d need to ask someone else  to get them for me.. but here I am.,2022-11-20T06:58:05.000Z,en,{'place_id': 'b046074b1030a44d'},1594223537530998785,['1594223537530998785'],2320034306
@SlayByJNails @SneakerPhetish you can literally set your “right price” on any reseller platform,2022-11-20T06:55:40.000Z,en,{'place_id': 'b046074b1030a44d'},1594222929180778497,['1594222929180778497'],2320034306
These Chinese scammers be texting my phone shit like “hey can we talk later?” and sometimes I be high af and forget so I be wanting to reply back. I also can never tell if it’s someone from work or not. I’ve had to stop myself like 4 times today.,2022-11-20T06:54:06.000Z,en,{'place_id': 'b046074b1030a44d'},1594222536367263744,['1594222536367263744'],2320034306
"If you’re buying every single Jordan retro release, you obviously aren’t doing it because you love sneakers.",2022-11-20T06:28:51.000Z,en,{'place_id': 'b046074b1030a44d'},1594216180868423681,['1594216180868423681'],2320034306
@WiZWhit87 @benjidontshoot @magickthot @coldcereaIgang @MotorCityVIXEN That’s it. You don’t need to be dirty to take a bath/shower. Only once a day is pretty gross if you’re out and about.,2022-11-20T01:24:39.000Z,en,,1594139626154909697,['1594139626154909697'],2320034306
"@MotorCityVIXEN nah, you’re just gross.",2022-11-20T01:20:29.000Z,en,{'place_id': 'b046074b1030a44d'},1594138577713217537,['1594138577713217537'],2320034306
RT @xtmariee: Idc how broke I am I always got money for food and a abortion,2022-11-20T01:19:17.000Z,en,,1594138276474286080,['1594138276474286080'],2320034306
RT @moneymatos_: I miss when you could buy sneakers in stores.,2022-11-20T01:14:39.000Z,en,,1594137112353427457,['1594137112353427457'],2320034306
@OGlex444 myself.,2022-11-20T00:40:09.000Z,en,{'place_id': 'b046074b1030a44d'},1594128427820503041,['1594128427820503041'],2320034306
I’ve never tried so hard not to fuck up at a job like this one.,2022-11-20T00:14:50.000Z,en,{'place_id': 'b046074b1030a44d'},1594122059256307712,['1594122059256307712'],2320034306
@Shalalashanta @__JULZY__ it’s not like they could get an abortion though,2022-11-19T23:55:30.000Z,en,{'place_id': 'b046074b1030a44d'},1594117192739655680,['1594117192739655680'],2320034306
@LabbeDoe https://t.co/IDb2ICFDAg,2022-11-19T23:17:30.000Z,qme,{'place_id': 'c5e2e95296cb121d'},1594107629101776897,['1594107629101776897'],2320034306
"I think asking for pussy is weird, not matter how long y’all been together.",2022-11-19T21:12:18.000Z,en,{'place_id': '65e3a577f1940550'},1594076122492424194,['1594076122492424194'],2320034306
@__JULZY__ Naah I waited literally all year and they didn’t even let me try,2022-11-19T17:15:35.000Z,en,{'place_id': 'a00eca4a164f8548'},1594016551711260673,['1594016551711260673'],2320034306
there’s no way resale is higher now than it was yesterday..,2022-11-19T16:24:55.000Z,en,{'place_id': 'ebbd168611073cb8'},1594003798149763072,['1594003798149763072'],2320034306
Nike’s server is some kid on his Xbox.,2022-11-19T15:24:21.000Z,en,{'place_id': 'ebbd168611073cb8'},1593988558951530496,['1593988558951530496'],2320034306
Fuck SNKRS,2022-11-19T15:08:23.000Z,en,{'place_id': 'ebbd168611073cb8'},1593984540728594433,['1593984540728594433'],2320034306
RT @SnkrsStock: I can’t enter!,2022-11-19T15:05:49.000Z,en,,1593983893450940416,['1593983893450940416'],2320034306
I’m pretty sure me and my girl laughed ourselves to sleep crackin on each other last night 😂,2022-11-19T12:11:56.000Z,en,{'place_id': 'b046074b1030a44d'},1593940132482416640,['1593940132482416640'],2320034306
"My son is sick and he voluntarily asked to still go to school yesterday and thugged it out just to see Mickey, who he’s seen many times already. 

I would’ve NEVER gone to school if my mom already decided to let me stay home.",2022-11-19T12:07:32.000Z,en,{'place_id': 'b046074b1030a44d'},1593939027094274049,['1593939027094274049'],2320034306
@RepMTG I don’t think you know what impeachment is..,2022-11-19T08:19:47.000Z,en,{'place_id': 'b046074b1030a44d'},1593881709489328128,['1593881709489328128'],2320034306
my girl be falling asleep watching TikTok so the screen never times out and it drains her phone every single night.,2022-11-19T08:16:04.000Z,en,{'place_id': 'b046074b1030a44d'},1593880776952537088,['1593880776952537088'],2320034306
@sillyboneswag95 lmao fuck you,2022-11-19T07:48:13.000Z,en,{'place_id': 'b046074b1030a44d'},1593873767935229959,['1593873767935229959'],2320034306
RT @SoloChills: Remember when this went quadruple platinum on Twitter https://t.co/BFlrmdygYG,2022-11-19T07:43:07.000Z,en,,1593872485791023105,['1593872485791023105'],2320034306
What’s a somebody in a nobody town?,2022-11-18T13:25:08.000Z,en,{'place_id': 'b046074b1030a44d'},1593596166599573504,['1593596166599573504'],2320034306
@SOLELINKS y’all don’t like 95’s?!,2022-11-18T13:00:41.000Z,en,{'place_id': 'b046074b1030a44d'},1593590013505183746,['1593590013505183746'],2320034306
I hate that I don’t have time or energy for an extra curricular activity after work.,2022-11-18T12:43:19.000Z,en,{'place_id': 'b046074b1030a44d'},1593585642096689152,['1593585642096689152'],2320034306
