id,author_id,edit_history_tweet_ids,text,lang,created_at,geo
1596924696640950272,64413577,['1596924696640950272'],RT @sweetbabyrayes: Sound up!🤣 https://t.co/hPV3mMbXxl,en,2022-11-27T17:51:31.000Z,
1596922758503755778,64413577,['1596922758503755778'],Slap heard around the world https://t.co/I3t9lFcL1N,en,2022-11-27T17:43:49.000Z,
1596810228649295873,64413577,['1596810228649295873'],To early to be up,en,2022-11-27T10:16:40.000Z,
1596694505008275456,64413577,['1596694505008275456'],RT @aduItmoods: https://t.co/zfLvHoCQFL,zxx,2022-11-27T02:36:49.000Z,
1596660501408550913,64413577,['1596660501408550913'],Dont know which pie to eat first 🤤😋,en,2022-11-27T00:21:42.000Z,
1596583563679641600,64413577,['1596583563679641600'],😅,art,2022-11-26T19:15:59.000Z,
1596573527498522629,64413577,['1596573527498522629'],... https://t.co/kMnX3L4hvx,zxx,2022-11-26T18:36:06.000Z,{'place_id': '1069f31867541001'}
1596544938082439168,64413577,['1596544938082439168'],Especially this one 🤌🏾 @BigSean https://t.co/N5siPxrM5u,en,2022-11-26T16:42:30.000Z,
1596543170782765056,64413577,['1596543170782765056'],Any time a song comes on from this album I gotta listen to the rest straight through. @twenty88 https://t.co/t5GneZyguK,en,2022-11-26T16:35:28.000Z,
1596521468657299458,64413577,['1596521468657299458'],Been there done that. Pleasure is key 🤌🏾,en,2022-11-26T15:09:14.000Z,
1596500572328194050,64413577,['1596500572328194050'],@CamilleTwaa Gym,und,2022-11-26T13:46:12.000Z,
1596488333365940224,64413577,['1596488333365940224'],Le me go ball her up so i can play CoD all day.,en,2022-11-26T12:57:34.000Z,
1596434100067651584,64413577,['1596434100067651584'],Took a sip of juice and had to double back to the fridge,en,2022-11-26T09:22:04.000Z,
1596431738477154307,64413577,['1596431738477154307'],Making the biggest plate of yams and mac and cheese 😋,en,2022-11-26T09:12:41.000Z,
1596406801297469440,64413577,['1596406801297469440'],https://t.co/DCxLrDWeVk,zxx,2022-11-26T07:33:35.000Z,
1596406366583001088,64413577,['1596406366583001088'],Now ima be up all night,en,2022-11-26T07:31:52.000Z,
1596261982499282944,64413577,['1596261982499282944'],Having a debate need some help,en,2022-11-25T21:58:08.000Z,
1596219947985895431,64413577,['1596219947985895431'],Breathe through ya ears mamas https://t.co/Pvu1wU2hXj,en,2022-11-25T19:11:06.000Z,
1596209514432278529,64413577,['1596209514432278529'],Conquito 🥃,pt,2022-11-25T18:29:39.000Z,
1596140461525434368,64413577,['1596140461525434368'],Ha https://t.co/ot49DeavYe,qst,2022-11-25T13:55:15.000Z,
1596140399500066819,64413577,['1596140399500066819'],Blast off,en,2022-11-25T13:55:00.000Z,
1595813060195024896,64413577,['1595813060195024896'],@Tarz629 Spin the block brodie,en,2022-11-24T16:14:16.000Z,
1595812965919457281,64413577,['1595812965919457281'],Everything reminds me of her 😭 https://t.co/gERrWueCaH,en,2022-11-24T16:13:54.000Z,
1595804342887780353,64413577,['1595804342887780353'],The days off to a good start,en,2022-11-24T15:39:38.000Z,
1595750353852661760,64413577,['1595750353852661760'],Real ones know 🤝🏾 https://t.co/IOjdsOxdTH,en,2022-11-24T12:05:06.000Z,
1595748965022322689,64413577,['1595748965022322689'],Happy Birthday America 🙃,en,2022-11-24T11:59:35.000Z,
1595642119049428993,64413577,['1595642119049428993'],Turkey ain't the only thing getting stuffed tonight.,en,2022-11-24T04:55:01.000Z,
1595625863709884416,64413577,['1595625863709884416'],I be forgetting which twitter im on till i look at the picture next to the tweet 😅,en,2022-11-24T03:50:25.000Z,
1595625074828230656,64413577,['1595625074828230656'],😭😭😭😭😭😭 caption the geek https://t.co/aDSmimbVtM,en,2022-11-24T03:47:17.000Z,
1595623412214673409,64413577,['1595623412214673409'],*any meal https://t.co/tY759XzfB9,en,2022-11-24T03:40:41.000Z,
1595599033061482505,64413577,['1595599033061482505'],So sad https://t.co/H3bvMQhNTe,en,2022-11-24T02:03:48.000Z,
1595575496015855619,64413577,['1595575496015855619'],"RT @SneakerPhetish: I CANT STOP LAUGHING 😂😂

 https://t.co/GFAiCx1X4g",en,2022-11-24T00:30:17.000Z,
1595537872496492544,64413577,['1595537872496492544'],I need these https://t.co/s6iuX7DBPw,en,2022-11-23T22:00:47.000Z,
1595535038329806848,64413577,['1595535038329806848'],Bring that to 253 😭,en,2022-11-23T21:49:31.000Z,
1595453072649719808,64413577,['1595453072649719808'],Numbers goin up 🙌🏾,en,2022-11-23T16:23:49.000Z,
1595280962367143939,64413577,['1595280962367143939'],Chewsday 🙌🏾 https://t.co/vy78fIwsjg,en,2022-11-23T04:59:54.000Z,
1595232560765960193,64413577,['1595232560765960193'],Need this for the winter https://t.co/7td9ioGkkw,en,2022-11-23T01:47:35.000Z,
1595217021951963136,64413577,['1595217021951963136'],RT @Tabb_Renee: #CandiedGrapes https://t.co/N4hgD1DfM1,qme,2022-11-23T00:45:50.000Z,
1595184511725498369,64413577,['1595184511725498369'],"Women are alot like bacon.

They smell amazing 
They taste delicious 

And they'll kill you slowly.",en,2022-11-22T22:36:39.000Z,
1595181901278494721,64413577,['1595181901278494721'],Not much but its a start 😈 https://t.co/kIMjC47iyK,en,2022-11-22T22:26:16.000Z,
1595172233982394368,64413577,['1595172233982394368'],Gwb2 strikes again 🥴,en,2022-11-22T21:47:52.000Z,
1595103597888507904,64413577,['1595103597888507904'],https://t.co/g0dLUw2zz4,zxx,2022-11-22T17:15:07.000Z,
1595055934199545856,64413577,['1595055934199545856'],Its Chewsday Innit Luv 😍,en,2022-11-22T14:05:44.000Z,
1595045133808009216,64413577,['1595045133808009216'],RT @MsReyda: Ay lmaoooooooo!!! https://t.co/kwdoQcPXBu,ht,2022-11-22T13:22:49.000Z,
1595044168182775809,64413577,['1595044168182775809'],@arcadedotwav @elitelife_kd @thisvideo_bot,qam,2022-11-22T13:18:58.000Z,
1594983227504082945,64413577,['1594983227504082945'],Nite nite,en,2022-11-22T09:16:49.000Z,
1594983117214867457,64413577,['1594983117214867457'],@FahTheDemon Yea its no joke out there.,en,2022-11-22T09:16:23.000Z,
1594976470140850176,64413577,['1594976470140850176'],Except for 1. You there for life bucko 🤠,en,2022-11-22T08:49:58.000Z,
1594976357880037377,64413577,['1594976357880037377'],Cleared the block list. Not that emotional invested anymore.,en,2022-11-22T08:49:31.000Z,
1594975827120517120,64413577,['1594975827120517120'],@FahTheDemon Stay safe out there my guy,en,2022-11-22T08:47:25.000Z,
1594974768184401920,64413577,['1594974768184401920'],RT @Dreskioo: I'd eat my girl 6 times a day if she wanted me to😛,en,2022-11-22T08:43:12.000Z,
1594974680842391552,64413577,['1594974680842391552'],RT @AriLennox: 😇 https://t.co/SPQbaaMdev,und,2022-11-22T08:42:51.000Z,
1594973582022828032,64413577,['1594973582022828032'],3 bags of clothes and a clean kitchen later. 🥃,en,2022-11-22T08:38:29.000Z,
1594958301552574465,64413577,['1594958301552574465'],Folding laundry 😪,en,2022-11-22T07:37:46.000Z,
1594953193229897728,64413577,['1594953193229897728'],"Deck &gt; balcony 

I aint gotta pay to fuck on my deck 😂",en,2022-11-22T07:17:28.000Z,
1594949895580160000,64413577,['1594949895580160000'],RT @kobehighlight: “Wasting your time doubting whether you’re gonna be successful or not is pointless. You control what you can control.” -…,en,2022-11-22T07:04:22.000Z,
1594931758012702720,64413577,['1594931758012702720'],Wz2,qst,2022-11-22T05:52:18.000Z,
1594800266146095129,64413577,['1594800266146095129'],RT @RealFamilyCrete: Whatever Erykah Badu did to Andre 3000 I want somebody’s daughter to do the same thing to me,en,2022-11-21T21:09:48.000Z,
1594728255067652098,64413577,['1594728255067652098'],@CamilleTwaa We know why https://t.co/KG9XSxBFVZ,en,2022-11-21T16:23:39.000Z,
1594554479457619968,64413577,['1594554479457619968'],Fun project. Messy but fun. https://t.co/NsLf675P3r,en,2022-11-21T04:53:07.000Z,
1594530578170204160,64413577,['1594530578170204160'],If yall need a boo for Christmas PJ pictures I wear a size XL 😁,en,2022-11-21T03:18:09.000Z,
1594490764741984256,64413577,['1594490764741984256'],Hold on for the ride 😭 https://t.co/24h3iGiV7r,en,2022-11-21T00:39:57.000Z,
1594454924477304838,64413577,['1594454924477304838'],@tahdollasign Can't say these thoughts on FB too many family members 😅😂,en,2022-11-20T22:17:32.000Z,
1594454633895821314,64413577,['1594454633895821314'],😌 https://t.co/1D4pI6l1ng,und,2022-11-20T22:16:22.000Z,
1594438740130369536,64413577,['1594438740130369536'],If she not grabbing the tweezers to get ya hair bumps does she truly love you?,en,2022-11-20T21:13:13.000Z,
1594405339046170624,64413577,['1594405339046170624'],@tahdollasign Whats wrong? 😂,en,2022-11-20T19:00:30.000Z,
1594309072349954048,64413577,['1594309072349954048'],Ima great step too! #GetTheFruitSnacks,en,2022-11-20T12:37:58.000Z,
1594307613705244672,64413577,['1594307613705244672'],I honestly cant wait 🤞🏾,en,2022-11-20T12:32:10.000Z,
1594307196065845249,64413577,['1594307196065845249'],"Matter of fact, lets make it a Christmas card. Send it out to all 3 families and watch jaws drop. 😁",en,2022-11-20T12:30:30.000Z,
1594307009980944384,64413577,['1594307009980944384'],Get everybody one. Even the little ones.,en,2022-11-20T12:29:46.000Z,
1594300818869473281,64413577,['1594300818869473281'],"""Nighty night keep ya butt hole tight.""- Tyrone Biggums",en,2022-11-20T12:05:10.000Z,
1594300126293626881,64413577,['1594300126293626881'],Blending,en,2022-11-20T12:02:25.000Z,
1594292516140220417,64413577,['1594292516140220417'],Front or back....... either way she gon get ate 🤷🏾,en,2022-11-20T11:32:11.000Z,
1594157058110418944,64413577,['1594157058110418944'],Luminature zoo date https://t.co/x9UWrVuE6g,en,2022-11-20T02:33:55.000Z,{'place_id': '07d9db154ec81003'}
1594151117054681089,64413577,['1594151117054681089'],"You know she bout to go to sleep, go throw that cover in the dryer for a good 20 mins guaranteed you get the two hand gawk gawk 3000.",en,2022-11-20T02:10:18.000Z,
1594078162475958273,64413577,['1594078162475958273'],@T_Kane Be feeling like you can do anything afterwards 😂,en,2022-11-19T21:20:25.000Z,
1594058958976999424,64413577,['1594058958976999424'],Love biscuits and gravy 🤤😋,en,2022-11-19T20:04:06.000Z,
1594024650651992064,64413577,['1594024650651992064'],@CamilleTwaa Na everybody does it from time to time,en,2022-11-19T17:47:46.000Z,
1594020376014716928,64413577,['1594020376014716928'],@CamilleTwaa https://t.co/2EdX25XDCd,qme,2022-11-19T17:30:47.000Z,
1594020055032791042,64413577,['1594020055032791042'],@Walmart mind training your associates on the technology you guys are using with walmart+ please. Thanks,en,2022-11-19T17:29:31.000Z,
