lang,edit_history_tweet_ids,text,geo,author_id,id,created_at
en,['1536292106536308736'],"@RaveenaSinha82 I can't do chat, I do only pani puri not chat . 😎",,4668238213,1536292106536308736,2022-06-13T10:19:15.000Z
und,['1535929215962402816'],@madiha690 S,,4668238213,1535929215962402816,2022-06-12T10:17:15.000Z
en,['1535924958789894145'],"@Isoumyas My god 😎 you look so sexy and beautiful. No words . Really want to meet you, but I know it’s not possible.",,4668238213,1535924958789894145,2022-06-12T10:00:20.000Z
hi,['1530743605807026176'],"@SnehaSi44956331 सुबह सुबह लगी है तो टोईलेट में जाओ . हॉल में कोई करता है कया, देख के लगता है बहुत ज़ोरों से लगी है . 😊",,4668238213,1530743605807026176,2022-05-29T02:51:30.000Z
en,['1530374415585665024'],"@Isoumyas You look so beautiful in this picture, but don’t know many people are creating fake I’d with fake pictures. God know with fake se kaya milta hai . Anyway you are really looking so gorgeous 👌",,4668238213,1530374415585665024,2022-05-28T02:24:28.000Z
hi,['1528354286840598530'],@Kajal_2022 Bhukhi ho tho roti khaw 😊,,4668238213,1528354286840598530,2022-05-22T12:37:12.000Z
en,['1528353426484039680'],"@Isoumyas Hahah , but no one eat masala dosa with spoon . I’m in southern part of India .",,4668238213,1528353426484039680,2022-05-22T12:33:46.000Z
en,['1526281988105117696'],"@KiaInd Dear Sir , I want to book karnival top variant by tomorrow at your Visakhapaham dealers. We request your help and how fast you can give me delivery at Visakhapaham.  Pls suggest.",,4668238213,1526281988105117696,2022-05-16T19:22:37.000Z
und,['1526068919311577088'],Yes https://t.co/y8fcYbmnsh,,4668238213,1526068919311577088,2022-05-16T05:15:58.000Z
zxx,['1525903933147070464'],https://t.co/jVv2a5WHde,,4668238213,1525903933147070464,2022-05-15T18:20:22.000Z
en,['1525903659972050944'],Ooty - mast mast climate hai 🌧☔️ https://t.co/8mG4dTgBBh,,4668238213,1525903659972050944,2022-05-15T18:19:17.000Z
zxx,['1522422651804782593'],https://t.co/t1XFjtCuu7,,4668238213,1522422651804782593,2022-05-06T03:47:00.000Z
en,['1519969096447651840'],@vatsala_99 That’s right .,,4668238213,1519969096447651840,2022-04-29T09:17:26.000Z
zxx,['1517587425186676736'],https://t.co/cRI2V03fPJ,,4668238213,1517587425186676736,2022-04-22T19:33:32.000Z
en,['1517571343482380288'],This is our Visakhapaham 😊 https://t.co/4CkVYlXwYr,,4668238213,1517571343482380288,2022-04-22T18:29:38.000Z
en,['1514567607386402820'],@Isoumyas Very nice 👍,,4668238213,1514567607386402820,2022-04-14T11:33:51.000Z
en,['1513712481570590724'],@NehaShah181 @Isoumyas 😊 S you are right .,,4668238213,1513712481570590724,2022-04-12T02:55:53.000Z
hi,['1512840106532433920'],@Isoumyas Jai shree Ram 🙏. Jai mata di 🙏,,4668238213,1512840106532433920,2022-04-09T17:09:23.000Z
en,['1512699169651142659'],@Isoumyas 🙏👍👌🤗😊 Wao !!! You both are so handsome.,,4668238213,1512699169651142659,2022-04-09T07:49:21.000Z
en,['1512679585267167235'],@Isoumyas Want to see your husband 😊,,4668238213,1512679585267167235,2022-04-09T06:31:32.000Z
und,['1511297670463197188'],@WithdoubleEE 👍,,4668238213,1511297670463197188,2022-04-05T11:00:17.000Z
hi,['1511297310998740994'],@ZeeNews Jai shree Ram 🙏,,4668238213,1511297310998740994,2022-04-05T10:58:52.000Z
hi,['1511297212554219521'],@Raghu35A 👍🙏 jai shree Ram,,4668238213,1511297212554219521,2022-04-05T10:58:28.000Z
en,['1504418772177735682'],@BJPWale_ 🙏 we are with you.,,4668238213,1504418772177735682,2022-03-17T11:26:00.000Z
en,['1503720334494605312'],What happened,,4668238213,1503720334494605312,2022-03-15T13:10:40.000Z
und,['1499407487270723584'],@REAL___HINDUVT @brajeshyadav001 Yes 👍,,4668238213,1499407487270723584,2022-03-03T15:32:57.000Z
hi,['1498052833991544835'],@GeetaSundaram @anandmahindra यू शुड नो . अरकु 😊,,4668238213,1498052833991544835,2022-02-27T21:50:02.000Z
hi,['1496055556095754244'],@Yogesh4_BJP Jai shri Ram 🙏🙏,,4668238213,1496055556095754244,2022-02-22T09:33:34.000Z
en,['1495364222867230722'],@vizaginsight Proud feeling for us .,,4668238213,1495364222867230722,2022-02-20T11:46:27.000Z
und,['1494374169701601286'],@HumorMonger31 45283,,4668238213,1494374169701601286,2022-02-17T18:12:20.000Z
tl,['1490923128360353793'],@ZeeNews @capt_ivane @SachinArorra Hijab pahanne walo ko terminate kar diya jai immediately school se .,,4668238213,1490923128360353793,2022-02-08T05:39:08.000Z
hi,['1490902620466147330'],@DograTishaa 🙏 Jai Hanuman Gayan Gun Sagar …,,4668238213,1490902620466147330,2022-02-08T04:17:39.000Z
und,['1490258917250658304'],@Astro_Healer_Sh 🙏🙏 RIP 💐,,4668238213,1490258917250658304,2022-02-06T09:39:48.000Z
hi,['1490258342798786561'],RT @Astro_Healer_Sh: Lata Mangeshkar ji hamesha aap humare dil mein rahengi🙏🙏 https://t.co/NFjUjM2Z5q,,4668238213,1490258342798786561,2022-02-06T09:37:31.000Z
en,['1490255651909505028'],@narendramodi Loveyou  👏,,4668238213,1490255651909505028,2022-02-06T09:26:49.000Z
qme,['1490223063866097666'],@narendramodi https://t.co/M5SyP8bDuy,,4668238213,1490223063866097666,2022-02-06T07:17:20.000Z
en,['1490180373900234752'],"@suresh_kandelli They are not trustable, i paid 2000/- but no any number given to me , after payment of 2000/- they are asking to pay again 1000/- . So be careful they are fake people.",,4668238213,1490180373900234752,2022-02-06T04:27:42.000Z
und,['1490050064055635970'],@deeptiberry Wao 👍,,4668238213,1490050064055635970,2022-02-05T19:49:53.000Z
hi,['1488735450617421824'],@SrBachchan Har har Mahadev 🙏🙏 jai Shiv Shankar bhole baba.,,4668238213,1488735450617421824,2022-02-02T04:46:05.000Z
en,['1487880550467928064'],@VizagWeather247 @vinoothna_vinnu 👍 nice information,,4668238213,1487880550467928064,2022-01-30T20:09:01.000Z
en,['1487340938045247489'],@meenus Nice place 🙏💐,{'place_id': '29bb415ee6913e39'},4668238213,1487340938045247489,2022-01-29T08:24:47.000Z
en,['1487026215643127808'],This we are Tata 🙏🙏. https://t.co/WrjtMgFSYZ,{'place_id': '29bb415ee6913e39'},4668238213,1487026215643127808,2022-01-28T11:34:12.000Z
en,['1486658541008027649'],@ShineHamesha Even I’m having now in my house and it’s kept in running condition.,{'place_id': '29bb415ee6913e39'},4668238213,1486658541008027649,2022-01-27T11:13:11.000Z
en,['1486438317566541827'],@dr_aleeya2 I don’t think you are Dr 😁.,,4668238213,1486438317566541827,2022-01-26T20:38:06.000Z
en,['1486084869952520193'],@sweetha_reddy Good morning dear 😊.,{'place_id': '29bb415ee6913e39'},4668238213,1486084869952520193,2022-01-25T21:13:37.000Z
en,['1484960840524902402'],"Subhash Chandra Bose's birthday is celebrated on January 23. Netaji gave slogans 'You give me blood; I'll give you freedom' and ""Jai Hind"". https://t.co/mhVptfuhGF",{'place_id': '29bb415ee6913e39'},4668238213,1484960840524902402,2022-01-22T18:47:08.000Z
und,['1484421075966783491'],@DRMWaltairECoR @VisakhapatnamJn @RailMinIndia @EastCoastRail @DRMSambalpur @DRMKhurdaRoad @serailwaykol @SCRailwayIndia 🙏,{'place_id': '29bb415ee6913e39'},4668238213,1484421075966783491,2022-01-21T07:02:18.000Z
und,['1484391985729650688'],@Sriijitha @ChikatiRajyam52 @Vasanth13635094 @todaystwiter @kishorejoy384 @Aham_Rasikaha @magaadu9 @Harshit01277494 ☺️👍,,4668238213,1484391985729650688,2022-01-21T05:06:42.000Z
en,['1484390672035905537'],@sweetha_reddy Good morning swetha 👍,,4668238213,1484390672035905537,2022-01-21T05:01:29.000Z
en,['1484290377154985984'],Comments pls https://t.co/x6ceUfIZva,{'place_id': '29bb415ee6913e39'},4668238213,1484290377154985984,2022-01-20T22:22:57.000Z
zxx,['1484275230273318913'],https://t.co/6sGe0mOqwD,{'place_id': '29bb415ee6913e39'},4668238213,1484275230273318913,2022-01-20T21:22:46.000Z
hi,['1484039175540473856'],@ApkiMonika Khushi kam aur jayada gum lag rahi ho aap ☺️. But lag tho raho ho aachi .,{'place_id': '29bb415ee6913e39'},4668238213,1484039175540473856,2022-01-20T05:44:46.000Z
en,['1483757054770626560'],@VisakhapatnamJn @DRMWaltairECoR @MVenkaiahNaidu @VSKPJn @VPSecretariat @GMSERAILWAY @ravitejak07 @UttamChakram @vskpism @shark_mendy @13Irvamsi @Karthikjillella @eswarkanchu @Eswararao2517 @VizagPanda 🙏 nice,,4668238213,1483757054770626560,2022-01-19T11:03:43.000Z
en,['1483494615705473026'],@VizagWeather247 If positively then what type of medicine to take ?? Any medicine??,,4668238213,1483494615705473026,2022-01-18T17:40:53.000Z
und,['1483361707754160140'],@vizaginsight 👍,,4668238213,1483361707754160140,2022-01-18T08:52:45.000Z
en,['1482921673817206786'],I’m new to Twiter how to talk ?? Pls suggest all the friends.,,4668238213,1482921673817206786,2022-01-17T03:44:13.000Z
en,['1481823406199029761'],"@Astro_Healer_Sh Wao , nice to know all this . Bahut aacha . Happy Pongal",,4668238213,1481823406199029761,2022-01-14T03:00:05.000Z
und,['1480993940060864514'],@Purvii703 🤗,,4668238213,1480993940060864514,2022-01-11T20:04:05.000Z
hi,['1480993080857665537'],@gudiya_mishrain @RawatAmeesha @alima_zubeda @Eak_Aurt @sexyasha313 @madhunaughty1 @susmitsingh06 @SoniDev70818414 @AmritaT98373433 @sonali7780 @sonidevi3264 Sach hai,,4668238213,1480993080857665537,2022-01-11T20:00:40.000Z
en,['1479915052249477124'],"@metals_rakhi Very nice, sound good 👍",,4668238213,1479915052249477124,2022-01-08T20:36:58.000Z
en,['1479511240565133313'],@Tourism_AP @VizagRailways Nice place to go and stay . I’m going next week.,,4668238213,1479511240565133313,2022-01-07T17:52:22.000Z
en,['1479372297995636736'],Any comments for this picture? only married can like this 😊,,4668238213,1479372297995636736,2022-01-07T08:40:15.000Z
zxx,['1479175151073652739'],https://t.co/16UfZBaL2K,,4668238213,1479175151073652739,2022-01-06T19:36:52.000Z
es,['1478955531284869126'],@sonali7780 Wao ☺️ so testy Sonali .,,4668238213,1478955531284869126,2022-01-06T05:04:10.000Z
hi,['1478587224836820996'],@anitasingh_2008 Jai Ganesh ji 🙏,,4668238213,1478587224836820996,2022-01-05T04:40:39.000Z
und,['1478471837717647362'],@archulines @JezebelShalu 😊,,4668238213,1478471837717647362,2022-01-04T21:02:09.000Z
hi,['1478047864815120384'],@Chilled_Yogi Mahesh,,4668238213,1478047864815120384,2022-01-03T16:57:26.000Z
en,['1478022276939345920'],Like 👍 https://t.co/UQp5lvAIVp,,4668238213,1478022276939345920,2022-01-03T15:15:45.000Z
tl,['1476854243524943875'],@whosthatmiss Hahaha,,4668238213,1476854243524943875,2021-12-31T09:54:24.000Z
qme,['1474824046193770496'],#NewProfilePic https://t.co/KD0jo8qJF6,,4668238213,1474824046193770496,2021-12-25T19:27:08.000Z
qme,['1474823204480770050'],#NewProfilePic https://t.co/L2nzCWKnYt,,4668238213,1474823204480770050,2021-12-25T19:23:47.000Z
hi,['1474766890979389441'],"@Jaz_baatein Trailor master ne bache hua tukre kapro ko jor diya hai , lagta hai usko paise nahi mile hai . Jitna paisa utna kam , hare kisna hara Ram .",,4668238213,1474766890979389441,2021-12-25T15:40:01.000Z
en,['1474263007655956482'],@Mizzling_Gaze Very nice 👌😊 like this car .,,4668238213,1474263007655956482,2021-12-24T06:17:46.000Z
en,['1472588612696870914'],@DeyPrinci You are from Magra ??,,4668238213,1472588612696870914,2021-12-19T15:24:19.000Z
und,['1471793016985645058'],@whosthatmiss 👌,,4668238213,1471793016985645058,2021-12-17T10:42:54.000Z
und,['1471791582890262528'],@nisha84543219 🤗,,4668238213,1471791582890262528,2021-12-17T10:37:12.000Z
en,['1471361775970906114'],@Astro_Healer_Sh Very true 👍,,4668238213,1471361775970906114,2021-12-16T06:09:18.000Z
qme,['1471361159563411457'],#NewProfilePic https://t.co/saEShnV8Gu,,4668238213,1471361159563411457,2021-12-16T06:06:51.000Z
qme,['1471359467220393989'],#NewProfilePic https://t.co/FHqhpfdCTh,,4668238213,1471359467220393989,2021-12-16T06:00:08.000Z
und,['1470623255308292098'],@chaoticalm_090 40,,4668238213,1470623255308292098,2021-12-14T05:14:41.000Z
en,['1467121436191977480'],@Richaghumare It’s really and true what you said .,,4668238213,1467121436191977480,2021-12-04T13:19:42.000Z
