id,author_id,created_at,geo,text,edit_history_tweet_ids,lang
1595014047354830848,132275425,2022-11-22T11:19:17.000Z,{'place_id': '723427e351a01e72'},@stableeye I’d say he will still go. Another very underrated horse this season Champ Kiely.,['1595014047354830848'],en
1595011516138414081,132275425,2022-11-22T11:09:13.000Z,{'place_id': '723427e351a01e72'},Still a cracking each way bet for the Supreme at 16/1. A big future Marine Nationale 🐎🇮🇪 https://t.co/jQiQx3MQ5C,['1595011516138414081'],en
1593960493278007299,132275425,2022-11-19T13:32:50.000Z,{'place_id': '723427e351a01e72'},"You would be fuming going to @Ascot today. Edwardstone, Constitution Hill and L’Homme Presse both pulled late. And a walkover of a race 😅🐎",['1593960493278007299'],en
1593920286377877506,132275425,2022-11-19T10:53:04.000Z,,Cheers @champdotie and @paulfergusonJTF 🏅🐎 https://t.co/p9jsWJNjAd,['1593920286377877506'],en
1593715135692021762,132275425,2022-11-18T21:17:52.000Z,,"RT @the_racehour: 🏇 The #Racehour Podcast is Back, in association with @bookmakers!

🗣️ @Onthenoseinfo, @CianKirby94, @d__hughes &amp; @theweld…",['1593715135692021762'],en
1593696458628276228,132275425,2022-11-18T20:03:39.000Z,,@TheRacingJosh 2m4f. He won his @irishp2p over 3 miles so stepping up in distance wouldn’t be an issue for him.,['1593696458628276228'],en
1592272151037743104,132275425,2022-11-14T21:43:58.000Z,{'place_id': '723427e351a01e72'},@JoePorter1990 @BarryJGeraghty @rowanbo,['1592272151037743104'],qam
1592271282883772418,132275425,2022-11-14T21:40:31.000Z,,RT @Pmichaelracing: For Sale: JASON THE MILITANT @HenrydeBromhead  - Very Smart dual purpose horse - Grade 2 Winner &amp; Grade 1 Placed (NH Ra…,['1592271282883772418'],en
1592264720907907074,132275425,2022-11-14T21:14:26.000Z,{'place_id': '723427e351a01e72'},@CheltenhamRaces come March. That will be £500 please…👇🏻🇮🇪 https://t.co/oicKYX7JNn,['1592264720907907074'],en
1592254742931312640,132275425,2022-11-14T20:34:48.000Z,,@TheRacingJosh Hollow Games,['1592254742931312640'],en
1592159697376772097,132275425,2022-11-14T14:17:07.000Z,,Get him to @TheRDS and in the Aga Khan... https://t.co/HnfmV7uCis,['1592159697376772097'],en
1591872365109346304,132275425,2022-11-13T19:15:22.000Z,,@DavidJenningsRP @JohnnyDineen One horse that will win at this years festival and again in 2024. @DavidJenningsRP @JohnnyDineen,['1591872365109346304'],en
1591868512397824000,132275425,2022-11-13T19:00:03.000Z,,RT @SkySportsPL: Garnacho &amp; Ronaldo 🤝 LATE winners at Craven Cottage https://t.co/qwzbHhDS2O,['1591868512397824000'],en
1591861868804689921,132275425,2022-11-13T18:33:39.000Z,{'place_id': '723427e351a01e72'},"What a goal from @agarnacho7 . A star in the making ⭐️✨⚽️ #FULMUN 

 https://t.co/ObfmmJe5n9",['1591861868804689921'],en
1591814657513250817,132275425,2022-11-13T15:26:03.000Z,{'place_id': '723427e351a01e72'},I think people are being a bit harsh on Bob Olinger. His first run of the season and was well clear of the others. Will judge him more on his next run. https://t.co/9hnVb4puit,['1591814657513250817'],en
1591777130408734720,132275425,2022-11-13T12:56:56.000Z,{'place_id': '723427e351a01e72'},"Impressive debut for Hollow Games over fences. Especially at that trip. 3 mile horse all day long. 

 https://t.co/5TAbrqdJ4S",['1591777130408734720'],en
1591094070302355461,132275425,2022-11-11T15:42:42.000Z,{'place_id': '723427e351a01e72'},"Yes Hermes Allen. That was seriously impressive. Tanked up the hill. Will make a lovely chaser in time. 

 https://t.co/RLvwAIHl6x",['1591094070302355461'],en
1591041146989400065,132275425,2022-11-11T12:12:24.000Z,,"Cheltenham

1:10 Enki Flacke (EW)
        Alvaro (EW)
1:45 Amarillo Sky
2:20 Unanswered Prayers
2:55 Ballyandy
3:30 Hermes Allen
4:00 Hey Johnny (EW)
          Explosive Boy (EW)",['1591041146989400065'],en
1590134973029560320,132275425,2022-11-09T00:11:35.000Z,{'place_id': '723427e351a01e72'},@karljpen @LetsTaIkRacing No longer with us unfortunately. Was down in Henry’s before Cheltenham and I asked about him. Such a shame as had so much ability.,['1590134973029560320'],en
1590090527579725824,132275425,2022-11-08T21:14:58.000Z,{'place_id': '723427e351a01e72'},@UberFacts Truman Show,['1590090527579725824'],en
1590083156576972802,132275425,2022-11-08T20:45:41.000Z,{'place_id': '723427e351a01e72'},@UberFacts https://t.co/Ktn10Lm5Qp,['1590083156576972802'],qme
1590053375714144256,132275425,2022-11-08T18:47:21.000Z,,@RacingPost @bet365 @DavidJenningsRP @JohnnyDineen @DavidJenningsRP Honeysuckle’s best piece of form is beating Benie Des Dieux IMO.,['1590053375714144256'],en
1590050163825180672,132275425,2022-11-08T18:34:35.000Z,,@LetsTaIkRacing Dysart Dynamo. I think he could be a freak over fences with his style of racing. Has the size and scope also. #TheHype,['1590050163825180672'],en
1589975126803591173,132275425,2022-11-08T13:36:25.000Z,{'place_id': '723427e351a01e72'},"That was seriously impressive from Zarak The Brave at @Fairyhouse. Hurdled very nicely. Best priced 16/1 from 33s for the Triumph after that. 

 https://t.co/SJdOBF63IX",['1589975126803591173'],en
1589967528222392320,132275425,2022-11-08T13:06:13.000Z,,A lovely touch! https://t.co/nEVa0wa1iF,['1589967528222392320'],en
1589964733188558854,132275425,2022-11-08T12:55:07.000Z,,Wow #Flightline #BreedersCup2022 https://t.co/3d848tSLjv,['1589964733188558854'],und
1589708018853490688,132275425,2022-11-07T19:55:01.000Z,{'place_id': '723427e351a01e72'},@RoadCheltenham Marine Nationale for the Supreme.,['1589708018853490688'],en
1589706364116684800,132275425,2022-11-07T19:48:27.000Z,,RT @Ruby_Tuesday59: WPM Tour Part 1 https://t.co/lcIF2KTl8E,['1589706364116684800'],en
1589361446324154368,132275425,2022-11-06T20:57:52.000Z,{'place_id': '723427e351a01e72'},"@the_racehour Marine Nationale
Champ Kiely
Deeply Superficial 

Can’t wait to see An Tobar when he is finally out!

#racehour",['1589361446324154368'],en
1589359755667333123,132275425,2022-11-06T20:51:09.000Z,{'place_id': '723427e351a01e72'},"@the_racehour Constitution Hill
Energumene 
Allaho
Flooring Porter 
Galopin Des Champs 

#racehour",['1589359755667333123'],en
1589359308973932544,132275425,2022-11-06T20:49:22.000Z,{'place_id': '723427e351a01e72'},@the_racehour Dads Lad could be one to follow for the season and has that Cheltenham form. #racehour,['1589359308973932544'],en
1589358612618485760,132275425,2022-11-06T20:46:36.000Z,{'place_id': '723427e351a01e72'},"@the_racehour Barring an injury to APT I think he will run in the Ryanair once again and win. I could potentially see Willie putting some of his others in the race like Blue Lord, CPS and Jungle Boogie. #racehour",['1589358612618485760'],en
1589357678622834688,132275425,2022-11-06T20:42:54.000Z,{'place_id': '723427e351a01e72'},@the_racehour Flooring Porter wins it again. Bob Olinger is very interesting back over hurdles and would love to see him come back to his best. #racehour,['1589357678622834688'],en
1589356023097491457,132275425,2022-11-06T20:36:19.000Z,{'place_id': '723427e351a01e72'},@the_racehour Gentleman De Mee could step up this year. 14/1 ew a solid bet. Energumene wins the lot though! #racehour,['1589356023097491457'],en
1588965676953522176,132275425,2022-11-05T18:45:13.000Z,{'place_id': '723427e351a01e72'},"@icyestretro Please Revert Back (IRE)

Form: 0009",['1588965676953522176'],en
1588922342465753089,132275425,2022-11-05T15:53:01.000Z,{'place_id': '723427e351a01e72'},Been a while since I clicked a Lucky 15 🐎😅 🙌🏻 https://t.co/FyiZ71EevP,['1588922342465753089'],en
1588905180061630468,132275425,2022-11-05T14:44:50.000Z,{'place_id': '723427e351a01e72'},"That was brilliant to see from Envoi Allen. Everyone loves a comeback story! Rock solid form in the race also. Where next? 🐎 #DownRoyal

 https://t.co/yvlzThInSl",['1588905180061630468'],en
1588629941054078977,132275425,2022-11-04T20:31:07.000Z,{'place_id': '723427e351a01e72'},"Whoosh and she is gone. That was deadly from Meditate 🔥🇺🇸🚀 
#BreedersCup 

 https://t.co/97JBR2isQJ",['1588629941054078977'],en
1588615627258101760,132275425,2022-11-04T19:34:15.000Z,{'place_id': '723427e351a01e72'},@RobOHanrahan @C4Countdown Well done Rob! Got Elixir also 😁,['1588615627258101760'],en
1588565607968296960,132275425,2022-11-04T16:15:29.000Z,,@tayz2017 He is going over hurdles after that anyway.,['1588565607968296960'],en
1588554394152292353,132275425,2022-11-04T15:30:56.000Z,,@racingblogger Won't be going for the Arkle.,['1588554394152292353'],en
1588519578212388869,132275425,2022-11-04T13:12:35.000Z,,@Halligan88 I'd say Gordon would be weary of going the AB route as can be very tough on a young horse. Ginto was very unfortunate last year and the likes of Death Duty bombing out in it a few years ago springs to mind. He has Demandrivingdouvan and Three Card Brag for it also.,['1588519578212388869'],en
1588510682621743104,132275425,2022-11-04T12:37:14.000Z,{'place_id': '723427e351a01e72'},"A decent enough debut from American Mike 🇺🇸. Jumped a few a bit awkward but will come on massively for it and jumped the last very well pulling clear. 

 https://t.co/uxB6evM0u7",['1588510682621743104'],en
1588507200485748739,132275425,2022-11-04T12:23:24.000Z,{'place_id': '723427e351a01e72'},A great days racing at @Downroyal today. I wouldn’t be surprised if Largy Debut 5/1 on his chase debut gives Mighty Potter a race. Runs well fresh and did the same last year against Kilcruit. He has had his issues but can run a big race.,['1588507200485748739'],en
1588207982218821634,132275425,2022-11-03T16:34:25.000Z,{'place_id': '723427e351a01e72'},"Demandrivingdouvan gets the job done. Still very raw but another good education for him. Hurdles next no doubt…🐎

 https://t.co/wPudz5uz3B",['1588207982218821634'],en
1587857570546716672,132275425,2022-11-02T17:22:00.000Z,{'place_id': '723427e351a01e72'},The jumps are back 🐎❤️ https://t.co/T3pfarBuiy,['1587857570546716672'],en
1587534172427632653,132275425,2022-11-01T19:56:56.000Z,{'place_id': '723427e351a01e72'},@UberFacts Scrubs https://t.co/kOiTdHITZM,['1587534172427632653'],en
1587130170657443841,132275425,2022-10-31T17:11:34.000Z,,"RT @jhanlonracing: Quick question, is it on the house though? https://t.co/KqtrdzOWsx",['1587130170657443841'],en
1587124620058148864,132275425,2022-10-31T16:49:31.000Z,{'place_id': '723427e351a01e72'},Quality 🐎😂 https://t.co/RUfRDluWym,['1587124620058148864'],en
1587076727477616647,132275425,2022-10-31T13:39:12.000Z,{'place_id': '723427e351a01e72'},@UnitedStandMUFC https://t.co/eDPgp3sUQ4,['1587076727477616647'],qme
1587075368351145987,132275425,2022-10-31T13:33:48.000Z,{'place_id': '723427e351a01e72'},"You know the  jumps are back when you see the @Downroyal entries…🐎

- American Mike 
- The Model Kingdom 
- Fil Dor &amp; Pied Piper
- Mighty Potter, Largy Debut, &amp;      
   Minella Crooner
- Better Days Ahead https://t.co/krNx7HpF8P",['1587075368351145987'],en
1587042077543698433,132275425,2022-10-31T11:21:31.000Z,,"@WillHillRacing @jhanlonracing @michael73905086 @Robbie_Power_ The Maddens. Boots, slippers and socks",['1587042077543698433'],en
1585607511561969669,132275425,2022-10-27T12:21:04.000Z,{'place_id': '723427e351a01e72'},@USASteeplechase @gelliott_racing @IrishRacing7 @irishracing @TheINHSC @RacingAnglo @irishp2p @TheRacingJosh @BaltimoreStable @MetahorseRacing @USASteeplechase Still the plan to go hurdling after this bumper?,['1585607511561969669'],en
1585273382030950403,132275425,2022-10-26T14:13:21.000Z,,@Getbackontheho2 @SteveSmyth14 @kevinblake2011 Already mentioned here: https://t.co/W0SXt21kY6,['1585273382030950403'],en
1585211825225797634,132275425,2022-10-26T10:08:45.000Z,,@martinparker8 @TheRacingJosh @Mark_Boylan1 Charles Byrnes said on his @irishracing stable tour this week he is staying over hurdles.,['1585211825225797634'],en
1585027925572976640,132275425,2022-10-25T21:58:00.000Z,{'place_id': '723427e351a01e72'},Be very interesting to see if High Definition translates that high class flat form to hurdles. 👀🐎 https://t.co/ZxAT7wXjvd,['1585027925572976640'],en
1585020033797087234,132275425,2022-10-25T21:26:38.000Z,{'place_id': '723427e351a01e72'},@tommyhectorshow Keep her lit 🔥,['1585020033797087234'],en
1584991141946363905,132275425,2022-10-25T19:31:50.000Z,{'place_id': '723427e351a01e72'},"Süle and Dan Burn must be the biggest right and left full backs in history at 6ft 5 and 6ft 6 respectively. 😅 #Giants #ChampionsLeague #Dortmund 
#UCL https://t.co/JIWAaSI9uR",['1584991141946363905'],en
1584579370529980417,132275425,2022-10-24T16:15:36.000Z,,@timodriscoll2 Sorry to hear Tim. I remember you mentioning him to me in Spain last year. 😄 A speedy recovery and back with a bang for next season!,['1584579370529980417'],en
1584533122972286978,132275425,2022-10-24T13:11:50.000Z,{'place_id': '723427e351a01e72'},Very disappointed to see this. Redemption Day had a big season ahead. Hopefully a speedy recovery 🐎 https://t.co/0osKBNoVj5,['1584533122972286978'],en
1584216021959086089,132275425,2022-10-23T16:11:47.000Z,{'place_id': '723427e351a01e72'},@GLynchRacing Snake Roll looked very impressive. https://t.co/0nOL6BoVpl,['1584216021959086089'],en
1584205477549789184,132275425,2022-10-23T15:29:53.000Z,{'place_id': '723427e351a01e72'},@SportingLife @WillieMullinsNH @Franmberry any mention of Redemption Day?,['1584205477549789184'],en
1584203445120425984,132275425,2022-10-23T15:21:49.000Z,,"RT @SportingLife: 🤠🏆 𝐒𝐓𝐀𝐁𝐋𝐄 𝐓𝐎𝐔𝐑: Willie Mullins!

Our star columnist and the winningmost trainer in Cheltenham Festival history provides a…",['1584203445120425984'],en
1584186985089859585,132275425,2022-10-23T14:16:24.000Z,{'place_id': '723427e351a01e72'},@TheRacingBoyo @icyestretro Good man 😅👍🏻,['1584186985089859585'],en
1584184842782412801,132275425,2022-10-23T14:07:53.000Z,{'place_id': '723427e351a01e72'},@james_safc @icyestretro Yes you are dead right 👌🏻😂,['1584184842782412801'],en
1584183304894697473,132275425,2022-10-23T14:01:47.000Z,{'place_id': '723427e351a01e72'},@leeschofield20 Ballymore I’d guess.,['1584183304894697473'],en
1584181238797332481,132275425,2022-10-23T13:53:34.000Z,{'place_id': '723427e351a01e72'},@icyestretro 😅I might still have the screenshot. Will have a look,['1584181238797332481'],en
1584178108600487938,132275425,2022-10-23T13:41:08.000Z,{'place_id': '723427e351a01e72'},@icyestretro Sure Willie in the RP one a few years ago said Energumene was staying over hurdles in his novice chase year 🕵️‍♂️,['1584178108600487938'],en
1583970361603141632,132275425,2022-10-22T23:55:37.000Z,{'place_id': '723427e351a01e72'},@RoadCheltenham Brandy Love ✅,['1583970361603141632'],en
1583827075965718528,132275425,2022-10-22T14:26:15.000Z,{'place_id': '07d9c9391c884004'},A fine sight https://t.co/PYcZJWyo6h,['1583827075965718528'],en
1583826924211560453,132275425,2022-10-22T14:25:39.000Z,,Tarawa a good winner of the first at @LeopardstownRC https://t.co/xLCQZXncMA,['1583826924211560453'],en
1583761710464532480,132275425,2022-10-22T10:06:31.000Z,{'place_id': '723427e351a01e72'},Looking forward to heading up. Cracking day for it ☀️🐎 https://t.co/e3IPjC9c8H,['1583761710464532480'],en
1582715206240985088,132275425,2022-10-19T12:48:05.000Z,,@GLynchRacing Brandy Love. Huge engine 🚒,['1582715206240985088'],en
1582665906097770496,132275425,2022-10-19T09:32:11.000Z,,@icyestretro @probetpodcast Great episode and insight.,['1582665906097770496'],en
1581949366020947968,132275425,2022-10-17T10:04:54.000Z,{'place_id': '723427e351a01e72'},Delighted. The correct decision 🐎🏆 @CheltenhamRaces https://t.co/RDTqpyOihl,['1581949366020947968'],en
1581710952621219840,132275425,2022-10-16T18:17:32.000Z,{'place_id': '723427e351a01e72'},@roryfitz15 Brandy Love,['1581710952621219840'],en
