lang,text,geo,author_id,created_at,id,edit_history_tweet_ids
en,@tornadopaigeyy How’s your weather? Bet these storms in a marginal environment were a little surprise for you and @Rosievortwx Golf Ball hail in one of them now,{'place_id': '51c79a6ebcc5ba2b'},53622291,2022-11-27T19:51:45.000Z,1596954951821176832,['1596954951821176832']
en,"State College radar well to the east, not so much as the beam is straight and the earth curves away from the beam. Visible satellite view of the storms over 20000 miles up in space you can see the bumpy tops of the colder Tstorm clouds #flatearth #lol 2/1 https://t.co/HjD65bcy9U",{'place_id': '51c79a6ebcc5ba2b'},53622291,2022-11-27T19:46:49.000Z,1596953712647622656,['1596953712647622656']
en,Y’all want some more proof of a spherical earth? You got it. These severe storms over W PA. Pittsburgh radar they look sharp. 1/1 https://t.co/GWCAQscRNZ,{'place_id': '51c79a6ebcc5ba2b'},53622291,2022-11-27T19:46:32.000Z,1596953638630719490,['1596953638630719490']
en,"They spin counterclockwise with this storm system over Ohio in the Northern  Hemisphere. They also are able to do this due to gravity, angular momentum, and centrifugal force. All point to a spherical earth #flatearth #lol 2/2 https://t.co/YJpu210Bpw",{'place_id': '51c79a6ebcc5ba2b'},53622291,2022-11-27T19:40:43.000Z,1596952175699058688,['1596952175699058688']
en,erfect example of The Coriolis Effect with storm systems spinning clockwise in the Southern Hemisphere 1/2 https://t.co/HQzvLiFgXI,{'place_id': '51c79a6ebcc5ba2b'},53622291,2022-11-27T19:39:55.000Z,1596951976566480897,['1596951976566480897']
en,@BrandonCopicWx Nice sounding. A little bit more warming would help with the more meager LLLR,{'place_id': '018929347840059e'},53622291,2022-11-27T18:39:58.000Z,1596936888476405760,['1596936888476405760']
en,@local12paul @BrutusX4K Paul Pro Tweet! Lol I love it!,{'place_id': '018929347840059e'},53622291,2022-11-27T18:38:38.000Z,1596936553770946560,['1596936553770946560']
en,@RaleighWx @BrutusX4K This is right here. I agree,{'place_id': '018929347840059e'},53622291,2022-11-27T18:36:56.000Z,1596936123506626561,['1596936123506626561']
en,"Keep in mind, this is occurring in an environment far less conducive for severe weather compared to Tuesday’s system #ohwx https://t.co/tTi9d9dJjk",,53622291,2022-11-27T18:30:53.000Z,1596934602828177411,['1596934602828177411']
und,@Steelers_Tweets @ryanhallyall 🤣🤣,,53622291,2022-11-27T18:22:44.000Z,1596932553562157056,['1596932553562157056']
en,@ryanhallyall This is one of those setups in even in the skinny line up north could produce spin ups if a little more SBCAPE can be realized,{'place_id': '018929347840059e'},53622291,2022-11-27T18:20:33.000Z,1596932002967535616,['1596932002967535616']
en,@Arch_Tor @Hoosier_Charlie Wind shear I bet was off the charts,{'place_id': '018929347840059e'},53622291,2022-11-27T18:19:06.000Z,1596931639191670784,['1596931639191670784']
en,@JordanHallWX I almost never even look at that. It’s a flawed algorithm,,53622291,2022-11-27T18:17:27.000Z,1596931220197105664,['1596931220197105664']
en,My wife sent me this pic of my youngest daughter on @citycruises in NYC https://t.co/m2lHhLRo5B,{'place_id': '51c79a6ebcc5ba2b'},53622291,2022-11-27T17:37:56.000Z,1596921275968286722,['1596921275968286722']
en,@OHWXisweird @DanielM25183045 Thermodynamics will obviously weaken with N extent. Eventually the rich warm sector will get pinched off as the dynamics pull north. Question is exactly when does that happen https://t.co/6oUGpSJCjn,{'place_id': '51c79a6ebcc5ba2b'},53622291,2022-11-27T17:35:23.000Z,1596920636546637825,['1596920636546637825']
en,"@OHWXisweird @DanielM25183045 850 winds at peak heating, 500 mb vorticity, and 500 mb vertical velocity at peak heating. The trough hangs back a bit which may limit some of the forcing. It will also keep it from going linear too fast which may help them stay supercells longer https://t.co/WftRWYLrGB",{'place_id': '51c79a6ebcc5ba2b'},53622291,2022-11-27T17:31:30.000Z,1596919658090991617,['1596919658090991617']
en,@OHWXisweird @DanielM25183045 Tuesday aftn/evening. Then overnight Wed. 60 plus dews even into nearly SW IND and in far W KY https://t.co/b5lCQW4JCm,{'place_id': '51c79a6ebcc5ba2b'},53622291,2022-11-27T17:27:43.000Z,1596918704452694016,['1596918704452694016']
en,@OHWXisweird @DanielM25183045 Good to line up the dynamics with the thermodynamics,,53622291,2022-11-27T17:24:38.000Z,1596917931786481664,['1596917931786481664']
en,"@Arch_Tor Yeah going to be quite a narrow zone. Where it does line up, SIG severe would be possible",{'place_id': '51c79a6ebcc5ba2b'},53622291,2022-11-27T17:18:48.000Z,1596916463167832065,['1596916463167832065']
qme,@JordanHallWX https://t.co/tiz9Nk8pb2,,53622291,2022-11-27T11:38:10.000Z,1596830739575676929,['1596830739575676929']
qme,@AlaStormTracker @tymetwx https://t.co/tiz9NjQOju,,53622291,2022-11-27T11:29:08.000Z,1596828466938257408,['1596828466938257408']
en,@AlaStormTracker @tymetwx Not to mention a dual jet structure,,53622291,2022-11-27T11:28:59.000Z,1596828429957345280,['1596828429957345280']
en,Dual jet structure headed into Tues aftn as both the polar and subtropical jets go in tandem. Dynamics for this system are quite high #inwx #indy https://t.co/Ty7hq8mKmT,{'place_id': '51c79a6ebcc5ba2b'},53622291,2022-11-27T11:28:19.000Z,1596828261811597312,['1596828261811597312']
en,Sources - Matthew Stafford uncertain to return this season https://t.co/dUnCFCgxgd,,53622291,2022-11-27T11:18:47.000Z,1596825861717905408,['1596825861717905408']
en,"RT @whitelandsports: Final: Valparaiso 35, Whiteland 31…what a great day to be a Warrior. We can’t thank the Whiteland community enough for…",,53622291,2022-11-27T03:09:03.000Z,1596702617597616130,['1596702617597616130']
en,"RT @whitelandsports: Touchdown!! Denham to Hicks on the 34 yd pass! Kick good! 24-21, Whiteland, 18 seconds left in the half! https://t.co/…",,53622291,2022-11-27T01:19:52.000Z,1596675137130086403,['1596675137130086403']
en,"RT @whitelandsports: Touchdown! Slate Valentine finishes off an 80yd drive with a 6yd TD run! Mathis kick good….17-14, Warriors…2:15 left i…",,53622291,2022-11-27T01:08:19.000Z,1596672232717107201,['1596672232717107201']
en,wiegand.waterrides creates thrilling Xslide element | blooloop https://t.co/Csrk5TUjvv,,53622291,2022-11-27T00:59:15.000Z,1596669948645941248,['1596669948645941248']
en,@Chris_Lisauckis The 500 mb jet is a bit far to the west in that look. Question is when does it eject eastward and the warm sector theta e axis gets pinched off (especially northern extent),{'place_id': '51c79a6ebcc5ba2b'},53622291,2022-11-27T00:18:29.000Z,1596659692989992961,['1596659692989992961']
en,"While mostly milder temps will prevail into the first week of December, a strong blocking signal
into Greenland could lock in a trough and cold in the long range. Would also be a snowier look #inwx #indy https://t.co/vg87nZPqbv",{'place_id': '51c79a6ebcc5ba2b'},53622291,2022-11-27T00:10:27.000Z,1596657669183512577,['1596657669183512577']
en,Vekoma has come a long ways on ride evolution Abyssus 4K On Ride POV - Energylandia https://t.co/KgQ5qpyu1E via @YouTube,{'place_id': '51c79a6ebcc5ba2b'},53622291,2022-11-26T23:22:39.000Z,1596645639471132672,['1596645639471132672']
en,Could This Be Intamins Best Ride Model? https://t.co/5rplGW6sIs via @YouTube,{'place_id': '51c79a6ebcc5ba2b'},53622291,2022-11-26T23:09:13.000Z,1596642257985499136,['1596642257985499136']
en,"With steepening mid level lapse rates, and presence of MUCAPE, some isolated t storms might be possible with rains that move into overnight into midday tomorrow #inwx #indy 
https://t.co/OjNoDgUWso",{'place_id': '51c79a6ebcc5ba2b'},53622291,2022-11-26T23:03:40.000Z,1596640863295537152,['1596640863295537152']
en,"With steepening mid level lapse rates, and presence of MUCAPE, some isolated t storms might be possible with rains that move into overnight into midday tomorrow #inwx #indy https://t.co/sV6QBAiRie",{'place_id': '51c79a6ebcc5ba2b'},53622291,2022-11-26T22:54:38.000Z,1596638591366877184,['1596638591366877184']
en,Very underrated as a dancer too: https://t.co/75E4zbk7rL,,53622291,2022-11-26T22:04:54.000Z,1596626072568827905,['1596626072568827905']
en,Can 2022 just end now. Dammit! #RIPIreneCara https://t.co/TWlE12Gag6,{'place_id': '008f15ef5cfd041a'},53622291,2022-11-26T21:10:05.000Z,1596612278497021953,['1596612278497021953']
qam,@Irene_Cara @JMV1070,{'place_id': '008f15ef5cfd041a'},53622291,2022-11-26T21:09:34.000Z,1596612149669134336,['1596612149669134336']
en,"RT @Irene_Cara: This is the absolute worst part of being a publicist. I can't believe I've had to write this, let alone release the news. P…",,53622291,2022-11-26T21:09:28.000Z,1596612123211485184,['1596612123211485184']
en,"@JMV1070 Getting the brakes, pads, and rotors beatin off",{'place_id': '008f15ef5cfd041a'},53622291,2022-11-26T21:07:38.000Z,1596611663196717058,['1596611663196717058']
en,@BrandonCopicWx I know you said you were going. You too @VinceWaelti ?,{'place_id': '008f15ef5cfd041a'},53622291,2022-11-26T21:07:06.000Z,1596611529381740545,['1596611529381740545']
en,April and Kai outside of 1 World Trade Center #neverforget #september11 https://t.co/854CEvWu8B,{'place_id': '008f15ef5cfd041a'},53622291,2022-11-26T21:03:40.000Z,1596610662931009536,['1596610662931009536']
en,April and Kai outside of 1 World Trade Center #neverforget #september11 https://t.co/MSFwZU1YDN,{'place_id': '008f15ef5cfd041a'},53622291,2022-11-26T21:00:22.000Z,1596609835050491905,['1596609835050491905']
en,"Dew point temps Tues Aftn. NAM/EURO are fairly close. GFS is a little slower. With mid 50s dews coking all the way to #indy, even areas there could see a skinny, forced line of storms with wind damage. Tornado threat will be higher in the 65+ dews areas https://t.co/HVTW6kLN4b",{'place_id': '008f15ef5cfd041a'},53622291,2022-11-26T20:56:34.000Z,1596608878632140800,['1596608878632140800']
en,"RT @NWSIndianapolis: A soaking rain will spread across Indiana this evening, w/isolated thunder late tonight. Rain Sunday morning will ling…",,53622291,2022-11-26T20:54:24.000Z,1596608330084061190,['1596608330084061190']
en,@PowPonder your severe weather scenario is becoming increasingly likely,,53622291,2022-11-26T20:48:30.000Z,1596606845233135616,['1596606845233135616']
en,"Dew point temps Tues Aftn. NAM/EURO are fairly close. GFS is a little slower. With mid 50s dews coking all the way to #indy, even areas there could see a skinny, forced line of storms with wind damage. Tornado threat will be higher in the 65+ dews areas #inwx https://t.co/OWu7uHy1T0",{'place_id': '008f15ef5cfd041a'},53622291,2022-11-26T20:48:05.000Z,1596606740094922752,['1596606740094922752']
en,"RT @NWStornado: Tornado Warning continues for Luling LA, Destrehan LA and  Saint Rose LA until 2:45 PM CST https://t.co/bpiCfJ4TP7",,53622291,2022-11-26T20:33:06.000Z,1596602972238127105,['1596602972238127105']
en,"RT @Colts: As of now, no players have been ruled out for #PITvsIND.",,53622291,2022-11-26T19:48:00.000Z,1596591621264461824,['1596591621264461824']
en,@HeathChases @ReedTimmerAccu That is something I know @spann has been a part of those efforts,{'place_id': '51c79a6ebcc5ba2b'},53622291,2022-11-26T19:24:32.000Z,1596585714493362176,['1596585714493362176']
en,@WxLiz @stormchasernick Hell sounds like a Daymare🤣,,53622291,2022-11-26T17:57:07.000Z,1596563717835042816,['1596563717835042816']
en,@ryanhallyall Might be another one right behind it in a few days too,,53622291,2022-11-26T17:56:28.000Z,1596563552407535616,['1596563552407535616']
en,@ryanhallyall @jeffrey75862291 @VinceWaelti Let’s remember why we love this so much. Evidenced by: https://t.co/uN9hD0bJby,{'place_id': '51c79a6ebcc5ba2b'},53622291,2022-11-26T17:31:14.000Z,1596557203452088322,['1596557203452088322']
en,"@ryanhallyall @webberweather @hbwx @weather_katie Correct me if I am wrong  Ryan, you have a CBM correct?",{'place_id': '51c79a6ebcc5ba2b'},53622291,2022-11-26T17:30:08.000Z,1596556928062083072,['1596556928062083072']
en,RT @NWSHouston: Fresh snow in the mountains of east NM and far west TX visible from space! The same storm that has brought heavy rain to SE…,,53622291,2022-11-26T17:28:41.000Z,1596556562256084994,['1596556562256084994']
en,@VinceWaelti @Drew_Be_Do @ChrisFLTornado @Que5285 @ryanhallyall @jeffrey75862291 She’s your rock man 💪,{'place_id': '51c79a6ebcc5ba2b'},53622291,2022-11-26T17:27:18.000Z,1596556214972067840,['1596556214972067840']
en,@Wondertarte @JohnLut73469392 @ryanhallyall @ChrisFLTornado @VinceWaelti @jeffrey75862291 I think this conversation has went as far as it’s going to go. The public needs to be informed that a potentially dangerous day might be setting up in the MS /perhaps lower OH VLY next week. Look at how far north the rich warm sector is https://t.co/i1ybyIAo1G,{'place_id': '51c79a6ebcc5ba2b'},53622291,2022-11-26T09:55:08.000Z,1596442421470310401,['1596442421470310401']
en,RT @NWSIndianapolis: Fog is developing across the region and a Dense Fog Advisory has been issued for parts of west central Indiana. Additi…,,53622291,2022-11-26T05:18:20.000Z,1596372763388022784,['1596372763388022784']
en,"RT @Pacers: what a way to end the homestand.

#PacersWin https://t.co/yYjCZciBGp",,53622291,2022-11-26T05:05:53.000Z,1596369630561386497,['1596369630561386497']
en,X2 Review | Six Flags Magic Mountain's Insane Prototype 4th Dimension Ro... https://t.co/4aS7qkmky4 via @YouTube,{'place_id': '51c79a6ebcc5ba2b'},53622291,2022-11-25T23:43:13.000Z,1596288427141595136,['1596288427141595136']
en,@HeathChases @ReedTimmerAccu I don’t know with the general public if it’s an information gap or a gap in giving a damn about weather in general,{'place_id': '51c79a6ebcc5ba2b'},53622291,2022-11-25T23:15:35.000Z,1596281474814480387,['1596281474814480387']
eu,@emerzrh Zero,,53622291,2022-11-25T23:10:22.000Z,1596280159426203649,['1596280159426203649']
en,"@TReneeReed @ChrisFLTornado @cate_haylee @ryanhallyall @VinceWaelti @jeffrey75862291 As a side note to @cate_haylee, how confident y’all feel for your @steelers coming into my house Monday night? 🤣#ForTheShoe",{'place_id': '51c79a6ebcc5ba2b'},53622291,2022-11-25T23:07:43.000Z,1596279496143175680,['1596279496143175680']
en,@BrandonCopicWx @jeffrey75862291 @JoeyCrist_WX @TheKatAbraham @VinceWaelti delivering through Lasership. The expenses got from broken down vehicles was too much to overcome so I left the job after about 3.5 years,{'place_id': '51c79a6ebcc5ba2b'},53622291,2022-11-25T15:09:43.000Z,1596159200329338882,['1596159200329338882']
qam,@TheSpinners2,{'place_id': '51c79a6ebcc5ba2b'},53622291,2022-11-25T10:40:01.000Z,1596091327359455234,['1596091327359455234']
en,Kaitlyn sent me these from yesterday. Beautiful shot of One World Trade #nyc #September11 https://t.co/y2HDEdwf0K,{'place_id': '51c79a6ebcc5ba2b'},53622291,2022-11-25T10:36:13.000Z,1596090374019325953,['1596090374019325953']
en,Kaitlyn sent me these from yesterday. Beautiful shot of One World Trade #nyc #September11 https://t.co/mJkUrbrasa,,53622291,2022-11-25T10:30:06.000Z,1596088834621526016,['1596088834621526016']
en,Prince and Shadow love them some Thanksgiving 🤣#guineapigs https://t.co/SRMNtndVZ3,,53622291,2022-11-25T10:26:04.000Z,1596087817893040135,['1596087817893040135']
qme,#NewProfilePic https://t.co/HHulif73i5,,53622291,2022-11-25T10:21:55.000Z,1596086775289561088,['1596086775289561088']
en,"Even with a full plate, #gwen already in a food coma. Definitely has Moss in her 😍 https://t.co/v6agO7ZZrN",{'place_id': '51c79a6ebcc5ba2b'},53622291,2022-11-25T10:21:38.000Z,1596086704892710914,['1596086704892710914']
en,#gwen makes a point y’all need to always remember: Be Grateful! https://t.co/c8QpjP1hYg,{'place_id': '51c79a6ebcc5ba2b'},53622291,2022-11-25T10:18:57.000Z,1596086026438840321,['1596086026438840321']
en,#gwen makes a point y’all need to always remember: Be Grateful! https://t.co/kOPpd8WbQQ,,53622291,2022-11-25T10:15:03.000Z,1596085046120701952,['1596085046120701952']
en,Gwen had confusion on which mood to go with yesterday 🤣 https://t.co/FLxhcUlp30,,53622291,2022-11-25T08:49:57.000Z,1596063630055071744,['1596063630055071744']
en,Drizzle to continue into midday before clearing #inwx #indy,{'place_id': '1010ecfa7d3a40f8'},53622291,2022-11-25T08:46:52.000Z,1596062854071095296,['1596062854071095296']
en,Lilli couldn’t decide if she was a dog or a swami https://t.co/in6yphRBG4,,53622291,2022-11-25T08:24:57.000Z,1596057336765992961,['1596057336765992961']
en,@BrandonCopicWx @jeffrey75862291 @JoeyCrist_WX @TheKatAbraham @VinceWaelti Whoa. He didn’t even help with the gas money funds for you or @VinceWaelti?,{'place_id': '51c79a6ebcc5ba2b'},53622291,2022-11-25T08:18:03.000Z,1596055603352322055,['1596055603352322055']
und,@tornadopaigeyy @Rosievortwx 💀,,53622291,2022-11-24T23:15:49.000Z,1595919146381983745,['1595919146381983745']
en,Last one I shared was Janelle’s. This one is my bonus niece’s one lol Amazon: Baby Registry https://t.co/HhQ106q9EQ,,53622291,2022-11-24T23:11:12.000Z,1595917982135455744,['1595917982135455744']
qam,@JMV1070,,53622291,2022-11-24T19:07:34.000Z,1595856671003545600,['1595856671003545600']
en,My love with THE SPINNERS! https://t.co/advGFzsEdP,{'place_id': '1010ecfa7d3a40f8'},53622291,2022-11-24T19:07:23.000Z,1595856625423859712,['1595856625423859712']
en,@BrutusX4K @FlattenTabatha @StormingB81 @tystorm101 @BKiley10 @MikeDubsRadio @bampac29 @Dawn9469 @mericombs12 Thank you kindly!,,53622291,2022-11-24T16:35:24.000Z,1595818375783059461,['1595818375783059461']
en,@elonmusk @ramzpaul #wxtwitter Could use a good looking over,{'place_id': '1010ecfa7d3a40f8'},53622291,2022-11-24T12:27:00.000Z,1595755863620423680,['1595755863620423680']
en,"Euro depicted dew points tues aftn then overnight/wed morning. Placement of these could bring STG/SVR storm chances northward. Meanwhile, snowstorm TX panhandle followed by much below average temps from snowcover https://t.co/jF53PN2xS4",{'place_id': '1010ecfa7d3a40f8'},53622291,2022-11-23T16:47:34.000Z,1595459048547254272,['1595459048547254272']
en,"RT @ThePrivate327: Some thoughts about the next few weeks:

- warm thru Thanksgiving then again next week for a few days
- potential for a…",,53622291,2022-11-23T03:35:14.000Z,1595259653327585280,['1595259653327585280']
en,Very active weather pattern into early December #inwx #indy https://t.co/CPbNd5CDA7,{'place_id': '51c79a6ebcc5ba2b'},53622291,2022-11-22T23:53:13.000Z,1595203781050134529,['1595203781050134529']
en,"Baby registry for my grandson! 
Amazon: Baby Registry https://t.co/xdKGSAO7Zb",,53622291,2022-11-22T23:30:07.000Z,1595197966284906496,['1595197966284906496']
