text,lang,created_at,id,edit_history_tweet_ids,author_id,geo
"NEW RELEASE OUT !!!
Big support from @LocoDiceOFC @solardomusic @djgabeofficial and more 

https://t.co/zCgw9n1AyF https://t.co/72ncXYaJ03",en,2022-06-18T15:39:50.000Z,1538184723423436800,['1538184723423436800'],857023663,
"RT @Djbenmurphy: Tonight @clurecs showcase at @babyclub.ofc Marseille with @Chicks_Luv_Us 😈

allons-y. 🕺🏻 https://t.co/AAmrlZobJb",en,2022-06-17T15:41:09.000Z,1537822667201454080,['1537822667201454080'],857023663,
RT @Djbenmurphy: Barcelona I can honestly say you are my fav city hands down! What a 4 days that was 😍 now off to Marseille for 2 days with…,en,2022-06-16T13:07:11.000Z,1537421530422026241,['1537421530422026241'],857023663,
Ibiza season 2022 start today for us ! @DestinoPacha See you there 🌴,en,2022-06-07T09:06:46.000Z,1534099539010936833,['1534099539010936833'],857023663,
@NickBettelli @contribemusic 🙌🏻🙌🏻🙌🏻,und,2022-05-29T12:11:31.000Z,1530884539056369666,['1530884539056369666'],857023663,
@Mr_Scorpio @invaderFM @Realm_Records @truthxliesmusic @ItsCloverdale @kendricklamar 🙌🏻🙌🏻,und,2022-05-22T10:04:08.000Z,1528315766260523009,['1528315766260523009'],857023663,
RT @EastHarbourMgmt: New music this week from @MendoOfficial on @Chicks_Luv_Us @encasarecords 🔊🔊🔊,en,2022-04-26T08:51:46.000Z,1518875472586752001,['1518875472586752001'],857023663,
@_gabrieuu Keep doing the great work 🔥,en,2022-04-20T16:41:48.000Z,1516819432835792901,['1516819432835792901'],857023663,
@_gabrieuu Yessss 🙌🏻,und,2022-04-19T23:42:39.000Z,1516562956481355781,['1516562956481355781'],857023663,
@alexiannavoig 🙏🏻,und,2022-04-18T08:32:11.000Z,1515971441036046343,['1515971441036046343'],857023663,
"WOWOWOWOOW ! 
Top 2 Hype Tech House 🤯 
Thank you all for your help and love ❤️ 
If you want help and support us here is the link 

https://t.co/LxjjcSZybz

Happy Easter Day my friends 🥰 https://t.co/WKoL0lcR7S",en,2022-04-17T12:02:22.000Z,1515661946506387456,['1515661946506387456'],857023663,
"RT @eusouoduarte: hoje recebi um video do @Chicks_Luv_Us tocando a con altura em Ibiza, e sempre pensei nesse lugar que achava tão distante…",pt,2022-04-05T20:43:26.000Z,1511444422126415877,['1511444422126415877'],857023663,
"RT @Djbenmurphy: Its game day and what a lovely day it is here I’m the island 🏝 😍 ☀️ 

Tonight at @elephant_ibiza for @allivesmusic.uk 🐘 😈…",en,2022-04-02T18:16:52.000Z,1510320376756285447,['1510320376756285447'],857023663,
"RT @Djbenmurphy: @edenibiza Saturday night with my brothers @HectorCouto , @Latmun and @Chicks_Luv_Us 😈",en,2022-03-31T19:59:28.000Z,1509621419906318338,['1509621419906318338'],857023663,
@Djbenmurphy @edenibiza @HectorCouto @Latmun Let’s party ! But before let party start Elephant with you on the decks 🔥,en,2022-03-31T19:59:24.000Z,1509621401321410562,['1509621401321410562'],857023663,
Vient de publier une photo à FORM Space https://t.co/zh3lYsjlyM,fr,2022-03-28T16:54:29.000Z,1508487702928310279,['1508487702928310279'],857023663,"{'place_id': '018972421bb56632', 'coordinates': {'type': 'Point', 'coordinates': [23.5728783, 46.76761644]}}"
A perfect Romania debut last night 🔥,en,2022-03-27T19:07:19.000Z,1508158745532055556,['1508158745532055556'],857023663,
RT @AmineEdge_DANCE: Bloco Ame - Rio De Janeiro with @Chicks_Luv_Us 😈😈 https://t.co/86Lcfpldvl,pt,2022-03-10T23:52:07.000Z,1502069823790010374,['1502069823790010374'],857023663,
@PAWSAofficial @MichaelBibi1 Congrats guys 👏🏻,en,2022-03-05T13:10:39.000Z,1500096453749919750,['1500096453749919750'],857023663,
@MichaelBibi1 Big work bro congrats to you and all your team for all 👏🏻 big respect ✊🏻,en,2022-03-05T13:09:29.000Z,1500096158047346688,['1500096158047346688'],857023663,
RT @Clubinhoficial: E o que falar do brabo Julien @Chicks_Luv_Us com a peita estilizada na Gloove? Eu fico boiolinha demais com vocês espal…,pt,2022-03-03T01:47:31.000Z,1499199759675969539,['1499199759675969539'],857023663,
RT @KatryanneDias: Boa noite só pra quem trocou mo papo com o Chicks luv us 🥵🥵🥵🥵🥵,pt,2022-03-01T02:59:39.000Z,1498493139375505408,['1498493139375505408'],857023663,
RT @Clubinhoficial: @AmineEdge e @Chicks_Luv_Us na resenha sobre nossa última edição com a @thisiscuff 🥰 https://t.co/01B27wHgLJ,pt,2022-02-25T01:22:12.000Z,1497019063377215495,['1497019063377215495'],857023663,
"RT @AmineEdge_DANCE: Hoje - Rio De Janeiro📍
Bloco Ame 🇧🇷🇧🇷 https://t.co/TmNGzj51ZT",pt,2022-02-20T15:04:13.000Z,1495413988779343878,['1495413988779343878'],857023663,
