text,created_at,lang,id,edit_history_tweet_ids,author_id,geo
Thank you! https://t.co/JOOJ0d01yv,2022-11-27T20:30:36.000Z,en,1596964731021307904,['1596964731021307904'],285246000,
"RT @MaryLTrump: ""They expressed no anti-Semitism"" is not something I've ever felt the need to say after hanging out with my friends.  ¯\_(ツ…",2022-11-27T20:29:12.000Z,en,1596964377156292609,['1596964377156292609'],285246000,
RT @jimrosecircus1: https://t.co/NFKm0nVJZk,2022-11-27T20:24:38.000Z,zxx,1596963227837296640,['1596963227837296640'],285246000,
"@occultbooks_ Stupid trivia, but he filmed a scene for Stealing Home down the street from me at Bob’s Diner. I think about it every time I go past. https://t.co/8BDLBrVhFf",2022-11-27T20:20:53.000Z,en,1596962286786457600,['1596962286786457600'],285246000,
RT @PoliticsVerse: This is where I got the list from: https://t.co/04bOv3QBFq,2022-11-27T19:26:22.000Z,en,1596948567049936896,['1596948567049936896'],285246000,
RT @MuellerSheWrote: I guess the times prefers I live with my abuser than ::GASP:: live alone. https://t.co/JKFI1pfmfF,2022-11-27T19:22:40.000Z,en,1596947633847013376,['1596947633847013376'],285246000,
RT @dog_rates: This is Franklyn. He simply wants some cuddles. Not sure why that would be a problem. 14/10 he is just a baby https://t.co/P…,2022-11-27T19:18:31.000Z,en,1596946590866223106,['1596946590866223106'],285246000,
@ThatEricAlper I am going to see the midnight showing of Rocky Horror Picture Show. It’s just a jump to the left… https://t.co/y8CDAtijVa,2022-11-27T19:13:54.000Z,en,1596945427873796096,['1596945427873796096'],285246000,
"@fiona_skywalker Honestly, that looks like fun.",2022-11-27T18:22:14.000Z,en,1596932423597498368,['1596932423597498368'],285246000,
@eshap @RonnyJacksonTX My grandmother would quote scripture at me and she was an evil cunt. No wonder I’m an atheist.,2022-11-27T18:21:09.000Z,en,1596932153941852161,['1596932153941852161'],285246000,
"@SalVanDeVoorde A lot of the cats are outdoor feral barn cats, but still, they have so many inside. They are all well taken care of, but I couldn’t do it. I could barely breathe in her home.",2022-11-27T16:48:06.000Z,en,1596908736526049280,['1596908736526049280'],285246000,
@SalVanDeVoorde She’s lovely! She lucked out when you bought your house! I love cats but am actually allergic to them. I would have more if my allergies would allow. My aunt has 30 cats. It’s insane!,2022-11-27T16:41:55.000Z,en,1596907180263084033,['1596907180263084033'],285246000,
@SalVanDeVoorde Beauties!,2022-11-27T16:35:55.000Z,fr,1596905670879903745,['1596905670879903745'],285246000,
@SimonOsbornePTY And you as well!,2022-11-27T16:01:19.000Z,en,1596896960858181633,['1596896960858181633'],285246000,
@SimonOsbornePTY Good morning!,2022-11-27T16:00:13.000Z,en,1596896685908987904,['1596896685908987904'],285246000,
"@HannibalLover67 @xmh_4lx If you figure it out, let me know please!",2022-11-27T15:58:06.000Z,en,1596896152095690754,['1596896152095690754'],285246000,
"RT @eshap: “I mean, I built everything I have [that my parents actually gave me as a head start] myself! Why can’t errybody else, amirite‽”",2022-11-27T15:57:39.000Z,en,1596896040783073280,['1596896040783073280'],285246000,
@eshap Great thread.,2022-11-27T15:57:15.000Z,en,1596895937435435008,['1596895937435435008'],285246000,
@SalVanDeVoorde My cat is thinking about biting me right now. https://t.co/Vk5gH9iJSd,2022-11-27T14:52:48.000Z,en,1596879721220169728,['1596879721220169728'],285246000,{'place_id': 'e4a0d228eb6be76b'}
"RT @michaelianblack: Interesting graph from today's WaPo for the ""more guns makes us safe"" crowd. https://t.co/KuBF0snn6N",2022-11-27T14:33:44.000Z,en,1596874923674591233,['1596874923674591233'],285246000,
"RT @NS_scooke: Genius *and* empathy. Always loved Schulz's work, always will. #Peanuts",2022-11-27T14:31:55.000Z,en,1596874464494751745,['1596874464494751745'],285246000,
@SpeedballJB Bacon! Give me all the bacon!,2022-11-27T14:25:45.000Z,en,1596872910794526721,['1596872910794526721'],285246000,
@HannibalLover67 ❤️Sometimes I go through a woe is me funk. Today’s that day.  I think you’re awesome too!,2022-11-27T14:24:34.000Z,en,1596872616220168192,['1596872616220168192'],285246000,
RT @stevanzetti: Since Mr. Musk won't address any of my tweets about banned left leaning accounts despite regularly responding to right win…,2022-11-27T14:21:53.000Z,en,1596871941616390146,['1596871941616390146'],285246000,
Existential crisis today. https://t.co/lxBWQqSEEr,2022-11-27T14:20:44.000Z,en,1596871652029042688,['1596871652029042688'],285246000,
https://t.co/KJtxITtRWt,2022-11-27T14:19:55.000Z,zxx,1596871444205834240,['1596871444205834240'],285246000,
RT @AlexThomp: Some video,2022-11-27T14:14:17.000Z,en,1596870026891386882,['1596870026891386882'],285246000,
"@hybender Do you talk to your screen like I do? Come on lil kitkats, follow your mommy!",2022-11-27T14:12:03.000Z,en,1596869465878466560,['1596869465878466560'],285246000,
@Akam1129 Something to look forward to!,2022-11-27T14:09:17.000Z,en,1596868770110181376,['1596868770110181376'],285246000,
"RT @uncertainvector: Are you interested in hearing from pilots about current &amp; historical #UAP cases? In a few weeks, I’ll be filming the f…",2022-11-27T10:48:19.000Z,en,1596818193821335552,['1596818193821335552'],285246000,
"RT @Acyn: Reporter: Mr. President, what do you think about Donald Trump having dinner with a white nationalist? 
Biden: You don’t want to h…",2022-11-27T02:01:02.000Z,en,1596685500588367872,['1596685500588367872'],285246000,
RT @jimrosecircus1: Selfie of the year. https://t.co/s9gitk4DrZ,2022-11-27T02:00:37.000Z,en,1596685395516747777,['1596685395516747777'],285246000,
"Billy Meier, el ""elegido"" para fotografiar y comunicarse con ovnis - Cultura Inquieta https://t.co/o2KlyHP7HY",2022-11-27T01:58:44.000Z,es,1596684919727480832,['1596684919727480832'],285246000,
@PalmerReport Hi Bill!,2022-11-27T01:23:18.000Z,en,1596676002511343617,['1596676002511343617'],285246000,
https://t.co/pQF3x9YLaL,2022-11-27T01:01:12.000Z,zxx,1596670439861919747,['1596670439861919747'],285246000,
"RT @SkinnerSteven: “Oh hell yes” - Schrödinger, reading the first line of A Tale of Two Cities",2022-11-27T00:43:38.000Z,en,1596666018604072960,['1596666018604072960'],285246000,
@pulmyears I just saw a Wu-Tang/Zeppelin mashup and it was awesome.,2022-11-27T00:31:56.000Z,en,1596663076988014595,['1596663076988014595'],285246000,
"@notcapnamerica My favorites were the Ritz Carlton on Central Park, and the Peninsula, both in NYC. The amenities were so luxurious.",2022-11-26T19:34:47.000Z,en,1596588296217321472,['1596588296217321472'],285246000,
@probablytoasted @ShelfNerds Yes please. I would be an immediate hypochondriac if Bashir was my doctor.,2022-11-26T19:28:13.000Z,en,1596586644974358529,['1596586644974358529'],285246000,
@BrndnStrssng The pink nose! 🥹,2022-11-26T19:22:17.000Z,en,1596585149042688000,['1596585149042688000'],285246000,
@motelsiren @KITHnocontext Me too. ☹️,2022-11-26T19:19:36.000Z,en,1596584474082709504,['1596584474082709504'],285246000,
RT @itsJeffTiedrich: congratulations to the literally zero Republicans standing up to denounce Donald Trump for hosting a literal Nazi at h…,2022-11-26T17:50:50.000Z,en,1596562136360419328,['1596562136360419328'],285246000,
@JLClayton5 I love the beige one. It’s looks the coziest.,2022-11-26T17:49:34.000Z,en,1596561816389287936,['1596561816389287936'],285246000,
@coreyann @notcapnamerica It looks delightful!,2022-11-26T17:47:09.000Z,en,1596561208596897797,['1596561208596897797'],285246000,
RT @KITHnocontext: https://t.co/4iE6CZaxwz,2022-11-26T17:37:23.000Z,zxx,1596558750776627201,['1596558750776627201'],285246000,
"@RoryOCleary Funerals bring out the best in people, don’t they. 😬",2022-11-26T17:31:55.000Z,en,1596557373279440897,['1596557373279440897'],285246000,
"RT @NPR: Half of Twitter's top 100 advertisers appear to no longer be running ads on the website, according to a new report. Collectively,…",2022-11-26T15:01:17.000Z,en,1596519468527558658,['1596519468527558658'],285246000,
"RT @VABVOX: Secretary Pete continues to be the best Biden Cabinet member. And the best scold. He'd make a good VP for President Harris. 

P…",2022-11-26T15:01:08.000Z,en,1596519429365694466,['1596519429365694466'],285246000,
@motelsiren Love you Lauren!,2022-11-26T15:00:38.000Z,en,1596519303548964865,['1596519303548964865'],285246000,
@grldrinkdrunk Riley is so adorably elphin.,2022-11-26T14:43:07.000Z,en,1596514894782042116,['1596514894782042116'],285246000,
RT @ohanxiety: You save other people from being sad. But who saves you?,2022-11-26T13:40:26.000Z,en,1596499122420211712,['1596499122420211712'],285246000,
"RT @AmoneyResists: Herschel Walker committed tax fraud, paid at least three women to have four abortions despite claiming “it’s murder,” cl…",2022-11-26T13:40:13.000Z,en,1596499064949862401,['1596499064949862401'],285246000,
@MadScientistFF 3 and 8.,2022-11-26T13:35:59.000Z,und,1596498002650476544,['1596498002650476544'],285246000,
"RT @MichaelWarbur17: “Wild World”

HAROLD AND MAUDE (1971)

#HalAshby #CatStevens #YusafIslam

 https://t.co/pIOObCGXF5",2022-11-26T13:09:01.000Z,en,1596491213166649346,['1596491213166649346'],285246000,
@occultbooks_ I am so happy to see Harold and Maude on there. I have watched it over 100 times.,2022-11-26T13:05:04.000Z,en,1596490221608407041,['1596490221608407041'],285246000,
"RT @ManMadeMoon: Note to self:
Movie idea.  Richest man in world diagnosed with untreatable degenerative brain disease that has him believi…",2022-11-26T13:03:51.000Z,en,1596489913704202240,['1596489913704202240'],285246000,
RT @PeterBrosnan111: https://t.co/VeiR3UKfxZ,2022-11-26T13:02:46.000Z,zxx,1596489640571244545,['1596489640571244545'],285246000,
"RT @julieklausner: If you have to kill a pet in your horror movie, your horror movie sucks. It’s 2022. Think of something else.",2022-11-26T13:01:37.000Z,en,1596489352036622336,['1596489352036622336'],285246000,
@mason4922 What Klimt does with color makes me want to cry. It’s so beautiful.,2022-11-26T12:58:30.000Z,en,1596488566468759552,['1596488566468759552'],285246000,
RT @RonSupportsYou: Why hasn't Lauren Boebert been prosecuted by Attorney General Merrick Garland?,2022-11-26T12:52:58.000Z,en,1596487174907916288,['1596487174907916288'],285246000,
@grldrinkdrunk Riley!,2022-11-26T05:05:15.000Z,en,1596369471375278080,['1596369471375278080'],285246000,
@motelsiren @grldrinkdrunk Pecker sneeze.,2022-11-26T01:12:00.000Z,en,1596310770492530688,['1596310770492530688'],285246000,
@motelsiren @grldrinkdrunk Oh my god yes.,2022-11-26T01:10:13.000Z,en,1596310320905326594,['1596310320905326594'],285246000,
@grldrinkdrunk @motelsiren He’s just so beautiful.,2022-11-26T01:08:00.000Z,en,1596309763612356609,['1596309763612356609'],285246000,
@motelsiren @grldrinkdrunk My pansexuality is on overdrive,2022-11-26T01:00:03.000Z,en,1596307765097820160,['1596307765097820160'],285246000,
@grldrinkdrunk https://t.co/WhdQNjNMrc,2022-11-26T00:55:53.000Z,qme,1596306714114260992,['1596306714114260992'],285246000,
RT @grldrinkdrunk: Gender envy … https://t.co/zhr5AErgON,2022-11-26T00:53:00.000Z,en,1596305990315548673,['1596305990315548673'],285246000,
"Mood. Nick Cave &amp; The Bad Seeds - Dig, Lazarus, Dig!!! https://t.co/FO5nU25Eny via @YouTube",2022-11-26T00:47:07.000Z,en,1596304507822276608,['1596304507822276608'],285246000,
Perfect winter song. Tulia - Nothing Else Matters https://t.co/3NPIBKM6iU via @YouTube,2022-11-26T00:29:34.000Z,en,1596300094311370753,['1596300094311370753'],285246000,
I miss Alan Rickman. https://t.co/Z5MoixyNHX,2022-11-25T23:16:05.000Z,en,1596281601197215749,['1596281601197215749'],285246000,
"RT @RBReich: Elon Musk paid a fortune for Twitter and is now destroying it.

Sam Bankman-Fried started FTX and made billions — then drove F…",2022-11-25T23:15:03.000Z,en,1596281340793868288,['1596281340793868288'],285246000,
RT @itsJeffTiedrich: it's Thanksgiving weekend. Barack Obama is volunteering in a soup kitchen. Donald Trump is dining with Nazis. any ques…,2022-11-25T22:47:47.000Z,en,1596274476114759685,['1596274476114759685'],285246000,
@KamaluJames @GoldBlooded79 It’s a beautiful song.,2022-11-25T22:46:34.000Z,en,1596274173315547136,['1596274173315547136'],285246000,
@GoldBlooded79 ‘39 by Queen. I absolutely adore that song.,2022-11-25T22:45:22.000Z,en,1596273871438893058,['1596273871438893058'],285246000,
"@RealChrisSays It used to be Dominoes although I haven’t played in decades. I never lost a game, and people stopped playing with me. ☹️",2022-11-25T22:44:28.000Z,en,1596273641611792384,['1596273641611792384'],285246000,
100% https://t.co/cEI1janbcp,2022-11-25T21:43:06.000Z,und,1596258200978096128,['1596258200978096128'],285246000,
RT @colourmeamused_: https://t.co/6bAUqCIJcu,2022-11-25T20:51:15.000Z,zxx,1596245149805383682,['1596245149805383682'],285246000,
"@daveabrowne @DaveSFoley Hiding under your bed. Honestly, with my crap childhood, I relate to this version better than the original.",2022-11-25T20:49:30.000Z,en,1596244709793579009,['1596244709793579009'],285246000,
@motelsiren Congratulations!,2022-11-25T20:44:49.000Z,en,1596243531739566080,['1596243531739566080'],285246000,
Of course he did. https://t.co/GXbsOeUvLg,2022-11-25T20:37:55.000Z,en,1596241795561787393,['1596241795561787393'],285246000,
