lang,text,edit_history_tweet_ids,created_at,author_id,id,withheld
en,"RT @RorschachProdu1: Aaron Swartz would have been 36 today.

Aaron committed suicide after being sentenced to 35 years in prison by US auth…",['1596710624066928641'],2022-11-27T03:40:52.000Z,1274533719106301952,1596710624066928641,
en,Hot: thousands of Chinese people chant “down with CPC” and “down with Xi Jinping” in Shanghai https://t.co/FlQD3yGlgC,['1596680415850405891'],2022-11-27T01:40:50.000Z,1274533719106301952,1596680415850405891,
en,"@mack_j_stp I’m only here for fun, plus it’s not like I don’t like i tweeted for “security reasons” only that it look kinda stupid",['1596632541783814144'],2022-11-26T22:30:36.000Z,1274533719106301952,1596632541783814144,
en,I will never get a political tattoo tbh,['1596611427644878848'],2022-11-26T21:06:42.000Z,1274533719106301952,1596611427644878848,
en,"RT @redfishstream: This International Day for the Elimination of Violence Against Women, we honor the women who have heroically resisted pa…",['1596417880438210560'],2022-11-26T08:17:37.000Z,1274533719106301952,1596417880438210560,"{'copyright': False, 'country_codes': ['IN']}"
zxx,RT @tragicbirdapp: https://t.co/zBC1kWa34y,['1596417467097972737'],2022-11-26T08:15:58.000Z,1274533719106301952,1596417467097972737,
en,It details the famous story of Kim Il-sung using teleportation to defeat his enemies,['1596356339722330114'],2022-11-26T04:13:04.000Z,1274533719106301952,1596356339722330114,
en,"Me singing the famous Korean revolutionary song, “The General Used Warp” https://t.co/qYjOJ4uqao",['1596354739695849474'],2022-11-26T04:06:43.000Z,1274533719106301952,1596354739695849474,
en,A little poem https://t.co/CloWajvikx,['1596214815999287296'],2022-11-25T18:50:43.000Z,1274533719106301952,1596214815999287296,
en,I think instead of calling ppl from the US “americans” they should be called “statesters”,['1596030175732699136'],2022-11-25T06:37:01.000Z,1274533719106301952,1596030175732699136,
en,@mexiysexyUwU @smoothposer Yours,['1596029395948670977'],2022-11-25T06:33:55.000Z,1274533719106301952,1596029395948670977,
es,"Esas palabras sencillas y modestas - casi de la dramaturgia - contienen en ellas una determinación inclaudicable y una declaración de una fuerza segura que hará temblar al enemigo, el heraldo del futuro que se desenvolverá confrontando el presente de decadencia.",['1596024884739854336'],2022-11-25T06:15:59.000Z,1274533719106301952,1596024884739854336,
en,"“How shall we not fulfill our role! Wait for us to fulfill it. Just wait.” 

1979 https://t.co/1kEOGGQDnf",['1596020908732612608'],2022-11-25T06:00:11.000Z,1274533719106301952,1596020908732612608,
en,RT @criticofpolecon: It must be so hard for people at the CIA to biologically produce a bunch of Chinese clones to then place into China to…,['1595979696168001536'],2022-11-25T03:16:26.000Z,1274533719106301952,1595979696168001536,
und,RT @NiftyNormo: 🤠 https://t.co/R2OBSG168M,['1595951590707728384'],2022-11-25T01:24:45.000Z,1274533719106301952,1595951590707728384,
en,RT @DionDenisse98: Mommy Milker Mac n Cheese might make me a l*beral for an hour ngl,['1595948860081569792'],2022-11-25T01:13:54.000Z,1274533719106301952,1595948860081569792,
en,"“To debase the class stand of the Party, to obscure its distinctive features, to sacrifice the interests of the workers and peasants to suit the needs of bourgeois reformism, is sure to lead the revolution to defeat.” CM",['1595930869919002624'],2022-11-25T00:02:25.000Z,1274533719106301952,1595930869919002624,
en,"RT @KHAMCHANH: This may not get any attention in western media but Filipinos are protesting against Kamala Harris’s visit, and her role to…",['1595928368419160066'],2022-11-24T23:52:28.000Z,1274533719106301952,1595928368419160066,
en,Now this is new https://t.co/Iym2WcWVUj,['1595927131426807809'],2022-11-24T23:47:33.000Z,1274533719106301952,1595927131426807809,
en,@drewsmithxian @comradejoma Be careful drew,['1595927076858908674'],2022-11-24T23:47:20.000Z,1274533719106301952,1595927076858908674,
en,"RT @MaoistUltra: Dengoids: 95% of Chinese people support the CPP

Meanwhile in China:",['1595879978092187648'],2022-11-24T20:40:11.000Z,1274533719106301952,1595879978092187648,
en,It is right to rebel against reactionaries!! https://t.co/rE42I3ksWG,['1595878066747998208'],2022-11-24T20:32:35.000Z,1274533719106301952,1595878066747998208,
en,Hot: Chinese police mobilized to suppress worker uprising https://t.co/NxwNoGQeKQ,['1595875787177361408'],2022-11-24T20:23:32.000Z,1274533719106301952,1595875787177361408,
en,@Clemen_Comu @CanadianKobzar @DavideMastracci Right here https://t.co/hx8cNSgw2z,['1595842186553204737'],2022-11-24T18:10:01.000Z,1274533719106301952,1595842186553204737,
en,"@liama134 @CanadianKobzar @DavideMastracci Whataboutism is you who instead of directly answering if you support Russia, say “but what about the Nazis in ukraine”",['1595841356920164352'],2022-11-24T18:06:43.000Z,1274533719106301952,1595841356920164352,
en,"RT @mollyaclarke: i swear to god. if one of you doesn’t go get fishtopher…

https://t.co/fpr71yOUL2 https://t.co/k6lLRoquCg",['1595840482868953088'],2022-11-24T18:03:15.000Z,1274533719106301952,1595840482868953088,
en,"RT @AssLatam: In 1868, Bolivian President Mariano Melgarejo promulgated a new constitution forced by himself, granting  to him power to ""pe…",['1595830981512073219'],2022-11-24T17:25:29.000Z,1274533719106301952,1595830981512073219,
en,Putting the boomer in boomerang https://t.co/cVy4YkJH4K,['1595602664376655872'],2022-11-24T02:18:14.000Z,1274533719106301952,1595602664376655872,
en,RT @smoothposer: Ham sucks. F tier meat,['1595599752317526018'],2022-11-24T02:06:40.000Z,1274533719106301952,1595599752317526018,
en,Luckily there’s already a word in English about this: it’s called “corporatism” https://t.co/ZePII93EQU,['1595599463137026049'],2022-11-24T02:05:31.000Z,1274533719106301952,1595599463137026049,
en,When you reinvent sectoral mass organizations: (but somehow have to put post modernism in it) https://t.co/2zPdS7o5NG,['1595598295417909248'],2022-11-24T02:00:53.000Z,1274533719106301952,1595598295417909248,
en,"@SucksOregon @RedFrontTweeter @CrackaMaoZedong I mean, maybe the form to deliver it is wrong, but it doesn’t mean this take isn’t correct…",['1595595698719842304'],2022-11-24T01:50:33.000Z,1274533719106301952,1595595698719842304,
en,Remembered this gem https://t.co/kUvn9gOHAg,['1595511622126211089'],2022-11-23T20:16:28.000Z,1274533719106301952,1595511622126211089,
en,RT @draw_gregory: A trans woman and a man who left the military due to disgust with the violence prevented further deaths in a mass shootin…,['1595262040888999936'],2022-11-23T03:44:43.000Z,1274533719106301952,1595262040888999936,
en,"RT @MintPressNews: ""I'm proud to be racist...""

This is how black people are treated in Israel. https://t.co/UpMwkzRrWO",['1595261427136307201'],2022-11-23T03:42:17.000Z,1274533719106301952,1595261427136307201,
en,RT @SheerOpulence2: He cooking his ass 😭😭😭 https://t.co/G8Kl5dJkPD,['1595085070511255552'],2022-11-22T16:01:30.000Z,1274533719106301952,1595085070511255552,
en,"Italian song, “let’s go, comrades” https://t.co/mdCz4Lnxqu",['1595077938462195718'],2022-11-22T15:33:10.000Z,1274533719106301952,1595077938462195718,
en,RT @iannesalvosa: GW’s first Filipino students got to attend the University over a century ago due to a congressional act that gave them sc…,['1594915445299351553'],2022-11-22T04:47:28.000Z,1274533719106301952,1594915445299351553,
qst,:(,['1594582752141398016'],2022-11-21T06:45:28.000Z,1274533719106301952,1594582752141398016,
art,✊🏽✊🏽✊🏽 https://t.co/tHOe1MP5XB,['1594422296600772608'],2022-11-20T20:07:53.000Z,1274533719106301952,1594422296600772608,
en,@PumfeePuppy @CEOofBased4 @morningstar1949 @CrackaMaoZedong Ok do it,['1594404859712864256'],2022-11-20T18:58:35.000Z,1274533719106301952,1594404859712864256,
en,Beating a dead horse circlejerk challenge https://t.co/JtHFwAR83N,['1594230245456056320'],2022-11-20T07:24:44.000Z,1274533719106301952,1594230245456056320,
en,"RT @Fuegonzalo: NEW LYRICS UPLOAD
Alerta Antifascista (2001)

https://t.co/IHUude5JZ9",['1594116136190083072'],2022-11-19T23:51:18.000Z,1274533719106301952,1594116136190083072,
en,"@Harutosan2 @CrackaMaoZedong @taraxrh First, that’s not what this guy is arguing against, have fun with your straw man. All he said is areas without indigenous majority can’t be “decolonized”, which is what happened in Russia and China. Or are you going to educate me with your parallel universe facts?",['1594073128145014784'],2022-11-19T21:00:24.000Z,1274533719106301952,1594073128145014784,
en,"@marxistgentoo In the 70s, when even the cultural nationalists (like Congress of Afrikan People, MEChA…) started actually organizing workers, they stopped having these emotional kneejerks. This just shows the pathetic state of the left as a morally superior subculture.",['1594068032489279488'],2022-11-19T20:40:09.000Z,1274533719106301952,1594068032489279488,
en,"@NudeTayneCelery @CrackaMaoZedong @taraxrh What we want you to do is to look at the reality which is indigenous ppl make up less than 1% of the population, and if you want to call that “defeat”, it only shows your own pessimism and lack of faith in the masses, including the non-indigenous masses, to defeat imperialism.",['1594066937554030592'],2022-11-19T20:35:48.000Z,1274533719106301952,1594066937554030592,
en,"@NudeTayneCelery @CrackaMaoZedong @taraxrh No, no war is over, the people including the indigenous ppl have never bowed down to the oppressed and never will, and he never denied that.",['1594066773363593216'],2022-11-19T20:35:09.000Z,1274533719106301952,1594066773363593216,
en,"The day that people stop having knee jerk emotional reactions to this is the day the Left in this country has gained enough practice and will go forward, just like how it was in the 1970s https://t.co/PcFgaEuFkI",['1594064572863942656'],2022-11-19T20:26:25.000Z,1274533719106301952,1594064572863942656,
en,@Julio35654756 @monstermaoism @hugoborsch @CrackaMaoZedong You are a larper,['1594064169606578176'],2022-11-19T20:24:48.000Z,1274533719106301952,1594064169606578176,
en,"@Harutosan2 @CrackaMaoZedong @taraxrh Bro, you aware that China and the USSR never “decolonized”, they had self determination where the oppressed nations lived physically, that’s all",['1594063852332879873'],2022-11-19T20:23:33.000Z,1274533719106301952,1594063852332879873,
en,@HOWSOONISMAO Oh gotchu. It’s just the old movement was filled with knee jerk reactions without any serious thought and sometimes it’s hard to tell,['1594055566451621888'],2022-11-19T19:50:37.000Z,1274533719106301952,1594055566451621888,
en,All About That Base Building by Gabriela Los Angeles https://t.co/yIuFXrZ5e8,['1594050566656823296'],2022-11-19T19:30:45.000Z,1274533719106301952,1594050566656823296,
en,@mack_j_stp Oh I live it lmao,['1594049774529179649'],2022-11-19T19:27:36.000Z,1274533719106301952,1594049774529179649,
en,Fanshen by space babies https://t.co/yIuFXrZD3G,['1594047464042303489'],2022-11-19T19:18:26.000Z,1274533719106301952,1594047464042303489,
en,@mack_j_stp Example,['1594031686152495110'],2022-11-19T18:15:44.000Z,1274533719106301952,1594031686152495110,
en,I hate when leftists post things like “oh there’s Nazis in Ukraine”! So what are you getting at? So the Ukrainians can surrender or make peace with their invaders? There are Nazis bc your fellow revisionists failed to lead the people with their country-selling agenda!,['1594030902761648129'],2022-11-19T18:12:37.000Z,1274533719106301952,1594030902761648129,
en,@scgoma Both cultural and revolutionary nationalism are bourgeois in essence. There I said it,['1594030464712548370'],2022-11-19T18:10:53.000Z,1274533719106301952,1594030464712548370,
en,"@HOWSOONISMAO This is from when he was in SDS. But to be straight up, the RCP was a genuine party with thousands of members and mobilized tens of thousands, had strong ties with the industrial proletariat and the urban poor, and no one should be joking about them without a serious examination.",['1594029157146566657'],2022-11-19T18:05:41.000Z,1274533719106301952,1594029157146566657,
zxx,RT @ShouldHaveSeal: https://t.co/UFUTbIU0Lt,['1593986088485670912'],2022-11-19T15:14:32.000Z,1274533719106301952,1593986088485670912,
en,@milkteameli I hope it’s not the guy that fell in love with you,['1593852000541736960'],2022-11-19T06:21:43.000Z,1274533719106301952,1593852000541736960,
en,"“In this period of American history, a tightly-disciplined revolutionary Marxist vanguard party, if it does little besides preaching to ‘workers’ out ‘there’, is neither comprehensible nor relevant to anyone but it’s members (and, to some degree, the FBI).”
Bob Avakian",['1593851796262453249'],2022-11-19T06:20:55.000Z,1274533719106301952,1593851796262453249,
en,We live in a society https://t.co/d7QmSav3B6,['1593478428484935681'],2022-11-18T05:37:17.000Z,1274533719106301952,1593478428484935681,
zxx,RT @whotfisjovana: https://t.co/8XiNqIa7WG,['1593442464685117441'],2022-11-18T03:14:22.000Z,1274533719106301952,1593442464685117441,
en,@Pistol__Peter This guy crashed my on couch and he’s too skinny to be a vet,['1593441532727525376'],2022-11-18T03:10:40.000Z,1274533719106301952,1593441532727525376,
en,@Pistol__Peter This is not Mason lmao,['1593434235372797954'],2022-11-18T02:41:40.000Z,1274533719106301952,1593434235372797954,
en,"RT @PopBase: The two people who ran Z-Library have been arrested in Argentina, at the request of U.S. authorities.

The Russian duo, ages 2…",['1593323894802464774'],2022-11-17T19:23:13.000Z,1274533719106301952,1593323894802464774,
en,RT @DitmarsSBWU: We outsiiiiiiide https://t.co/m34pSWoWrq,['1593278889027162114'],2022-11-17T16:24:23.000Z,1274533719106301952,1593278889027162114,
en,"RT @uaw2865: At 5am this morning, striking Academic Workers formed a picket line at a construction site at UC Berkeley and successfully shu…",['1593278239971151873'],2022-11-17T16:21:48.000Z,1274533719106301952,1593278239971151873,
en,"RT @slvppy: someone born in 1999 is 46 years old, let that sink in",['1593277574993661953'],2022-11-17T16:19:10.000Z,1274533719106301952,1593277574993661953,
en,@societyhater420 I’m biased so I can’t judge,['1593164405553831938'],2022-11-17T08:49:28.000Z,1274533719106301952,1593164405553831938,
en,@criticofpolecon Absolute obviously,['1593163177524461569'],2022-11-17T08:44:35.000Z,1274533719106301952,1593163177524461569,
en,"“To fail to promote the extension of proletarian consciousness among the masses of whites in the United States will be fatal to our struggle.” - KVC, MH, JW",['1593127590566694912'],2022-11-17T06:23:11.000Z,1274533719106301952,1593127590566694912,
en,It just came to me that the BPP line is really similar to Marcuse and specifically to those throwing themselves behind “3M” in May 68 France,['1593124952093626368'],2022-11-17T06:12:42.000Z,1274533719106301952,1593124952093626368,
en,The 60s Black nationalist line that everyone who’s not white is black is so crazy to me,['1593118266062348288'],2022-11-17T05:46:07.000Z,1274533719106301952,1593118266062348288,
pl,@femcelmarxist Eduardo Mondlane,['1593111682154254337'],2022-11-17T05:19:58.000Z,1274533719106301952,1593111682154254337,
en,@mack_j_stp We are all working class its the 99% against the 1%!!! Or it’s pretentious communists saying “oh it’s actually called the petty bourgeoisie”,['1593017146824527874'],2022-11-16T23:04:19.000Z,1274533719106301952,1593017146824527874,
en,"Speech of cde. Eduardo Mondlane, founder of the FRELIMO at its II Congress https://t.co/GTbdUNHT7H",['1593016966788583424'],2022-11-16T23:03:36.000Z,1274533719106301952,1593016966788583424,
en,RT @LinManuelBiao: I want to meet the person who came up with this fucking cover https://t.co/g6i81krXv3,['1592922381928247297'],2022-11-16T16:47:45.000Z,1274533719106301952,1592922381928247297,
en,@wxpgoblin HELL YEAH,['1592922093590835200'],2022-11-16T16:46:36.000Z,1274533719106301952,1592922093590835200,
tl,Sino si Mariategui ng Pinas?,['1592770024368123904'],2022-11-16T06:42:20.000Z,1274533719106301952,1592770024368123904,
en,@marxistgentoo Lol as in his republic,['1592623733411545088'],2022-11-15T21:01:02.000Z,1274533719106301952,1592623733411545088,
en,Plato would be so proud reading this https://t.co/F3xmiWihoG,['1592588585748004866'],2022-11-15T18:41:22.000Z,1274533719106301952,1592588585748004866,
