text,id,created_at,lang,edit_history_tweet_ids,author_id,geo
@ukejeihuoma 🙏 👏🏽,1593567678979096577,2022-11-18T11:31:56.000Z,und,['1593567678979096577'],229428955,{'place_id': '00e55e2b4c491c5f'}
@VictorIsrael_ @SaveVidBot,1593552589412618240,2022-11-18T10:31:58.000Z,qam,['1593552589412618240'],229428955,
"RT @DrMooh_: Every single indicator, backed by hard numbers, points to the fact Nigeria is on track to meet the UNAID’s 95-95-95 targets bu…",1593495252945571840,2022-11-18T06:44:08.000Z,en,['1593495252945571840'],229428955,
RT @kokomatic: At least Festus Keyamo never engaged in beggy beggy online to fund his education.,1593326468154773509,2022-11-17T19:33:27.000Z,en,['1593326468154773509'],229428955,
"RT @Sharksawn: .@officialABAT and his running mate, Sen. @KashimSM land in Owerri, Imo State for a Town Hall meeting with Traders and Busin…",1593225179941179395,2022-11-17T12:50:58.000Z,en,['1593225179941179395'],229428955,
RT @FredrickNwabufo: Fake news is the weapon of a desperate loser. Citizens can see behind the veneer of fallacies and seasoned lies agains…,1593151124860588032,2022-11-17T07:56:42.000Z,en,['1593151124860588032'],229428955,
"RT @ogededidun: @abujastreets I knew this would happen sooner than later. That's a residential area, they were causing too much traffic at…",1592652249129705474,2022-11-15T22:54:20.000Z,en,['1592652249129705474'],229428955,
RT @fabolousphantom: @kiing_benin @abujastreets They always give warning before demolition sha,1592651871394889729,2022-11-15T22:52:50.000Z,en,['1592651871394889729'],229428955,
Jos is coooooooooold 🥶🥶🥶,1592283565559283712,2022-11-14T22:29:19.000Z,en,['1592283565559283712'],229428955,
"RT @Sharksawn: HAPPENING NOW: APC Presidential Candidate @officialABAT &amp; his running mate, Sen. @KashimSM, accompanied by @OfficialGYBKogi,…",1592271483027742720,2022-11-14T21:41:19.000Z,en,['1592271483027742720'],229428955,
RT @kamalofLagos: Checked the INEC voters register in my polling unit and voooilaaaa. Number 138 and 139. That's me and my dad and we will…,1592231046799564800,2022-11-14T19:00:38.000Z,en,['1592231046799564800'],229428955,
RT @theufuoma: I Tried the Kakeibo: The Japanese Art of Saving Money https://t.co/8jPil93BAP https://t.co/UCvslMiwnh,1591799459771744256,2022-11-13T14:25:40.000Z,en,['1591799459771744256'],229428955,
RT @tunji023: Cc: @MsTyma_  @DrSRJ_  @raufaregbesola https://t.co/GtAl4AlRT6,1591798888507314178,2022-11-13T14:23:23.000Z,und,['1591798888507314178'],229428955,
RT @animolenikun: #mood https://t.co/ZSOD6ZmuKS,1591797102962970624,2022-11-13T14:16:18.000Z,qme,['1591797102962970624'],229428955,
RT @artxartstudios: Future Remembrance: https://t.co/0X2UVI7WEw,1591796549491003392,2022-11-13T14:14:06.000Z,en,['1591796549491003392'],229428955,
"RT @CDDWestAfrica: Spreading #FakeNews might seem like harmless fun, but #FakeNewsKills! 

Our animated short video captures the dangers of…",1591794987016003587,2022-11-13T14:07:53.000Z,en,['1591794987016003587'],229428955,
RT @jeffphilips1: You people will understand what party structures mean by fire by force in 2023....and God save you because I'll so flog y…,1591519388963831810,2022-11-12T19:52:45.000Z,en,['1591519388963831810'],229428955,
"RT @OnikoyiBankole: From Ikeja, I joined a bus &amp; I sat close to a baba who kept disparaging Tinubu &amp; every Lagos governor claiming they did…",1591499449414598664,2022-11-12T18:33:32.000Z,en,['1591499449414598664'],229428955,
"RT @ayantolamaximus: just for likes, you don demonise Nigerian lecturers. Honestly y’all are giving Nigeria bad publicity. 

enjoy your mea…",1591497723936935936,2022-11-12T18:26:40.000Z,en,['1591497723936935936'],229428955,
@Iyabadan   🙂🙂,1591197115916914688,2022-11-11T22:32:10.000Z,und,['1591197115916914688'],229428955,
"RT @FortunateAyoade: Ongoing in Lagos island.

TINUBU Family Walk for their Golden son @officialABAT❤️
#RenewedHope2023 
#BATKSM2023 https:…",1590642930498555904,2022-11-10T09:50:02.000Z,en,['1590642930498555904'],229428955,
Omooooo https://t.co/AoRGBQ3XF9,1590430271970500608,2022-11-09T19:45:00.000Z,und,['1590430271970500608'],229428955,
"RT @Habuhk4: The next Nigerian Leaders loading....
@officialABAT @KashimSM via Facebook https://t.co/i64bnxdTgT https://t.co/biat64EGqZ",1590378059286609920,2022-11-09T16:17:31.000Z,en,['1590378059286609920'],229428955,
"RT @ADEDAYO__: Islamic burials will send chills down your spine. Omo ara eyan ma bale, you go just dey thank God every minute.",1590243693306740736,2022-11-09T07:23:36.000Z,en,['1590243693306740736'],229428955,
"RT @Sharksawn: Tha @OfficialAPCNg Presidential Candidate, @officialABAT accompanied by the Niger State Governor, HE Abubakar Sani Bello arr…",1589577524132347905,2022-11-07T11:16:29.000Z,en,['1589577524132347905'],229428955,
"RT @Sharksawn: FLASHBACK: Governor of Lagos State, @officialABAT commissioned the Oko Oba Housing Estate IV, Agege which contained 180 unit…",1589577462891319297,2022-11-07T11:16:14.000Z,en,['1589577462891319297'],229428955,
"RT @Sharksawn: Received by the State’s Dep. Governor, Alh. Mohammed Ketso, the APC VP candidate, Sen. @KashimSM just arrived Minna, the Nig…",1589574780378054658,2022-11-07T11:05:35.000Z,en,['1589574780378054658'],229428955,
RT @Sharksawn: .. enroute Mangu for the Coronation and presentation of 1st Class Staff of Office to Da John Putmang Hirse as the Mishkaham…,1588859902726123521,2022-11-05T11:44:55.000Z,en,['1588859902726123521'],229428955,
"RT @Sharksawn: Received by the DG of the @OfficialAPCNg PCC &amp; Governor of Plateau State, @LalongBako, and the Deputy Speaker @HouseNGR, @Ho…",1588859882937413633,2022-11-05T11:44:50.000Z,en,['1588859882937413633'],229428955,
@Element_Tcool Nothing for Abuja people 😏😫😫,1588794513358696448,2022-11-05T07:25:05.000Z,en,['1588794513358696448'],229428955,{'place_id': '00e55e2b4c491c5f'}
"RT @Sharksawn: Facts with evidence:

Contrary to your politically motivated misinformation, it was @KashmSM who on on October 1, 2015, appr…",1588617503781314560,2022-11-04T19:41:42.000Z,en,['1588617503781314560'],229428955,
RT @woye1: FEC not Osinbajo has approved tax exemption &amp; rebate for 5years &amp; a single digit loan interest rates for SPORTS INVESTORS under…,1588125364211048448,2022-11-03T11:06:07.000Z,en,['1588125364211048448'],229428955,
Ango Ango https://t.co/jA7XPEIJxo,1588100045680873472,2022-11-03T09:25:31.000Z,eu,['1588100045680873472'],229428955,
"RT @StFreakingKezy: Kassim Shettima broke all the tables here...

@PeterObi come and carry your sub.
@atiku your own has finished boiling o…",1587589649257709568,2022-11-01T23:37:23.000Z,en,['1587589649257709568'],229428955,
"RT @Kamiyo_A: It’s Monday, another day to showcase projects executed by Asiwaju Bola Ahmed Tinubu @officialABAT as Governor. Follow the thr…",1586989793916887042,2022-10-31T07:53:46.000Z,en,['1586989793916887042'],229428955,
RT @hungry_faces: @Mr_JAGs @officialABAT @ekometa @tunderahmanu @AlakeDele @Progressive4BAT @TinubuMediaS @tsg2023 I always thought this wa…,1586986417284055042,2022-10-31T07:40:21.000Z,en,['1586986417284055042'],229428955,
RT @iameneji: Agba Politician 🙌🙌🙌 https://t.co/qeMHO0OD3A,1586828336038400004,2022-10-30T21:12:11.000Z,tl,['1586828336038400004'],229428955,
"RT @SadeeqKurbe: My President 🇳🇬, My Governor Come 2023 https://t.co/9M1yEuxF0z",1586806511778598915,2022-10-30T19:45:28.000Z,en,['1586806511778598915'],229428955,
RT @wujeyuram: The role @oluremitinubu and @kujarima are playing to compliment the effort of their husbands is a Plus and definitely will a…,1586806202905903104,2022-10-30T19:44:14.000Z,en,['1586806202905903104'],229428955,
"RT @DeeOneAyekooto: Speaking in Ogbomosho while meeting some youths, students, NURTW, religious leaders, market men and women, Dare noted t…",1586805931110801417,2022-10-30T19:43:10.000Z,en,['1586805931110801417'],229428955,
RT @ukejeihuoma: You know you are good when your peer from the opposition can testify about your track record of performance while in offic…,1586668596083757056,2022-10-30T10:37:26.000Z,en,['1586668596083757056'],229428955,
"RT @MP_Muye: Sen. @KashimSM called for the unity of the Ummah, so also strengthening affection towards one another, and making the society…",1586455834808135680,2022-10-29T20:32:00.000Z,en,['1586455834808135680'],229428955,
"RT @MP_Muye: The VP Candidate of APC, Sen. @KashimSM earlier today attended the Committee of FCT Imams Initiative (CFII)’s Extraordinary Da…",1586455819691884544,2022-10-29T20:31:56.000Z,en,['1586455819691884544'],229428955,
RT @StFreakingKezy: The very same @officialABAT that gave you £500 that was like ₦500m is the same person @DeleMomodu is now calling a dict…,1586377825883332608,2022-10-29T15:22:01.000Z,en,['1586377825883332608'],229428955,
@StFreakingKezy @officialABAT @DeleMomodu @SaveVidBot,1586377060096028672,2022-10-29T15:18:59.000Z,qam,['1586377060096028672'],229428955,{'place_id': '00e55e2b4c491c5f'}
"RT @RealAdeshina: Eyin fans mi, please vote for APC from Top To Bottom😂✌️✅ https://t.co/eLc0TSnbNl",1586066056723824640,2022-10-28T18:43:10.000Z,en,['1586066056723824640'],229428955,
RT @mrlurvy: LOL. The man they see in their dreams. https://t.co/QI1X2htQv3,1586065491067809792,2022-10-28T18:40:55.000Z,en,['1586065491067809792'],229428955,
"RT @RajiDraj: Sen. @KashimSM represented the APC Presidential flag-bearer, Asiwaju @officialABAT at a public lecture organized by the Niger…",1586065012015128577,2022-10-28T18:39:01.000Z,en,['1586065012015128577'],229428955,
Toooooooooo short https://t.co/ye09mPS42T,1585938614751723521,2022-10-28T10:16:45.000Z,en,['1585938614751723521'],229428955,{'place_id': '00e55e2b4c491c5f'}
"RT @FotoNugget: This time next year, I'll be in a better place.

And you too!
❤️🤝",1585727354382360576,2022-10-27T20:17:17.000Z,en,['1585727354382360576'],229428955,
"RT @dipoaina1: Tinubu is winning this election on a landslide. 📌 

#TinubuShettima2023",1585603871233265671,2022-10-27T12:06:36.000Z,en,['1585603871233265671'],229428955,
Harmattan is here in Abuja 😍,1585602074548609024,2022-10-27T11:59:28.000Z,hu,['1585602074548609024'],229428955,{'place_id': '00e55e2b4c491c5f'}
Prophet Joel 👏🏾 https://t.co/5Jw2z7YFyn,1585549763549843456,2022-10-27T08:31:36.000Z,nl,['1585549763549843456'],229428955,
"RT @EjioyeMartins: First it was TY Danjuma

Now the US and UK consulates putting Out fears in the city of Abuja.Why will a reputable countr…",1585426619627364359,2022-10-27T00:22:16.000Z,en,['1585426619627364359'],229428955,
"RT @EjioyeMartins: I'm concerned with how the actors are going to handle the growing strength of Nigeria wrt the military, economy, infrast…",1585426606830526464,2022-10-27T00:22:13.000Z,en,['1585426606830526464'],229428955,
"RT @EjioyeMartins: Deep deep state. Trying to strike back bcos they are losing. Common Nigerians should understand what is at stake, we mus…",1585426600283496449,2022-10-27T00:22:11.000Z,en,['1585426600283496449'],229428955,
RT @EjioyeMartins: Three months of relatively slow terrorist activities and our eyes got accustomed to a wide web of oil theft in the Delta…,1585426590380720128,2022-10-27T00:22:09.000Z,en,['1585426590380720128'],229428955,
RT @Belshagy: Las las Tinubu go be President. The rest is history!,1585399699535978496,2022-10-26T22:35:18.000Z,en,['1585399699535978496'],229428955,
@Letter_to_Jack @SaveVidBot,1585352273890185217,2022-10-26T19:26:51.000Z,qam,['1585352273890185217'],229428955,{'place_id': '00e55e2b4c491c5f'}
"RT @ikpeme_comrade: APC will show Roads, Bridges, Airports, Seaports, Railways, Airline etc.
What will @atiku &amp; @PeterObi show us?",1585324942089854976,2022-10-26T17:38:14.000Z,en,['1585324942089854976'],229428955,
"RT @GoziconC: The Best Vice Presidential Candidate right now!

PDP and LP wish they had Intellectuals like Shettima. https://t.co/FO7mTpqgd1",1585210511540760576,2022-10-26T10:03:32.000Z,en,['1585210511540760576'],229428955,
RT @Sharksawn: Sen. @KashimSM prayed for the repose of her soul and for Allah to grant the family the fortitude to bear the irreplaceable l…,1585190130327093248,2022-10-26T08:42:33.000Z,en,['1585190130327093248'],229428955,
"RT @Sharksawn: The Vice Presidential Candidate of the All Progressives Congress (@OfficialAPCNg), Sen. @KashimSM paid a condolence visit to…",1585190110785523712,2022-10-26T08:42:28.000Z,en,['1585190110785523712'],229428955,
"RT @IU_Wakilii: and he cleared him homefront and it was all over..

Thank You , Kashim Shettima. The South will never forget all you did, s…",1585189870447665152,2022-10-26T08:41:31.000Z,en,['1585189870447665152'],229428955,
"RT @IU_Wakilii: Shettima, A man who has got nothing except bringing Zulum to Tinubu for an endorsement from far away Borno carried Tinubu e…",1585189859551236097,2022-10-26T08:41:28.000Z,en,['1585189859551236097'],229428955,
"RT @IU_Wakilii: from Tinubu political family schemed openly against him. 

I don't know what Tinubu did for Shettima but I know Tinubu made…",1585189853532106752,2022-10-26T08:41:27.000Z,en,['1585189853532106752'],229428955,
"RT @IU_Wakilii: “During the APC primaries, most Northern governors were silent as to who to support, Only few showed it openly

But Kashim…",1585189844552065024,2022-10-26T08:41:25.000Z,en,['1585189844552065024'],229428955,
RT @Yunusmayo: @SadeeqKurbe @KashimSM Our vice-president in shaa Allah.,1584965743329759232,2022-10-25T17:50:55.000Z,en,['1584965743329759232'],229428955,
RT @SadeeqKurbe: Mr. Vice President 🇳🇬 https://t.co/t2nMepTKiu,1584965735612571648,2022-10-25T17:50:53.000Z,en,['1584965735612571648'],229428955,
"RT @Bville02: Dear Bella Shmurda,

As your album rolls out in less than 48 hours. May this album brings you unimaginable success and breakt…",1584951664863506432,2022-10-25T16:54:58.000Z,en,['1584951664863506432'],229428955,
RT @Akintunde4Bello: @Mario9jaa @Yeribabaa @DavidsOffor @9lives881 @TheAbisolaa Man is really brilliant,1584930931428970498,2022-10-25T15:32:35.000Z,en,['1584930931428970498'],229428955,
RT @36Kinniun: @Mario9jaa @Yeribabaa @DavidsOffor @9lives881 @TheAbisolaa Very brilliant.💯💖,1584930918732791809,2022-10-25T15:32:32.000Z,en,['1584930918732791809'],229428955,
"RT @Femiotunba1: @Mario9jaa @Yeribabaa @DavidsOffor @9lives881 @TheAbisolaa When TINUBU see intelligent brain 🧠 he knows,that is why he was…",1584930912768172036,2022-10-25T15:32:30.000Z,en,['1584930912768172036'],229428955,
RT @SundayDareSD: MiC fully Tested! https://t.co/oltGKsMiau,1584838283246579712,2022-10-25T09:24:26.000Z,en,['1584838283246579712'],229428955,
"RT @Olag0ke: We’ve had a Deputy Governor less than 35, there’s a 35 year old Speaker, Oyó State has atleast 3 commissioners under 40. Anoth…",1584670015176904704,2022-10-24T22:15:48.000Z,en,['1584670015176904704'],229428955,
RT @AlwaysJayjam: This was how the Presidential candidates fared during their stints as governors in their respective states. One thing is…,1584654542117179392,2022-10-24T21:14:18.000Z,en,['1584654542117179392'],229428955,
RT @amenahuruemu: You cannot produce a manifesto but you can quickly produce an account number to start receiving donations. Gringory where…,1584618796328751106,2022-10-24T18:52:16.000Z,en,['1584618796328751106'],229428955,
"RT @its_yugee: See, there has to be a God. You can't tell me otherwise.
There has to be Chief Designer created this - and other mind blowin…",1584541955354423296,2022-10-24T13:46:56.000Z,en,['1584541955354423296'],229428955,
"@Lolarotimi01 @Vicentto_Ad @ABUJAPLUG Yes, give it to central fm",1584496311239573504,2022-10-24T10:45:33.000Z,en,['1584496311239573504'],229428955,{'place_id': '00e55e2b4c491c5f'}
@nestaseyi @Imudia_se2 @SaveVidBot,1584324870082809858,2022-10-23T23:24:19.000Z,qam,['1584324870082809858'],229428955,{'place_id': '00e55e2b4c491c5f'}
@mibbyd Beautiful lady 😍,1584309846773420032,2022-10-23T22:24:37.000Z,en,['1584309846773420032'],229428955,{'place_id': '00e55e2b4c491c5f'}
