lang,id,text,edit_history_tweet_ids,author_id,created_at,withheld
en,1595536488351289344,RT @HotGamerKing: @RightWingWatch We're so fucking back its unreal,['1595536488351289344'],1031499956413067264,2022-11-23T21:55:17.000Z,
qme,1595466828058447875,@LabourPatriot @JewishChron https://t.co/ax1ORv22eQ,['1595466828058447875'],1031499956413067264,2022-11-23T17:18:28.000Z,
qme,1595428433383002113,@DaybreakHorizon @_omocat https://t.co/PwjVFguELA,['1595428433383002113'],1031499956413067264,2022-11-23T14:45:54.000Z,
en,1595132800813846529,"RT @Bob_cart124: BREAKING: Chaotic scenes in London

Police struggle to stop fights between anti-Iran protesters and Shia Muslims defending…",['1595132800813846529'],1031499956413067264,2022-11-22T19:11:10.000Z,
en,1594745663950098432,RT @RealCandaceO: I just want to make sure I’m correct in understanding that the Left is using the tragedy in Colorado to make the argument…,['1594745663950098432'],1031499956413067264,2022-11-21T17:32:49.000Z,
en,1594745068988112896,RT @libsoftiktok: Balenciaga is dressing teddy bears up in bondage gear for kids to hold while displaying documents about child porn,['1594745068988112896'],1031499956413067264,2022-11-21T17:30:28.000Z,
en,1594720412507992064,RT @Bazookles: just realized that the dvd logo/'no signal' is constantly moving around on my tv to prevent the image from burning onto my s…,['1594720412507992064'],1031499956413067264,2022-11-21T15:52:29.000Z,
en,1594719854602452993,@UrbanMaoism Yeah lovely icecreams and Bincho Yakitori,['1594719854602452993'],1031499956413067264,2022-11-21T15:50:16.000Z,
en,1594718881398116354,"@UrbanMaoism Actually I live in Worthing, a Proper British seaside town

Also Brighton is still better cos I'm not choking on smog there",['1594718881398116354'],1031499956413067264,2022-11-21T15:46:24.000Z,
en,1594717946512920580,@UrbanMaoism Smoggy shithole has nothing on even Chichester,['1594717946512920580'],1031499956413067264,2022-11-21T15:42:41.000Z,
en,1594717559861002243,"@merf_inator Umbrellas are for nerds, buy a macintosh",['1594717559861002243'],1031499956413067264,2022-11-21T15:41:09.000Z,
en,1594152518698913794,@AndyPOBrien @gnarglfargl @mousethatroard @FootyScran knob 🤓,['1594152518698913794'],1031499956413067264,2022-11-20T02:15:53.000Z,
en,1594148914348818435,"RT @FootyScran: Greek salad at the Qatar World Cup fan zone 

🇶🇦 38 Rial (£9) https://t.co/K5taOhM9Q3",['1594148914348818435'],1031499956413067264,2022-11-20T02:01:33.000Z,
en,1594147824144613376,"RT @FootyBevs: Pint of Madri at Nottingham Forrest (@NFFC)

🏴󠁧󠁢󠁥󠁮󠁧󠁿 £5.50 https://t.co/sYtSIIQUTv",['1594147824144613376'],1031499956413067264,2022-11-20T01:57:13.000Z,
es,1593925730798391296,@bungi_gungo @UrbanMaoism Sorry no hablo Espanol,['1593925730798391296'],1031499956413067264,2022-11-19T11:14:42.000Z,
en,1593828292980666369,@SvartskaIIe @Materye1 So is rape that doesn't mean it is good,['1593828292980666369'],1031499956413067264,2022-11-19T04:47:31.000Z,
en,1593827850402103297,@UrbanMaoism Check this one I drew out https://t.co/29JlYg4nl7,['1593827850402103297'],1031499956413067264,2022-11-19T04:45:46.000Z,
en,1593827307474636800,"@Cromwell_0 Only allow local beers, spirits and wines on display - casual drinking should be for the pub not the shops",['1593827307474636800'],1031499956413067264,2022-11-19T04:43:36.000Z,
en,1593827016058568705,@Cromwell_0 @LabourPatriot Matt Walsh was embarrassing on Joe Rogan,['1593827016058568705'],1031499956413067264,2022-11-19T04:42:27.000Z,
zxx,1593800925558501377,https://t.co/0UzGPkpj3s,['1593800925558501377'],1031499956413067264,2022-11-19T02:58:46.000Z,
en,1593800257476911105,@bungi_gungo @UrbanMaoism Students? It will collapse in two days when my tradie/Deano salesman army arrives,['1593800257476911105'],1031499956413067264,2022-11-19T02:56:07.000Z,
zxx,1593771818078601216,https://t.co/56G8Ylj3A3,['1593771818078601216'],1031499956413067264,2022-11-19T01:03:06.000Z,
en,1593771542089175041,RT @jakecross1977: @10DowningStreet @RishiSunak @JustinTrudeau @ZelenskyyUa Zelensky blatantly lied about the Polish missile and pushed for…,['1593771542089175041'],1031499956413067264,2022-11-19T01:02:01.000Z,
en,1593389881035718658,RT @StroganoffYaki: I've had enough of this world https://t.co/25K3Ub4vow,['1593389881035718658'],1031499956413067264,2022-11-17T23:45:26.000Z,
en,1593365169995976704,@Cromwell_0 Based,['1593365169995976704'],1031499956413067264,2022-11-17T22:07:14.000Z,
en,1593288429399425025,"@ikiuyo @lesbol_gang @WomenPostingLs Damn I was right, coomers gonna coom I guess https://t.co/kJinEC1myY",['1593288429399425025'],1031499956413067264,2022-11-17T17:02:18.000Z,
en,1593288251862880257,@ikiuyo @lesbol_gang @WomenPostingLs No I have been in a relationship for 3 years while you probably play genshin impact and jerk off to anime so yes this is another W for me,['1593288251862880257'],1031499956413067264,2022-11-17T17:01:35.000Z,
en,1593286910587404288,@AlbionRisingXXI @StroganoffYaki @LabourPatriot @NxlAnglo London isn't Britain for God sake,['1593286910587404288'],1031499956413067264,2022-11-17T16:56:15.000Z,
zxx,1593281052163833857,https://t.co/VC4ZQ7uuAM,['1593281052163833857'],1031499956413067264,2022-11-17T16:32:59.000Z,
en,1593280970240712704,@Cromwell_0 Hold your horses. Check the council budgets out. Havering reduced from £73m to £1m for example...also passed allowing councils a 5% compulsory council tax rise,['1593280970240712704'],1031499956413067264,2022-11-17T16:32:39.000Z,
en,1592936707787460610,"RT @amber693: @backtolife_2023 If this guy could set up an account, loads of us coulkd help him. This is actually horrific, can't believe p…",['1592936707787460610'],1031499956413067264,2022-11-16T17:44:41.000Z,
en,1592483736507273218,"RT @AkkadSecretary: ""how do you account for the racialised wealth gap today in Britain"" 

Chinese/Indians/Jews/White other all do better th…",['1592483736507273218'],1031499956413067264,2022-11-15T11:44:44.000Z,
en,1592482080528928768,@edam_anchorman @WPB_TU_Group @jeremycorbyn which polls,['1592482080528928768'],1031499956413067264,2022-11-15T11:38:09.000Z,
qme,1592480039932948480,@StroganoffYaki @LabourPatriot https://t.co/L48aUzTzGd,['1592480039932948480'],1031499956413067264,2022-11-15T11:30:03.000Z,
en,1591818824462262272,"@telegram Report button doesn't work when trying to report a channel sharing child porn? 

DM me for username so you can shut it down",['1591818824462262272'],1031499956413067264,2022-11-13T15:42:36.000Z,
und,1591767875119116292,😱 🙀 https://t.co/F1NKxSKR2k,['1591767875119116292'],1031499956413067264,2022-11-13T12:20:09.000Z,
en,1591763896351834112,"@anthonysramblin @SpookBoyz Jesus American groceries are expensive, dinner meals cooked at home should not be more than like £2-3 per person per day throughout the week

Spending $10 per day on a single person's dinner (and a small meal at that) is a major issue with your finances. Learn how to batch cook",['1591763896351834112'],1031499956413067264,2022-11-13T12:04:21.000Z,
en,1591536913923846145,"RT @Deadferrets: Forgive Hancock, forgive the police? https://t.co/Z1tfRE2Dol",['1591536913923846145'],1031499956413067264,2022-11-12T21:02:24.000Z,
in,1591486405448024064,Marugame Udon in London https://t.co/Y7aXkbKqtD,['1591486405448024064'],1031499956413067264,2022-11-12T17:41:42.000Z,
en,1591424119622742017,"@Cromwell_0 @georgegalloway @WorkersPartyGB Thank the trains, I'll be up when I can soon",['1591424119622742017'],1031499956413067264,2022-11-12T13:34:12.000Z,
und,1591423709545656322,@Cromwell_0 @georgegalloway @WorkersPartyGB no,['1591423709545656322'],1031499956413067264,2022-11-12T13:32:34.000Z,
en,1591204640187613184,@Cromwell_0 He just blocked me,['1591204640187613184'],1031499956413067264,2022-11-11T23:02:04.000Z,
en,1591177252834004992,"Shoutout to pixelflow, we see you @Cromwell_0",['1591177252834004992'],1031499956413067264,2022-11-11T21:13:14.000Z,
en,1591176456763502593,"RT @shimofruit: Stew and bread, this is what England used to be about https://t.co/OkASNLYIGf",['1591176456763502593'],1031499956413067264,2022-11-11T21:10:04.000Z,
en,1591175706746445825,@TomDGB @StroganoffYaki Japanese do it way better,['1591175706746445825'],1031499956413067264,2022-11-11T21:07:05.000Z,
en,1591122956352356352,@StroganoffYaki Frozen pizza with fresh ham and egg cracked on top,['1591122956352356352'],1031499956413067264,2022-11-11T17:37:29.000Z,
en,1591116527201587200,@Cromwell_0 How this thing won a beauty pageant is beyond me,['1591116527201587200'],1031499956413067264,2022-11-11T17:11:56.000Z,
zxx,1590786369798168576,https://t.co/hTYHoElPNF,['1590786369798168576'],1031499956413067264,2022-11-10T19:20:00.000Z,
en,1590785801914548225,"RT @hemingquay: I don't understand. How could anyone vote against this? What was the messaging for the ""No"" campaign? https://t.co/LolA5dHA…",['1590785801914548225'],1031499956413067264,2022-11-10T19:17:45.000Z,
en,1590745906302681093,RT @SkyRhiannon: It’s not everyday you get a poppy from a Princess 😊 Akeem who’s 3 was very chatty when Kate unexpectedly stopped to say he…,['1590745906302681093'],1031499956413067264,2022-11-10T16:39:13.000Z,
en,1590744946021380097,@merf_inator Only nerds who want blue checkmarks to be a social sttaus thing dislike this policy,['1590744946021380097'],1031499956413067264,2022-11-10T16:35:24.000Z,
en,1590702249403371529,"RT @HulkHogan: Nothing changes but the names,Brother HH",['1590702249403371529'],1031499956413067264,2022-11-10T13:45:44.000Z,
en,1590529394065682432,"Republicans need to learn from Rob DeSantis rather than obsessing over Trump, even if he does have a gay voice. Bad midterms due to bad candidates",['1590529394065682432'],1031499956413067264,2022-11-10T02:18:52.000Z,
en,1590460405431746560,@abu_hamideh @LabourPatriot He talks like a homosexual,['1590460405431746560'],1031499956413067264,2022-11-09T21:44:44.000Z,
qme,1590456087970729984,@merf_inator https://t.co/whrROCp7Gu,['1590456087970729984'],1031499956413067264,2022-11-09T21:27:35.000Z,
en,1590454948566749184,"RT @libsoftiktok: Perhaps the most horrific footage exemplifying the true nature of people being trapped in nursing homes, left to die alon…",['1590454948566749184'],1031499956413067264,2022-11-09T21:23:03.000Z,
en,1590418172334968832,"RT @FiliusNoster: @Will___lloyd @J_Scott_95 @unherd It's coming, this generation has nothing to lose.",['1590418172334968832'],1031499956413067264,2022-11-09T18:56:55.000Z,
en,1590418082413318145,"RT @SCHIZOMAXXER: @guffynicola @Strafio @adz_ak47 @Will___lloyd @unherd yes fundamentalist christian shadow people are gangstalking you, th…",['1590418082413318145'],1031499956413067264,2022-11-09T18:56:34.000Z,
en,1589590992596119552,@nwlema @Fignys1 @sionsonoist What was the point?,['1589590992596119552'],1031499956413067264,2022-11-07T12:10:00.000Z,
