lang,id,text,created_at,author_id,edit_history_tweet_ids,withheld
en,1596964589568405504,RT @viewspxrn: Amsterdam by night. https://t.co/I5AvLm31j2,2022-11-27T20:30:02.000Z,1018242338278256640,['1596964589568405504'],
en,1596964492927123456,"RT @ImamUlHaq12: It’s the Inner Spirit, what matters at the end to prove them wrong ♠️

#Haq26 https://t.co/sCDZOr5SHh",2022-11-27T20:29:39.000Z,1018242338278256640,['1596964492927123456'],
pt,1596964205306867712,RT @momentmemori: Mir Taqi Mir Ki Delhi. https://t.co/W6dJNlM3F4,2022-11-27T20:28:31.000Z,1018242338278256640,['1596964205306867712'],
en,1596963421496672256,"RT @fasc1nate: A swan feeds some fish. Video by nishikigoilovers on IG. 
https://t.co/IbpHNWfJ2N",2022-11-27T20:25:24.000Z,1018242338278256640,['1596963421496672256'],
en,1596963358938660864,RT @TheBarmyArmy: IT’S NEARLY TIME 🇵🇰 https://t.co/usw9xHYaMB,2022-11-27T20:25:09.000Z,1018242338278256640,['1596963358938660864'],
ur,1596963198930124800,RT @hsntalal_tiwana: طویل خاموشی، تنہائی اور انتظار کے بعد یہ تصویر بنانے میں کامیاب ہوا ہوں۔ https://t.co/Rd2NwCpIBd,2022-11-27T20:24:31.000Z,1018242338278256640,['1596963198930124800'],
en,1596963065613852673,"RT @EnglandRugby: A sad day for rugby.

#RIPDoddie https://t.co/mtIzQ88rCy",2022-11-27T20:23:59.000Z,1018242338278256640,['1596963065613852673'],
en,1596962974354137088,"RT @FIFAWorldCup: And we're back with second half action! 🇪🇸🆚🇩🇪

#FIFAWorldCup | #Qatar2022",2022-11-27T20:23:37.000Z,1018242338278256640,['1596962974354137088'],
en,1596962929135747072,RT @adinross: Messi is the greatest football player of all time.,2022-11-27T20:23:27.000Z,1018242338278256640,['1596962929135747072'],
en,1596962799992782848,RT @Pontifex: Violence kills the future. I hope that the Israeli and Palestinian authorities will more readily take to heart the pursuit of…,2022-11-27T20:22:56.000Z,1018242338278256640,['1596962799992782848'],
en,1596962567062441984,"RT @POTUS: Fair competition is was what made America the wealthiest, most innovative nation in history.
 
Now, imagine if we gave everyone…",2022-11-27T20:22:00.000Z,1018242338278256640,['1596962567062441984'],
en,1596962365610033155,"RT @PakistanFauj: Claims regarding General Qamar Javed Bajwa, Chief of Army Staff (COAS) and his families assets are based on blatant lies.…",2022-11-27T20:21:12.000Z,1018242338278256640,['1596962365610033155'],"{'copyright': False, 'country_codes': ['IN']}"
hi,1596962175762825216,RT @NJLahori: Rabrakhaaaaaaaaa pyaaron! https://t.co/QWEioHm2el,2022-11-27T20:20:27.000Z,1018242338278256640,['1596962175762825216'],
ur,1596962122008649728,"RT @PakistanJannatt: سیاحت کا ایک بہت بڑا نام

پاکستان کے اور دنیا کہ مشہور سیاح مستنصر حسین تارڑ صاحب علیل اور ھسپتال میں داخل ھیں ۔اللہ ا…",2022-11-27T20:20:14.000Z,1018242338278256640,['1596962122008649728'],
en,1596961901661257729,RT @sajid_sadpara: A pleasant sunny day in the frozen valley of Sadpara #SundayThoughts https://t.co/3l1la4qyMG,2022-11-27T20:19:22.000Z,1018242338278256640,['1596961901661257729'],
qme,1596961533544009728,"RT @PAFFalconsPK: #جنرل_سید_عاصم_منیر 
#نامزد_آرمی_چیف_آف_پاکستان https://t.co/82CQxqeXMn",2022-11-27T20:17:54.000Z,1018242338278256640,['1596961533544009728'],
en,1596961280996540417,"RT @DHSCgovuk: If you're 50 or over, you're eligible for a free flu jab.

Vaccines are our best protection this winter so book your appoint…",2022-11-27T20:16:54.000Z,1018242338278256640,['1596961280996540417'],
en,1596961187002187776,RT @ukhomeoffice: Home Secretary @SuellaBraverman explains how the government is investing £15 million to tackle violence against women and…,2022-11-27T20:16:31.000Z,1018242338278256640,['1596961187002187776'],
en,1596961068706070528,"RT @BritishArmy: The #NitnemGutka (the Sikh prayer book) is now accessible in an operations-proof format. 

For the first time in 100 years…",2022-11-27T20:16:03.000Z,1018242338278256640,['1596961068706070528'],
en,1596960853164982272,"RT @RochdaleCouncil: Added sugar play can play a key role in heart disease, it raises your bad cholesterol levels and blood pressure. Reduc…",2022-11-27T20:15:12.000Z,1018242338278256640,['1596960853164982272'],
en,1596960686969868288,"RT @PAFFalconsPK: #Israeli pilot Capt Lutz shot down over Golan | Air Commodore (Retd) Sattar Alvi #PakistanAirForce
https://t.co/BgoTQSOjFE",2022-11-27T20:14:32.000Z,1018242338278256640,['1596960686969868288'],
en,1596960628622884865,"RT @EnglandHockey: The Results are in for the Men's Hockey League

🏑 @OldGeorgiansHoc Victorious in Top of the Table Clash
🏑 Seventh Heaven…",2022-11-27T20:14:18.000Z,1018242338278256640,['1596960628622884865'],
en,1596960601204740102,"RT @PAFFalconsPK: #PakistanAirForce JF-17 Thunder Airshow Display
Watch also: https://t.co/3TvHMNr96d https://t.co/ExUhQaJOys",2022-11-27T20:14:12.000Z,1018242338278256640,['1596960601204740102'],
en,1596960448284626944,"RT @PakistanFauj: 2/3
Besides a large number of serving and retired officers from tri-services, the ceremony was attended by former Chairme…",2022-11-27T20:13:35.000Z,1018242338278256640,['1596960448284626944'],"{'copyright': False, 'country_codes': ['IN']}"
en,1596960365832990726,"RT @PakistanFauj: In an impressive ceremony held at Joint Staff Headquarters, Rawalpindi, General Sahir Shamshad Mirza HI (M), assumed the…",2022-11-27T20:13:15.000Z,1018242338278256640,['1596960365832990726'],"{'copyright': False, 'country_codes': ['IN']}"
en,1596960135746027520,"RT @ICC: More good news for New Zealand after the second #NZvIND ODI.

Details ➡️ https://t.co/YwWbGWu0iE https://t.co/Qv792wsNVr",2022-11-27T20:12:21.000Z,1018242338278256640,['1596960135746027520'],
tr,1596959953830694913,RT @LandofPakistan: Silk Route Gilgit Baltistan Pakistan 🇵🇰 https://t.co/HC2WHlOfnV,2022-11-27T20:11:37.000Z,1018242338278256640,['1596959953830694913'],
en,1596959847022329857,"RT @TheRealPCB: Leg-spinner ✅
Left-arm orthodox ✅
Mystery spinner ✅

Covering all bases against spin bowling ahead of the Test series 🏏

#P…",2022-11-27T20:11:12.000Z,1018242338278256640,['1596959847022329857'],
en,1596959615732035584,"RT @NHSuk: A loved one with diarrhoea for three weeks or more? It could be a sign of cancer. It’s probably nothing serious, but finding can…",2022-11-27T20:10:17.000Z,1018242338278256640,['1596959615732035584'],
en,1596959240346046464,RT @historyinmemes: Did you know there is fruit inside the edge of cactus plants? https://t.co/8XWhILVbqR,2022-11-27T20:08:47.000Z,1018242338278256640,['1596959240346046464'],
en,1596957913133613056,"RT @DavisCup: 🇨🇦 WORLD CHAMPIONS 🇨🇦

After 109 years Canada have won their first EVER Davis Cup 👏🤩

#DavisCup #byRakuten | @TennisCanada ht…",2022-11-27T20:03:31.000Z,1018242338278256640,['1596957913133613056'],
und,1596957814135848961,RT @fasc1nate: ❤️https://t.co/SfH1JvsKOm,2022-11-27T20:03:07.000Z,1018242338278256640,['1596957814135848961'],
en,1596956744143421440,"RT @TeamGB: 🥌🥇🧀

Winners of the European Curling Championships receive... a wheel of cheese.

We're in the wrong game! https://t.co/FeLeeO1…",2022-11-27T19:58:52.000Z,1018242338278256640,['1596956744143421440'],
en,1596956537271988225,"RT @FIFAWorldCup: Defeat could have sent Costa Rica home but Keysher Fuller keeps their #FIFAWorldCup campaign alive! 

⚽️ Goal scorer, mat…",2022-11-27T19:58:03.000Z,1018242338278256640,['1596956537271988225'],
en,1596620716467572737,"RT @UN: Media has a fundamental role to play to stop rape culture.

During the #16Days of activism to end gender-based violence &amp; every day…",2022-11-26T21:43:37.000Z,1018242338278256640,['1596620716467572737'],
ur,1596620051670765568,RT @asmashirazi: پندھدرویں عالمی اردو کانفرنس میں آپ کی شرکت باعث اعزاز ہو گی ۔ #UrduConference https://t.co/dxLPoSk3NH,2022-11-26T21:40:58.000Z,1018242338278256640,['1596620051670765568'],
en,1596618983742271488,"RT @TansuYegen: She is amazing👏
 https://t.co/sTRA4026pW",2022-11-26T21:36:44.000Z,1018242338278256640,['1596618983742271488'],
ur,1596618433290194944,RT @AsmaAzam71: پی ٹی آئی کے لیڈران اور کارکنان کو جو دلیل اور برداشت کی تربیت دی جاتی ہے اس کا عظیم مظاہرہ۔ https://t.co/JMoPgGcTES,2022-11-26T21:34:32.000Z,1018242338278256640,['1596618433290194944'],
en,1596617120225570816,RT @andy_murray: Oops. @piersmorgan https://t.co/r3DO4Ag5jX,2022-11-26T21:29:19.000Z,1018242338278256640,['1596617120225570816'],
en,1596617095923601413,RT @historyinmemes: How bridges were constructed over 100 years ago https://t.co/ZDN1VxIclr,2022-11-26T21:29:14.000Z,1018242338278256640,['1596617095923601413'],
en,1596616758546268161,RT @AsadAToor: #BREAKING: Corps commander Lt. Gen. #FaizHameed decides to go for early retirement.,2022-11-26T21:27:53.000Z,1018242338278256640,['1596616758546268161'],
en,1596615551664947201,"RT @Pontifex: During this #Advent Season, let us ask the Lord to help us keep the lamp of faith alit in our lives, to be prepared to receiv…",2022-11-26T21:23:05.000Z,1018242338278256640,['1596615551664947201'],
fr,1596615212958117889,RT @EmmanuelMacron: Les Bleus ! https://t.co/axnLWCSASG,2022-11-26T21:21:45.000Z,1018242338278256640,['1596615212958117889'],
fr,1596614697444610048,"RT @PAFFalconsPK: Passing out parade of 66 batch recruits held at Frontier Corps Training Centre Loralai. Lieutenant General Asif Ghafoor,…",2022-11-26T21:19:42.000Z,1018242338278256640,['1596614697444610048'],
ur,1596614441113485312,RT @Sughrasadafdr: آج میری گڑیا کی سالگرہ ہے۔ کئی سال پہلے میں نے اس کی سالگرہ پر ایک معروف لوک دھن پر لوری لکھی تھی۔ رب کرے ہر ماں اپنی بی…,2022-11-26T21:18:41.000Z,1018242338278256640,['1596614441113485312'],
en,1596614317167808515,"RT @WFP: 📌 Update from #Ethiopia's Tigray region: 

WFP has delivered over 2,400 metric tons of food, medical, nutrition and other lifesavi…",2022-11-26T21:18:11.000Z,1018242338278256640,['1596614317167808515'],
de,1596613393724895232,"RT @BintingM: Iseltwald, Switzerland🇨🇭 https://t.co/tBU7XoJqvJ",2022-11-26T21:14:31.000Z,1018242338278256640,['1596613393724895232'],
en,1596613360862351361,"RT @WorldAndScience: Interesting fact: 

Earth's rotation is slowing at a rate of approximately 2.3 milliseconds a century. 

The length of…",2022-11-26T21:14:23.000Z,1018242338278256640,['1596613360862351361'],
en,1596612474010497024,"RT @Earlychildhood: “If we are going to create a healthier and happier society for future generations, we must start by understanding and a…",2022-11-26T21:10:52.000Z,1018242338278256640,['1596612474010497024'],
en,1596612162881220609,"RT @GHaZ_NAwE77: H.E Hamad Obaid Al-Zaabi the Ambassador of #UAE in #Islamabad accompanied by #COAS General Qamar Javed Bajwa, inaugurates…",2022-11-26T21:09:37.000Z,1018242338278256640,['1596612162881220609'],"{'copyright': False, 'country_codes': ['IN']}"
en,1596611890968678400,"RT @sajid_sadpara: A good sunny day in 𝐬𝐚𝐝𝐩𝐚𝐫𝐚, Imtiaz Bhai &amp; I climbed until 4000m #winteriscoming https://t.co/JCVm5OdhGV",2022-11-26T21:08:33.000Z,1018242338278256640,['1596611890968678400'],
en,1596611869141528576,"RT @antonioguterres: After 4 consecutive failed rainy season, 22 million people are facing a severe hunger crisis across the Horn of Africa…",2022-11-26T21:08:27.000Z,1018242338278256640,['1596611869141528576'],
en,1596611760156459013,"RT @BarackObama: Last month, I spoke with some of the incredible small business leaders working on the South and West sides of Chicago. 

A…",2022-11-26T21:08:01.000Z,1018242338278256640,['1596611760156459013'],
en,1596610173996613638,RT @DrBushraIqbal: Good Morning 🌹 https://t.co/zkVv7QFmI6,2022-11-26T21:01:43.000Z,1018242338278256640,['1596610173996613638'],
en,1596609874066288641,RT @POTUS: More than 32 million small businesses employ almost half of America’s workforce and represent the heart and soul of countless co…,2022-11-26T21:00:32.000Z,1018242338278256640,['1596609874066288641'],
en,1596609601084039172,"RT @RishiSunak: Rest in peace Doddie Weir OBE. 

All my family’s thoughts are with Kathy and her sons.",2022-11-26T20:59:27.000Z,1018242338278256640,['1596609601084039172'],
it,1596608406777114625,RT @GiorgiaMeloni: Oggi alla Protezione civile per aggiornamenti e rimanere in contatto con le sedi operative che stanno prestando soccorso…,2022-11-26T20:54:42.000Z,1018242338278256640,['1596608406777114625'],
hi,1596608094548635648,"RT @momentmemori: Awwal aakhir aap nu jana
Na koi dooja hor pechana https://t.co/tVULqdTGlm",2022-11-26T20:53:27.000Z,1018242338278256640,['1596608094548635648'],
en,1596607203934347264,"RT @WorldRugby: A popular and inspiring figure, Doddie Weir leaves an incredible legacy for so many to follow

He will be missed by the rug…",2022-11-26T20:49:55.000Z,1018242338278256640,['1596607203934347264'],
en,1596607114855976960,"RT @CMShehbaz: In addition to reviewing the whole spectrum of bilateral relations, President Erdogan &amp; I discussed ways and means to achiev…",2022-11-26T20:49:34.000Z,1018242338278256640,['1596607114855976960'],
en,1596607076322934785,"RT @PDChina: China has successfully completed its first in-orbit test for space fuel cells on China's space station, according to China Aca…",2022-11-26T20:49:25.000Z,1018242338278256640,['1596607076322934785'],
en,1596607032618274817,"RT @AminaJMohammed: Building a world where women and girls exist without fear of violence. 

The #16Days of Activism to End Violence agains…",2022-11-26T20:49:14.000Z,1018242338278256640,['1596607032618274817'],
en,1596606749863448576,"RT @BBhuttoZardari: PTI facesaving flop show is  anticlimactic. Unable to pull revolution crowds, failed at undermining appointments of new…",2022-11-26T20:48:07.000Z,1018242338278256640,['1596606749863448576'],
en,1596606693802405889,RT @AnasMallick: Azerbaijan has waived off 15% customs duty on import of rice from Pakistan for next 5 years states a notification - Many c…,2022-11-26T20:47:53.000Z,1018242338278256640,['1596606693802405889'],
ur,1596606146332299264,RT @Sughrasadafdr: یکم سے چار دسمبر : کراچی میں عالمی ادبی و ثقافتی میلہ ، دنیا بھر سے تشریف لائے ادبی دوستوں سے ملاقات  اور گفتگو کا عمدہ…,2022-11-26T20:45:43.000Z,1018242338278256640,['1596606146332299264'],
en,1596605998050967555,"RT @RochdaleCouncil: 🎄Get into the Christmas spirit this weekend and plan a trip to our festive and fabulous Bowlee Garden Nursery.

You'll…",2022-11-26T20:45:08.000Z,1018242338278256640,['1596605998050967555'],
zxx,1596605758321266689,RT @pontecorvoste: https://t.co/2v1YItPBEI,2022-11-26T20:44:10.000Z,1018242338278256640,['1596605758321266689'],
en,1596605696916819968,"RT @BritishArmy: The @ColdstreamBand can be seen throughout #Japan in the coming days as they tour the country, hosted by @UKinJapan.  

Th…",2022-11-26T20:43:56.000Z,1018242338278256640,['1596605696916819968'],
es,1596605667267477504,"RT @Cierimar: Listo, me volví loco!
@sabatinigabyok ♥️
Arena Parque Roca
23Nov2022 Inolvidable! https://t.co/XDnpsH34zx",2022-11-26T20:43:49.000Z,1018242338278256640,['1596605667267477504'],
en,1596605623114043392,RT @PAFFalconsPK: Eurofighter Typhoon 🇩🇪 https://t.co/HSL4e8oxt5,2022-11-26T20:43:38.000Z,1018242338278256640,['1596605623114043392'],
en,1596605543510147075,"RT @DHSCgovuk: A career in care can help others live fulfilling lives.

All you need to have are the right personal qualities, training wil…",2022-11-26T20:43:19.000Z,1018242338278256640,['1596605543510147075'],
en,1596605379760242690,"RT @Marriyum_A: Another milestone of PM @CMShehbaz Turkiye visit, EUR 150 Mln financial assistance from ECO Trade and Development Bank will…",2022-11-26T20:42:40.000Z,1018242338278256640,['1596605379760242690'],
en,1596605287477174272,"RT @fasc1nate: Archaeologists in Egypt opening an ancient coffin sealed 2,500 years ago
https://t.co/ujSHA5FMZf",2022-11-26T20:42:18.000Z,1018242338278256640,['1596605287477174272'],
