lang,edit_history_tweet_ids,text,author_id,id,created_at,withheld
en,['1596882928906432512'],"RT @Yoda4ever: Dogs....🐶🐾💪🚦🤯

https://t.co/npzmvu35hO",551153971,1596882928906432512,2022-11-27T15:05:33.000Z,
en,['1596882553549443072'],RT @Yoda4ever: Sweet dreams...🐈🐾💤 😍 https://t.co/mV91ySgf7f,551153971,1596882553549443072,2022-11-27T15:04:04.000Z,
en,['1596882368773894144'],RT @Yoda4ever: Tasmanian devil babies...🦨😍 https://t.co/JMoWtloCoi,551153971,1596882368773894144,2022-11-27T15:03:20.000Z,
en,['1596881481539809280'],RT @buitengebieden: Helping like a pro.. 😅 https://t.co/jxKfMQRYHv,551153971,1596881481539809280,2022-11-27T14:59:48.000Z,
en,['1596881418000351232'],RT @buitengebieden: Peekaboo.. 😂 https://t.co/ULn8wP3c1S,551153971,1596881418000351232,2022-11-27T14:59:33.000Z,
en,['1596880797344370689'],@RTCRADIOUK Super prize! @Wishingwell66 @budgiebeams67 🤞🤞🤞🤞,551153971,1596880797344370689,2022-11-27T14:57:05.000Z,
en,['1596880666226233345'],"RT @RTCRADIOUK: #WIN AN #APPLE #IPAD 2022 256GB 5G SILVER

To enter simply #FOLLOWUS and #LIKE #SHARE this post!
(You MUST complete the abo…",551153971,1596880666226233345,2022-11-27T14:56:34.000Z,
en,['1596880428367228928'],Upsetting to see the Salvation Army once again this year asking/pleading the public to donate £19 to help the homeless off the streets for Christmas -knowing this Gov abandoned them in favour of immigrants!,551153971,1596880428367228928,2022-11-27T14:55:37.000Z,
qam,['1596879741835186178'],@SaversHB @budgiebeams67 @Wishingwell66,551153971,1596879741835186178,2022-11-27T14:52:53.000Z,
en,['1596879670863011842'],"RT @SaversHB: We're giving you the chance to #WIN a year's supply of Huggies and a GIANT Andrex puppy plush!🐕

To enter simply RT &amp; FOLLOW…",551153971,1596879670863011842,2022-11-27T14:52:36.000Z,
en,['1596879335725862914'],@WPTUK @Quintadelarosa1 @EllisWines Don’t be the one who sits on the fence buy “Portuguese wines + a World of Difference!” - @Wishingwell66 @budgiebeams67 🍷🍷🍷🍷🤞👍,551153971,1596879335725862914,2022-11-27T14:51:16.000Z,
qme,['1596878748481200128'],@OfficialPLT #PLTPinkFriday,551153971,1596878748481200128,2022-11-27T14:48:56.000Z,
und,['1596877677117734913'],@ProKit_UK @budgiebeams67 @un_lucky_clover @Wishingwell66 ⚽️⚽️⚽️⚽️🎁🍀🍀🍀🍀🤞🤞🤞🤞⚽️⚽️👍,551153971,1596877677117734913,2022-11-27T14:44:41.000Z,
en,['1596877461035302913'],"RT @ProKit_UK: COMPETITION TIME

One person will win a FREE pair of Puma World Cup Football Boots!

TO ENTER:​​
1. Follow @ProKit_UK
2. Ret…",551153971,1596877461035302913,2022-11-27T14:43:49.000Z,
en,['1596832894218948608'],RT @WhichBingoUK: Don't forget to enter our #WednesdayNetflix #giveaway 👇,551153971,1596832894218948608,2022-11-27T11:46:44.000Z,"{'copyright': False, 'country_codes': ['RU']}"
qme,['1596832816834039813'],@WhichBingoUK @NetflixUK https://t.co/uMJjOjLhAt,551153971,1596832816834039813,2022-11-27T11:46:25.000Z,
en,['1596832778313957376'],"RT @WhichBingoUK: ⭐️ #GIVEAWAY ⭐️

Tim Burton's #Wednesday is now on @NetflixUK 📺
Take our Tim Burton Quiz for your chance to #WIN a £50 Am…",551153971,1596832778313957376,2022-11-27T11:46:16.000Z,"{'copyright': False, 'country_codes': ['RU']}"
en,['1596831971187253248'],@boohoo I have been doing your giveaways for years  now but never won! I was here since Friday!,551153971,1596831971187253248,2022-11-27T11:43:04.000Z,
qme,['1596830775902883840'],@protectyrbubble #BubblesHere1,551153971,1596830775902883840,2022-11-27T11:38:19.000Z,
en,['1596830673662521344'],"RT @protectyrbubble: 💸 November #PrizeDraw - Day 1
Bubble’s here to help! For a chance to #WIN £250
 
✅ Reply with hashtag #BubblesHere1
✅…",551153971,1596830673662521344,2022-11-27T11:37:54.000Z,
qme,['1596830523166699520'],@OfficialPLT #PLTPinkSunday,551153971,1596830523166699520,2022-11-27T11:37:19.000Z,
in,['1596828413670862849'],@un_lucky_clover @moglix @socialmedia2day @SMExaminer @socialmediaweek @SDissect @GovernmentSM @TwitterMktg @MadOMarketing @GangSchbang @minmsme @Anagram_60 @jollydollie2019 Asia ❤️,551153971,1596828413670862849,2022-11-27T11:28:56.000Z,
en,['1596688043859382272'],RT @buitengebieden: Rabbit won the jackpot.. 😅 https://t.co/SA38ZgKWHi,551153971,1596688043859382272,2022-11-27T02:11:09.000Z,
en,['1596687933293068288'],"RT @ActivePatriotUK: MIGRANTS to be housed in over 1000 MILITARY HOMES whilst over 2,500 HOMELESS VETERANS who fought and served for our co…",551153971,1596687933293068288,2022-11-27T02:10:42.000Z,
zxx,['1596685610441641984'],RT @MitsueMitsu: https://t.co/fIuBpHJYDS,551153971,1596685610441641984,2022-11-27T02:01:29.000Z,
zxx,['1596685391981051904'],RT @MitsueMitsu: https://t.co/N6WOPE5Qb4,551153971,1596685391981051904,2022-11-27T02:00:37.000Z,
tr,['1596621182177943552'],RT @buitengebieden: Ballerina.. 😅 https://t.co/I1XIuteYVU,551153971,1596621182177943552,2022-11-26T21:45:28.000Z,
en,['1596593258985304064'],"RT @MonsoonValleyUK: #Win 3 bottles of fine #MonsoonValley wine! To enter, simply RT this post and follow us @MonsoonValleyUK! #Competition…",551153971,1596593258985304064,2022-11-26T19:54:30.000Z,
und,['1596569985371246592'],@zavvi @AkedoFootwear @SWSandy_ @Wishingwell66 @budgiebeams67 🍀🍀🍀🍀🤞🤞🤞🤞🍀🍀🍀🍀🤞🤞🤞👍,551153971,1596569985371246592,2022-11-26T18:22:02.000Z,
en,['1596568934542475265'],"RT @scoutstore1917: It's #giveaway time!
Like the tweet, follow us + retweet for a chance to win this Chocolate bundle worth £113.70 with:…",551153971,1596568934542475265,2022-11-26T18:17:51.000Z,
en,['1596568141869764608'],@FatherSons_ That would be amazing! @Wishingwell66 @budgiebeams67 @RussDrew1 @Wild_Duck163 @dave0540 🍀🍀🍀🤞🤞🤞🤞🍀🍀🍀🤞👍,551153971,1596568141869764608,2022-11-26T18:14:42.000Z,
en,['1596567719234928640'],"RT @FatherSons_: WIN #Giveaway [£250 Spend ] 💸

Follow @FatherSons_ &amp; RT To Enter.

Winner Chosen Monday.

https://t.co/FKRHfr5KxD

#BlackF…",551153971,1596567719234928640,2022-11-26T18:13:01.000Z,
en,['1596566248858718218'],"RT @sallyannemartyn: Dr Cavendish would most certainly not approve of this #Giveaway ! #Win my mini bottle of retro Rosé, a box of chocolat…",551153971,1596566248858718218,2022-11-26T18:07:11.000Z,
en,['1596564093862903808'],"RT @OfficialPLT: 😱 £1000 CASH GIVE AWAY 😱 

Retweet &amp; Tweet us below #PLTPinkSaturday to WIN £1000 CASH 💖 
 
Shop 30% discount with code: P…",551153971,1596564093862903808,2022-11-26T17:58:37.000Z,
qme,['1596563779977990151'],@OfficialPLT #PLTPinkSaturday,551153971,1596563779977990151,2022-11-26T17:57:22.000Z,
en,['1596562618374066176'],@AkedoFootwear @zavvi Super prize! @budgiebeams67 @Wishingwell66 @un_lucky_clover 🍀🍀🍀🍀🍀🤞🤞🤞🤞🤞🍀🍀🍀🍀🍀👍,551153971,1596562618374066176,2022-11-26T17:52:45.000Z,
en,['1596562366682234880'],"RT @AkedoFootwear: ⚓ Limited Edition Jaws Giveaway ⚓

Here's how you can win a pair of Akedo's, hoodie, wash bag, beanie, and T-Shirt. Oh,…",551153971,1596562366682234880,2022-11-26T17:51:45.000Z,
qme,['1596513058742226946'],RT @Anastasia45109: #naturelovers https://t.co/K4EfbsyTdr,551153971,1596513058742226946,2022-11-26T14:35:49.000Z,
qme,['1596513034704654336'],RT @Anastasia45109: #naturelovers https://t.co/dJ7qLwXX0Y,551153971,1596513034704654336,2022-11-26T14:35:43.000Z,
en,['1596502686463135744'],RT @Yoda4ever: Nap time..🐶🐾💤😅 https://t.co/n99g7BbYFA,551153971,1596502686463135744,2022-11-26T13:54:36.000Z,
en,['1596502608835137537'],RT @Yoda4ever: Husky makes fun of the owner's injured leg...🐶🐾🤕😅 https://t.co/M1wOBaM4Gx,551153971,1596502608835137537,2022-11-26T13:54:18.000Z,
en,['1596502421278056448'],RT @buitengebieden: The smile.. 😂 https://t.co/9PReGI8ktk,551153971,1596502421278056448,2022-11-26T13:53:33.000Z,
en,['1596502278667927552'],Always stop and smell the Flowers along the way! https://t.co/AtklhdOtyg,551153971,1596502278667927552,2022-11-26T13:52:59.000Z,
zxx,['1596502033883881473'],RT @RabbitEveryHour: https://t.co/6GA1XJSy8I,551153971,1596502033883881473,2022-11-26T13:52:01.000Z,
en,['1596500035679948801'],@J4CKMULL @FlexispotU “Good luck on FlexiSpot Black Friday deal”,551153971,1596500035679948801,2022-11-26T13:44:04.000Z,
en,['1596499763947778049'],"RT @J4CKMULL: 🔥🔥To celebrate Black Friday sales, FlexiSpot invited me to host a GIVEAWAY EVENT!!

To enter:
✅RT
✅Follow @FlexispotU
✅Reply…",551153971,1596499763947778049,2022-11-26T13:42:59.000Z,
en,['1596499568874881024'],@FlexispotU Laying down,551153971,1596499568874881024,2022-11-26T13:42:13.000Z,
en,['1596499467783778305'],"RT @FlexispotU: 🎁A Special Giveaway by Flexi🎁FlexiSpot SIT2GO x 1

To enter:
✅Find the question Flexi asked in the video and reply with you…",551153971,1596499467783778305,2022-11-26T13:41:49.000Z,
en,['1596495972557025280'],@bmstores @command Housewares 🤞,551153971,1596495972557025280,2022-11-26T13:27:55.000Z,
en,['1596495489574256648'],"RT @So_Lippy: Enter our #BlackFriday #competition to #win this #Carolinaherrera 'Very Good Girl Glam' #fragrance, simply r/t for your chanc…",551153971,1596495489574256648,2022-11-26T13:26:00.000Z,
en,['1596488188972916737'],@StreamlightUK I think it’s the fabulous “Wedge Slim Everyday Carry Flashlight”hiding! 🤞🤞🤞🤞,551153971,1596488188972916737,2022-11-26T12:57:00.000Z,
en,['1596467228253523969'],Happy weekend to everyone! https://t.co/LaodcBcnFA,551153971,1596467228253523969,2022-11-26T11:33:42.000Z,
und,['1596452699779760130'],@btc_racing @budgiebeams67 @Wishingwell66 @un_lucky_clover 🍀🍀🍀🍀🍀🍀🤞🤞🤞🤞,551153971,1596452699779760130,2022-11-26T10:35:58.000Z,
en,['1596452571245338624'],"RT @btc_racing: COMPETITION TIME⏰

Win the ultimate BTC Racing winter bundle!❄️

To win: 
📲Follow us 
👍Like this post 
♻️Retweet this and t…",551153971,1596452571245338624,2022-11-26T10:35:28.000Z,
zxx,['1596308666067845120'],RT @RabbitEveryHour: https://t.co/qKWHDiYhWq,551153971,1596308666067845120,2022-11-26T01:03:38.000Z,
en,['1596306884310757377'],RT @puppiesDoglover: A good friend 🥰 https://t.co/sMx0JEFkca,551153971,1596306884310757377,2022-11-26T00:56:33.000Z,
qme,['1596302738161340417'],RT @Anastasia45109: #naturelovers https://t.co/slIUr8Oohe,551153971,1596302738161340417,2022-11-26T00:40:05.000Z,
en,['1596302095379857409'],@MaizyDaizyZzzz I paid for recorded delivery where a signature was required the next day the said letter was posted through my door and not sent to it’s intended destination A complete shambles now!,551153971,1596302095379857409,2022-11-26T00:37:32.000Z,
en,['1596301312244813826'],"RT @DalaiLama: When we think about fear, there are two types, legitimate fear for which there is some valid basis and fear that is rooted i…",551153971,1596301312244813826,2022-11-26T00:34:25.000Z,
en,['1596299527685869568'],@blackcircles Dr Neil's Garden is definitely an awesome spot and the Botanics in Winter are simply gorgeous! - @budgiebeams67 @Wishingwell66 🍀🍀🍀🍀🤞🤞🤞🤞🤞🍀🍀🍀🍀🍀❤️👍,551153971,1596299527685869568,2022-11-26T00:27:19.000Z,
und,['1596297586679300096'],@RioSoftDrink @Wishingwell66 🍀🍀🍀🍀🍀🤞,551153971,1596297586679300096,2022-11-26T00:19:37.000Z,
en,['1596297440369393664'],"RT @RioSoftDrink: A taste of the sunny side sounds pretty good right about now ☀️ To win a year's supply of the good stuff, just complete t…",551153971,1596297440369393664,2022-11-26T00:19:02.000Z,
en,['1596295975995609088'],RT @Laughs_4_All: Bro....quit snoring so loud. 😂🐶🔊 https://t.co/0tC56NC3t3,551153971,1596295975995609088,2022-11-26T00:13:13.000Z,
en,['1596295042414825473'],RT @buitengebieden: They can’t survive in the wild..  https://t.co/t84RceWxhJ,551153971,1596295042414825473,2022-11-26T00:09:30.000Z,
en,['1596293264105082880'],@CharlotteEmmaUK Think this is pandamonia of the mind!,551153971,1596293264105082880,2022-11-26T00:02:26.000Z,
en,['1596261780996919296'],RT @buitengebieden: Sound on.. 😂 https://t.co/Vj41OpcPsR,551153971,1596261780996919296,2022-11-25T21:57:20.000Z,
en,['1596261658162532353'],RT @buitengebieden: It’s magic.. 😂 https://t.co/7Ym39lEJSs,551153971,1596261658162532353,2022-11-25T21:56:51.000Z,
en,['1596261596329918464'],RT @buitengebieden: Now give it to me.. 😅 https://t.co/DW3RNXxH0E,551153971,1596261596329918464,2022-11-25T21:56:36.000Z,
cy,['1596261461751631872'],RT @buitengebieden: Dalmatian deer.. https://t.co/owZzIOhTVJ,551153971,1596261461751631872,2022-11-25T21:56:04.000Z,
en,['1596261105990795266'],RT @Yoda4ever: Look what I can do... https://t.co/loK5VOOKIx,551153971,1596261105990795266,2022-11-25T21:54:39.000Z,
en,['1596260767858589696'],RT @Yoda4ever: Purrfect cozy spot...🐦🤗 https://t.co/lhdeA5G4iZ,551153971,1596260767858589696,2022-11-25T21:53:18.000Z,
en,['1596260604494643200'],RT @Yoda4ever: Nailed it...🐇🚧🤯 https://t.co/HPIlt3bJ5u,551153971,1596260604494643200,2022-11-25T21:52:39.000Z,
en,['1596236168819277824'],@GiftBetterUK My dream purchase would be a gaming laptop! @Wishingwell66  #GiftBetter,551153971,1596236168819277824,2022-11-25T20:15:33.000Z,
qme,['1596213768643833857'],@OfficialPLT #PLTPinkFriday,551153971,1596213768643833857,2022-11-25T18:46:33.000Z,
qme,['1596213091968376832'],@hmvtweets #hmvLovesTech,551153971,1596213091968376832,2022-11-25T18:43:51.000Z,
qme,['1596210042046681089'],@boohoo #clubboohoo,551153971,1596210042046681089,2022-11-25T18:31:44.000Z,
en,['1596209713880137728'],RT @12tmimi: For sharing and smiling. https://t.co/ApsfFliZiI,551153971,1596209713880137728,2022-11-25T18:30:26.000Z,
en,['1596208807482359810'],"RT @boohooMAN: IF ENGLAND beat the USA by 2 OR MORE GOALS in 90 minutes we will giveaway a £200 boohooMAN voucher ⚽

📲 TO ENTER: Just LIKE…",551153971,1596208807482359810,2022-11-25T18:26:50.000Z,
