text,edit_history_tweet_ids,author_id,created_at,id,lang,geo
"RT @MatthewHootonNZ: A story about binding future parliaments. 

In the early to mid 1990s, then Education Minister Lockwood Smith was unde…",['1596734804854476800'],47207737,2022-11-27T05:16:58.000Z,1596734804854476800,en,
"RT @pointoforder: Understand the substantive issue, but the means of reserving provisions is constitutional in nature and shouldn’t be poli…",['1596722979572158465'],47207737,2022-11-27T04:29:58.000Z,1596722979572158465,en,
RT @Publicwrongs: I should be absolutely agog at the folks on the left unable to process inappropriate behaviour from their own side but gi…,['1596675769421697026'],47207737,2022-11-27T01:22:22.000Z,1596675769421697026,en,
@Tanmedia Low/no overhead? Dunno what council charges for rent. No need to staff at low-traffic times.,['1596669486811475968'],47207737,2022-11-27T00:57:24.000Z,1596669486811475968,en,
"RT @drdeanknight: @maxdnharris For me, one of the obvious ways we can identify why this is out of step with our constitutional traditions i…",['1596669123009736704'],47207737,2022-11-27T00:55:58.000Z,1596669123009736704,en,
"RT @profbenperrin: The Canadian Association of Chiefs of Police recommends decriminalizing simple possession of illicit drugs

Yet, @Pierre…",['1596668515544489984'],47207737,2022-11-27T00:53:33.000Z,1596668515544489984,en,
RT @phl43: People who know how to read now make up a majority of deaths. Please stay away from books 🙏,['1596665497353080832'],47207737,2022-11-27T00:41:33.000Z,1596665497353080832,en,
@Tanmedia @Offsetting Lots of great deals at the Asian grocers yes.,['1596664305285402624'],47207737,2022-11-27T00:36:49.000Z,1596664305285402624,en,{'place_id': '013b5456649606dc'}
"@jmhorp But in supply-constrained markets, demand side measures would just push up rents. Even if tripling the minimum wage had zero employment effect, it would have a hard time making housing more affordable in places where you can't build in response to demand.",['1596635356505395201'],47207737,2022-11-26T22:41:47.000Z,1596635356505395201,en,{'place_id': '013b5456649606dc'}
"RT @alexGspence: @EricCrampton Even if Labour had increased bed numbers, there’s no one to staff them.",['1596626803962957824'],47207737,2022-11-26T22:07:48.000Z,1596626803962957824,en,
"@alexGspence The problems do seem broader than that, agree.",['1596625042838016003'],47207737,2022-11-26T22:00:48.000Z,1596625042838016003,en,{'place_id': '013b5456649606dc'}
RT @PronouncedHare: Government to introduce Education (Dean Knight Assignment Marking Workload Increase) Amendmebt Bill 2023 early in the n…,['1596616944182263808'],47207737,2022-11-26T21:28:37.000Z,1596616944182263808,en,
"@David_Cormack @MatthewHootonNZ @drdeanknight On a quick check, can confirm! N is low though. 

https://t.co/l3jXioszhI",['1596615556131880960'],47207737,2022-11-26T21:23:06.000Z,1596615556131880960,en,
"@MatthewHootonNZ @drdeanknight @David_Cormack The only good thing about this shameful episode is that it is making clearer who has principles, and who are utter utter hacks.",['1596614085982171138'],47207737,2022-11-26T21:17:16.000Z,1596614085982171138,en,
"@ATabarrok A few weeks ago, had caught a Twitter thread urging that unilingual US stuff be allowed in. And the usual types piled on about how francophones need medicine too.
Some progress, but late.
Bespoke national regs build fragility.
https://t.co/vBQKYGjCh3",['1596613693399535616'],47207737,2022-11-26T21:15:42.000Z,1596613693399535616,en,
"RT @Biz_Ukraine_Mag: Stunning: Footage of Ukraine’s heroic defence accompanied by extracts from Winston Churchill’s WWII speeches 

https:/…",['1596610974693588992'],47207737,2022-11-26T21:04:54.000Z,1596610974693588992,en,
RT @eefjerammeloo: ‘Down with the party! Down with Xi Jinping!’ Free Xinjiang!’ https://t.co/q5jwUQrz5Z,['1596610676839305216'],47207737,2022-11-26T21:03:43.000Z,1596610676839305216,en,
RT @BenThomasNZ: I’ve worked in+studied constitutional law &amp; I think whatever constitutional outrage accords with my preferred partisan pos…,['1596610039552573440'],47207737,2022-11-26T21:01:11.000Z,1596610039552573440,en,
"@flibberygiblet @oliverhartwich Right.

We were totally Trussonomics supporters. You've got us. 

https://t.co/fv2U653d7O",['1596609794584248321'],47207737,2022-11-26T21:00:13.000Z,1596609794584248321,en,
"When the 2019 First Wellbeing Budget came out, there was $1.9b for mental health - but no indications of anything around evaluation.

I'd warned about that at the time.
https://t.co/nNaosaFqyu

Good intentions aren't enough.

Oliver's column linked below. https://t.co/hb6MVBYqXC",['1596609344506073088'],47207737,2022-11-26T20:58:25.000Z,1596609344506073088,en,
"@Tanmedia @Offsetting That should be a level effect rather than a rate effect. Or at least primarily. 

I mean - a concentrated grocery market will make prices higher than they otherwise would have been, but won't necessarily change the rate of increase in prices. Different thing.",['1596608588474363904'],47207737,2022-11-26T20:55:25.000Z,1596608588474363904,en,
"RT @Mykuhl: Short article, but one that gets to the point quickly. https://t.co/ZMDTPUG2hK",['1596608248156913664'],47207737,2022-11-26T20:54:04.000Z,1596608248156913664,en,
"RT @holland_tom: What’s a Reformation without edifying displays of iconoclasm, so that - as the Bishop of Ely put it in 1541 - all objects…",['1596589803637993473'],47207737,2022-11-26T19:40:47.000Z,1596589803637993473,en,
"RT @edwardmwillis: If they are not successful, the attempts at manner and form entrenchment undermine the entrenchment we need, set out in…",['1596584539647660032'],47207737,2022-11-26T19:19:52.000Z,1596584539647660032,en,
"RT @edwardmwillis: If they are successful, each time entrenchment happens it damages the flexibility that is so vital to the way our consti…",['1596584535160127488'],47207737,2022-11-26T19:19:50.000Z,1596584535160127488,en,
"RT @edwardmwillis: And in the absence of a constitutional justification, manner and form entrenchment becomes a matter of policy and politi…",['1596584526653771776'],47207737,2022-11-26T19:19:48.000Z,1596584526653771776,en,
"@EugenieSage @drdeanknight In your view, is a government generally justified in entrenching policy positions in this kind of case?
I note that we did have a referendum on whether parents should be allowed to use force in disciplining children, which Parliament ignored.",['1596583513696141312'],47207737,2022-11-26T19:15:47.000Z,1596583513696141312,en,{'place_id': '013b5456649606dc'}
"RT @edwardmwillis: Yesterday, @drdeanknight drew to everyone’s attention that the government was planning to entrench a provision in legisl…",['1596581299996987392'],47207737,2022-11-26T19:06:59.000Z,1596581299996987392,en,
"RT @damienmgrant: If the judiciary were consistent they would declare that if you can vote at 16 you should be allowed to buy tobacco, join…",['1596575825947938817'],47207737,2022-11-26T18:45:14.000Z,1596575825947938817,en,
RT @nuekerk: Best AI art I’ve seen yet was generated in MidJourney by Johnny Derren from the prompt: “Jodorowsky’s TRON”. Holy cow. https:/…,['1596575120478195712'],47207737,2022-11-26T18:42:26.000Z,1596575120478195712,en,
"@ATabarrok On pharmacy cold medicines, high odds it is bespoke packaging regs (language requirements) making it impossible to ship in from other markets.",['1596574436865425410'],47207737,2022-11-26T18:39:43.000Z,1596574436865425410,en,{'place_id': '013b5456649606dc'}
"Mistakes are more likely than malice in explaining how proposed Resource Management legislation and grocery regulation would discourage new entry.
But any sufficiently advanced incompetence is indistinguishable from malice.
This week's column. https://t.co/LZvhtbqKLi",['1596568864275726337'],47207737,2022-11-26T18:17:34.000Z,1596568864275726337,en,{'place_id': '013b5456649606dc'}
"RT @Publicwrongs: Don't have a lot to add to @drdeanknight's excellent thread on entrenchment, but I do want to say one additional thing: m…",['1596408582983282688'],47207737,2022-11-26T07:40:40.000Z,1596408582983282688,en,
"RT @coughlthom: The idea of entrenching parts of Three Waters was first proposed in April. Then, the idea was bipartisan Nat-Lab entrenchme…",['1596346427378003968'],47207737,2022-11-26T03:33:41.000Z,1596346427378003968,en,
"@drdeanknight @PaulLambertNZ @jasonvanhattum Would you look dimly upon a future government repealing this entrenchment by a bare majority, given how it was established?",['1596345820106092544'],47207737,2022-11-26T03:31:16.000Z,1596345820106092544,en,{'place_id': '013b5456649606dc'}
RT @drdeanknight: But an SOP out of the blue and a couple of speeches on the floor of the House late on a Wednesday night is not that. Our…,['1596345019879018497'],47207737,2022-11-26T03:28:06.000Z,1596345019879018497,en,
"Who's responsible for inflation?
Remember that central banks move last. 
But remember too who is responsible for the Remit. https://t.co/F4Sn1ZBetz",['1596339726545362944'],47207737,2022-11-26T03:07:04.000Z,1596339726545362944,en,{'place_id': '013b5456649606dc'}
RT @oliverhartwich: Outrageous. No self-respecting democrat should ever vote for such laws. Those MPs who voted for this amendment ought to…,['1596338039684751361'],47207737,2022-11-26T03:00:21.000Z,1596338039684751361,en,
RT @_JeanLeon: europeans officials make themselves look like the pinheads that they are. are they complaining to any other LNG suppliers? w…,['1596335728379588608'],47207737,2022-11-26T02:51:10.000Z,1596335728379588608,en,
RT @GeoffMcLay1: So this is just not ok,['1596298676074266624'],47207737,2022-11-26T00:23:56.000Z,1596298676074266624,en,
"RT @David_Cormack: This is real shit behaviour. If National or ACT had pulled this sort of thing, we'd be screaming bloody murder. It ain't…",['1596297928150487040'],47207737,2022-11-26T00:20:58.000Z,1596297928150487040,en,
RT @edwardmwillis: Deeply concerned by this.,['1596297865537605632'],47207737,2022-11-26T00:20:43.000Z,1596297865537605632,en,
"RT @MatthewHootonNZ: “Former deputy chief economic adviser to the Treasury, Tony Burton, said the Government’s move was an ‘abuse of proces…",['1596296488904073217'],47207737,2022-11-26T00:15:15.000Z,1596296488904073217,en,
RT @cjsnowdon: All they ever wanted was non-smoking sections in restaurants and anyone who called them prohibitionists was a hysterical lib…,['1596296417559326720'],47207737,2022-11-26T00:14:58.000Z,1596296417559326720,en,
@NewsJeffs @ja_reddell The kind of polity that does this kind of violence to unwritten rules is not a polity fit to write new rules.,['1596259196563238912'],47207737,2022-11-25T21:47:04.000Z,1596259196563238912,en,{'place_id': '013b5456649606dc'}
"RT @TB_inaleakyboat: Is one reason the RBNZ is being so aggressive with interest rates that they know this gov is going to fry, boil, bake…",['1596258459976368128'],47207737,2022-11-25T21:44:08.000Z,1596258459976368128,en,
"This tweet is six! years old and soccer remains unimproved.

Disappointing. https://t.co/b2VgNDaSvf https://t.co/DBLewQizSv","['1596258244267110402', '1596258302228586496']",47207737,2022-11-25T21:43:30.000Z,1596258302228586496,en,{'place_id': '013b5456649606dc'}
@NewsJeffs @ja_reddell Think about what happens when entrenching and unentrenching become routine political games. Is there anything currently-entrenched that might be affected?,['1596257041202393088'],47207737,2022-11-25T21:38:30.000Z,1596257041202393088,en,{'place_id': '013b5456649606dc'}
"RT @MacnamaraKate: Budget 2022: How $2 billion of emergency Covid funds were redirected, via @nzherald https://t.co/yYViZ6HSg0",['1596254685161082880'],47207737,2022-11-25T21:29:08.000Z,1596254685161082880,en,
"@blaiserize @WainuiomataTrev @GraemeEdgeler When I covered this stuff in public choice, I argued that NZ mainly has stuff that brings important changes to voters' attention. Moving to unentrench was one of those things. And now it won't be.",['1596252380718211074'],47207737,2022-11-25T21:19:59.000Z,1596252380718211074,en,{'place_id': '013b5456649606dc'}
RT @GraemeEdgeler: @openpolicynz 60% is a round number near the proportion who would actually vote for it seems very likely to be the answe…,['1596248676472872960'],47207737,2022-11-25T21:05:15.000Z,1596248676472872960,en,
RT @GraemeEdgeler: @3minboardgames Parliament mucking around with entrenchment undermines New Zealand's constitutional structure. Especiall…,['1596241483858063360'],47207737,2022-11-25T20:36:41.000Z,1596241483858063360,en,
RT @GraemeEdgeler: Turns out they already voted for it. My options for the next (and future) elections appear to have significantly narrowe…,['1596241355981799424'],47207737,2022-11-25T20:36:10.000Z,1596241355981799424,en,
"RT @GraemeEdgeler: Indeed, I get the feeling that this is so constitutionally dodgy, that if it passes, I will probably never vote for a pa…",['1596241304291115008'],47207737,2022-11-25T20:35:58.000Z,1596241304291115008,en,
"The next time there is a hefty majority on the right, it will be fair play for that majority to entrench all manner of things, with this seal having been broken.

Ultimately the only thing that binds is a constitutional spirit. It has been waning badly. https://t.co/CqtzIuN4Dr",['1596239540091777024'],47207737,2022-11-25T20:28:57.000Z,1596239540091777024,en,{'place_id': '013b5456649606dc'}
RT @drdeanknight: It’s regrettable this significant constitution development only came to light in committee of the whole stage and was not…,['1596237542697103360'],47207737,2022-11-25T20:21:01.000Z,1596237542697103360,en,
"RT @drdeanknight: Catching up on constitutional developments while I’ve been deep in the marking cave. 

And this one is a doozy — and perh…",['1596237406562156544'],47207737,2022-11-25T20:20:29.000Z,1596237406562156544,en,
The government stole from the Covid fund. https://t.co/PTYQXnds6E,['1596235617783816192'],47207737,2022-11-25T20:13:22.000Z,1596235617783816192,en,{'place_id': '013b5456649606dc'}
"Or we could just scale back security, recognizing that much of the increase has been useless theatre. 
The Americans can require that we do dumb stuff for flights going to the US. 
But domestic is a self-inflicted wound. https://t.co/lTMaIJXp00",['1596234659406708737'],47207737,2022-11-25T20:09:34.000Z,1596234659406708737,en,{'place_id': '013b5456649606dc'}
"RT @Noahpinion: Yes, I think one of the big lessons of the tech boom of the 2010s is that winner-take-all effects are a lot rarer and more…",['1596224198325649408'],47207737,2022-11-25T19:27:59.000Z,1596224198325649408,en,
"RT @MHReddell: Reading this thread is like an insight to another world. By contrast in NZ, actual current expertise is banned for external…",['1596200531013140480'],47207737,2022-11-25T17:53:57.000Z,1596200531013140480,en,
RT @arpitrage: Very cool paper - market for state governance and benefits of conflict. Some warfare results in cities moving to better gove…,['1596147641192022017'],47207737,2022-11-25T14:23:47.000Z,1596147641192022017,en,
"RT @davidfromterra: So overall, competition between states had short-run costs but potential long-run benefits. We call this creative destr…",['1596147567431065600'],47207737,2022-11-25T14:23:29.000Z,1596147567431065600,en,
"RT @emollick: How do brain parasites relate to business? Toxoplasma (🐈 parasite) may alter our behavior:
😺Infected students are 180% more l…",['1596021170255429633'],47207737,2022-11-25T06:01:14.000Z,1596021170255429633,en,
"@PeterBale Well, it should have a retractable dome roof. Those sometimes get expensive.",['1596020040868204546'],47207737,2022-11-25T05:56:45.000Z,1596020040868204546,en,{'place_id': '013b5456649606dc'}
"@PeterBale Wouldn't torch it. But would set a rental on it that reflected the value of the land were it used in intensive housing. If the club then decided to torch it, that would be up to them.",['1596019743378792448'],47207737,2022-11-25T05:55:34.000Z,1596019743378792448,en,{'place_id': '013b5456649606dc'}
@PeterBale In first instance the rich club charged peppercorn rental.,['1596015624509042688'],47207737,2022-11-25T05:39:12.000Z,1596015624509042688,en,{'place_id': '013b5456649606dc'}
@PeterBale Right. Opposing subsidies for golf is censorious. Got it.,['1596004704349466624'],47207737,2022-11-25T04:55:48.000Z,1596004704349466624,en,
"@PeterBale Not nearly as classist as those who oppose spending a half billion dollars to build me a proper subsidised ice hockey rink.

Only possible grounds for objecting to subsidised ice rinks is classism. Clearly.",['1596003727617716226'],47207737,2022-11-25T04:51:55.000Z,1596003727617716226,en,{'place_id': '013b5456649606dc'}
"@MHReddell I don't think it is just that. If sick leave rates go up, effective hours worked per worker go down...",['1595991972027985920'],47207737,2022-11-25T04:05:12.000Z,1595991972027985920,en,{'place_id': '013b5456649606dc'}
"Golf courses are not just not essential, they're almost certainly a horrible waste (where subsidised through low rental rates on council land, for ex)

A proposal for inducing better land use: 
https://t.co/Pryy0QDJDX
Some numbers on the opportunity costs:
https://t.co/GtURANZNMV https://t.co/QDYA4gHdoh",['1595985666663682050'],47207737,2022-11-25T03:40:09.000Z,1595985666663682050,en,
@Economissive Oh. That's not defensible at all.,['1595984496582856705'],47207737,2022-11-25T03:35:30.000Z,1595984496582856705,en,
"@psw1937 @Economissive Peter Nunns had a first crack at it here. 

https://t.co/a12blRkGNU

https://t.co/GtURANZNMV",['1595981416260861953'],47207737,2022-11-25T03:23:16.000Z,1595981416260861953,en,
"NZ is short of workers, tech included.

We could decide to let H-1B workers caught in this spot trade in their US H-1B for a NZ work or residence visa.

No good reason not to really. https://t.co/Ajuw0oNxlA",['1595979787075362816'],47207737,2022-11-25T03:16:47.000Z,1595979787075362816,en,{'place_id': '013b5456649606dc'}
"Some good stuff here, including ditching the limits on parent visas so long as folks get health insurance. https://t.co/8htPwTMxSX",['1595971142032162816'],47207737,2022-11-25T02:42:26.000Z,1595971142032162816,en,
@Economissive Was this in context of 'things that should be allowed to operate even when a pandemic is running hot'? If so that'd be fine. Outdoors is low risk.,['1595969190921637889'],47207737,2022-11-25T02:34:41.000Z,1595969190921637889,en,
"Hi @NZComCom . That thing where I keep suggesting a market study into medical services? 

You should do a market study into medical services.

https://t.co/SauqMjnnQK",['1595958454308728837'],47207737,2022-11-25T01:52:01.000Z,1595958454308728837,en,
"Great stuff from @clairlemon on the potential for nuclear power in Australia.

https://t.co/tLSsKPdKfg

If they go ahead with it, NZ should try to piggyback on whatever regulatory structure they put in place. 
And Oz should stand ready to kick NZ out of any joint regulator.",['1595957753448927233'],47207737,2022-11-25T01:49:14.000Z,1595957753448927233,en,
"You shall see thangs, wonderful to tell. You shall see a... an ostrich... running down the streets of Taber, Alberta, ha! 
And, oh, so many startlements. 
I cannot tell you how long this road shall be, but fear not the obstacles in your path, for fate has vouchsafed your reward. https://t.co/oYSryxx4jv",['1595945048595902465'],47207737,2022-11-25T00:58:45.000Z,1595945048595902465,en,
@ClintVSmith @SageofomahaNZ @stefanolson Look at the question wording. The vast majority of the country's economists agree that a faster return to surplus would be helpful.,['1595940043566518272'],47207737,2022-11-25T00:38:52.000Z,1595940043566518272,en,
@ClintVSmith @SageofomahaNZ @stefanolson No clue what McClay was talking about. But absolutely defensible to note excessive fiscal stimulus as part of the problem.,['1595937201472540673'],47207737,2022-11-25T00:27:34.000Z,1595937201472540673,en,{'place_id': '013b5456649606dc'}
"@SageofomahaNZ @stefanolson @ClintVSmith https://t.co/AcJaQfvoba

77% of NZ economists agree or strongly agree (9% disagree) that a faster return to surpluses would ease pressure on prices, so smaller OCR increases would be needed to get inflation back within-target. https://t.co/xGody6BN2p",['1595936003570929665'],47207737,2022-11-25T00:22:48.000Z,1595936003570929665,en,
"RT @matty_prasad: in NZ we freak if anything is 15dupha most new suburban medium density is around 25dupha. 

UK anything under 90dupha is…",['1595935478892875777'],47207737,2022-11-25T00:20:43.000Z,1595935478892875777,en,
"@paulbrislen The whole media push on this has been an extortion pitch from Day 1. 

https://t.co/sIdFiVVIfZ",['1595934616116158465'],47207737,2022-11-25T00:17:18.000Z,1595934616116158465,en,
"McChesney's rent-extraction model remains relevant as always. 
https://t.co/UINYSTxqIE
Here the politicians aren't demanding political donations in exchange for regulatory forbearance, but payment to media outlets who may return the favour. https://t.co/bFFZdqPUpp https://t.co/MeaH7YE7Xd",['1595932990466830336'],47207737,2022-11-25T00:10:50.000Z,1595932990466830336,en,
"@shananhalbert The Bill winds up making it less likely that new international players enter the market. 
The Minister can designate them as being subject to the wholesale supply requirements 5 years after starting operations.
Thread below. It's a problem.

https://t.co/2Y1iW9KmA4",['1595922866436182016'],47207737,2022-11-24T23:30:36.000Z,1595922866436182016,en,
"Whatever you think of the merits of forcing a new entrant to supply rent-seeking Kiwi competitors at government-chosen prices, think for half a second about the effects on new entry. 
Why would anyone open shop here when it's subject to this kind of threat?",['1595920003010002946'],47207737,2022-11-24T23:19:14.000Z,1595920003010002946,en,
