id,author_id,lang,text,edit_history_tweet_ids,created_at,geo
1594520263143567360,744368337732272128,und,💪 https://t.co/uAivNqYTx0,['1594520263143567360'],2022-11-21T02:37:10.000Z,
1594520221334663168,744368337732272128,und,🤙🏼💗 https://t.co/Z38TX8NmZQ,['1594520221334663168'],2022-11-21T02:37:00.000Z,
1594447631774011392,744368337732272128,en,I’ll probably do the other side of my nose too 😂😅 https://t.co/3jIMUKtNKP,['1594447631774011392'],2022-11-20T21:48:33.000Z,
1594443018827837440,744368337732272128,en,"If you ever wanna hang out, just txt me I really wanna still be close to you and have a friendship or wtv.",['1594443018827837440'],2022-11-20T21:30:13.000Z,
1594401280696336385,744368337732272128,en,RT @iamsouljabrasi: Everybody love Scorpios 😌,['1594401280696336385'],2022-11-20T18:44:22.000Z,
1594401196847951873,744368337732272128,es,RT @IndirectasRock: Besar es con b o con vos?,['1594401196847951873'],2022-11-20T18:44:02.000Z,
1594400268501757952,744368337732272128,en,I get high for the pain you would never know https://t.co/pGrHCdMcuK,['1594400268501757952'],2022-11-20T18:40:21.000Z,
1594294107035557889,744368337732272128,und,😞 https://t.co/DlL8KaM5Rm,['1594294107035557889'],2022-11-20T11:38:30.000Z,
1594293964818948096,744368337732272128,en,"God please help me, why do I cry when I think of you? Why do I cry when I listen to your favorite songs 😞😞😞",['1594293964818948096'],2022-11-20T11:37:56.000Z,
1594292831107002369,744368337732272128,en,I wish I could see you and just talk with you for so long😞,['1594292831107002369'],2022-11-20T11:33:26.000Z,
1593645727778947077,744368337732272128,und,21🎉🎊 https://t.co/WshVF6NNIW,['1593645727778947077'],2022-11-18T16:42:04.000Z,
1593459034182467584,744368337732272128,es,RT @Bandidosfrasess: pensará en mí?,['1593459034182467584'],2022-11-18T04:20:13.000Z,
1593236361519058944,744368337732272128,es,RT @Jimbo4xL: esto es más vuestro que mío https://t.co/3UBrFZ1GzW,['1593236361519058944'],2022-11-17T13:35:24.000Z,
1593231805137956866,744368337732272128,en,"I saw your auntie and cousins the other day at work🥹, they made my day seeing them.🥲",['1593231805137956866'],2022-11-17T13:17:17.000Z,
1593230882416242693,744368337732272128,en,"Ever since you left, birthdays they just don’t feel the same. Te amo",['1593230882416242693'],2022-11-17T13:13:37.000Z,
1593230541377404929,744368337732272128,en,Look mom your youngest child is finally 21 🥲,['1593230541377404929'],2022-11-17T13:12:16.000Z,
1593230296035786752,744368337732272128,en,Thanks @elonmusk ☺️ https://t.co/9QyA2ZJLjS,['1593230296035786752'],2022-11-17T13:11:18.000Z,
1593004313953333248,744368337732272128,en,When I die you’ll love me . .🐣,['1593004313953333248'],2022-11-16T22:13:19.000Z,
1593003139934064640,744368337732272128,en,"This album will forever remember me of you, because it was this album that I played the most by youngboy🥲💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚🧸 https://t.co/wzJimqkQym",['1593003139934064640'],2022-11-16T22:08:39.000Z,
1593002348179492864,744368337732272128,en,I can’t believe I’ll be 21 tomorrow 🥲,['1593002348179492864'],2022-11-16T22:05:31.000Z,
1592240997060472832,744368337732272128,es,"RT @Bandidosfrasess: Me fallé mil veces a mí, para no fallarte a ti.",['1592240997060472832'],2022-11-14T19:40:10.000Z,
1592178971621617666,744368337732272128,en,"RT @FabrizioRomano: Eden Hazard: “I don't want to leave Real Madrid. Maybe my situation will change after the World Cup” 🚨⚪️ #RealMadrid

“…",['1592178971621617666'],2022-11-14T15:33:42.000Z,
1591639859558764544,744368337732272128,es,Quiero fumarme un blunt que me haga olvidarte para siempre🤧,['1591639859558764544'],2022-11-13T03:51:28.000Z,
1590221157059661824,744368337732272128,und,🫠 https://t.co/dtJQw8zfBF,['1590221157059661824'],2022-11-09T05:54:03.000Z,
1590192319541936128,744368337732272128,en,There's a possibility🧛🏼🩸🐺💎🌞💎 https://t.co/e59pCLVG2C,['1590192319541936128'],2022-11-09T03:59:27.000Z,
1589814440371052545,744368337732272128,en,"RT @Eminem: ""Now how the fuck did this metamorphosis happen?"" Thank u @rockhall @drdre @edsheeran @iamstevent !!! photo gallery on the site…",['1589814440371052545'],2022-11-08T02:57:54.000Z,
1589724453889769473,744368337732272128,art,😗 https://t.co/br5KoD7LQ3,['1589724453889769473'],2022-11-07T21:00:20.000Z,
1587516250573352961,744368337732272128,en,Cerca de mi Neighborhood #TegoCalderón https://t.co/sq8YeCdrAn,['1587516250573352961'],2022-11-01T18:45:43.000Z,
1586779195207667712,744368337732272128,en,Do you get deja vu when you’re with him?,['1586779195207667712'],2022-10-30T17:56:55.000Z,
1584996624153350145,744368337732272128,en,@theMadridZone Hazard,['1584996624153350145'],2022-10-25T19:53:37.000Z,
1583493767641776129,744368337732272128,und,😙 https://t.co/sSeuP0l1yp,['1583493767641776129'],2022-10-21T16:21:48.000Z,
1582806437767483392,744368337732272128,es,Sabes que estas enamorado cuando te sales de tu trabajo a las 12 pm ganando 20 dólares la hora solo para ver a tu novia y venir desde richmond hasta San Francisco 🥴,['1582806437767483392'],2022-10-19T18:50:36.000Z,
1582131413981069312,744368337732272128,en,"RT @FabrizioRomano: Real Madrid president Florentino Pérez: “No, I’m not tired about Kylian Mbappé rumours — but I’m not even reading the s…",['1582131413981069312'],2022-10-17T22:08:18.000Z,
1580613998701031424,744368337732272128,zxx,RT @Monstrosz: https://t.co/ODVT1M8fvz,['1580613998701031424'],2022-10-13T17:38:38.000Z,
1579633611862835202,744368337732272128,und,🤓 https://t.co/qGIv2Oz7kU,['1579633611862835202'],2022-10-11T00:42:55.000Z,
1579488412415193088,744368337732272128,en,I swear my bestfriend is the best🥰🥰😌 https://t.co/hdAzMMwdu2,['1579488412415193088'],2022-10-10T15:05:57.000Z,
1578041579138273280,744368337732272128,es,Buenos días https://t.co/iCN8HcdGdP,['1578041579138273280'],2022-10-06T15:16:45.000Z,
1577474111009214467,744368337732272128,qst,Fr😭 https://t.co/CBxGHUrfiE,['1577474111009214467'],2022-10-05T01:41:50.000Z,
1576587478013575168,744368337732272128,en,Good morning https://t.co/f1NeC5l8Mb,['1576587478013575168'],2022-10-02T14:58:40.000Z,{'place_id': '5a110d312052166f'}
1575591059073089536,744368337732272128,qht,#SmileMovie,['1575591059073089536'],2022-09-29T20:59:16.000Z,{'place_id': '5a110d312052166f'}
1575511854943649792,744368337732272128,en,Waiting for my phone to get home soon😪 #iPhone14ProMax 💜 https://t.co/4L3qMH0WP7,['1575511854943649792'],2022-09-29T15:44:32.000Z,{'place_id': '5a110d312052166f'}
1574798344504762368,744368337732272128,en,Yes bitch I got a nose piercing with my bestfriend🥰🥰🥰 https://t.co/ZmRzy2TEE2,['1574798344504762368'],2022-09-27T16:29:18.000Z,{'place_id': '5a110d312052166f'}
