edit_history_tweet_ids,withheld,text,id,created_at,author_id,lang
['1596966064440586240'],,"RT @AzharSiddique: ارشد شریف کے قتل  کا معاملہ انٹرنیشنل کورٹ آف جسٹس میں اٹھانے کے لیے مراسلہ 

جوڈیشل ایکٹوزیم پینل  نے  صدر ، وزیراعظم ،…",1596966064440586240,2022-11-27T20:35:54.000Z,768664173744103424,ur
['1596964342733606912'],,"RT @rizwan_media: یہ ہیں عظیم لیڈر عظیم انسان عمران خان کی بہن جو راولپنڈی جلسہ کے بعد اس جگہ کی صفائی میں مصروف ہیں۔۔۔۔
@DurraniViews @Off…",1596964342733606912,2022-11-27T20:29:04.000Z,768664173744103424,ur
['1596964281895247872'],"{'copyright': False, 'country_codes': ['IN']}",RT @irshad_rathi: یہ قوم کی تربیت ہے اور آنے والی نسلوں کا مستقبل مضبوط ہاتھوں میں ہے۔پاکستان کے سب سے مقبول اور آنے والے وزیراعظم کی بہنیں…,1596964281895247872,2022-11-27T20:28:49.000Z,768664173744103424,ur
['1596964212710207488'],,RT @Shiffa_ZY: علیمہ خان جلسے کے بعد جلسہ گاہ سے کچرا اٹھا رہی ہیں۔ کون لوگ ہیں یہ؟ کس مٹی کے بنے ہیں یہ بھائی بہن؟ https://t.co/9UIHC2iP0O,1596964212710207488,2022-11-27T20:28:33.000Z,768664173744103424,ur
['1596962681181081600'],,RT @ARYSabirShakir: وہ بھی کیا وقت تھا جب ہمارے دفاعی ادارے غیرملکی حاضر سروس جاسوس افسر پکڑا کرتے تھے اور آج زوال کا حال یہ ہے کہ محب وطن…,1596962681181081600,2022-11-27T20:22:27.000Z,768664173744103424,ur
['1596962309607673857'],,RT @balochi5252: کونسا پروپیگنڈہ؟,1596962309607673857,2022-11-27T20:20:59.000Z,768664173744103424,ur
['1596962003012046848'],,"RT @PTIPoliticsss: PMLN Ex PM Raja Farooq lost Jhelum Valley to PTI
PMLN AJK President Shah Ghulam Qadir lost home UC &amp; Neelum Valley to PT…",1596962003012046848,2022-11-27T20:19:46.000Z,768664173744103424,en
['1596961927376560128'],"{'copyright': False, 'country_codes': ['IN']}","RT @Dreamer4927: Meray samnay Pakfoj ko ghadar kehnay se Kuch hasil nahi hoga 
Har idaray main chahay civil ho ya military us main achay bu…",1596961927376560128,2022-11-27T20:19:28.000Z,768664173744103424,hi
['1596953883716505609'],,"RT @BOLNETWORK: بلاول بھٹو کے خان کے خلاف ایسے الفاظ--
شاہ محمود قریشی کا دو ٹوک جواب 
#BilawalBhuttoZardari
 @ameerabbas84 @SMQureshiPTI h…",1596953883716505609,2022-11-27T19:47:30.000Z,768664173744103424,ur
['1596953371461955584'],,RT @Amna_007_: ہم تین سال میں اگلی سات نسلوں کے لیے مال غنیمت اکٹھا کر لیتے ہیں۔ چھ سال مل جائیں تو سمجھو پورے خاندان کی سات پشتیں ہری ہو گ…,1596953371461955584,2022-11-27T19:45:28.000Z,768664173744103424,ur
['1596953180109123585'],,"RT @balochi5252: خان  صاحب کی بہن، عورتوں والی سائڈ پے کوڑا اکٹھا کر رہی ہیں۔
کیا سادگی ہے ماشاءاللہ https://t.co/SlX8D7zA0D",1596953180109123585,2022-11-27T19:44:42.000Z,768664173744103424,ur
['1596953122647089152'],,"RT @moeedahmed: Apparently, PTI tested the waters, but Hafiz sb threw down the gauntlet and has given the clear message that he won't toler…",1596953122647089152,2022-11-27T19:44:29.000Z,768664173744103424,en
['1596953066086887425'],,RT @ImranRiazKhan: آپ سب سے گزارش ہے کہ خط ضرور لکھیں اپنے الفاظ اور اپنے انداز میں انصاف سُومو ٹو اور جوڈیشل کمیشن کی درخواست کریں۔ #چیف_ج…,1596953066086887425,2022-11-27T19:44:15.000Z,768664173744103424,ur
['1596952994582388736'],,RT @ImranRiazKhan: اسٹیبلشمنٹ ایسی FIRs اور ہتھکنڈے اس ملک ملک میں کئی دہائیوں سے استعمال کر رہی ہے مگر اس بار PDM کی اتحادی حکومت میں شامل…,1596952994582388736,2022-11-27T19:43:58.000Z,768664173744103424,ur
['1596952491807019008'],,RT @BasharatRaja786: سہروردی کو اقتدار اور ملک سے نکال باہر کیا۔ مولوی تمیز الدین کو رسوا کیا پاکستان بنانے والوں پر زمین تنگ کر دی ان پر ج…,1596952491807019008,2022-11-27T19:41:58.000Z,768664173744103424,ur
['1596952199623413760'],,"RT @Naya__Pakistan_: کل عمران خان کی بہن علیمہ خان بیٹھی تو ساتھ کچرا پڑا ہوا تھا تو اٹھ کر وہ اکٹھا کرنے لگی 
ایسی ہی عمران خان کی بہنیں h…",1596952199623413760,2022-11-27T19:40:48.000Z,768664173744103424,ur
['1596952160918720513'],"{'copyright': False, 'country_codes': ['IN']}","RT @Dreamer4927: Baldia town main log jal gaye 
Lakin Kamran tasoori jesa Banda governor ban gaya 
Baat yehi karahi hun across the board ac…",1596952160918720513,2022-11-27T19:40:39.000Z,768664173744103424,tl
['1596950917970264064'],,"RT @BasharatRaja786: بنگلہ دیش نے پاکستان تخلیق کیا تھا 
تحریک پاکستان میں سب سے اہم کردار بنگالیوں کا تھانواب وقارِ الملک،محسن الملک، سہرو…",1596950917970264064,2022-11-27T19:35:43.000Z,768664173744103424,ur
['1596950170373001218'],,"RT @AxisofE: 17th August 2022: Disgraced Army Chief Gen Qamar Bajwa visited UAE to receive Order of the Union.

19th August 2022: UAE advis…",1596950170373001218,2022-11-27T19:32:45.000Z,768664173744103424,en
['1596949493093912578'],,RT @AzharSiddique: تمہیں فیصلہ اس پل پر کرنا ہو گا وگرنہ فیصلہ اس پل پر ہو گا!!! https://t.co/j5rd3bUkUV,1596949493093912578,2022-11-27T19:30:03.000Z,768664173744103424,ur
['1596949059629387777'],,"RT @SajeerAlam: NC seats?

Peshawar :: Ghulam Bilour defeated
Charsadda :: Melo humiliated 
Mardan and Kurram :: PDM dismantled
KP :: Hat-T…",1596949059629387777,2022-11-27T19:28:20.000Z,768664173744103424,en
['1596948792817119232'],,RT @AzamKhanSwatiPk: https://t.co/eoWErTsVFg,1596948792817119232,2022-11-27T19:27:16.000Z,768664173744103424,zxx
['1596947354078543872'],,"RT @mustafaaleem: Tomorrow morning I will post it..

Now it’s your turn…

#ShaheedArshadSharif
#LettertoCJP https://t.co/qnDaMa9lpM",1596947354078543872,2022-11-27T19:21:33.000Z,768664173744103424,en
['1596945187385008128'],,RT @_surgeonjaved: عمران خان سنو۔۔ ایک خاص پیغام https://t.co/Uxpj74c2lG,1596945187385008128,2022-11-27T19:12:57.000Z,768664173744103424,fa
['1596944247919644674'],,"RT @salma4ever16: سلام ہے مرحومہ شوکت خانم صاحبہ کو کیا تربیت کی ہے اپنی اولاد کی۔ جنہوں نے ہمیشہ اپنے کردار سے مثال قائم کی۔

 https://t.c…",1596944247919644674,2022-11-27T19:09:13.000Z,768664173744103424,ur
['1596943717486989313'],,RT @SalmanKNiazi1: Hey @GWR I think we have just made a world record. A senator named @AzamKhanSwatiPk has been booked in several criminal…,1596943717486989313,2022-11-27T19:07:06.000Z,768664173744103424,en
['1596943448988602368'],,"RT @shafqatmm1: Imran Riaz &amp; Murad Saeed
You Beauties 💖💖💖
We R in love
With your courage 💪&amp;
Sincerity with The Cause;
""TRUTH &amp; JUSTICE ""

@…",1596943448988602368,2022-11-27T19:06:02.000Z,768664173744103424,en
['1596942430590636033'],,RT @alizaihere: میں نے اپنے 5 سالہ ٹویٹر کیریر میں اس عورت کا نہ کبھی کوئی ٹویٹ لائیک کیا نہ کبھی ریٹویٹ نہ سپورٹ ، کیوں کہ میں جانتا تھا ا…,1596942430590636033,2022-11-27T19:01:59.000Z,768664173744103424,ur
['1596942380699377666'],,"RT @soldierspeaks: According to the explanation given by ISPR regarding the assets of Bajwa Sahib, his Begum is also not part of his family…",1596942380699377666,2022-11-27T19:01:47.000Z,768664173744103424,en
['1596942336642064384'],,"RT @Sab_PK: Take print out of English or Urdu letter, write your name and CNIC at the end, and send it to the Supreme Court Of Pakistan (ad…",1596942336642064384,2022-11-27T19:01:37.000Z,768664173744103424,en
['1596942189598191616'],,"RT @MashwaniAzhar: محترمہ نے آج پھر کچی پی لی ہے

تحریک انصاف تینوں اضلاع جیت چکی ہے

یہ صرف ایک مظفرآباد سٹی کارپوریشن کے رزلٹ پر مٹھائیاں…",1596942189598191616,2022-11-27T19:01:02.000Z,768664173744103424,ur
['1596938482332897282'],,"RT @PTIPoliticsss: 72/74 UC Update AJK LBE
PTI 34
PPP 23
PMLN 9
MC 3
IND 4
PTI has gained majority in District Neelum &amp; District Jhelum. PT…",1596938482332897282,2022-11-27T18:46:18.000Z,768664173744103424,en
['1596935134686883840'],,یہ جہادی بہن کا گھر کھا کر ادھر ففتھے جنریشن وار لڑ رہا ہے https://t.co/fHCoRScj7x,1596935134686883840,2022-11-27T18:33:00.000Z,768664173744103424,ur
['1596934391468806146'],,"RT @PTIPoliticsss: PTI has now gained majorty in Jhelum Valley and Neelum Valley LBE!
PTI wins 10/18 UCs of Jhelum Valley!
PTI wins 7/15 UC…",1596934391468806146,2022-11-27T18:30:03.000Z,768664173744103424,en
['1596934141567971329'],,"RT @B0oTaOfficial: ہر بندے نو تڑیاں لاندے سارا دن ایتھے ٹؤئیٹر تے ریکی کردے فیر چوتئیے کہندے ہم جاگتے ہیں آپ ساری رات سکون سے سوتے ہیں۔
ایت…",1596934141567971329,2022-11-27T18:29:03.000Z,768664173744103424,ur
['1596934071753797634'],,"RT @ImranARaja1: ارشد شریف شہید، عمران ریاض، عمران خان صاحب کے خلاف جن بسٹرڈز نے FIRs درج کروائی تھیں
اعظم سواتی صاحب کے خلاف بھی وہی درج ک…",1596934071753797634,2022-11-27T18:28:46.000Z,768664173744103424,ur
['1596933919667953665'],,"RT @asherbajwa: چھوٹے بچے بھی چیف جسٹس کو لیٹر لکھ رہے ہیں۔۔
#JusticeForArshadSharif https://t.co/p58HnzMunX",1596933919667953665,2022-11-27T18:28:10.000Z,768664173744103424,ur
['1596933833152114688'],,"RT @Lalika79: سپریم کورٹ کو سب خط لکھیں
ارشد شریف
اعظم سواتی
شہباز گل
عمران خان
سب کے لئے انصاف مانگیں
اتنے خطوط لکھیں کہ سپریم کورٹ بوریوں…",1596933833152114688,2022-11-27T18:27:50.000Z,768664173744103424,ur
['1596933815628607488'],,RT @TBajwa7: ایک ماہ سے زائد بیت گیا لیکن خزاں کی رت میں بھی راہ حق کے شہید ارشد شریف کی آخری آرامگاہ پر قوم نے پھول نہیں سوکھنے دئیے. http…,1596933815628607488,2022-11-27T18:27:45.000Z,768664173744103424,ur
['1596933746221264896'],,"RT @MashwaniAzhar: الحمد للہ

آزاد کشمیر کے بلدیاتی الیکشن میں بھی 4 میں سے 3 ضلع کونسلز/کارپوریشنز میں پاکستان تحریک انصاف کی فتح

مظفر آب…",1596933746221264896,2022-11-27T18:27:29.000Z,768664173744103424,ur
['1596928735177236481'],,RT @B0oTaOfficial: عمران خان نو اس حالت وچ دیکھ کے دل بہت دکھیا۔ایسا انسان جو ہئیر لائن فریکچر نال پاکستان لئی میچ کھیڈ کے فاتح بن کے نکلیا…,1596928735177236481,2022-11-27T18:07:34.000Z,768664173744103424,ur
['1596928043078950913'],,RT @B0oTaOfficial: عرباں نے اک یونین بنائی تے معاھدہ کیتا جس وچ تہ ہویا اسی کسی وی زیادتی نو مل کے روکاں گے مظلوم کوئی وی کسی مذھب شہریت دا…,1596928043078950913,2022-11-27T18:04:49.000Z,768664173744103424,ur
['1596923872066273281'],,RT @soldierspeaks: سینیٹر اعظم سواتی کیخلاف ڈرٹی ہیری کے بلاول کو احکامات کے بعد اب تک 16 ایف آئ آر درج کرائی جا چکی ہیں اور مزید کروائی جا…,1596923872066273281,2022-11-27T17:48:15.000Z,768664173744103424,ur
['1596923229926752256'],,RT @imziishan: ان فلاپ محترمہ کے بقول عورت چولیں مارتی رہے اور مرد جواب دے تو مرد گندا 😂,1596923229926752256,2022-11-27T17:45:42.000Z,768664173744103424,ur
['1596920820965965825'],,"RT @PTIPoliticsss: Posting for Clarity of followers!
As per Results Recieved, PTI is leading in 38/74 UCs of Neelum Valley, Jhelum Valley a…",1596920820965965825,2022-11-27T17:36:07.000Z,768664173744103424,en
['1596920411207659520'],,RT @soldierspeaks: Sources claim that Kunwar Dilshad ex secretary Election Commission has been asked to go in media and promote narrative t…,1596920411207659520,2022-11-27T17:34:30.000Z,768664173744103424,en
['1596919596732260354'],,RT @AliRazaTweets: پی ٹی آئی سب سے زیادہ کمزور مظفرآباد ڈویژن میں ہے اور وہاں بلدیاتی الیکشن جیت چکی ہے۔ میرپور اور پونچھ ڈویژن میں اس سے ب…,1596919596732260354,2022-11-27T17:31:15.000Z,768664173744103424,ur
['1596918014699528198'],,"RT @ImranRiazKhan: چمن میں بھی اعظم سواتی کے خلاف مقدمہ درج
صاحب دل نہیں بھرا ابھی۔۔۔ https://t.co/LxADixyknw",1596918014699528198,2022-11-27T17:24:58.000Z,768664173744103424,ur
['1596916737551007744'],,RT @Naya__Pakistan_: احمد خان نیازی ہیرو ہے یہ بندہ ❤️ https://t.co/UZQZMbYo9e,1596916737551007744,2022-11-27T17:19:54.000Z,768664173744103424,ur
['1596916488912658432'],,RT @AgentNFQ: Syed Zain Raza vs Syed Zain Raza https://t.co/d27fMJwwmJ,1596916488912658432,2022-11-27T17:18:54.000Z,768664173744103424,in
['1596916404548407296'],,RT @Lalika79: آپ نے سیاست میں حصہ نہ لینے کا بیان دو دن قبل دیا لاکن اعظم سواتی کی دوبارہ گرفتاری اور اس پر درج ہوتے مقدمات یہ بتاتے ہیں کہ…,1596916404548407296,2022-11-27T17:18:34.000Z,768664173744103424,ur
['1596916224520486912'],,"RT @RaheeqAbbasi: کل کے دن آپ کے دس منٹ درکار ہیں۔۔
ایک صفحے پر چاہے دو لائنیں لکھیں۔۔۔ ایک خط چیف جسٹس آف پاکستان کے نام لکھ سپریم کورٹ کو…",1596916224520486912,2022-11-27T17:17:51.000Z,768664173744103424,ur
['1596915523035758593'],,"RT @AmbreenPTI1: یہ ایسا منحوس ہے ابھی تین دن باقی ہیں بلجیم بھاگنے میں اور بلجیم کے منحوس دن ابھی سے شروع یعنی بلجیم ہار گیا آج

#Bastard",1596915523035758593,2022-11-27T17:15:04.000Z,768664173744103424,ur
['1596915421881696256'],,"RT @ISeemeRaja: He is the master of his fate
He is the captain of his soul...
He is the leader of his nation
He is Imran Khan https://t.co/…",1596915421881696256,2022-11-27T17:14:40.000Z,768664173744103424,en
['1596914951285006336'],,RT @shafqatmm1: سچ دونوں سینیئر افسران میں سے صرف کوئی ایک بول رہا ہے https://t.co/TqkkRrrWk1,1596914951285006336,2022-11-27T17:12:48.000Z,768664173744103424,ur
['1596914318796546049'],,RT @HniaziISF: Seems like plan is to murder azam swati now,1596914318796546049,2022-11-27T17:10:17.000Z,768664173744103424,en
['1596913500965986304'],,RT @moeedahmed: امید ہےاب لوگوں کو سمجھ آ جانی چاہئے کہ نورانی کو سٹوری پر۳سال سے زائدعرصہ لگا.جس کی بدولت وہ اثاثوں کے اضافے کو ایکestabli…,1596913500965986304,2022-11-27T17:07:02.000Z,768664173744103424,ur
['1596913052317687808'],,"RT @RealWaqarMaliks: احمد نورانی کی سٹوری چھ دن سے گردش کر رہی ہے
آئی ایس پی آر نے اسے کوئی جواب نہیں دیا ؟
کل مگر جیسے ہی عمران خان نے باج…",1596913052317687808,2022-11-27T17:05:15.000Z,768664173744103424,ur
['1596912357783244801'],,RT @Zyyan_Ali: یہ کلپ لائیو شو میں ثنا بچہ نے ہاتھ جوڑ کر اطہر کاظمی سے معافی مانگی کاظمی نے ثنا بچہ کو دھو کررکھ دیا فائر🔥 https://t.co/IM…,1596912357783244801,2022-11-27T17:02:29.000Z,768664173744103424,ur
['1596912181433733121'],,RT @Kambohdesigner: پاکستانیوں سب لکھوں خط چیف جسٹس کو۔ لکھو کہ ارشد شریف کو انصاف دو۔ لکھوں تب تک جب تک انصاف نہیں ملتا۔❤️❤️ https://t.co/…,1596912181433733121,2022-11-27T17:01:47.000Z,768664173744103424,ur
['1596908511375818754'],,RT @p4pakipower: پاکستانی میڈیا پر تو خان صاحب کو بلیک آؤٹ کر دیا، انٹرنیشنل میڈیا کا کیا کرو گے؟؟ https://t.co/YmatyrvKl7,1596908511375818754,2022-11-27T16:47:12.000Z,768664173744103424,ur
['1596908258434125824'],,RT @RaheeqAbbasi: پاکستانی ایجنسیاں اس دور میں وہ حربے استعمال کر رہی ہیں جو برطانوی اور  مغربی ایجنسیاں پچھلی صدی میں استعمال کرتی رہی ہیں…,1596908258434125824,2022-11-27T16:46:12.000Z,768664173744103424,ur
['1596908227504926722'],,"RT @OldMNA111: 8 FIRs lodged against Senator Azam Khan Swati in just few hours. 

Quetta 
Karachi 
Islamabad 
Jacobabad 

They did same wit…",1596908227504926722,2022-11-27T16:46:05.000Z,768664173744103424,en
['1596907335514918915'],"{'copyright': False, 'country_codes': ['IN']}","RT @Dreamer4927: Absolutely I agree 
Qanoon tu sub k liye hay
Ek k liye harkat main asakta hay tu dusro Kay liye nahi
Yahan koi holy cow ho…",1596907335514918915,2022-11-27T16:42:32.000Z,768664173744103424,hi
['1596906995898286081'],,RT @NaikRooh: کیا عدلیہ کو نظر نہیں آ رہا کہ آئین میں دیا گیا شہریوں اور حکومت کے درمیان بنیادی سماجی معاہدہ تباہ ہو چکا ہے؟ ریاست کو حق حک…,1596906995898286081,2022-11-27T16:41:11.000Z,768664173744103424,ur
['1596906663445159939'],,RT @Asad_Umar: اعظم سواتی کا کیس بنیاد بنے گا کے طاقتور اداروں کے بڑے عہدوں پر بیٹھنے والوں کو کیا کہا جا سکتا ہے اور کیا نہیں. یہ بھی ہمیش…,1596906663445159939,2022-11-27T16:39:52.000Z,768664173744103424,ur
['1596906550719045632'],,RT @moeedahmed: باجوے نے اپنے ناجائز اثاثوں پر فوکس،limelightہٹانے کے لیے ٹاوٹس کے زریعے فیض کی مبینہ جھوٹی سٹوری پھیلائ ہے.نورانی نے باجوے…,1596906550719045632,2022-11-27T16:39:25.000Z,768664173744103424,ur
['1596901188703637505'],"{'copyright': False, 'country_codes': ['IN']}",RT @sunoadii: اور جب اس خط کو باکس میں ڈالیں تو 10 سیکینڈ کی ویڈیو اپلوڈ کریں جس میں کہا جائے کہ چیف جسٹس صاحب  #ارشد_شریف_شھید_کو_انصاف_دو…,1596901188703637505,2022-11-27T16:18:07.000Z,768664173744103424,ur
['1596899712468062208'],,@TaibaBhatti4 @asherbajwa بجائے حوصلہ افزائی کے آپ جیسے ایسی بات کرنے آ جاتے ہیں,1596899712468062208,2022-11-27T16:12:15.000Z,768664173744103424,ur
['1596899446348185600'],,"RT @asherbajwa: لکھو سب لیٹر سپریم کورٹ ۔۔۔ 
#JusticeForArshadSharif https://t.co/19O4IjslwW",1596899446348185600,2022-11-27T16:11:11.000Z,768664173744103424,ur
['1596898836479627264'],,RT @iihtishamm: جہاں اعظم سواتی خواب میں بھی نہیں گیا ہوگا۔۔۔ وہ بھی چار چار FIRs.,1596898836479627264,2022-11-27T16:08:46.000Z,768664173744103424,ur
['1596898758176178176'],,RT @shafqatmm1: چینلز اور سوشل میڈیا پر بھی کچھ لوگ اعظم سواتی کی گرفتاری کو موجودہ حکومت کی انتقامی کاروائی قرار دینے کی کوشش کیوں کر رہے…,1596898758176178176,2022-11-27T16:08:27.000Z,768664173744103424,ur
['1596895207089635328'],,"RT @B0oTaOfficial: ایہہ ہندی قومی طاقت ۔۔
پوری دنیا دی گلے آئی ہوئی کہ پاکستان تو قبضہ قوم چھڑوان آ گئی ہے۔
تن کے رکھو ایہہ تحریک آزادی اس…",1596895207089635328,2022-11-27T15:54:20.000Z,768664173744103424,ur
['1596894339627905024'],,"RT @balochi5252: کل پنڈی اجتماع کا چرچہ انٹرنیشنل میڈیا پے۔
لگاو پابندی اب ان پر بھی۔ https://t.co/UmfWua5seH",1596894339627905024,2022-11-27T15:50:54.000Z,768664173744103424,ur
['1596891847213092864'],,RT @DurraniViews: آپ تمام لوگ چیف جسٹس آف پاکستان کو خط لکھیں اور ارشد شریف کے لیے انصاف مانگیں۔ عمران ریاض,1596891847213092864,2022-11-27T15:40:59.000Z,768664173744103424,ur
['1596891692514562048'],,RT @ImranRiazKhan: https://t.co/wTzsRCmc0m,1596891692514562048,2022-11-27T15:40:22.000Z,768664173744103424,zxx
['1596891599446757377'],,RT @BasharatRaja786: 71ء کی شکست کے بعد دشمن سے جو انھیں چھڑا کر لایا تھا انھوں نے اس کو بھی ننگا کر کے اس کے ختنے چیک کئے تھے کہ وہ مسلمان…,1596891599446757377,2022-11-27T15:40:00.000Z,768664173744103424,ur
['1596890784204480512'],,"RT @BetaGirl__: Reason bajwa got personal with Khan 💗
Verily He exalt and humiliate whom He wish! https://t.co/IhgeSZ8mqd",1596890784204480512,2022-11-27T15:36:46.000Z,768664173744103424,en
['1596889353229586432'],,RT @noshigilani: https://t.co/6IAkzEmfHJ,1596889353229586432,2022-11-27T15:31:05.000Z,768664173744103424,zxx
['1596884009065119745'],,"RT @RoymukhtarRoy: میں پاک فوج کی اتنی زیادہ عزت کرتا تھا کہ فوج مخالف لوگ مجھے ""بوٹ پالشیا"" کہتے تھے
اور اب میں سوچ سوچ کر حیران ہوتا ہوں…",1596884009065119745,2022-11-27T15:09:51.000Z,768664173744103424,ur
['1596883788554174466'],,RT @RealWaqarMaliks: اس گھر کو آگ لگ گئی گھر کے چراغ سے!!!,1596883788554174466,2022-11-27T15:08:58.000Z,768664173744103424,ur
['1596880535791484928'],,"RT @ImranARaja1: اگر آپ آج خاموش رہتے ہیں تو اگلا نمبر آپ کا ہے
۔۔
میں تو اس بدبودار سسٹم کا حصہ نہیں بنوں گا ۔۔ زیادہ سے زیادہ جان خطرے می…",1596880535791484928,2022-11-27T14:56:02.000Z,768664173744103424,ur
['1596879223649873921'],,RT @jadoon_hu: @sumrkhan1 @peaceforchange ہم انکے بہت بڑے فین تھے ۔ مگر ملک بلٹ کی سپیڈ سے ڈاؤن فال کی طرف گیا۔ اور محترم نے خاموشی نہ توڑی…,1596879223649873921,2022-11-27T14:50:50.000Z,768664173744103424,ur
['1596879112286900224'],,RT @DurraniViews: میں اس مافیا کے خلاف لندن میں ثبوت اکٹھے کررہا تھا۔ شایان علی نے لندن میں شریف مافیا کے لیے نئی مصیبت کھڑی کردی۔ خصوصی گف…,1596879112286900224,2022-11-27T14:50:23.000Z,768664173744103424,ur
['1596878808337915905'],,RT @Khankamoo: ارشد شریف کی آخری آرام گاہ، بوجھل دل، واپسی کے قدم۔۔۔ https://t.co/xElAyOJ3nf,1596878808337915905,2022-11-27T14:49:11.000Z,768664173744103424,ur
['1596878763643789312'],,RT @iihtishamm: کس نے کہا کہ اعظم سواتی کا تعلق کے پی سے ہے؟ مقدمے تو سارے سندھ میں درج ہورہے ہیں۔,1596878763643789312,2022-11-27T14:49:00.000Z,768664173744103424,ur
['1596878648853893121'],,"RT @B0oTaOfficial: 2 دن بعد جان والے دے اثاثیاں تے لیفٹیننٹ جنرل آ کے جواب دے ریا۔
اس تو اندازہ لا لئو اینا واسطے اپنی جیب بچانا کنا ضروری…",1596878648853893121,2022-11-27T14:48:33.000Z,768664173744103424,ur
['1596878527462539265'],,RT @ak_niaazi: Who's cutting onions .... https://t.co/1GIBCrMVK6,1596878527462539265,2022-11-27T14:48:04.000Z,768664173744103424,en
['1596878168362602496'],,RT @Shiffa_ZY: کسی نے کہا بلٹ پروف شیشے کے پیچھےسے خطاب کر رہا تھا اس میں کون سی بہادری ہے۔۔۔ باتیں ایسے کرتے ہیں جیسے اس ملک میں سب نے بند…,1596878168362602496,2022-11-27T14:46:38.000Z,768664173744103424,ur
