lang,text,author_id,created_at,id,edit_history_tweet_ids,geo,withheld
en,"RT @JoseAntonio_666: 𝑰𝑹𝑶𝑵 𝑴𝑨𝑰𝑫𝑬𝑵  ❞𝑷𝒉𝒂𝒏𝒕𝒐𝒎 𝒐𝒇 𝒕𝒉𝒆 𝑶𝒑𝒆𝒓𝒂❞
https://t.co/AF1QPNXyqr",3078313054,2022-11-27T20:38:37.000Z,1596966746917044224,['1596966746917044224'],,
zxx,RT @ZakkWyldeBLS: https://t.co/VOFkQ6crvE,3078313054,2022-11-27T20:37:04.000Z,1596966359568912385,['1596966359568912385'],,
en,"RT @Diana_Kuegler: Jimi Hendrix 

          Born on this day in 1942

                     - Hey Joe -
https://t.co/YqB8uWu8OT",3078313054,2022-11-27T20:36:00.000Z,1596966090524962817,['1596966090524962817'],,
en,"RT @wisetuna: 🎶 “Alright you monkeys, this next one’s called ‘I'm Always Touched by Your Presence, Dear’ ” - Debbie Harry - Blondie …Enjoy!…",3078313054,2022-11-27T20:35:52.000Z,1596966054114504704,['1596966054114504704'],,
en,RT @Gracro5: Punk in the UK 🇬🇧 https://t.co/xEMwvuLUUH,3078313054,2022-11-27T20:34:56.000Z,1596965820638564352,['1596965820638564352'],,
en,RT @bluezharp: Happy Birthday Jimi Hendrix born on this day in Seattle. 🎶'The Wind Cries Mary' https://t.co/k54zVP3dyJ,3078313054,2022-11-27T20:34:01.000Z,1596965587942486021,['1596965587942486021'],,
en,"RT @HeavyMetal_999: 𝑳𝑬𝑴𝑴𝒀, 𝑺𝑳𝑨𝑺𝑯, 𝑫𝑨𝑽𝑬 𝑮𝑹𝑶𝑯𝑳
❞𝑨𝒄𝒆 𝒐𝒇 𝑺𝒑𝒂𝒅𝒆𝒔❞
https://t.co/n4k0ltdlqj",3078313054,2022-11-27T20:33:55.000Z,1596965564421140481,['1596965564421140481'],,
en,"RT @Subxnotdead: Black Sabbath - Iron Man.

 https://t.co/7yUdG8zjNU",3078313054,2022-11-27T20:33:43.000Z,1596965515892621313,['1596965515892621313'],,
es,RT @Santa_Palabra: Hoy es el día de Nuestra Señora de la Medalla Milagrosa. Pidámosle que nos reciba desde este momento y que sea para cada…,3078313054,2022-11-27T20:33:41.000Z,1596965504580583424,['1596965504580583424'],,
en,RT @HeavyMetal_999: What was the best band of the 80's? https://t.co/Jz2RHWDoYu,3078313054,2022-11-27T20:33:31.000Z,1596965464969998336,['1596965464969998336'],,
en,"RT @theirish80slady: Simply Red-

🎙️🎶If You Don’t Know Me By Now🎶💃 https://t.co/sbWztRW9M6",3078313054,2022-11-27T20:33:14.000Z,1596965393486458880,['1596965393486458880'],,
en,RT @DeathMetal_666_: 𝑲𝑹𝑬𝑨𝑻𝑶𝑹  ❞𝑯𝒐𝒓𝒅𝒆𝒔 𝒐𝒇 𝑪𝒉𝒂𝒐𝒔❞ https://t.co/7JYfl2EcrG,3078313054,2022-11-27T20:32:49.000Z,1596965289404796928,['1596965289404796928'],,
es,RT @RincnCuriosoo: Macrofotografía de copos de nieve. ❄️ https://t.co/TPbD0U4bcd,3078313054,2022-11-27T20:32:07.000Z,1596965113298587649,['1596965113298587649'],,
en,"RT @Rt_YourFavBands: Breaking Benjamin
""Breath""

 https://t.co/ckUBpV5Dhs",3078313054,2022-11-27T20:32:03.000Z,1596965095976079360,['1596965095976079360'],,
es,"RT @IGecuador: Informe Diario #Cotopaxi N° 2022-037
domingo 27 de noviembre de 2022
Nivel de Actividad: 
Superficial: Moderada
Tendencia Su…",3078313054,2022-11-27T20:31:41.000Z,1596965001935585280,['1596965001935585280'],,
es,"RT @Damiano_Ecuador: #Quito
El #Cotopaxi trabajando en domingo… https://t.co/g9RJPvWLdc",3078313054,2022-11-27T20:31:38.000Z,1596964990128648192,['1596964990128648192'],,
und,@vegetabdn ✋🙌✌️,3078313054,2022-11-27T20:29:38.000Z,1596964487147716608,['1596964487147716608'],{'place_id': '0145800f7b76774c'},
en,RT @musicman17965: The Rolling Stones.  (I Can’t Get No) satisfaction.   1965 https://t.co/A4dPWFhHgR,3078313054,2022-11-27T20:28:22.000Z,1596964167927627776,['1596964167927627776'],,
en,RT @Positivepostman: Big Country. In a big country. Enjoy 🙂🎶 https://t.co/HZJKBkLZEe,3078313054,2022-11-27T20:27:30.000Z,1596963949798641666,['1596963949798641666'],,
en,"RT @theirish80slady: Kool &amp; The Gang-

🎙️🎶Cherish🎶💃 https://t.co/3Myk5ovrtG",3078313054,2022-11-27T20:27:25.000Z,1596963928218644480,['1596963928218644480'],,
en,"RT @man49110: Accept- Midnight Mover
🤘🎸🤘
♣️♣️♣️

#HeavyMetal https://t.co/HbQR5JJ8Qo",3078313054,2022-11-27T20:27:16.000Z,1596963892219236352,['1596963892219236352'],,
en,"RT @Surfinskatin: Beat Happening 
Black Candy 
Live on TCTV, The Saturday Very Late Afternoon Show, Olympia, WA 1988 https://t.co/ZbzA3W3jho",3078313054,2022-11-27T20:27:02.000Z,1596963831598977024,['1596963831598977024'],,
es,"RT @RAM_MX: Dos pickups hechas para la aventura 🗻💪🏻
#RAM1500 TRX #RAM1500 Laramie Sport https://t.co/wFgxD7PxIe",3078313054,2022-11-27T20:26:34.000Z,1596963714812370944,['1596963714812370944'],,
es,RT @Don_Favs: ¿Cuando es mi turno diosito?🥰 https://t.co/qEpDMfmAbY,3078313054,2022-11-27T20:24:42.000Z,1596963246124126209,['1596963246124126209'],,
en,RT @marisatomei: Have a great weekend ❤️ https://t.co/3QaPMiQbJl,3078313054,2022-11-27T20:24:22.000Z,1596963160036368386,['1596963160036368386'],,
en,RT @systemofadown: #StealThisAlbum! turns 20 today. Listen here: https://t.co/iVIx4tjIWA https://t.co/jRyUi3PQLk,3078313054,2022-11-27T20:23:57.000Z,1596963055283601409,['1596963055283601409'],,
en,"RT @ladytronfan: Dire Straits - Sultans Of Swing 

#classicrock #70s https://t.co/cfDlsqPjaj",3078313054,2022-11-27T20:23:47.000Z,1596963016092028929,['1596963016092028929'],,
en,"RT @Positivepostman: Bee Gees. You should be dancing.
Enjoy this classic 🙂🎶 https://t.co/s4F6VS0APS",3078313054,2022-11-27T20:23:44.000Z,1596963001969483776,['1596963001969483776'],,
en,"RT @Rt_YourFavBands: A Day to Remember
""All I Want""
 https://t.co/9eYErJtcs2",3078313054,2022-11-27T20:23:33.000Z,1596962955178147842,['1596962955178147842'],,
en,"RT @bluezharp: Happy Birthday wishes to legendary Tina Turner, born on this day in 1939 in Nutbush.  🎶'Proud Mary ' 1971 https://t.co/o5M6F…",3078313054,2022-11-27T20:23:15.000Z,1596962879114469376,['1596962879114469376'],,
en,"RT @KeepTheBluesAli: Gary Clark Jr.
Voodoo Child #JimiHendrix
https://t.co/LajOpv5tBN https://t.co/Q9Xp0XI9Tl",3078313054,2022-11-27T20:22:57.000Z,1596962805541765120,['1596962805541765120'],,
en,RT @cincinati51: Venom-Black Metal (live) 🤘🏿☠️🤘🏿 https://t.co/M1TBcVPrNR,3078313054,2022-11-27T20:22:28.000Z,1596962685245345792,['1596962685245345792'],,
en,"RT @Rt_YourFavBands: Linkin Park
""Somewhere I Belong""
 https://t.co/DoeF0vQOGJ",3078313054,2022-11-27T20:22:23.000Z,1596962661685526528,['1596962661685526528'],,
en,"RT @theirish80slady: The Bangles-

🎙️🎶Eternal Flame🎶💃 https://t.co/oZ8ry2h7aO",3078313054,2022-11-27T20:22:19.000Z,1596962644225064960,['1596962644225064960'],,
es,"RT @RincnCuriosoo: Evolución de las botellas de Coca-Cola, desde 1899 hasta 1986. https://t.co/CX42dbhjQR",3078313054,2022-11-27T20:22:07.000Z,1596962594291560448,['1596962594291560448'],,
en,RT @HEADBANGERx666: Black Sabbath - Hole in the Sky https://t.co/OuwOIJjmMn,3078313054,2022-11-27T20:21:57.000Z,1596962552860540928,['1596962552860540928'],,
en,"RT @Surfinskatin: Jawbox 
Savory 
Late Night With Conan O’Brien 1994 https://t.co/rZPZyyb6id",3078313054,2022-11-27T20:21:52.000Z,1596962531465396224,['1596962531465396224'],,
en,"RT @HeavyMetal_999: 𝑫𝑬𝑬𝑷 𝑷𝑼𝑹𝑷𝑳𝑬 𝒘𝒊𝒕𝒉 𝑫𝑰𝑶
❞𝑺𝒎𝒐𝒌𝒆 𝒐𝒏 𝒕𝒉𝒆 𝑾𝒂𝒕𝒆𝒓❞
https://t.co/EgriJtvIBk",3078313054,2022-11-27T20:21:46.000Z,1596962507461373952,['1596962507461373952'],,
en,RT @GilmourOrgasm: Pink Floyd ''Shine On You Crazy Diamond'' (Cover) https://t.co/wZflAuA9ZN,3078313054,2022-11-27T20:21:17.000Z,1596962387516567552,['1596962387516567552'],,
en,RT @musicman17965: The Animals.   House Of The Rising Sun.   1964 https://t.co/AVR1gW9tWK,3078313054,2022-11-27T20:20:51.000Z,1596962276090974209,['1596962276090974209'],,
en,"RT @theirish80slady: Bon Jovi-

🎙️🎶Blaze Of Glory🎶🎸🔥💃 https://t.co/U0VnvXNLI0",3078313054,2022-11-27T20:20:45.000Z,1596962251935690753,['1596962251935690753'],,
en,"RT @OldSchool5000G: Diana Ross &amp; Lionel Richie
Endless Love 🎧 https://t.co/RdvRsq0mZj",3078313054,2022-11-27T20:20:09.000Z,1596962099581722624,['1596962099581722624'],,
en,RT @bluezharp: Roy Buchanan excerpt documentary film 'The World's Greatest Unknown Guitarist' '71.  🎶'Backyard Jam' https://t.co/thWSO38VRV,3078313054,2022-11-27T20:19:52.000Z,1596962027221569536,['1596962027221569536'],,
es,"RT @chanananas: Día 5 sin trago y nos hicimos japoneses. Es por ahí @LassoGuillermo

https://t.co/xAGDeaDS5r",3078313054,2022-11-27T19:39:13.000Z,1596951798518255616,['1596951798518255616'],,
es,RT @juanpeluca6266: Yo...🖐️Y ustedes? https://t.co/Ms1EZlBjut,3078313054,2022-11-27T13:25:54.000Z,1596857850500116482,['1596857850500116482'],,
es,RT @justDant_: No hay forma de defender esto 🙈🤣 https://t.co/tFViLd9x3j,3078313054,2022-11-27T13:25:38.000Z,1596857783483260928,['1596857783483260928'],,
es,RT @danielerocchio: Este blanco es una de las páginas más vergonzosas de la historia recién de Quito. Imperdonable. https://t.co/xtr7Zdjx5S,3078313054,2022-11-27T13:25:27.000Z,1596857738508009472,['1596857738508009472'],,
qme,RT @Just_pinkfloyd: #PinkFloyd https://t.co/fmFJapeuqi,3078313054,2022-11-27T13:25:21.000Z,1596857712457183237,['1596857712457183237'],,
en,"RT @theirish80slady: The Cars-

🎙️🎶Drive🎶💃 https://t.co/RyDndW3zPi",3078313054,2022-11-27T13:25:14.000Z,1596857685013450752,['1596857685013450752'],,
es,"RT @IGecuador: COTOPAXI para la COMUNIDAD
2022-11-26 10:45:00 TL
Observación: Emisión de gases y ceniza.
Altura de la nube = 2000 msnc; Dir…",3078313054,2022-11-27T13:21:37.000Z,1596856773344104449,['1596856773344104449'],,
en,"RT @Rt_YourFavBands: Paramore
""Misery business""

 https://t.co/lMgNOnxiKc",3078313054,2022-11-27T13:21:29.000Z,1596856740725002247,['1596856740725002247'],,
es,RT @AstroAventura: Carl Sagan: un vídeo genial que cuestiona nuestra importancia en el Universo. El punto azul pálido que te hará reflexion…,3078313054,2022-11-27T13:21:24.000Z,1596856718536761344,['1596856718536761344'],,
en,"RT @DeathMetal_666_: 𝑺𝑳𝑨𝒀𝑬𝑹 𝒘𝒊𝒕𝒉 𝑵𝑬𝑹𝑮𝑨𝑳 (Behemoth)
""Evil Has No Boundaries"" https://t.co/TTCejLDBh6",3078313054,2022-11-27T13:20:59.000Z,1596856611804708864,['1596856611804708864'],,
en,RT @HEADBANGERx666: Manowar - Kings of Metal https://t.co/d6JSlWD7OT,3078313054,2022-11-27T13:20:55.000Z,1596856595886985216,['1596856595886985216'],,
en,"RT @oldrockvids: Blink-182 - First Date
 https://t.co/oakDWbuK27",3078313054,2022-11-26T18:54:47.000Z,1596578229141528576,['1596578229141528576'],,
en,"RT @Surfinskatin: Pavement 
Cut Your Hair
MTV 120 Minutes 1994 https://t.co/3hKDDPSToc",3078313054,2022-11-26T18:54:31.000Z,1596578163425173505,['1596578163425173505'],,
es,RT @LosDarwinAwards: Un momento de buen humor https://t.co/7mW2oaV1aP,3078313054,2022-11-26T18:53:19.000Z,1596577862018297856,['1596577862018297856'],,
es,"RT @Alfonso_Laso: 🎉🔥💪🏽🗣🎙⚽️  En un partidazo de @LaTri , ante uno de los favoritos 🇳🇱,  nuestro histórico @EnnerValencia14 volvió a enloquec…",3078313054,2022-11-26T18:51:16.000Z,1596577344835264512,['1596577344835264512'],,
en,RT @EnPaisaje: &gt;&gt;&gt;&gt;&gt;&gt;&gt; room 😍 https://t.co/IXNm8KtBwt,3078313054,2022-11-26T18:50:22.000Z,1596577116404867072,['1596577116404867072'],,
en,"RT @theirish80slady: Bryan Adams-

🎙️🎶Can’t Stop This Thing We Started🎶🎸💃 https://t.co/8s0DQLsra6",3078313054,2022-11-26T18:49:58.000Z,1596577015062110208,['1596577015062110208'],,
en,"RT @LandRover: Future gazing. 

#RangeRoverSport https://t.co/9AXuFhFXQI",3078313054,2022-11-26T18:49:53.000Z,1596576994296483840,['1596576994296483840'],,
en,"RT @LandRover: Walk of art. ​

#RangeRoverSport https://t.co/I6ytzMmLwU",3078313054,2022-11-26T18:49:50.000Z,1596576983038791682,['1596576983038791682'],,
es,RT @InformaCosmos: El amanecer de los terraplanistas. https://t.co/pWhfvTyEiS,3078313054,2022-11-26T18:49:03.000Z,1596576784346009601,['1596576784346009601'],,
es,"RT @RincnCuriosoo: El rodillo de pecho lila, una belleza durmiente ❤️ https://t.co/kcHdAuHVVY",3078313054,2022-11-26T18:48:53.000Z,1596576745284866049,['1596576745284866049'],,
en,RT @bluezharp: Albert Collins  🎶'Lights Are On (But Nobody's Home)' https://t.co/BLneZerb7p,3078313054,2022-11-26T18:48:51.000Z,1596576734530473985,['1596576734530473985'],,
es,RT @OscarWilli: Sacando la cara en la limpieza también! No solo los japoneses lo hacen... https://t.co/iDWVIPYaZk,3078313054,2022-11-26T18:48:32.000Z,1596576657992691712,['1596576657992691712'],,
es,"RT @EnPaisaje: No sé de donde vengas, no sé de donde soy, pero sé que llegaremos juntos.",3078313054,2022-11-26T18:47:55.000Z,1596576502971498496,['1596576502971498496'],,
es,"RT @ActualidadRT: Serbia: Más de 600 migrantes detenidos cerca de la frontera húngara

Se descubrió una gran cantidad de armas y accesorios…",3078313054,2022-11-26T13:27:25.000Z,1596495843309256704,['1596495843309256704'],,"{'copyright': False, 'country_codes': ['AT', 'BE', 'BG', 'CY', 'CZ', 'DE', 'DK', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'HR', 'HU', 'IE', 'IT', 'LT', 'LU', 'LV', 'MT', 'NL', 'PL', 'PT', 'RO', 'SE', 'SI', 'SK']}"
es,"RT @elcomerciocom: El actor, productor y director de cine, teatro y televisión mexicano, Héctor Bonilla, falleció este viernes 25 de noviem…",3078313054,2022-11-26T13:27:19.000Z,1596495818000842752,['1596495818000842752'],,
en,"RT @crockpics: Lita Ford performing with The Runaways, 1977 https://t.co/UZyCPhb1uR",3078313054,2022-11-26T03:33:32.000Z,1596346387419262976,['1596346387419262976'],,
es,"RT @RincnCuriosoo: Este bonsai se vendió en Japón por ¥ 1,800,000 (aproximadamente $312,645 pesos mexicanos). https://t.co/gNYdNsaN9a",3078313054,2022-11-26T03:33:25.000Z,1596346359271104512,['1596346359271104512'],,
es,"RT @fifaworldcup_es: Un equipo. Un país.

#LaTri https://t.co/AoU7bHUOyQ",3078313054,2022-11-26T03:33:17.000Z,1596346325703925761,['1596346325703925761'],,
en,RT @CoolViews_: New York by night https://t.co/ExdnjHMiuN,3078313054,2022-11-26T03:32:57.000Z,1596346241709137920,['1596346241709137920'],,
en,"RT @Surfinskatin: Ramones 
Don’t Come Close 
Old Grey Whistle Test 1978
#Punk https://t.co/L4ebinxEjU",3078313054,2022-11-26T03:32:36.000Z,1596346152395603968,['1596346152395603968'],,
en,"RT @Positivepostman: Rick James. Super freak. 
Enjoy 🙂🎶 https://t.co/sPO5OUN9DK",3078313054,2022-11-26T03:31:20.000Z,1596345837432590339,['1596345837432590339'],,
it,"RT @theirish80slady: Lionel Richie-

🎙️🎶Hello🎶💃 https://t.co/7wtQjGs3si",3078313054,2022-11-26T03:31:18.000Z,1596345826942808065,['1596345826942808065'],,
en,RT @Schnitzel63: The Damned  - No Fun https://t.co/jnr7Ki8xGH,3078313054,2022-11-26T03:31:14.000Z,1596345808927924224,['1596345808927924224'],,
