lang,text,author_id,created_at,id,edit_history_tweet_ids,withheld
qme,@BhuttoMaryam @BBhuttoZardari @BakhtawarBZ @AseefaBZ https://t.co/4A2w8zBuUJ,303495844,2022-11-28T03:02:43.000Z,1597063408116899840,['1597063408116899840'],
ur,RT @naziarubbani: یہ کورٹ نہیں دکانیں ہیں عمران ریاض خان۔ جہاں سڑے گلے لوگ غریبوں کا تماشا بناتے ہیں اور امیروں کے حرام کاموں کی حفاظت کرتے…,303495844,2022-11-28T02:46:39.000Z,1597059367194726400,['1597059367194726400'],
en,RT @carlesdijous: @SalomnM @SynapseSynergy @godfrey_G_ @SGrahamg5 @albertspijkers @kadar_k @Dorothy11405068 @wildgees8 @rotax_lady @Calcawa…,303495844,2022-11-28T02:42:58.000Z,1597058437367545856,['1597058437367545856'],
en,RT @carlesdijous: #GE #Healthcare Introduces #SIGNA Experience: A New Platform of Transformative Technologies that Leverage the Power of #A…,303495844,2022-11-28T02:34:54.000Z,1597056408490762241,['1597056408490762241'],
ur,کپتان کاتختہ الٹنےمیں میراکردار؟جنرل باجوہ کاگلف نیوزکواہم انٹرویو فوجی ... https://t.co/VuWYPM2oh0 via @YouTube .,303495844,2022-11-28T02:34:26.000Z,1597056293864251392,['1597056293864251392'],
ur,کپتان کاتختہ الٹنےمیں میراکردار؟جنرل باجوہ کاگلف نیوزکواہم انٹرویو فوجی ... https://t.co/VuWYPM2oh0 via @YouTube,303495844,2022-11-28T02:28:22.000Z,1597054765258547200,['1597054765258547200'],
zxx,RT @ShkhRasheed: https://t.co/aHj0VDPCc1,303495844,2022-11-28T01:54:03.000Z,1597046130214248448,['1597046130214248448'],
en,Why Lt Gen Azhar Abbas &amp; Faiz Hameed ‘considering early retirement? Insi... https://t.co/fnz1LPEIRv via @YouTube,303495844,2022-11-28T01:50:29.000Z,1597045230494420993,['1597045230494420993'],
hi,"RT @kukk44: Memorable Moments of the 
#BharatJodoYatra 

“त्याग और स्वार्थहीनता बचपन में मिले संस्कारों से आते हैं।

ये गुल्लक मेरे लिए अन…",303495844,2022-11-28T01:50:05.000Z,1597045132246728704,['1597045132246728704'],
en,"@sadafnawaid BB, PDM is achieving their objective ~",303495844,2022-11-28T01:48:00.000Z,1597044608130686976,['1597044608130686976'],
ur,RT @sadafnawaid: اپریل میں22ارب$قومی خزانےمیں تھےاورمعاشی گروتھ%6تھی اورآج محض7ماہ بعدیہ حالت ہےکہ اس حکومت کاسابق وزیرخزانہ کہہ رہاہے🇵🇰ڈیف…,303495844,2022-11-28T01:47:28.000Z,1597044471933243393,['1597044471933243393'],"{'copyright': False, 'country_codes': ['IN']}"
art,RT @naziarubbani: 👍👍,303495844,2022-11-28T01:46:55.000Z,1597044333563109376,['1597044333563109376'],
en,Shock Biden! 9 countries announced to buy oil with gold instead of dollars! https://t.co/iXvpIApZ79 via @YouTube,303495844,2022-11-28T01:39:40.000Z,1597042508345012225,['1597042508345012225'],
en,Imran Riaz Khan Today speech at Lahore https://t.co/kFqY6aL1bz via @YouTube,303495844,2022-11-28T01:37:30.000Z,1597041962594418690,['1597041962594418690'],
en,RT @kadar_k: ARSHAD SHARIF’S DAUGHTER WRITES A HEART FELT LETTER https://t.co/AsnIX8dNLh via @YouTube,303495844,2022-11-28T01:35:53.000Z,1597041556371800064,['1597041556371800064'],
en,ARSHAD SHARIF’S DAUGHTER WRITES A HEART FELT LETTER https://t.co/AsnIX8dNLh via @YouTube,303495844,2022-11-28T01:35:12.000Z,1597041383600140289,['1597041383600140289'],
hi,"Action-Reaction, 'हिंदू, हिंदू', व्यक्ति भक्ति का फ़ायदा मोदी 20 साल से ... https://t.co/VCNvlMvEPr via @YouTube",303495844,2022-11-28T01:32:57.000Z,1597040819235848193,['1597040819235848193'],
hi,Gujarat Files &amp; Election : प्रधानमंत्री के लिए गुजरात चुनाव जीतना मजबूरी... https://t.co/7oIGvdnLhj via @YouTube,303495844,2022-11-28T01:30:35.000Z,1597040224584232960,['1597040224584232960'],
en,@MARIALUISAMAR5 Good morning Maria.,303495844,2022-11-28T01:29:11.000Z,1597039870106513408,['1597039870106513408'],
en,Arshad Sharif Case Shocking Revelations | Murad Saeed Exclusive Press Co... https://t.co/xl07Gd9OCE via @YouTube,303495844,2022-11-28T01:28:50.000Z,1597039781988339712,['1597039781988339712'],
ur,"RT @RealWaqarMaliks: احمد نورانی کی سٹوری چھ دن سے گردش کر رہی ہے
آئی ایس پی آر نے اسے کوئی جواب نہیں دیا ؟
کل مگر جیسے ہی عمران خان نے باج…",303495844,2022-11-28T01:13:28.000Z,1597035914299027457,['1597035914299027457'],
en,Murad Saeed raises important questions regarding Arshad Sharif's Case https://t.co/zcbkMDiLEN via @YouTube ~,303495844,2022-11-28T01:13:17.000Z,1597035868191330304,['1597035868191330304'],
ur,RT @naziarubbani: ماشااللہ۔۔۔ 👍💚,303495844,2022-11-28T01:12:58.000Z,1597035788969029633,['1597035788969029633'],
in,@KhanMobeena Walikum salam~,303495844,2022-11-28T01:00:06.000Z,1597032551926808576,['1597032551926808576'],
ur,"RT @sadafnawaid: سبحان ﷲ  ہماری ریاست تو باؤلی ہوگئی ہے 
پاکستان ڈیفالٹ ہونے جارہا ہے مگر یہ ایک 74 سالہ بوڑھے کے پیچھے پڑگئے ہیں https://t…",303495844,2022-11-28T00:59:45.000Z,1597032462273900544,['1597032462273900544'],"{'copyright': False, 'country_codes': ['IN']}"
en,@kakar_harsha Good morning~,303495844,2022-11-28T00:58:48.000Z,1597032223592833024,['1597032223592833024'],
ur,"RT @IrfanJlaniPTI: عمران خان نے دھرنا کیوں نہیں دیا ؟
https://t.co/Gs0XSD1R7a",303495844,2022-11-28T00:58:25.000Z,1597032128880910337,['1597032128880910337'],
ur,"RT @rizwan_media: پورے پروگرام دیکھنے کیلئے نیچے لنک پر کلک کریں
 https://t.co/KXaoDgcNVZ
#rizwanshahmedia https://t.co/tvguA0hckT",303495844,2022-11-28T00:57:32.000Z,1597031905844596736,['1597031905844596736'],
ur,"RT @tahir_naqi: عدلیہ ؟ آخر کب تک ؟؟
#JusticeForArshadSharif 
#LettertoCJP https://t.co/vgif3o5yEq",303495844,2022-11-28T00:57:23.000Z,1597031867093422080,['1597031867093422080'],
en,RT @ashoswai: A Professor in a class room in India calling a Muslim student ‘terrorist’ - This is what it has been to be a minority in Indi…,303495844,2022-11-28T00:55:35.000Z,1597031414960377858,['1597031414960377858'],
en,@Farzana_Rasab Good morning~,303495844,2022-11-28T00:54:47.000Z,1597031212853272576,['1597031212853272576'],
en,@GaziAmirGujar @68_adnannabi Question: WHO IS RESPONSIBLE ~ bad news given like Clarks of the departments ...who is the leader? who will fix it?.... Why country reach to this point? Was ensured the deterioration of the country?  Was it under supervision so it won't progress ?,303495844,2022-11-27T22:28:31.000Z,1596994402890571776,['1596994402890571776'],
ur,"RT @GaziAmirGujar: ان میں سے سچ کون بول رہا ہے ۔؟

https://t.co/SmnN7MDXq8",303495844,2022-11-27T22:24:40.000Z,1596993436284223488,['1596993436284223488'],
en,"RT @kadar_k: Interesting, isn't it ~",303495844,2022-11-27T22:20:08.000Z,1596992295177363457,['1596992295177363457'],
zxx,https://t.co/7WErLh6oxG,303495844,2022-11-27T22:19:30.000Z,1596992136804634624,['1596992136804634624'],
qam,@starnewslondon @AzharSiddique @adv_ghaffar1 @pasha_samina @Maria_Memon @Parasjahanzaib1 @SHaiderRMehdi @BOLNETWORK @samiabrahim @OryaMaqboolJan @ZafarHilaly @ghaziusama @saeed_qazi @nadia_a_mirza,303495844,2022-11-27T22:17:39.000Z,1596991671354335232,['1596991671354335232'],
en,So who brought country to the brink of bankruptcy and destroying it. @ARYSabirShakir @ImranRiazKhan @SSEHBAI1 @MoeedNj @rizwan_media @IbrahimR_ @Sajidgondal786 @IrfanHashmiUK @ImtiazGul60 @RealWaqarMaliks @tariqmateen @chghussain @DrFiza_khan @Ghummans @arifhameed15 @mfayyazraja,303495844,2022-11-27T22:15:00.000Z,1596991004573200384,['1596991004573200384'],
en,"Interesting, isn't it ~ https://t.co/neAjjiH6bV",303495844,2022-11-27T22:10:51.000Z,1596989957574258689,['1596989957574258689'],
ur,"RT @sadafnawaid: 1958-1971=فوج
1971-1977=PPP
1977-1988=فوج
1988-1990=PPP+جمیعت
1990-1993=PMLN+جمیعت
1993-1996=PPP+جمیعت
1997-1999=PMLN+جمیع…",303495844,2022-11-27T22:10:10.000Z,1596989785759166464,['1596989785759166464'],"{'copyright': False, 'country_codes': ['IN']}"
hi,"RT @haidersaeedpti: Write a letter
Shaid
Chief justice saab ki ankh khul jaya https://t.co/uUHptLspQA",303495844,2022-11-27T22:05:05.000Z,1596988507951546368,['1596988507951546368'],
ur,RT @JackThe07417105: ممنون حسین کو اندازہ ہی نہیں تھا کہ نواز شریف پانامہ کی زد میں آجائے گا 🤣 https://t.co/nbb6TJtuCC,303495844,2022-11-27T22:04:07.000Z,1596988263767887872,['1596988263767887872'],
en,"RT @FaceTheNation: What is the most prevalent strain of COVID right now? 

NIAID Director Dr. Anthony Fauci says it is the “BQ. 1 and the B…",303495844,2022-11-27T22:03:28.000Z,1596988100378390528,['1596988100378390528'],
en,"RT @COSseaton: [WATCH] POV video shows landing at 'America's most dangerous airport', found in Colorado | OutThere Colorado https://t.co/9E…",303495844,2022-11-27T22:03:07.000Z,1596988014835613698,['1596988014835613698'],
en,"@JackThe07417105 Sir, makes sense ask why ...an opportunity to be Arab pati ....",303495844,2022-11-27T21:43:22.000Z,1596983044321443840,['1596983044321443840'],
ur,"RT @sadafnawaid: جمعرات یا جمعہ کو استعفے نہیں اسمبلیاں تحلیل کر دی جائیں گی۔🔥

ذرائع",303495844,2022-11-27T21:42:37.000Z,1596982852591026177,['1596982852591026177'],"{'copyright': False, 'country_codes': ['IN']}"
ur,RT @naziarubbani: بزدل اور کیا کر سکتے ہیں۔,303495844,2022-11-27T21:42:29.000Z,1596982821251256320,['1596982821251256320'],
en,"@NadeemZubairi @SteelkeKeel @ImranKhanPTI :) Sir, you think this is miracle here is the real one Mualana when took off this Yellow Cap a couple of Khudkush fell down all over dastar khan messing up naleee Nihareeee and payeaaa.",303495844,2022-11-27T21:39:16.000Z,1596982009288540160,['1596982009288540160'],
en,RT @Telegraph: 🔴The head of the Royal Navy has defended internal rape investigations as he said outsiders would not understand the “context…,303495844,2022-11-27T21:35:48.000Z,1596981138995654657,['1596981138995654657'],
en,"RT @MoatsTV: #China has swept the board in #Taiwan elections. MOATS pirated by #TikTok, agency-directed suppression by #Twitter and #WorldC…",303495844,2022-11-27T21:31:01.000Z,1596979932915445760,['1596979932915445760'],
en,"RT @georgegalloway: #China has swept the board in #Taiwan elections. MOATS pirated by #TikTok, agency-directed suppression by #Twitter and…",303495844,2022-11-27T21:30:49.000Z,1596979883132928001,['1596979883132928001'],
ht,"@tabbassumrose @SanaBajwa11 True, shameless lifafay. ~

https://t.co/7WErLh6oxG",303495844,2022-11-27T21:28:44.000Z,1596979360946274305,['1596979360946274305'],
en,Murad Saeed raises important questions regarding Arshad Sharif's Case https://t.co/zcbkMD0CqF via @YouTube /,303495844,2022-11-27T21:27:24.000Z,1596979024722468864,['1596979024722468864'],
en,Murad Saeed raises important questions regarding Arshad Sharif's Case https://t.co/zcbkMDiLEN via @YouTube .,303495844,2022-11-27T21:25:44.000Z,1596978603912474624,['1596978603912474624'],
en,"RT @zoo_bear: Of all the pics, India Today chose to display Richa Chadha's pics in a swimming pool to discuss her tweet on Galwan. 🫡 https:…",303495844,2022-11-27T21:23:14.000Z,1596977975051792386,['1596977975051792386'],
ur,RT @naziarubbani: اس سائیکو ڈرٹی ہیری کو بچپن میں کوئی بار بار ننگا کرتا رہا ہے۔ یہ نارمل لوگوں والے کرتوت نہیں ہے۔ یہ راز بھی ایک دن کھلے…,303495844,2022-11-27T21:21:46.000Z,1596977608045973504,['1596977608045973504'],
en,Murad Saeed raises important questions regarding Arshad Sharif's Case https://t.co/zcbkMD0CqF via @YouTube,303495844,2022-11-27T21:21:37.000Z,1596977567155703810,['1596977567155703810'],
ur,RT @naziarubbani: 😥😥😥😥😥😥 یا اللہ سبحان و تعالی جنہوں نے خان صاحب پہ فائرنگ اور جنہوں نے کروائی ان سب کو ہماری آنکھوں کے سامنے عبرت کا نشان…,303495844,2022-11-27T21:20:41.000Z,1596977332555694080,['1596977332555694080'],
ur,RT @RealWaqarMaliks: #وہ_کون_تھا جو 6 سال اپنی قوم کیخلاف ففتھ جنریشن وار لڑتا رہا,303495844,2022-11-27T21:20:35.000Z,1596977310799839232,['1596977310799839232'],
ur,RT @tariqmateen: بےچارے https://t.co/e65Zqmacfq,303495844,2022-11-27T21:20:30.000Z,1596977287974375425,['1596977287974375425'],
en,@sadafnawaid Life style !,303495844,2022-11-27T21:19:43.000Z,1596977090888314880,['1596977090888314880'],
ur,RT @sadafnawaid: ماشاءﷲ 25 لاکھ علماء کے امیر نے 55 لاکھ کی Submarine Rolex گھڑی اور خالصتاً یہود کا بنایا ہوا 4 لاکھ روپے کا iPhone 14 pro…,303495844,2022-11-27T21:19:21.000Z,1596976997158092800,['1596976997158092800'],"{'copyright': False, 'country_codes': ['IN']}"
ur,RT @naziarubbani: ان کے وہاں پہنچنے سے پہلے ہی منحوسیت شروع ہو گئی 😊,303495844,2022-11-27T21:19:10.000Z,1596976953990737921,['1596976953990737921'],
en,"RT @ShahidaQureshi5: The guy has lost his marbles but must have gained Billions in his secret accounts !! 
What a crying shame .. His fathe…",303495844,2022-11-27T21:19:04.000Z,1596976928208039936,['1596976928208039936'],
ur,RT @tabbassumrose: @imranRaiz_khan @aneelarashid12g اور ان کے پالتو صحافی بھی بدنام ہونگے جن کے سہارے یہ اپنی کرسی بچائے ہوئے تھے,303495844,2022-11-27T21:15:07.000Z,1596975933852127234,['1596975933852127234'],
ur,RT @imranRaiz_khan: احمد نورانی نے باجوے کے 12 ارب روپے کے اثاثے نکالے اور اسد طور اسکے مقابلے میں فیض حمید کی 2200 ایکٹر اراضی نکال لایا ہ…,303495844,2022-11-27T21:15:02.000Z,1596975911517110274,['1596975911517110274'],
en,@JackThe07417105 Learned from Imam !,303495844,2022-11-27T21:06:47.000Z,1596973836838219776,['1596973836838219776'],
en,"@mushtaqminhas @SRehmanOffice Let's party on his favorite.  https://t.co/zgYZqtRiej.  
Chief guest is Maulana in our party.@MoulanaOfficial 
@AnsarAAbbasi @SaleemKhanSafi @DrDanish5 @asmashirazi @sanabucha @_Mansoor_Ali",303495844,2022-11-27T21:05:41.000Z,1596973557480710144,['1596973557480710144'],
en,@mushtaqminhas @SRehmanOffice Folks this the standard. https://t.co/FzMWkSTBcK,303495844,2022-11-27T20:59:09.000Z,1596971916882944001,['1596971916882944001'],
en,"@mushtaqminhas @SRehmanOffice Sir why so much stress on friendship..people missing something ?  
https://t.co/q3BH2TKBNZ.  .",303495844,2022-11-27T20:57:26.000Z,1596971484404416513,['1596971484404416513'],
ur,RT @naziarubbani: انشااللہ۔ 💚,303495844,2022-11-27T20:32:29.000Z,1596965202074820608,['1596965202074820608'],
en,"@mushtaqminhas Sir, funny thing a court jester is raising finger ~ 
https://t.co/PhAuxmH6yy
Sherry baby !!!!! @SRehmanOffice",303495844,2022-11-27T20:32:21.000Z,1596965170546237440,['1596965170546237440'],
qht,RT @naziarubbani: #Bastard,303495844,2022-11-27T20:26:17.000Z,1596963644457119744,['1596963644457119744'],
tr,RT @fngladiator: May  ✨  Allah  ✨keep  him  safe from  all  evil   eyes  👀  Ameen La Illaha illa Anta Subhanaka inni Kuntum   miniz  ✨Zalam…,303495844,2022-11-27T20:25:34.000Z,1596963464312131584,['1596963464312131584'],
nl,Ameen~ https://t.co/JrcgX01oju,303495844,2022-11-27T20:24:49.000Z,1596963275312631808,['1596963275312631808'],
ur,RT @samiabrahim: انشاللہ فتح آپکی ھو گی۔۔عوام جیتیں گے https://t.co/daenjUOXHn,303495844,2022-11-27T20:24:36.000Z,1596963218454642689,['1596963218454642689'],
ur,RT @AzharSiddique: نگران حکومتوں کی تیاریاں مکمل!!!,303495844,2022-11-27T20:24:29.000Z,1596963188964151297,['1596963188964151297'],
qam,@JackThe07417105 :),303495844,2022-11-27T20:24:09.000Z,1596963105421942788,['1596963105421942788'],
en,"RT @MuhamadAfzalECP: Raise Voice for ARSHAD SHARIF SHAHEED
Because Chief Justice Can't hear See and know that Establishment / NAWAZ Sharif…",303495844,2022-11-27T20:23:38.000Z,1596962974966562816,['1596962974966562816'],
fa,"RT @naziarubbani: آمین
#Bastard",303495844,2022-11-27T20:23:20.000Z,1596962900056211456,['1596962900056211456'],
en,"RT @ShahidaQureshi5: mail@supremecourt.gov.pk
Hon Chief Justice of Pakistan 
We demand Supreme Court of Pakistan to form a Judicial Commiss…",303495844,2022-11-27T20:22:56.000Z,1596962801934692352,['1596962801934692352'],
en,RT @PTIofficial: The people of AJK showed their trust in Kaptaan once again! One vs all and Imran Khan wins again! #کشمیر_کپتان_کا https://…,303495844,2022-11-27T20:11:16.000Z,1596959866362376192,['1596959866362376192'],
ur,RT @ARYSabirShakir: ظالم بُزدل تھے انہیں اپنی دولت فرعونیت اور تکبر خاک میں ملتا ہوا نظر آرہا تھا اسے تو بہر حال مٹنا ہی ہے بفضل خُدا,303495844,2022-11-27T20:07:54.000Z,1596959016873168897,['1596959016873168897'],
ur,RT @ImranRiazKhan: اسٹیبلشمنٹ ایسی FIRs اور ہتھکنڈے اس ملک ملک میں کئی دہائیوں سے استعمال کر رہی ہے مگر اس بار PDM کی اتحادی حکومت میں شامل…,303495844,2022-11-27T20:07:42.000Z,1596958968194027520,['1596958968194027520'],
