id,author_id,created_at,text,edit_history_tweet_ids,lang,withheld
1594501508707516416,107549814,2022-11-21T01:22:38.000Z,"RT @OntarioFarms: Once farmland is paved over, it’s gone forever. Help protect local, fresh, home grown food in Ontario before it’s too lat…",['1594501508707516416'],en,
1594458761174851587,107549814,2022-11-20T22:32:46.000Z,"RT @TrainingMindful: “Always remember that everything happens for a reason. It may not make sense now, but at the right time it will.” http…",['1594458761174851587'],en,
1594456077206056960,107549814,2022-11-20T22:22:07.000Z,RT @Reuters: WATCH: Red crabs have begun their annual migration on Australia’s Christmas Island https://t.co/LiMuAahflS,['1594456077206056960'],en,
1593760019861934085,107549814,2022-11-19T00:16:14.000Z,RT @BarrieToday: Greenbelt land for Southlake site bought for $80M in September https://t.co/RT8L4slTVm,['1593760019861934085'],en,
1593721936449871878,107549814,2022-11-18T21:44:54.000Z,"RT @TorontoPolice: News Release - “Stay Focused, Stay Safe” – Traffic Safety Campaign, October 31 – November 13, 2022
https://t.co/VeqpXIf5…",['1593721936449871878'],en,
1593721724729712640,107549814,2022-11-18T21:44:03.000Z,"RT @TSN_Sports: John Herdman explains the sacrifice it has taken to get Canada to the #WorldCup. 🇨🇦

VIDEO: https://t.co/w4gDF4FFoO https:/…",['1593721724729712640'],en,
1593721652306747399,107549814,2022-11-18T21:43:46.000Z,"RT @globalnews: Transport Minister Omar Alghabra said he wears a mask when travelling and that it is a kind thing to do.
https://t.co/JOKEI…",['1593721652306747399'],en,
1593316849135108096,107549814,2022-11-17T18:55:13.000Z,"RT @CanadaPaintings: Flowers on a Chair
Goodridge Roberts
1940 https://t.co/CQbAcxcpU0",['1593316849135108096'],en,
1592988538055770113,107549814,2022-11-16T21:10:38.000Z,RT @WIREDScience: The US regulatory body has signed off on Upside Foods’ cultivated meat—but the company is still figuring out how to make…,['1592988538055770113'],en,
1592988131745488897,107549814,2022-11-16T21:09:01.000Z,RT @nationalpost: We've got you covered with options for a range of budgets and functions. https://t.co/GKCEk2yHdX,['1592988131745488897'],en,
1592988082319785984,107549814,2022-11-16T21:08:49.000Z,RT @KingstonPolice: **Update** Kingston Police conducting a homicide investigation on McKendry Road https://t.co/zyBjDB76EH #ygk https://t.…,['1592988082319785984'],en,
1592987328615964672,107549814,2022-11-16T21:05:50.000Z,"RT @BBCNews: 100,000 birds culled after farm avian flu outbreaks https://t.co/8LBtAz9GrD",['1592987328615964672'],en,
1592985281208410113,107549814,2022-11-16T20:57:41.000Z,"RT @RT_com: Poland wants Russian oil despite EU embargo – Kommersant

Energy giant Orlen has requested annual deliveries of three million t…",['1592985281208410113'],en,"{'copyright': False, 'country_codes': ['AT', 'BE', 'BG', 'CY', 'CZ', 'DE', 'DK', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'HR', 'HU', 'IE', 'IT', 'LT', 'LU', 'LV', 'MT', 'NL', 'PL', 'PT', 'RO', 'SE', 'SI', 'SK']}"
1592985227244490753,107549814,2022-11-16T20:57:29.000Z,"RT @CNN: Thanksgiving dinner will cost a whopping 20% more than it did last year, according to a new survey released by the American Farm B…",['1592985227244490753'],en,
1592919953056755712,107549814,2022-11-16T16:38:06.000Z,RT @CTVNews: A recent study found nearly 20 per cent of family doctors in Canada are expecting to close their practices in the next five ye…,['1592919953056755712'],en,
1592565411924828161,107549814,2022-11-15T17:09:17.000Z,"RT @RT_com: Massive missile strikes reported across Ukraine

President Vladimir Zelensky says Russia launched 85 projectiles that damaged t…",['1592565411924828161'],en,"{'copyright': False, 'country_codes': ['AT', 'BE', 'BG', 'CY', 'CZ', 'DE', 'DK', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'HR', 'HU', 'IE', 'IT', 'LT', 'LU', 'LV', 'MT', 'NL', 'PL', 'PT', 'RO', 'SE', 'SI', 'SK']}"
1592345189636780032,107549814,2022-11-15T02:34:12.000Z,RT @CTVNews: Canada officially in a flu epidemic after crossing seasonal threshold https://t.co/SFaCkecVOy https://t.co/Retqsr52xb,['1592345189636780032'],en,
1591259928333012993,107549814,2022-11-12T02:41:45.000Z,"RT @CanadianArmy: Today, Canadians joined veterans and Canadian Armed Forces members to honour the sacrifices made by those who served Cana…",['1591259928333012993'],en,
1591236430080409600,107549814,2022-11-12T01:08:23.000Z,RT @poppypride1: We Will Remember https://t.co/ARATMA36cK,['1591236430080409600'],en,
1591236131399831552,107549814,2022-11-12T01:07:12.000Z,"RT @URDailyHistory: 11 Nov 1885: U.S. World War II General George S. #Patton is born in San Gabriel, California. He died on December 21, 19…",['1591236131399831552'],en,
1587902275757826048,107549814,2022-11-02T20:19:38.000Z,@UrethraFranken @CTVNews Have a good day,['1587902275757826048'],en,
1587900880866578433,107549814,2022-11-02T20:14:06.000Z,@AlparKato Awesome,['1587900880866578433'],en,
1587900694400585732,107549814,2022-11-02T20:13:21.000Z,RT @SPACEdotcom: Milky Way stars photobomb picturesque spiral galaxy in stunning Hubble photo https://t.co/SyAqczh7R4 https://t.co/uIynEa0w…,['1587900694400585732'],en,
1587900034124636160,107549814,2022-11-02T20:10:44.000Z,@UrethraFranken @CTVNews Ridiculous comment. You wouldn’t be saying that if they were your children.,['1587900034124636160'],en,
1587896270592479232,107549814,2022-11-02T19:55:47.000Z,@CTVNews @AdrianGhobrial Terrible news,['1587896270592479232'],en,
1587884546166607877,107549814,2022-11-02T19:09:11.000Z,@CTVNews That is horrible !! What is wrong with those people??,['1587884546166607877'],en,
1587143212556111872,107549814,2022-10-31T18:03:24.000Z,"RT @Toronto_John63: Give a Cop a hug, and thank them for keeping you safe.
#BlueLivesMatter",['1587143212556111872'],en,
1587071564134187011,107549814,2022-10-31T13:18:41.000Z,"RT @OntarioParks: Want to learn more about critters that go ""bump"" in the night? https://t.co/tYOZMRrAHy 

#Halloween 🎃 https://t.co/ocIaRk…",['1587071564134187011'],en,
1587071357807984644,107549814,2022-10-31T13:17:52.000Z,RT @TPS43Div: Happy Halloween 👻 Check out these safety tips 👇,['1587071357807984644'],en,
1587070730981851136,107549814,2022-10-31T13:15:23.000Z,"RT @Newsweek: There have been several reports that the newly mobilized Russian troops are being sent to Ukraine with little training, basic…",['1587070730981851136'],en,
1587070307831091200,107549814,2022-10-31T13:13:42.000Z,"RT @BarriePolice: Your Voice Matters! Share your feedback on public safety, accountability, and approachability. Visit https://t.co/jTYwLzj…",['1587070307831091200'],en,
1587069816908795906,107549814,2022-10-31T13:11:45.000Z,"RT @newscientist: A soup of omicron subvariants, primarily BQ.1.1 and XBB, could drive the next covid-19 wave https://t.co/C6pxgvUf8I",['1587069816908795906'],en,
1587069764303998976,107549814,2022-10-31T13:11:32.000Z,RT @Innisfil_FIRE: Happy Halloween @townofinnisfil! Let's make this fun day safe for your little monsters by following these #FireSafety ti…,['1587069764303998976'],en,
1586861980362711041,107549814,2022-10-30T23:25:53.000Z,"RT @LawlessFrench: Via @FrenchQuiz 

You must try this #frenchquiz on devoir conjugations: https://t.co/SVIJASH2XZ

The many uses of ""devoi…",['1586861980362711041'],en,
1586823419223588866,107549814,2022-10-30T20:52:39.000Z,"RT @RT_com: Moscow explains why negotiations with Kiev are unfeasible

Ukraine’s Western backers may revoke any possible deal, Dmitry Pesko…",['1586823419223588866'],en,"{'copyright': False, 'country_codes': ['AT', 'BE', 'BG', 'CY', 'CZ', 'DE', 'DK', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'HR', 'HU', 'IE', 'IT', 'LT', 'LU', 'LV', 'MT', 'NL', 'PL', 'PT', 'RO', 'SE', 'SI', 'SK']}"
1586764454724706304,107549814,2022-10-30T16:58:21.000Z,RT @npffpn: Thank you to @copofcoffee for initiating Wear Red Wednesday in memory of RCMP Cst. Shaelyn (Tzu-Hsin) Yang who was tragically m…,['1586764454724706304'],en,
1586763795568869376,107549814,2022-10-30T16:55:44.000Z,"RT @DNewsHungary: https://t.co/gg2Sjqsfdw
The US Federal Reserve's plan is very dangerous for the Hungarian forint.

#Hungary #Hungarian #d…",['1586763795568869376'],en,
1586750283916288000,107549814,2022-10-30T16:02:02.000Z,RT @Forbes: 3 Reasons Content Marketing Is A Good Choice For Early-Stage Startups https://t.co/S1XYgph7SY https://t.co/FoqQ8XwLNx,['1586750283916288000'],en,
1586748327961296896,107549814,2022-10-30T15:54:16.000Z,RT @StatCan_eng: Did you know that we have a #DataLiteracy playlist on our YouTube channel? Check it out to expand your knowledge and skill…,['1586748327961296896'],en,
1586748120301379584,107549814,2022-10-30T15:53:26.000Z,"RT @CTVToronto: If the air coming out of your vehicle’s ventilation system has a musty smell like old hockey equipment or a damp basement,…",['1586748120301379584'],en,
1586748078719000577,107549814,2022-10-30T15:53:16.000Z,"RT @CTVNews: Canadians lose $900B of net wealth in home price 'chill,' weaker financial markets: RBC https://t.co/UOtMOsw2u8 https://t.co/c…",['1586748078719000577'],en,
1586735733653397504,107549814,2022-10-30T15:04:13.000Z,"RT @URDailyHistory: 29 Oct 1897: Nazi #Germany Reich Minister of #Propaganda Joseph #Goebbels is born in Rheydt, #Germany. As World War II…",['1586735733653397504'],en,
1586735395588509699,107549814,2022-10-30T15:02:53.000Z,RT @foodandwine: So you can get your fill of French comfort food. See them all: https://t.co/VqbHcqZD38 https://t.co/8X7zxQpac1,['1586735395588509699'],en,
1586202720029081600,107549814,2022-10-29T03:46:13.000Z,RT @CTVToronto: #BREAKING: Police investigating fatal shooting in Toronto’s east end. https://t.co/n0YtazMeu6,['1586202720029081600'],en,
1585482914699124736,107549814,2022-10-27T04:05:58.000Z,"RT @Reuters: Oil prices continue climb on strong crude demand, weaker dollar https://t.co/aUETZDxcFU https://t.co/zrp9eIM4Cf",['1585482914699124736'],en,
1585482847980331010,107549814,2022-10-27T04:05:42.000Z,@TrainingMindful That is too funny and silly,['1585482847980331010'],en,
1585482698927362050,107549814,2022-10-27T04:05:06.000Z,@TrainingMindful Lol 🤣,['1585482698927362050'],und,
1585482449479417857,107549814,2022-10-27T04:04:07.000Z,RT @globeandmail: Immigrants are the great insulators against the worst economic and political threats we face https://t.co/8W4lAjunmJ,['1585482449479417857'],en,
1585447208719028224,107549814,2022-10-27T01:44:05.000Z,"RT @Raptors: RAPS WIN! 

Hugs all around 🤗 https://t.co/U4cGEzmbLw",['1585447208719028224'],en,
1585126818390372352,107549814,2022-10-26T04:30:58.000Z,"RT @Rainmaker1973: Strange as this may sound, when a bee hive becomes too full, bees will form a ""senate"" comprised of more experienced bee…",['1585126818390372352'],en,
1585116807701987328,107549814,2022-10-26T03:51:11.000Z,"@19redwolf99 @CP24 It’s sad. People don’t understand that not all police officers act wrongful.  I know many police officers and they  are a great example of honesty, hard working , trustful, caring , loving, fun . They devote their life’s to our communities!!",['1585116807701987328'],en,
1585114102065926145,107549814,2022-10-26T03:40:26.000Z,@therealmfj @NorskHaus @Rainmaker1973 Wow amazing. Thank you for the excellent information.,['1585114102065926145'],en,
1585113452644773888,107549814,2022-10-26T03:37:51.000Z,@A__White__Raven @Rainmaker1973 😰,['1585113452644773888'],und,
1585113282637344768,107549814,2022-10-26T03:37:11.000Z,"RT @Rainmaker1973: Bats are not rodents. They are their own group called Chiroptera. They are more closely related to cats than rats 

[📹 T…",['1585113282637344768'],en,
1585096837429854208,107549814,2022-10-26T02:31:50.000Z,@80sThen80sNow R.I.P.,['1585096837429854208'],und,
1585096530377453568,107549814,2022-10-26T02:30:37.000Z,"RT @80sThen80sNow: Born September 16th 1935 in Philadelphia, PA., this Director, Producer, Composer, Lyricist and Author Was Involved in Ma…",['1585096530377453568'],en,
1585063389927469056,107549814,2022-10-26T00:18:55.000Z,"RT @PETAUK: Imagine having your EYES SEWN SHUT by experimenters. 😢
This was Britches' miserable life before he was rescued.
https://t.co/zz…",['1585063389927469056'],en,
1585063333958275072,107549814,2022-10-26T00:18:42.000Z,RT @SpencerFernando: The Collapse Of Canada's Military Should Be The Biggest Story In Our Nation. https://t.co/yvVDwIrXlb,['1585063333958275072'],en,
1585062901483569152,107549814,2022-10-26T00:16:59.000Z,"RT @TheTorontoSun: LILLEY: Still no word from Trudeau's PMO on who stayed in $6,000-a-night hotel room https://t.co/DDP1gUsZOn Via @brianli…",['1585062901483569152'],en,
1585062280466640896,107549814,2022-10-26T00:14:31.000Z,"RT @PCArsenault: Have a great week, stay warm! https://t.co/pjFLjvTYXc",['1585062280466640896'],en,
1585011996663369728,107549814,2022-10-25T20:54:42.000Z,"RT @rmoutlook: “The threat of wildfire is certainly not the only threat our community faces, but it is a significant one that will have far…",['1585011996663369728'],en,
1585008787282223105,107549814,2022-10-25T20:41:57.000Z,RT @LEAPyeg: #NewProfilePic https://t.co/AHASKK6tDU,['1585008787282223105'],qme,
1585008748765945856,107549814,2022-10-25T20:41:48.000Z,RT @RT_com: Thousands of Palestinians protest after Israeli raid kills 5 https://t.co/EnUY1UA01F,['1585008748765945856'],en,"{'copyright': False, 'country_codes': ['AT', 'BE', 'BG', 'CY', 'CZ', 'DE', 'DK', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'HR', 'HU', 'IE', 'IT', 'LT', 'LU', 'LV', 'MT', 'NL', 'PL', 'PT', 'RO', 'SE', 'SI', 'SK']}"
1585008626842103809,107549814,2022-10-25T20:41:19.000Z,@DigitalDanielG Majestic ❤️,['1585008626842103809'],en,
1585008164810133504,107549814,2022-10-25T20:39:29.000Z,"RT @LEAPyeg: 💜 Keeping a lone elephant is considered cruel by species experts and in violation of Alberta and Canadian Zoo standards.

💜 Th…",['1585008164810133504'],en,
1585007944751808515,107549814,2022-10-25T20:38:36.000Z,@LEAPyeg #freelucy,['1585007944751808515'],qme,
1585007822638813184,107549814,2022-10-25T20:38:07.000Z,"RT @Barrie360: Alex Nuttall elected mayor of #Barrie.
https://t.co/WkaWN60Y72",['1585007822638813184'],en,
1585007490475122688,107549814,2022-10-25T20:36:48.000Z,@Barrie360 😡,['1585007490475122688'],und,
1585005825390624770,107549814,2022-10-25T20:30:11.000Z,@Barrie360 Fabulous . Congratulations Alex,['1585005825390624770'],fr,
1585005607739805696,107549814,2022-10-25T20:29:19.000Z,RT @Barrie360: Alex Nuttall elected mayor of Barrie. No incumbent. More details to come.,['1585005607739805696'],en,
1584348513189494785,107549814,2022-10-24T00:58:15.000Z,"RT @GrayMarker99: It was a great weekend for my camera! Beautiful sights and weather. Here are a few of my favourites.
Have a great week!
#…",['1584348513189494785'],en,
1584250833058742273,107549814,2022-10-23T18:30:07.000Z,@MoveTheWorldUS 😰,['1584250833058742273'],und,
1584248142202953728,107549814,2022-10-23T18:19:25.000Z,@PCArsenault Lol,['1584248142202953728'],und,
1584224845750861824,107549814,2022-10-23T16:46:51.000Z,@GrayMarker99 Beautiful ❤️❤️❤️,['1584224845750861824'],en,
1584210931570966529,107549814,2022-10-23T15:51:33.000Z,"“Toronto’s real estate market will crash 30% or more by the spring, economists say. How bad will it be?” by @TorontoStar 
https://t.co/8l3ZOI9p6b",['1584210931570966529'],en,
1584210730596724737,107549814,2022-10-23T15:50:46.000Z,RT @TorontoStar: The majority of economists surveyed by the Star forecast that Toronto’s home prices are set to decline by 30 per cent or m…,['1584210730596724737'],en,
1584210482373619713,107549814,2022-10-23T15:49:46.000Z,@RT_com Shame it’s his war no the world!!,['1584210482373619713'],en,
1584208596715261952,107549814,2022-10-23T15:42:17.000Z,@and_then_we_die @fourstringfrett @____B_S____ Darn cars.,['1584208596715261952'],en,
1584207796102234115,107549814,2022-10-23T15:39:06.000Z,@pdsnavely3 @ancientorigins Wow beautiful,['1584207796102234115'],en,
1583975350844854274,107549814,2022-10-23T00:15:27.000Z,RT @fastworkers6: I present a small course on how to relax a little. https://t.co/AsPcErRGQt,['1583975350844854274'],en,
1583975173786460161,107549814,2022-10-23T00:14:44.000Z,"RT @LEAPyeg: $113M in taxpayer funds for capital investments and upgrades were given to the zoo in the past decade,in addition to $6-8 mill…",['1583975173786460161'],en,
1583975046099263488,107549814,2022-10-23T00:14:14.000Z,"RT @peta: Terrified, jam-packed together, no food or water for hours—is there any moment in time animals killed for their flesh aren’t suff…",['1583975046099263488'],en,
1583969905426067456,107549814,2022-10-22T23:53:48.000Z,"RT @PeterSchiff: Elon Musk says we’re already in a recession that could last until spring 2024, and only the strong will survive – Fortune…",['1583969905426067456'],en,
1582083250754711552,107549814,2022-10-17T18:56:55.000Z,"RT @animaljusticeAU: ""Carbon storage is greater than the value of forests for woodchips &amp; paper production.""
""Failure to properly protect f…",['1582083250754711552'],en,
1582082690622230528,107549814,2022-10-17T18:54:41.000Z,"RT @RT_com: Israel urged to pick side in Ukraine conflict 

Read: https://t.co/iYhhwsNgyG https://t.co/deBH9na7bk",['1582082690622230528'],en,"{'copyright': False, 'country_codes': ['AT', 'BE', 'BG', 'CY', 'CZ', 'DE', 'DK', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'HR', 'HU', 'IE', 'IT', 'LT', 'LU', 'LV', 'MT', 'NL', 'PL', 'PT', 'RO', 'SE', 'SI', 'SK']}"
1582082547265155072,107549814,2022-10-17T18:54:07.000Z,"RT @ScienceMagazine: Fossil footprints indicate that humans were present in North America between ~23,000 and 21,000 years ago during the L…",['1582082547265155072'],en,
